222,2021-08-29,中国广核(003816)：运营水平卓越估值水平稳定,新浪
223,2021-08-29,公用事业周报：发改委鼓励电解铝企业提高新能源电源利用水平 7月天然气进口量同比+27.0%,新浪
224,2021-08-29,国金证券维持中国广核增持评级：上网电量稳健增长，静待装机扩容,每日经济新闻
225,2021-08-27,平安证券维持中国广核推荐评级：台山舆情影响有限，战略规划剑指全球第一,每日经济新闻
226,2021-08-27,干货！2021年中国核电行业龙头企业市场竞争格局分析 中国广核为中国“核电之王”,前瞻研究院
227,2021-08-27,中国广核今日大宗交易成交900万股，成交价2.6元溢价0.0%,Wind
228,2021-08-27,中广核电力(01816.HK)中期多赚5.6% 以多渠道及多种方式争取更多的上网电量,财华社
229,2021-08-26,【1816】中广核电力中期多赚6%至54.98亿人币 不派息 | 头条金融网,头条日报
230,2021-08-26,中国广核2021年上半年实现净利润86.70亿元，同比增长10.29%,经济观察网
231,2021-08-26,中国广核(003816.SZ)半年度归母净利润同比增长5.63%至54.98亿元,智通财经
232,2021-08-26,中国广核：上半年净利54.98亿元 同比增长5.63%,财联社
233,2021-08-26,中国广核：上半年净利润同比增长5.63%,Wind
234,2021-08-26,中广核电力(01816.HK)中期营收净利稳健增长 24台在运核电机组,格隆汇
235,2021-08-26,中广核电力(01816)中期归母净利润约54.98亿元 同比增长5.63%,智通财经
236,2021-08-26,中广核电力：中期盈利54.98亿人民币，同比增长5.63%,Wind
237,2021-08-24,中国广核：公司在储能方面暂未有布局,Wind
238,2021-08-24,中国广核：公司目前没有和其他企业合并重组的计划,Wind
239,2021-08-23,中国广核：目前公司未拥有风电等项目,每日经济新闻
240,2021-08-20,碧桂园?美好中国ESG100指数完成2021年度调仓,新浪
241,2021-08-17,中国广核(003816.SZ)完成发行8亿元超短期融资券,格隆汇
242,2021-08-17,中广核电力(01816.HK)完成发行2021年度第四期超短期融资券,格隆汇
243,2021-08-17,中广核电力：于8月16日完成了2021年度第四期超短期融资券的发行,Wind
244,2021-08-16,中广核电力(01816)：“18广核电力MTN003”将于8月23日到期兑付,智通财经
245,2021-08-16,中国广核(003816.SZ)：2018年度第三期中期票据将于8月23日到期兑付,智通财经
246,2021-08-16,公用事业行业周报：电力供需紧张叠加高煤价 加快电价机制改革,新浪
247,2021-08-13,中广核电力(01816)：独立董事邓志祥取得独立董事资格证书,智通财经
248,2021-08-13,中国广核(003816.SZ)：邓志祥取得独立董事资格证书,智通财经
249,2021-08-13,中国广核：公司未持有中广核新能源的股份,Wind
250,2021-08-12,中广核电力(01816)拟发行8亿元超短期融资券,智通财经
251,2021-08-11,中广核电力：将于2021年8月26日（星期四）举行董事会会议,Wind
252,2021-08-11,中广核电力(01816.HK)8月26日举行董事会会议以审批中期业绩,格隆汇
253,2021-08-04,中国广核：目前公司暂无海外业务，没有与印度相关业务,每日经济新闻
254,2021-08-02,公用事业行业周报：完善分时电价政策 新能源发电再迎机遇,新浪
255,2021-08-02,中国广核：本次停机检修不会对公司年度经营业绩造成重大影响,Wind
256,2021-08-01,公用环保行业周报：峰谷价差显着扩大 利好灵活性电源及储能,新浪
257,2021-07-30,中广核电力：红沿河5号机组预计近日具备商业运营条件,Wind
258,2021-07-30,中广核电力(01816.HK)：红沿河5号机组预计近日具备商业运营条件,格隆汇
259,2021-07-30,财联社7月30日讯，中国广核公告，公司联营企业红沿河核电5号机组预计将于2021年7月31日完成所有调试工作，具备商业运营条件。,财联社
260,2021-07-30,电力行业点评：分时电价削峰填谷 电网减负、储能加码,新浪
261,2021-07-29,中国广核：已获股东大会关于回购H股的一般性授权，目前仍在授权期内,Wind
262,2021-07-27,公用环保行业周报：新型储能加快发展 各地再生水政策陆续发布,新浪
263,2021-07-24,上半年各省电力负荷屡创新高，广东、江苏等负荷过亿,Wind
264,2021-07-23,电力行业6月电力数据月报：用电量增速略有放缓 水电转枯火核增发,新浪
265,2021-07-21,中广核电力红沿河5号机组临时上网电价获得核准,中国能源网china5e
266,2021-07-20,公用事业及环保行业报告：全国碳排放权交易正式启动,新浪
267,2021-07-19,绿色能源与大宗商品月报(2021年7月),新浪
268,2021-07-19,公用事业2021年中报业绩前瞻：煤电普遍承压 关注新能源高成长,新浪
269,2021-07-17,中国广核：没有经营和运行太阳能项目,每日经济新闻
270,2021-07-15,中国广核：红沿河5号机组临时上网电价获得核准,财联社
271,2021-07-12,公用环保行业周报：硅料价格松动利好运营商 循环经济发展迎政策助力,新浪
272,2021-07-08,中国广核：风电、光伏的增加对公司影响较小,第一财经
273,2021-07-08,中国广核：没有经营和运行太阳能和风能项目,每日经济新闻
274,2021-07-07,中国广核：多台机组换料大修 上半年发电量增长5.40%,北极星电力
275,2021-07-06,公用事业及环保行业报告：能源局开展整县屋顶分布式光伏开发试点报送,新浪
276,2021-07-06,中广核电力：于7月5日完成了2021年度第三期超短期融资券的发行,Wind
277,2021-07-06,【1816】中广核电力上半年上网电量增长5.4%|头条金融网,头条日报
278,2021-07-06,中广核电力(01816.HK)完成发行2021年度第三期超短期融资券,格隆汇
279,2021-07-06,中广核电力：上半年核电机组总发电量同比增长5.12%,Wind
280,2021-07-06,主承销商：“18广核电力MTN003”等四只债券2021年第一次持有人会议决议未生效,Wind
281,2021-07-06,中国广核(003816.SZ)完成发行20亿元超短期融资券,智通财经
282,2021-07-06,中国广核：上半年核电机组总发电量同比增长5.12%,财联社
283,2021-07-06,公用环保行业周报：水电新一轮投运密集启动 中报有望催化焚烧发电配置机会,新浪
284,2021-07-06,中国广核电力：“07广核债”2021年第一次持有人会议通过相关议案,Wind
285,2021-07-05,【最全】2021年干式变压器行业上市公司全方位对比(附业务布局、业绩对比、业务规划等),前瞻研究院
286,2021-07-05,大宗商品行业周报：绿色能源与大宗商品周报(2021年第9期),新浪
287,2021-07-04,6只战略配售基金届满3年，转型后将迎来哪些变化？,中证报
288,2021-07-02,中广核电力(01816.HK)20亿元超短融将于7月9日到期兑付,格隆汇
289,2021-06-30,中国广核(003816.SZ)2020年度A股权益分派10派0.8元 股权登记日为7月7日,格隆汇
290,2021-06-30,中广核电力(01816)将于7月7日派发现金股息每10股0.8元,智通财经
291,2021-06-30,中广核电力(01816.HK)A股年报推10派0.80元股权登记日7月7日,格隆汇
292,2021-06-30,中国广核(003816.SZ)拟10股派0.8元 7月8日除权除息,智通财经
293,2021-06-30,74只港股获南向资金大比例持有,证券之星
294,2021-06-28,公用环保行业周报：分布式光伏迎来增量市场 环卫综合服务能力渐成抓手,新浪
295,2021-06-25,中国广核电力：“18广核电力MTN003”等债券2021年第一次持有人会议议案概要,Wind
296,2021-06-25,南向资金高比例持有港股名单,证券之星
297,2021-06-24,全社会用电量继续增长，深圳再创历史新高,Wind
298,2021-06-24,中信证券：5月单月全社会用电量同比增长12.5%，继续维持高景气,证券时报网
299,2021-06-23,中国广核：目前核电没有纳入碳排放交易，国际上核电也没有纳入碳排放交易,每日经济新闻
300,2021-06-22,中国广核：目前全世界范围内核电均没有纳入碳排放交易,Wind
301,2021-06-19,公用环保行业周报：江苏上调峰段电价 限电有望倒逼电改,新浪
302,2021-06-17,公用行业2021年度中期投资策略：“双碳”新篇 变中求进,新浪
303,2021-06-17,公用事业及环保行业报告：国务院发文简化危废经营许可证申请办理,新浪
304,2021-06-17,中广核电力：完成2021年度第二期中期票据的发行,Wind
305,2021-06-17,中国广核(003816.SZ)完成发行15亿元2021年度第二期中期票据,智通财经
306,2021-06-17,中广核电力(01816.HK)完成发行15亿元中期票据,格隆汇
307,2021-06-16,中国短期融资券及中期票据信用分析周报,新浪
308,2021-06-15,中国广核：红沿河核电站5号机组首次达临界,证券时报网
309,2021-06-15,【建投公用环保】新备案项目不再享受中央财政补贴，风光平价上网有望加速,能源交运万维网
310,2021-06-15,公用事业行业动态报告：新备案项目执行当地燃煤基准价 风光平价上网有望加速,新浪
