918,2020-12-15,双星新材(002585)：BOPET膜行业不断向好 公司启动回购计划,新浪
919,2020-12-15,电气设备行业周报：11月国内外新能源车销量高增 十四五光伏规划或超预期,新浪
920,2020-12-15,光伏龙头领头 新能源启动2020年百亿级别减持行动 减持股份,中国能源网china5e
921,2020-12-14,2021年新能源发电投资策略：总量增速换挡下“供需失衡”和“一超多强”,新浪
922,2020-12-14,电气设备行业周报：“十四五”国内光伏成长确定性强 我国新能源车全年销量望至130万辆,新浪
923,2020-12-14,福斯特拟将3亿元募集资金用于加快滁州年产5亿平方米光伏胶膜项目实施,北极星电力
924,2020-12-12,福斯特(603806.SH)：拟使用不超12亿元暂时闲置募集资金进行现金管理,格隆汇
925,2020-12-11,福斯特(603806.SH)拟推第三期员工持股计划 金额不超1亿元,智通财经
926,2020-12-11,福斯特：拟以3亿元募集资金增资滁州子公司 有助于加快募投项目实施,发布易
927,2020-12-11,福斯特：拟向子公司增资3亿元,中证网
928,2020-12-11,福斯特(603806.SH)拟推第三期员工持股计划筹资总额不超1亿元,格隆汇
929,2020-12-11,福斯特(603806.SH)拟以3亿元募集资金向滁州福斯特增资以实施募投项目,格隆汇
930,2020-12-11,福斯特(603806.SH)拟以3亿元募集资金补充流动资金,格隆汇
931,2020-12-11,光伏企业密集扩产，10股获北上资金加仓,Wind
932,2020-12-10,A股早报2020年12月10日星期四,Wind
933,2020-12-09,福斯特现7笔折价大宗交易 机构买入5.05亿元,e公司
934,2020-12-09,"福斯特现7笔大宗交易 共成交52,583.35万元",新浪
935,2020-12-09,福斯特今日大宗交易成交769.55万股，成交价68.33元折价6.26%,Wind
936,2020-12-09,福斯特(603806.SH)遭实控人林建华减持769.55万股 减持比例达1% 减持股份,智通财经
937,2020-12-09,福斯特(603806.SH)：实控人林建华已减持1%的股份 减持股份,格隆汇
938,2020-12-09,福斯特：实际控制人减持公司股份达到1% 减持股份,Wind
939,2020-12-09,光伏行业2021年度投资策略：平价之路永无止境 降本增效殊途同归,广发证券
940,2020-12-09,光伏产能加速扩张 关注细分领域龙头,金融投资报
941,2020-12-08,【方正电新】光伏行业2021年投资策略：平价已来，星辰大海,申建国电新团队
942,2020-12-07,电力设备及新能源行业周报：光伏龙头长单密集落地 电堆降价潮指明降本路径,新浪
943,2020-12-07,【方正电新丨周观点】全球新能车销量持续强劲， LG化学拆分电池业务,申建国电新团队
944,2020-12-07,电气设备行业周报：关注景气度往中上游的延伸,新浪
