,2021-12-31,金地集团(600383)：险资减持压力大量释放 减持股份,广发证券
32,2021-12-27,金地集团封板，房地产ETF（512200）盘中一度涨超2%,金融界
33,2021-12-27,地产股拉升反弹，金地集团、财信发展等涨停,乐居财经
34,2021-12-27,金地集团股价涨停 现报12.22元,乐居财经
35,2021-12-27,财信发展、京能置业、金地集团涨停，房地产板块回暖,Wind
36,2021-12-27,【行情】地产股拉升反弹，财信发展、京能置业涨停，金地集团一度触板，顺发恒业、中交地产、京投发展、新城控股等跟涨,金十数据
37,2021-12-27,部分地产股走强 金地集团逼近涨停,格隆汇
38,2021-12-27,金地集团股价涨9.4% 现报12.15元,乐居财经
39,2021-12-27,A股快报 | 地产板块上涨0.96% 金地集团上涨8.46%,观点地产网
40,2021-12-27,房地产行业周报：政策发文缓解行业收并购痛点 销售延续同比改善,新浪
41,2021-12-27,房地产开发板块走高 金地集团涨超8%,红周刊
42,2021-12-27,房地产板块拉升，金地集团大涨,Wind
43,2021-12-27,24股获券商买入评级，金科股份目标涨幅达131.60%,Wind
44,2021-12-26,金地集团(600383)：短期交易性压力或逐步缓释 看好全年业绩稳增,新浪
45,2021-12-26,金地集团(600383)：攻守有道 乘势而上,新浪
46,2021-12-24,金地集团今日大宗交易成交210万股，成交价10.64元折价4.23%,Wind
47,2021-12-24,大家人寿持续减持金地集团、金融街两家地产股 减持股份,和讯
48,2021-12-24,A股快报 | 21只重点房企7只上涨 金地集团上涨2.68%,观点地产网
49,2021-12-24,A股资金面日报：融资客看好6股！买入占成交超3成,中投网
50,2021-12-24,12.24丨安徽骗保大案主犯获刑10年；前10月交强险承保亏损超20亿,和讯
51,2021-12-24,12月24日保险日报：险资面临再投资“资产荒” 投资收益率或持续承压,新浪
52,2021-12-24,中信证券：2022年，房地产的变和不变,Wind
53,2021-12-24,大家人寿8天减持金地集团2.26亿股 持股比例降至5.43% 减持股份,中国经济网
54,2021-12-24,大家人寿再次实施减持金地集团，险资持续撤离地产战线 减持股份,资本邦
55,2021-12-24,险资收缩地产战线 大家人寿大幅减持金地股份 减持股份,第一财经
56,2021-12-24,早读拾光（12.24）丨杭州第三批供地回暖 弘阳服务27岁少主曾俊凯接棒董事会主席,和讯
57,2021-12-24,携手私募基金+操盘CVC，上市公司谋求新增长点,Wind
58,2021-12-23,大家人寿累计减持金地集团5%股份 持股比例降至5.43% 减持股份,新京报
59,2021-12-23,大家人寿保险减持金地集团5%股份 减持股份,乐居财经
60,2021-12-23,金地集团：大家人寿自12月15日起减持2.26亿股 占总股本5% 减持股份,观点地产网
61,2021-12-23,金地集团(600383.SH)股东大家人寿累计减持比例达到5% 减持股份,智通财经
62,2021-12-23,金地商置0.13亿元出售一家装修设计公司予金地集团,搜狐
