,2021-12-30,700亿巨头同花顺又出事！监管出手,中投网
668,2020-02-25,今日1公司公布年报同花顺增幅最大,证券时报网
669,2020-02-25,首季净利润增长0-30.00%同花顺下跌5.51%,证券时报网
670,2020-02-25,融资客青睐10股，三峡水利买入占比高达45.90%,Wind
671,2020-02-25,A股融资融券日报：两融余额增加140.42亿元（2月24日）,Wind
672,2020-02-25,【民生计算机】同花顺19年年报点评：A股市场持续活跃，看好公司业绩成长,MS计算机
673,2020-02-25,同花顺19年盈利8.97亿元 同比增加41.60%,资本邦
674,2020-02-25,34家公司本周披露年报8家预计净利翻倍,证券时报
675,2020-02-24,2月25日上市公司重要公告集锦：同花顺拟10派8.5元,证券日报
676,2020-02-24,同花顺：2020年第一季度业绩报告预告,深交所
677,2020-02-24,A股头条之上市公司（2.25）,金融界
678,2020-02-24,同花顺去年净赚近9亿！基金销售营收大增133.73％,腾讯网
679,2020-02-24,行情好金融软件也赚钱 同花顺去年净利润同比增长41.6%,每日经济新闻
680,2020-02-24,公告精选：同花顺、顺丰控股年报业绩大增；彩虹股份玻璃基板产品未应用于OLED面板,e公司
681,2020-02-24,公告精选丨同花顺、顺丰控股年报业绩大增；五天四板彩虹股份发风险提示,21世纪经济报道
682,2020-02-24,"去年净利暴增10倍!千亿市值龙头频创新高,这些业绩牛股将披露年报",证券时报网
683,2020-02-24,同花顺(300033.SZ)拟继续使用不超10亿元闲置自有资金进行证券投资,格隆汇
684,2020-02-24,同花顺：2019年年度报告主要财务指标及分配预案,深交所
685,2020-02-24,[公司]同花顺2019年净利同比增长41.6%拟10派8.5元,全景网
686,2020-02-24,同花顺(300033.SZ)一季度净利润预增0%-30%,格隆汇
687,2020-02-24,同花顺：预计2019年实现净利润8.98亿元 同比增长42%,金融界
688,2020-02-24,同花顺(300033.SZ)2019年度净利润升41.6%至8.98亿元拟10派8.5元,格隆汇
689,2020-02-24,同花顺：2019年净利润同比增41.6% 拟10派8.5元,e公司
690,2020-02-24,同花顺：2019年全年实现净利润8.98亿元 拟10派8.5元,新浪
691,2020-02-24,同花顺：2019年净利润同比增4成，拟10派8.5元,Wind
692,2020-02-24,龙虎榜揭秘近五日机构最青睐44股,证券时报网
693,2020-02-21,龙虎榜：机构、深股通出货同花顺超1.6亿赵老哥净卖出深康佳A2000万,金融界
694,2020-02-21,龙虎榜揭秘：2股获机构亿元净买入,证券时报网
695,2020-02-21,机构今日买入这13股，抛售同花顺1.3亿元丨牛熊眼,第一财经
696,2020-02-21,同花顺龙虎榜数据（2月21日）,Wind
697,2020-02-21,同花顺股价创新高 两机构卖出超1亿元,e公司
698,2020-02-21,同花顺涨停 成交额38.1亿元,中新经纬
699,2020-02-21,东方财富子公司投顾违规被责令整改 关联方问题,21世纪经济报道
700,2020-02-14,同花顺涨7.04%净流入1.03亿元,中新经纬
701,2020-02-13,【金财富早知道】2020-02-21,赢家之星
702,2020-02-12,同花顺大涨7.26% 最近一日融资余额172661.96万元,中新经纬
703,2020-02-05,同花顺员工无证私下做证券投顾 浙江证监局责令处分 金融监管处罚,中国经济网
704,2020-02-05,关于对浙江同花顺云软件有限公司采取责令处分有关人员措施的决定 其他违规处罚,浙江证监局
705,2020-01-23,【朝闻国盛0123】加仓周期和科技，地产电子增配居前,国盛证券研究所
706,2020-01-22,【申万宏源计算机】东方国信年报预告点评：现金流超预期，数据库实现产品化,申万宏源S全民全流量计算机话报
707,2020-01-22,同花顺：预计2019年净利润同比增长35%-65%,Wind
708,2020-01-22,同花顺：2019年净利同比预增35%-65%,e公司
709,2020-01-22,同花顺：预2019净利润8.56-10.46亿 同比增35%-65%,新浪
710,2020-01-20,深信服：业绩预告惊喜！2020安全与云共振成长加速【申万宏源计算机】,申万宏源S全民全流量计算机话报
711,2020-01-19,恒生电子：利润再超预期，中台与管理优化开始成效【申万宏源计算机】,申万宏源S全民全流量计算机话报
712,2020-01-17,智联汽车深度11：激光雷达价格下降后L3可普及吗？【申万宏源智联汽车】,申万宏源S全民全流量计算机话报
713,2020-01-13,同花顺：占总股本0.26%限售股将于1月15日上市流通,Wind
714,2020-01-08,蔡曙受访比特儿：创业有趣，比特币可以分批建仓,凤凰网
715,2020-01-07,高通入局智能驾驶芯片，智能汽车“开放”和“封闭”两大生态体系已经成型！【申万宏源计算机】,申万宏源S全民全流量计算机话报
716,2020-01-06,同花顺大涨5.08% 成交额106990万元,中新经纬
717,2020-01-03,融资客青睐18股，燕京啤酒买入占比高达44.92%,Wind
718,2020-01-02,同花顺大涨5.08% 换手率5.66%,中新经纬
719,2019-12-31,科技龙头争当C位 2020年看两大板块 六股热,证券时报
720,2019-12-30,同花顺：深耕人工智能 打造新型金融信息服务商,中证网
721,2019-12-28,创纪录!股东日均净减持13.7亿 下月解禁市值7000亿 减持股份,中财网
722,2019-12-27,北向资金今日净流入46.81亿元，贵州茅台机构买入逾10亿元,Wind
723,2019-12-27,半导体板块再度被点燃 大涨过后是否还有上车机会,投资者网
724,2019-12-25,官方认证！权威区块链概念名单曝光 六股热,证券时报
725,2019-12-24,指南针上市“满月”涨幅抢眼 年内证券市场回暖业绩能否受益？,第一财经
726,2019-12-23,深港通十大成交活跃股排名（12月23日）,Wind
727,2019-12-20,区块链深度七：DCEP与数字货币【申万宏源计算机】,申万宏源S全民全流量计算机话报
728,2019-12-16,同花顺：人工智能明星产品亮相央视，打造长期增长点,证券时报网
729,2019-12-15,主力资金追捧亿纬锂能 机构逢高出逃同花顺,南方财经网
730,2019-12-13,12月13日A股龙虎榜揭秘，机构抛售8股,Wind
731,2019-12-13,同花顺龙虎榜数据（12月13日）,Wind
732,2019-12-13,同花顺放量涨停 三机构席位合计卖出2亿元,e公司
733,2019-12-13,互联金融概念震荡走高 熊猫金控同花顺涨停,证券时报网
