,2021-12-30,700亿巨头同花顺又出事！监管出手,中投网
109,2021-10-28,同花顺早盘系统崩溃冲上热搜，网友：血亏，赔钱！ 亏损,ZAKER
110,2021-10-28,热搜第一！A股刚开盘，同花顺崩了，网友：赔钱算谁的？官方回应来了,每日经济新闻
111,2021-10-28,同花顺崩了！大批网友血亏吐槽 回应： 正在排查问题 紧急修复 亏损,快科技
112,2021-10-28,同花顺道歉：网络线路出现异常，APP部分用户出现登录异常，目前已经恢复,新浪
113,2021-10-28,同花顺APP：目前已经恢复,格隆汇
114,2021-10-28,同花顺崩了登热搜第一 网友：早盘血亏 赔钱算谁的？ 亏损,快科技
115,2021-10-28,系统崩溃？同花顺回应：正在修复,中新经纬
116,2021-10-28,#同花顺崩了#冲上热搜第三，股价直线飙升！网友：损失算谁的？,和讯
117,2021-10-28,#同花顺崩了#话题登上微博热搜,中财网
118,2021-10-28,“同花顺崩了”上热搜！网友：早盘血亏，你还不让我跑 亏损,AI财经社
119,2021-10-28,东吴证券维持同花顺买入评级，2021年三季报点评：持续获益于市场活跃，期待创新投资提升产品及服务,每日经济新闻
120,2021-10-28,东吴证券：给予同花顺买入评级,证券之星
121,2021-10-28,#同花顺崩了#冲上微博热搜第三 股价直线飙升 网友：终于不用担心下跌了,新浪
122,2021-10-28,据多位网友反馈，早盘同花顺系统崩溃，交易数据无法显示,金十数据
123,2021-10-28,同花顺早盘系统崩溃 #同花顺崩了#冲上微博热搜,新浪
124,2021-10-28,国元证券：给予同花顺买入评级，目标价位174.15元,证券之星
125,2021-10-28,国元证券维持同花顺买入评级，2021年三季报点评：市场需求持续旺盛，业绩保持较快增长,每日经济新闻
126,2021-10-27,同花顺(300033)：业务稳定增长 三季度经营性现金流改善,广发证券
127,2021-10-27,海通证券：维持同花顺(300033.SZ)“优于大市”评级 合理价值131.95-150.8元,智通财经
128,2021-10-27,同花顺跌6%：前三季净利增28% 社保基金新进前十大股东名单 盈利能力下降,第一财经
129,2021-10-26,【华西计算机】1026 | T3出行宣布完成A轮77亿元融资,科技晶选
130,2021-10-26,成绩单！同花顺：2021年第三季度净利润约4.13亿元，同比增长24.19%,每日经济新闻
131,2021-10-26,同花顺(300033.SZ)第三季度净利润4.13亿元 同比增长24.19%,格隆汇
132,2021-10-26,同花顺前三季度净利同比增28.31% 社保基金新进前十大股东名单,上证报
133,2021-10-26,同花顺公布三季报 前三季净利增加28.31%,新浪
134,2021-10-26,图解同花顺三季报：第三季度单季净利润同比增24.19%,证券之星
135,2021-10-26,同花顺：前三季净利同比增28.31% 社保基金新进前十股东名单,e公司
136,2021-10-26,同花顺：第三季度净利润4.13亿元 同比增长24.19%,格隆汇
137,2021-10-26,同花顺：前三季度净利同比增长28.31%,财联社
138,2021-10-26,同花顺：前三季度净利润同比增长28.31%,Wind
139,2021-10-25,国融证券举办首届西北区域大学生金融投资创新大赛,中国经营报
140,2021-10-25,计算机行业周报：逻辑“双杀”公司开始出现 均衡配置头部与低估值,新浪
141,2021-10-24,财富管理周报：新基民趋于年轻化 持续看好互联网零售财富管理龙头,新浪
142,2021-10-20,华创证券：首予同花顺(300033.SZ)“强推”评级 目标价160元,智通财经
143,2021-10-17,计算机行业周报：智能驾驶正在发生哪些变化,新浪
144,2021-10-16,计算机行业周报：一图解释信息安全标的审美差异！,新浪
145,2021-10-15,天风Morning Call·晨会集萃·20211015,天风研究
146,2021-10-11,上海东方证券资产管理有限公司 关于旗下部分基金增加浙江同花顺 基金销售有限公司为代理销售机构 并开通定投业务的公告,证券日报
147,2021-10-11,2021年9月陆股通持仓分析：食品饮料转大幅加仓 美元走强或增大外资扰动,新浪
148,2021-10-10,计算机行业周报：从科技巨头入股飞腾看国产基础软硬件生态现状,新浪
149,2021-10-09,计算机应用行业点评：挂钩收入大额罚款开启 互联网治理时代来临,新浪
150,2021-10-08,北向资金今日净卖出25.72亿元，贵州茅台遭大幅净卖出超11亿元,Wind
151,2021-10-08,全民投资时代，腾讯自选股和同花顺哪个好？,凤凰网
152,2021-10-08,东方财富(300059)：好船配好帆 财风自东来,新浪
153,2021-10-02,非银金融行业点评：8月权益性公募基金保持高增长 二级基金依然是新备案私募基金主力军,新浪
154,2021-09-29,北向资金结束连续3日净买入，宝钢股份净卖出额创新高,Wind
155,2021-09-29,技术分析周报：主要指数技术条件有所走弱,新浪
156,2021-09-29,创业板指跌幅再超1%，同花顺跌超8%、蓝思科技跌超6%,Wind
157,2021-09-29,同花顺、蓝思科技跌逾5%，科创创业ETF（588360）跌超0.2%,资本邦
158,2021-09-28,杭州市余杭区再添一家上市公司，大地海洋今日登陆创业板,深水财经社
159,2021-09-24,同花顺产品被破解，年费8万元产品8千卖，非法获利3万余元被判刑 其他违规处罚,深水财经社
160,2021-09-23,北向资金净卖出额创近一个月新高，银行股遭大幅抛售,Wind
161,2021-09-22,计算机行业事件点评：两大维度解析北交所带来的投资者机会,新浪
162,2021-09-21,非银金融周报：北交所散户门槛低至50万 有效预防流动性风险,新浪
163,2021-09-21,计算机行业周报：对几个计算机重要标的的看法,新浪
164,2021-09-21,非银金融行业：深化改革加速落地 继续推荐证券板块,广发证券
165,2021-09-19,公司有没有创投概念？同花顺：没有开展相关业务,每日经济新闻
166,2021-09-19,公司是否涉及过度收集用户信息被调查？同花顺：不存在,每日经济新闻
167,2021-09-18,同花顺：公司与全国90%以上的券商开展各种形式的合作,每日经济新闻
168,2021-09-18,东方财富：公司密切跟踪和把握行业前沿技术和发展动向,Wind
169,2021-09-16,神秘机构A股扫货！全球第三大主权基金加仓这些板块,Wind
170,2021-09-14,华夏投顾登录同花顺 9个策略覆盖投资需求,和讯
171,2021-09-13,计算机行业周报：互联网医疗线上闭环形成 市场资源供给更加丰富,新浪
172,2021-09-13,非银金融行业：养老理财产品试点+北交所成立 催化券商板块行情,新浪
173,2021-09-13,计算机行业周报：板块性价比凸显布局价值,新浪
174,2021-09-10,董秘指数丨“元宇宙”，真火还是虚火？,和讯
175,2021-09-08,香山股份：同花顺于9月7日调研我司,证券之星
176,2021-09-07,“元宇宙”概念火爆，游戏股回血，有哪些投资机会可关注？,证券之星
177,2021-09-04,计算机行业周报：计算机中报整体如何？北交所刺激券商IT！,新浪
178,2021-09-03,北京证券交易所要来了，这些板块及个股或成大赢家,第一财经
179,2021-09-02,华安期货：供应压力缓解 豆粕行情可期,新浪
180,2021-09-02,盘龙药业：通过“同花顺路演平台”参与公司2021年半年度业绩说明会的广大投资者于9月1日调研我司,证券之星
181,2021-09-01,拆财报丨营收下滑、净利腰斩，海外市场将成为三七互娱救命稻草？ 盈利能力下降,21世纪经济报道
182,2021-09-01,金融科技板块拉升走强，同花顺涨超9%，指南针、财富趋势、大智慧等集体冲高。,新浪
183,2021-08-31,VR产业奇点或至，科技巨头竞逐万亿级市场,Wind
184,2021-08-30,【天风非银】大风起兮云飞扬——权益基金引领财富管理大时代,新锐视角看金融
185,2021-08-26,同花顺：公司目前尚未涉足工业4.0领域,每日经济新闻
186,2021-08-24,西南证券维持同花顺买入评级：流量为王，多渠道持续变现，目标价150.15元,每日经济新闻
187,2021-08-24,国信证券给予同花顺买入评级，2021年半年报点评，近期获6份券商研报关注，目标均价涨幅30.29%,每日经济新闻
188,2021-08-24,创业板“焕新”已入佳境，七大维度全面解读,Wind
189,2021-08-24,安信证券：予同花顺(300033.SZ)“买入-A”评级 目标价130元,智通财经
190,2021-08-24,晨会聚焦210824重点关注农业、有机硅、化工、连城数控、同花顺、稳健医疗、卓胜微、当升科技、中国电研、宇信科技、移远通信,国信研究
191,2021-08-24,达安基因：公司针对新型冠状病毒、流感病毒已完成了相关联合检测试剂的开发,Wind
192,2021-08-24,135股获券商买入评级，金丹科技目标涨幅达90.26%,Wind
193,2021-08-23,【投资价值评分】同花顺（跟踪版）,宏赫臻财
194,2021-08-23,安信证券给予同花顺买入评级，业绩增长符合预期，爱基金蓄势待发,每日经济新闻
195,2021-08-23,国盛证券：维持同花顺(300033.SZ)“买入”评级 金融信息服务、基金投资理财需求持续旺盛,智通财经
196,2021-08-23,8月23日六家公司公告出现利好:同花顺上半年净利润同比增长31%,证券之星
197,2021-08-23,8月22日118只个股获券商关注，同花顺目标涨幅达59.71%,每日经济新闻
198,2021-08-23,同花顺(300033)半年报点评：21H1业绩符合预期 体现资本市场大发展BETA属性,新浪
199,2021-08-23,软件开发行业跟踪报告：大资管时代 关注金融IT标的,新浪
200,2021-08-23,同花顺(300033)2021年半年报点评：业绩符合预期 广告及基金业务快速增长,新浪
201,2021-08-22,国盛证券维持同花顺买入评级：21H1业绩符合预期，体现资本市场大发展Beta属性,每日经济新闻
202,2021-08-22,国元证券维持同花顺买入评级，2021年半年度报告点评：苏锡常区域表现更佳，下半年需求有望保持恢复,每日经济新闻
203,2021-08-22,华西证券维持同花顺买入评级：高景气凸显低估值，关注三个预期差,每日经济新闻
204,2021-08-21,同花顺(300033)：业绩稳健增长 关注基金销售和导流,新浪
205,2021-08-21,一图读懂同花顺2021年中报,证券之星
206,2021-08-20,晚间重要公告2021年8月20日星期五,Wind
207,2021-08-20,同花顺(300033.SZ)：上半年净利增31.42%至5.77亿元,格隆汇
208,2021-08-20,同花顺半年报：上半年净利5.77亿元 同比增31%,财联社
209,2021-08-20,同花顺：上半年净利润同比增长31.42%,Wind
210,2021-08-18,15万亿板块突然爆发，重磅会议引爆全新赛道？,Wind
211,2021-08-18,同花顺今日大宗交易成交1.70万股，成交价120.97元溢价0.0%,Wind
212,2021-08-18,同花顺：8月18日主力资金净流入额占板块42.67%,每日经济新闻
213,2021-08-18,同花顺涨超14%，科创创业ETF（588360）盘中最高涨幅1.32%,资本邦
214,2021-08-18,【行情】金融软件服务股午后大幅走强，创识科技、同花顺、赢时胜涨超15%，楚天龙、汇金科技、拉卡拉、银之杰等全线冲高,金十数据
215,2021-08-17,【天风｜财富管理】三大能力与三分天下——大财富管理行业的现状与未来,新锐视角看金融
216,2021-08-16,计算机行业周报：华为鸿蒙的最新进展和投资全景,新浪
217,2021-08-15,巴菲特潜在心动A股名单：未来净利高增长股仅11只,Wind
218,2021-08-15,非银金融行业：两市交投活跃 继续推荐证券板块,广发证券
219,2021-08-11,2021雷军年度演讲全文：这些年经历的艰难选择,Wind
220,2021-08-08,计算机行业周报：工业软件有哪些重要变化,新浪
221,2021-08-04,同花顺：公司十分看好人工智能相关产业发展前景，并进行相关产业的培育和孵化,每日经济新闻
222,2021-08-04,同花顺：目前没有人工智能的布局,每日经济新闻
223,2021-08-04,同花顺：公司不存在佣金分成,每日经济新闻
224,2021-08-04,同花顺：公司尚未涉及智能驾驶领域,每日经济新闻
225,2021-08-04,华安期货：宽松继续支援复苏 铜价仍有上涨空间,新浪
226,2021-08-03,新三板股票查询方式有什么？新三板是什么意思？,至诚财经
227,2021-07-26,非银金融行业：持续关注估值处于低位的非银板块,广发证券
228,2021-07-23,同花顺：公司人工智能项目进展顺利,每日经济新闻
229,2021-07-23,【行情】金融科技板块大幅拉升，指南针涨超10%，东方财富、同花顺、财富趋势、大智慧等集体冲高,金十数据
230,2021-07-22,非银金融行业-2021Q2公募基金持仓分析：券商逆势增配 保险十年新低,广发证券
231,2021-07-22,互联网券商驶入快车道,搜狐
232,2021-07-20,同花顺这三个高管几乎每年都计划减持，最终却减持寥寥 拟减持股份,新浪
233,2021-07-19,计算机行业周报：网络安全八大核心问题聚焦,新浪
234,2021-07-16,非银金融行业：基金投顾加速扩容 财富管理大时代渐近,广发证券
235,2021-07-16,【聚焦增减持】同花顺“骚操作”又来了！“元老级”股东这次是真减持？ 减持股份,财华社
236,2021-07-16,至于此次这四位股东到底是真的要减持，还是再度上演“狼来了”最新戏码只能等待时间的验证。,财华社
237,2021-07-15,【中证盘前】“猪茅”预计上半年净利下滑；仁东控股被立案调查；大股东拟大额减持同花顺；大基金减持国科微,中证报
238,2021-07-14,晚间重要公告2021年7月14日星期三,Wind
239,2021-07-14,7月14日同花顺、牧原股份等9家公司公告出现利空,证券之星
240,2021-07-14,同花顺：大股东叶琼玖等拟合计减持公司不超7.46%股份 拟减持股份,e公司
241,2021-07-14,同花顺：多位股东拟6个月内合计减持不超过7.46% 拟减持股份,财联社
242,2021-07-14,同花顺：大股东叶琼玖、上海凯士奥等拟合计减持不超过7.46%公司股份 拟减持股份,Wind
243,2021-07-08,“碳中和”风口下公募基金抢占赛道：大批主题基金在路上 投资者要不要上车？,证基风云
244,2021-07-07,专题研究 | 美联储政策转向对资本市场影响探究,对冲研投
245,2021-07-07,专题 | 美联储政策转向对资本市场影响探究（一）,金衍君
246,2021-07-06,计算机行业动态报告：中报行情即将开启 关注高成长赛道,新浪
247,2021-07-06,“A股进攻之矛”利刃出击，“双创龙头ETF”今日上市开门迎客！,Wind
248,2021-07-01,同花顺：公司目前没有收购券商的计划,Wind
249,2021-06-28,计算机行业周报：板块仍在向上周期 多板块机会梳理,新浪
250,2021-06-25,收评：沪指涨1.15%收复3600点 券商股领涨,网易
251,2021-06-25,计算机行业动态报告：鸿蒙OS2.0发布 AIOT生态加速,新浪
252,2021-06-23,汽车股持续强势，游资积极买卖，如何把握下半年行业投资机会？,第一财经
253,2021-06-21,同花顺：公司相关产品已支持鸿蒙系统,每日经济新闻
254,2021-06-18,计算机行业2021中期策略：鸿蒙开启新时代 AIOT+信创双重加速,新浪
255,2021-06-17,中国银河证券维持计算机行业推荐评级：鸿蒙开启新时代，AIOT+信创双重加速,每日经济新闻
256,2021-06-17,券商APP 5月活跃度排行出炉：华泰、国泰君安和平安月活人数位居三强，日活人数TOP20中8家券商下降超10%！,每日经济新闻
257,2021-06-16,首批双创50ETF获批，9家基金公司拔得头筹,Wind
258,2021-06-14,【天风｜财富管理】三大能力与三分天下——大财富管理行业的现状与未来,新锐视角看金融
259,2021-06-10,开源证券--计算机周观点：医疗IT再迎政策利好【行业研究】,金融界股吧
260,2021-06-07,计算机行业周报：DCEP产业链市场空间测算及展望,新浪
261,2021-06-06,计算机2021中期策略行业策略：产业升级加速 智能化元年,新浪
262,2021-06-01,哪个炒股软件比较好用？炒股票关注什么网好？,至诚财经
263,2021-05-31,【一财圈A股投资策略会】短线题材全线走强，这些板块确定性更强,第一财经
264,2021-05-27,抢滩科技创新领域，第二批“双创指数”ETF上报,Wind
265,2021-05-26,"同花顺涉嫌过度营销遭投诉：花钱""买""涨停反亏20万？ 亏损",第一财经
266,2021-05-23,中基协公募基金销售保有量点评：谁在争夺银行的基金代销蛋糕,招商银行
267,2021-05-20,计算机行业周报：3月底部重推的云计算基本面近况如何,新浪
268,2021-05-20,金融科技板块午后异动拉升，新力金融逼近涨停，大智慧、同花顺、吉艾科技、指南,新浪
269,2021-05-20,刚刚上报！又有重磅指数产品来了，首批这10家(名单),Wind
270,2021-05-18,复盘2020年大数据，计算机行业逆境坚挺！2021年Q1表现显示大趋势正成型,全景网
271,2021-05-16,都在研究这份名单：47家券商上榜 基金代销前100强出炉,上证报
272,2021-05-16,基金代销前100强出炉，47家券商上榜,Wind
273,2021-05-14,同花顺大涨7.62% 当日资金净流入超1.1亿,中新经纬
274,2021-05-13,基金保有量规模前100强出炉，招行、蚂蚁、工行分列前三,澎湃新闻
275,2021-05-12,银行股回暖？张坤谢治宇都在买，国家队、险资却撤离,Wind
276,2021-05-12,热搜刷屏！财政部突传重磅，房地产税大消息来了！,Wind
277,2021-05-07,东吴证券--传媒行业：营销及视频龙头业绩超预期，游戏底部期待新产品周期【行业研究】,金融界股吧
278,2021-04-30,医美股节前逆市掀涨停潮，游资积极买卖，聪明资金大幅加仓这只股,第一财经
279,2021-04-27,东财人事波动引发资金博弈，一季度富国基金大幅减持、易方达逆市增仓，更有同花顺“躺枪”遭遇看空尴尬 减持股份,红周刊
280,2021-04-27,翔丰华：同花顺平台对公司概念划分与公司本身无关，为平台自主行为,每日经济新闻
281,2021-04-27,A股上演“V”型反转，千亿巨头却闪崩跌停！特斯拉又出事了,Wind
282,2021-04-27,一季度净利增近4成 600亿互联网金融龙头同花顺缘何暴跌逾10%？,财联社
283,2021-04-27,同花顺(300033)：估值低位产品催化 自研体系有望不断升级,新浪
284,2021-04-27,芯片概念集体下跌！超3000只个股飘绿，A股又跳水！ 连续下跌,证券时报网
285,2021-04-27,1000亿巨头闪崩，芯片概念集体下跌！聪明钱40亿杀入,Wind
286,2021-04-27,1000亿半导体巨头闪崩，芯片概念也集体下跌！超3000只个股飘绿！聪明钱却40亿杀入 连续下跌,e公司
287,2021-04-27,同花顺大跌7.42%，成交4.03亿元 连续下跌,中新经纬
288,2021-04-27,同花顺盘中跌超9%,e公司
289,2021-04-27,同花顺(300033.SZ)绩后大跌10% 股价创10个月新低 连续下跌,格隆汇
290,2021-04-26,同花顺(300033.SZ)一季度净利升33.66%至1.70亿元,格隆汇
291,2021-04-26,同花顺(300033.SZ)第一季度归母净利润同比增长33.66%至1.69亿元,智通财经
292,2021-04-26,同花顺：一季度净利润同比增长33.66%,Wind
293,2021-04-16,126股获券商买入评级 鄂尔多斯目标涨幅达140.55%,Wind
294,2021-04-13,众禄基金公布2020年报，实现扭亏为盈,资本邦
295,2021-04-13,互联网巨头参与 独立基金销售的生存空间逐渐缩小,资本邦
296,2021-04-13,扭亏为盈，众禄基金业绩出炉！三大巨头强势吸金，卖基金好赚钱？,证券之星
297,2021-04-12,广发证券予同花顺买入评级，目标价150.4元,格隆汇
298,2021-04-12,同花顺：凯士奥减持5.7万股 减持股份,Wind
299,2021-04-12,大肉签+10倍潜力股都有！超级打新周又来,Wind
300,2021-04-08,A股共发生135宗大宗交易成交16.51亿元（4月8日）,Wind
301,2021-04-08,同花顺现1笔大宗交易 共成交398.78万元,新浪
302,2021-04-08,同花顺今日大宗交易成交3.23万股，成交价123.46元折价0.08%,Wind
303,2021-04-07,北向资金砸盘！1800亿航运龙头大涨25%，9连板新妖股顶风作案,Wind
304,2021-03-31,同花顺：根据第三方统计，公司APP月活为3074.4万,每日经济新闻
305,2021-03-31,太飒了！一年入账6.6亿，顶流基金经理赚钱能力爆棚：足以干翻20%上市公司！公募短板隐现，客户维护费飙升,中国财富网
306,2021-03-31,顶流基金经理一年入账6.6亿！干翻20%上市公司,Wind
307,2021-03-29,行业周报：计算机行业一季报前瞻：景气持续上行 网安与AI闪耀,新浪
308,2021-03-29,计算机行业周报：“碳中和”对IDC产业链影响几何,新浪
309,2021-03-27,去年新基金太火，多家银行代销规模增200%,Wind
310,2021-03-24,同花顺(300033.SZ)拟3月31日派发2020年度现金红利 每10股派12元,智通财经
311,2021-03-24,同花顺(300033.SZ)年报推10派12元股权登记日3月30日,格隆汇
312,2021-03-24,QFII最新持仓曝光，24只个股成海外长线资金新宠,Wind
313,2021-03-22,监管趋严，高送转成凤毛麟角，后市如何玩？,Wind
314,2021-03-16,造假1亿，赔偿3亿，大智慧为何成了反面典型？ 欺诈造假,云掌财经
315,2021-03-16,2021炒股软件排行榜前十名名单！,云掌财经
316,2021-03-15,一批基金最新持仓曝光！减仓前期热门股，重仓这些股票,Wind
317,2021-03-15,92家公司发布2020年度分红预案，6家公司股息率超3%,Wind
318,2021-03-15,165份年报本周出炉，券商“点赞”8家高增长低估值公司,Wind
319,2021-03-12,预喜股获追捧，下周年报双增标的出炉,Wind
320,2021-03-12,8家非上市银行去年成绩单亮相，乌鲁木齐银行实现净利11.92亿元,Wind
321,2021-03-09,华西证券--计算机行业周观点：两会前瞻，计算机有哪些亮点【行业研究】,金融界股吧
322,2021-03-08,计算机行业周报：网络安全：景气度提升 估值有望持续修复,新浪
323,2021-03-08,【申港计算机】周观点：“建设数字中国”有望成为下阶段信息化建设重点0307,猫猫王看计算机
324,2021-03-08,25股获券商买入评级，通达股份目标涨幅达66.53%,Wind
325,2021-03-05,机构给予322只股票“买入”评级,财富动力网
326,2021-03-05,九部门披露2021年建设蓝图：资本市场“逢场必到”,Wind
327,2021-03-04,机构看好的股票名单来了，13股预测上涨空间超20%,证券时报网
328,2021-03-04,76股获券商买入评级，桐昆股份目标涨幅达90.93%,Wind
329,2021-03-03,同花顺(300033)：净利同比增长92% 变现能力未减,新浪
330,2021-03-03,最新股东户数出炉！这些龙头股的筹码快速分散,Wind
331,2021-03-03,3月2日67只个股获券商关注，同花顺目标涨幅达70.25%,每日经济新闻
332,2021-03-03,91股获券商买入评级，景嘉微目标涨幅达64.39%,Wind
333,2021-03-03,西南证券--同花顺：业绩超预期，基金销售业务高速增长【公司研究】,金融界股吧
334,2021-03-03,同花顺依托行情及流量净利增92% 基金销售升温收入翻倍至4.82亿,长江商报
335,2021-03-02,65股今日获机构买入评级19股上涨空间超20%,证券时报网
336,2021-03-02,同花顺股价跌6.6% 去年营收增63%净利增92%,中国经济网
337,2021-03-02,计算机行业周报-医疗信息化：订单验证需求回暖 景气度向中枢以上修复,新浪
338,2021-03-02,安信证券：同花顺(300033.SZ)行情驱动主业增长，给予“买入-A”评级,智通财经
339,2021-03-02,上市公司正负面新闻2021年3月2日星期二,Wind
340,2021-03-01,同花顺2020年营收超28亿净利超17亿,网易
341,2021-03-01,同花顺2020年度净利同比增92% 拟10派12元,上证报
342,2021-03-01,同花顺(300033.SZ)年度归母净利同比增92.05%至17.24亿元 每10股拟分红12元,智通财经
343,2021-03-01,同花顺(300033.SZ)2020年度净利润升92.05%至17.24亿元 拟10派12元,格隆汇
344,2021-03-01,同花顺：2020年净利润同比增长92.05%,Wind
345,2021-02-27,场外配资最高15倍杠杆揽客，假称与银行、机构“有合作”鼓噪“高杠杆高回报”,Wind
346,2021-02-19,6个新冠疫苗品种已开展III期临床试验，疫苗股业绩飙升，如何布局？,第一财经
347,2021-02-18,北向资金节前“备货”，新加仓科创板品种,Wind
348,2021-02-09,计算机行业周报：计算机板块承压 关注绩优成长股,渤海证券
349,2021-02-07,金融IT行业点评：两板合并带来IT 增量 持续看好市场改革下的金融科技板块,新浪
350,2021-02-04,锂电池板块集体回调，天齐锂业跌停，两机构卖出1.26亿元 连续下跌,第一财经
351,2021-02-04,券商股跳水，大智慧闪崩跌停,Wind
352,2021-02-02,东方财富市值逼近“券业一哥”，股东四个月内累计减持套现28亿 减持股份,第一财经
353,2021-02-02,渤海证券--计算机行业周报：行业景气度上行，关注云计算和金融IT【行业研究】,金融界股吧
354,2021-02-02,同花顺涨2.28%创年度新高，报143.20元,中新经纬
355,2021-02-02,A股早报2021年2月2日星期二,Wind
356,2021-02-02,【计算机】行业景气度上行，关注云计算和金融IT――计算机行业周报――看好,渤海证券研究
357,2021-02-01,抱团股爆发，沪指重上3500！创业板次新股最猛飙100%,中国基金报
358,2021-02-01,A股异动丨Q4业绩大超预期同花顺(300033.SZ)大幅拉升近14%,格隆汇
359,2021-02-01,计算机周报：板块整体业绩有望改善 主要细分核心标的表现亮眼,新浪
360,2021-01-30,同花顺(300033)：预增上限翻倍 持续成长的流量BETA,新浪
361,2021-01-29,同花顺：预计2020年净利润同比增长80%-100%,格隆汇
362,2021-01-29,同花顺：预计2020年净利润16.16亿元-17.95亿元，同比增长80%-100%,Wind
363,2021-01-29,【华西计算机】同花顺2020业绩预告点评：预增上限翻倍，持续成长的流量Beta,科技晶选
364,2021-01-27,瑞信给予同花顺落后大盘的初始评级，目标价101元,Wind
365,2021-01-27,近三分之一上市银行业绩快报登场，去年净利润同比全部实现增长,Wind
366,2021-01-25,63份年度业绩快报亮相，超八成实现净利润同比增长,Wind
367,2021-01-22,证券日报评论：近万亿元实际使用外资规模，既是去年成绩单又是今年参照系,Wind
368,2021-01-21,胡润品牌榜：工行和建行跌出十强 分列第15名和第19名,新浪
369,2021-01-19,2021胡润中国职业经理人榜：海天味业程雪以650亿元财富位列第一,Wind
370,2021-01-19,【计算机】2020Q3公有云IT基础设施收入快速增长――计算机行业周报――看好,渤海证券研究
371,2021-01-15,计算机行业点评：牛市传导机制下 强Α属性金融科技畅享Β盛宴,新浪
372,2021-01-15,217家科创板公司IPO募资超3000亿元，审核效率显著提升,Wind
373,2021-01-15,注册制下A股IPO已有“千企申报”，创业板仅用时半年多贡献543家,Wind
374,2021-01-12,A股大涨1.6万亿，哪来的大水？三大信号引关注,券商中国
375,2021-01-12,外资机构透露重磅信息，火热一幕重现？,Wind
376,2021-01-12,炒股软件指数大涨近8%，东方财富涨逾12%创新高,Wind
377,2021-01-11,计算机应用行业：一二线品种估值继续分化 春季行情仍然可期,新浪
378,2021-01-11,趋势股高位分化小票反转机会来啦,搜狐
379,2021-01-11,一个月跌97%，一上市公司“被迫踩雷”！回应来了,券商中国
380,2021-01-11,本39家公司合计57.15亿股限售股解禁，解禁市值614.55亿元 解禁,Wind
381,2021-01-11,本周解禁市值超430亿 解禁股整体跑输大盘 解禁,证券时报
382,2021-01-07,同花顺：158.54万股限售股将于1月11日上市流通 解禁,Wind
383,2021-01-07,基金投顾周年考 华夏财富摘得“大满贯”,华夏基金
384,2021-01-07,“A拆A”首单落地，监管问询重点关注三大问题,Wind
385,2020-12-31,计算机行业2021年度策略报告：迎接计算机长牛,新浪
386,2020-12-31,炒股软件指数大涨逾9%，大智慧涨停,Wind
387,2020-12-31,证监会首席稽查：从重从快从严打击财务造假等重大违法违规行为,券商中国
388,2020-12-30,白酒股再度“雄起”，皇台酒业两天两板，游资博弈激烈,第一财经
389,2020-12-29,济民制药连续10个跌停，一年爆雷两次，抄底大军“接血”惨变流血 连续下跌,腾讯网
390,2020-12-29,【计算机】市场涨跌互现，关注网络安全和金融IT——计算机行业周报——看好,渤海证券研究
391,2020-12-27,风口观察｜本周60家上市公司预减持，碳元科技实控人大额减持股价创新低 减持股份,21世纪经济报道
392,2020-12-25,任泽平中国金融科技报告：面临4大趋势,泽平宏观
393,2020-12-24,“拟大比例减持+业绩堪忧股”名单来了 拟减持股份,证券时报网
394,2020-12-24,同花顺大跌12%:4名股东拟减持50亿或是元凶 还有这些股大跌(名单) 拟减持股份,新浪
395,2020-12-24,瞬间蒸发超60亿元，600亿龙头突然暴跌，背后原因是它？拟大比例减持+业绩堪忧股名单来了，请及时收藏 拟减持股份,证券时报
396,2020-12-23,光伏大爆发！高瓴又火了，两天半暴赚66亿！董事长被拘汇纳科技20%跌停 董监高成员异常事件,中国基金报
397,2020-12-23,同花顺大跌:1股东套现3.5亿 4股东拟减持不超股本6.9% 拟减持股份,中国经济网
398,2020-12-23,光伏爆发，高瓴暴赚66亿！利空突袭，700亿巨头闪崩,中国基金报
399,2020-12-23,"刚刚，光伏大爆发！高瓴又火了，两天半暴赚66亿！重磅利空突袭，700亿巨头闪崩12%！董事长被拘20%跌停，1900元茅台却来了
董监高成员异常事件",中国基金报
400,2020-12-23,超600亿巨头闪崩12%，有股东宣布重磅减持！“白酒科技”又爆发：1900元茅台来了！ 减持股份,证券时报网
401,2020-12-23,同花顺跳水一度大跌近13%,36氪
402,2020-12-23,同花顺(300033.SZ)跳水大跌近13% 重要股东计划减持合计不超6.9%股份 拟减持股份,格隆汇
403,2020-12-23,同花顺跌超11%，炒股软件板块持续下滑,Wind
404,2020-12-23,融资客青睐7股，城投控股买入占比高达53.24%,Wind
405,2020-12-22,非银金融行业周观点：中央定调资本市场供给侧方向 A股退市通道打通在即,新浪
406,2020-12-21,晚间重要公告2020年12月21日星期一,Wind
407,2020-12-21,同花顺：4名股东拟减持合计不超6.9%公司股份 拟减持股份,格隆汇
408,2020-12-21,同花顺(300033.SZ)：凯士奥已减持211.4万股 其及3名董事拟继续减持合计不超6.9%股份 拟减持股份,格隆汇
409,2020-12-21,同花顺：董事叶琼玖等拟减持6.9%公司股份 拟减持股份,Wind
410,2020-12-18,【民生计算机|周观点】科技创新大势所趋，新基建、信创重要性再次凸显,MS计算机
411,2020-12-18,计算机行业事件点评：首批备案名单公布 持续看好金融IT,新浪
412,2020-12-17,“开放银行”，让银行服务无处不在,光明网
