128,2021-07-28,中航西飞(000768)：高稀缺性军民用大飞机龙头 广阔市场可期,新浪
129,2021-07-27,北向资金今日净卖出41.72亿元，贵州茅台遭净卖出逾10亿元,Wind
130,2021-07-27,军工股午后发力，中航电子等多股快速拉升,Wind
131,2021-07-27,北向资金动向盘点：净卖第一不是食品饮料，更不是医药,Wind
132,2021-07-22,中航西飞连续4年获深交所信息披露考评A级,证券时报网
133,2021-07-20,航空航天与国防行业周报：关注中报期业绩有望上升品种,新浪
134,2021-07-19,A股早报2021年7月19日星期一,Wind
135,2021-07-17,啥情况？新能源汽车龙头被砸盘、砸盘，又砸盘！,中国基金报
136,2021-07-16,数据复盘｜55股获主力资金净流入超亿元 龙虎榜机构抢筹中航西飞等股,证券时报网
137,2021-07-16,【主力资金】啥情况？新能源汽车龙头被连续砸盘三天,证券时报网
138,2021-07-16,中航西飞龙虎榜数据（7月16日）,Wind
139,2021-07-16,最新龙虎榜动向：航天军工逆势大涨，中航西飞涨停，获机构北向抢筹,21世纪经济报道
140,2021-07-16,7月16日龙虎榜解析：中航西飞净买入额最多，还有22只个股被机构扫货,每日经济新闻
141,2021-07-16,中航西飞涨停 一机构买入1.42亿元,e公司
142,2021-07-16,A股资金流向（7月16日）：新能源龙头连遭抛售，军工股获避险资金青睐,Wind
143,2021-07-16,A股收盘综述：创业板指跌近3%，动力电池题材深度调整,Wind
144,2021-07-16,快讯：中航西飞涨停报于26.3元,金融界
145,2021-07-16,军工板块全线走强，中航西飞首板,Wind
146,2021-07-16,国防军工行业2021年中报业绩前瞻：2021H1业绩预计高增长 军工行业景气度持续兑现,新浪
147,2021-07-13,中航西飞：公司承担了ARJ21、C919、AG600飞机的机身、机翼等关键核心部件研制工作,Wind
148,2021-07-12,航空航天与国防行业周报：看好红外产业链,新浪
149,2021-07-07,中航西飞：改革行动实施方案将及时履行信息披露义务,Wind
150,2021-07-07,航空航天与国防行业：看好板块估值切换,新浪
151,2021-07-02,【行情】军工股早盘继续回调，晨曦航空、中航沈飞跌超7%，航发动力、红都航空、新余国科、中航西飞等跟跌,金十数据
152,2021-06-29,航空航天与国行业周报：看好板块上游,新浪
153,2021-06-25,航空工业机载事业部西飞集成交付中心揭牌,e公司
154,2021-06-22,中航西飞今日大宗交易成交62.46万股，成交价26.64元溢价0.45%,Wind
155,2021-06-19,巷观十二时辰〡西安“老板”数量，全国第三,每日经济新闻
156,2021-06-18,中航西飞交付AG600飞机1003架中机身大部件,e公司
157,2021-06-17,中航西飞(000768.SZ)2020年度权益分派10派0.85元股权登记日为6月23日,格隆汇
158,2021-06-17,中航西飞(000768.SZ)拟实施每10股派0.85元 于6月24日除权除息,智通财经
159,2021-06-15,国防军工行业：佐证军工基本面大幅改善的有力证据持续释放,新浪
160,2021-06-11,中航西飞大跌5.01%，航空装备行业跌4.49% 连续下跌,中新经纬
161,2021-06-11,航发动力一度迫近跌停，航天军工板块跌近3%,Wind
162,2021-06-11,航发龙头开展百亿理财 为何货币资金会出现大额增长？,上证报
163,2021-06-10,这个行业“钱包”充裕，未来景气可期！,Wind
164,2021-06-10,这个行业“钱包”充裕，未来景气可期！,上证报
165,2021-06-09,巷观陕股〡被金元证券起诉，延安必康却大涨30% 诉讼纠纷,每日经济新闻
166,2021-06-09,陕西区域股市周报：2亿融资买入中航西飞 国际医学市值增长44.84亿,每日经济新闻
167,2021-06-08,航空航天与国防行业周报：看好军工上游元器件和材料端,新浪
168,2021-06-07,国防军工行业大飞机产业链深度分析(一)：大国重器 民机启航,新浪
169,2021-06-06,【天风军工深度】进入股权激励深水区：收益确定度>90%，激励推动景气红利释放,tf防务深评
170,2021-06-04,牛市抬头部分基金已翻身，仍有逾千只基金亏损,Wind
171,2021-06-01,中航西飞今日大宗交易成交17万股，成交价27.92元溢价1.53%,Wind
172,2021-06-01,航空航天与国防行业周报：看好军工全产业链,新浪
173,2021-05-28,中航西飞现1笔大宗交易 共成交405.75万元,新浪
174,2021-05-28,中航西飞今日大宗交易成交15万股，成交价27.05元溢价0.0%,Wind
175,2021-05-26,中航西飞：目前公司已无民机整机业务,Wind
176,2021-05-25,A股收盘综述：上证指数涨2.4%，创逾7个月最大单日升幅,Wind
177,2021-05-25,【行情】军工板块走强，航发动力涨停，中航西飞、中航沈飞、洪都航空涨超5%，北斗星通、广联航空、中直股份等跟涨,金十数据
178,2021-05-25,军工板块企稳，业绩高增长标的配置价值上升，两条思路布局,第一财经
179,2021-05-25,中航西飞大涨,新浪
180,2021-05-24,航空航天与国防行业周报：看好中航工业集团下属军机产业链标的,新浪
181,2021-05-24,滨海投资：获得中国天津空港经济区三期气源供应项目,Wind
182,2021-05-24,5月24日晚间重要行业研究汇总(附股),中金在线
183,2021-05-24,太平洋证券：军工行业处于快速发展初期，未来五到十年预计将是行业景气周期,证券时报网
184,2021-05-19,中航西飞(000768.SZ)：拟利用闲置的2亿元募集资金暂补流动资金,格隆汇
185,2021-05-19,中航西飞(000768.SZ)吸收合并全资子公司航空工业西飞以优化管理架构,智通财经
186,2021-05-19,中航西飞(000768.SZ)向控股股东航空工业借款不超过30亿元,智通财经
187,2021-05-19,5名牛散抱团，连续4个季度加仓，结果套惨了……,Wind
188,2021-05-18,巷观陕股︱高铁电气过会，天和防务领涨，9家公司涨幅超10%（5月10日～5月16日）,每日经济新闻
189,2021-05-18,陕西区域股市周报：新增过会企业1家 2亿融资买入隆基股份,每日经济新闻
