263,2021-08-05,金雷股份：目前，公司已与全球领先的风电整机制造商美国GE、丹麦维斯塔斯、德国西门子、西班牙歌美飒、恩德安信能、远景能源、运达风电、上海电气、三一重工、国电联合动力、海装风电、中国中车等建立了长期稳定的业务合作关系,每日经济新闻
264,2021-08-05,中国中车(01766.HK)A股每股拟派现0.18元(含税),格隆汇
265,2021-08-05,中国中车：2020年度A股权益分派10派1.8元 股权登记日为8月12日,财联社
266,2021-08-05,中国中车(601766.SH)2020年度A股权益分派10派1.8元 股权登记日为8月12日,格隆汇
267,2021-08-05,中国中车(601766.SH)A股将于8月13日分红 每股派0.18元,智通财经
268,2021-08-05,中国中车、中国黄金、中国能建3家央企4名领导人员职务任免,澎湃新闻
269,2021-08-04,注册制新股纵览：金鹰重工：国内领先的轨道工程装备产品供应商,新浪
270,2021-08-03,融资客青睐8股，一汽富维买入占比高达35.31%,Wind
271,2021-08-02,【异动股】中国中车(01766.HK)涨3%,财华社
272,2021-07-27,渤海证券首予中国中车增持评级，公司深度报告：轨交装备行业龙头，市场地位稳固,每日经济新闻
273,2021-07-27,中国中车(601766)深度报告：轨交装备行业龙头 市场地位稳固,渤海证券
274,2021-07-27,【异动股】中国中车(01766.HK)跌3.17%,金融界
275,2021-07-26,中车时速600公里磁浮列车下线 磁浮技术百家争鸣路在何方？,中国经营报
276,2021-07-23,【异动股】中国中车(01766.HK)涨5.28%,财华社
277,2021-07-22,朗进科技：公司为中国中车其他主机厂配套研发了时速600公里的高速磁浮列车空调系统，尚未参与本次在青岛的项目,每日经济新闻
278,2021-07-20,时速600公里高速磁浮正式下线 柔宇科技助力中国中车打造中国速度,e公司
279,2021-07-20,珠海有轨电车确定拆除 预计在2022年初完成,中国经营网
280,2021-07-20,北向资金今日净买入30.65亿元，持续加仓医药股,Wind
281,2021-07-20,雷尔伟营收极端依赖前五大客户 核心技术研发动力何在,新浪
282,2021-07-20,1500亿白马涨停！零食界华为连续4跌停！恒大又重挫,Wind
283,2021-07-20,A股收盘综述：股指缩量整理，芯片、LED概念股午后升温,Wind
284,2021-07-20,【行情】大基建板块午后拉升，中国中冶直线拉升封板，中国中车、中国电建、中国交建等跟涨,金十数据
285,2021-07-20,中字头午后异动，中国中冶直线涨停,Wind
286,2021-07-20,我国时速600公里高速磁浮交通系统在青岛下线,Wind
287,2021-07-18,中国中车(601766.SH)：拟将南非株机公司100%股权委托给控股股东下属公司管理,格隆汇
288,2021-07-16,源电气：公司与中国中车、今创集团等轨道交通行业上市公司及其子公司有业务往来,Wind
289,2021-07-15,雷尔伟：营收极端依赖前五大客户 核心技术研发动力何在,新浪
290,2021-07-15,丰光精密(430510)：市场拓展生效+新项目逐步量产 2021H1净利润增速72.16%-84.92%,新浪
291,2021-07-14,新筑股份：公司近几年新制式轨道交通处于技术消化吸收阶段，尚未产生较大规模营收,Wind
292,2021-07-14,港股盘前必读：腾讯收购搜狗股权案已获无条件批准,Wind
293,2021-07-14,东风集团股份：智新半导体IGBT模块正式投产,Wind
294,2021-07-13,雷尔伟：公司与中国中车下属子公司预计将在较长时间内保持较为稳定的合作关系,每日经济新闻
295,2021-07-13,安车检测：已取得与比亚迪、广汽、中国中车、武汉开沃、深圳开沃等厂商的合作,Wind
296,2021-07-07,海外信用评级汇总2021年7月7日星期三,Wind
297,2021-07-07,惠誉：确认中国中车“A+”长期外币发行人评级，展望稳定,Wind
298,2021-07-07,东风集团：智新半导体IGBT模块正式投产，项目总规划产能120万只,Wind
299,2021-07-07,首批“创一流”示范央企成效显着 后续工作路径浮现,上证报
300,2021-07-05,ABS一周市场回顾,新浪
301,2021-07-05,中国中车于青岛成立新公司，注册资本3亿元,企查查
302,2021-07-03,机械行业周报：建议关注中期业绩预告超预期标的 抢抓中报行情,新浪
303,2021-07-02,超86亿外资今日撤离A股，白酒、医药、银行股集体遭抛售,Wind
304,2021-06-30,74只港股获南向资金大比例持有,证券之星
