106,2021-11-05,长电科技：产业基金减持5%股份 减持股份,Wind
107,2021-11-05,长电科技：大基金持份比例降至14%,e公司
108,2021-11-05,长电科技：大基金自2020年10月15日至2021年11月4日共减持5%股 减持股份,新浪
109,2021-11-05,长电科技：大基金减持5%股份 持股降至14% 减持股份,财联社
110,2021-11-05,长电科技(600584.SH)：国家集成电路产业投资基金已于6月8日-11月4日减持2335.1346万股 减持股份,格隆汇
111,2021-11-05,长电科技：大基金减持5%股份 减持股份,第一财经
112,2021-11-05,国家队大基金再出手，11亿狂买芯片龙头！,Wind
113,2021-11-04,长电科技现1笔大宗交易 共成交254.15万元,新浪
114,2021-11-04,长电科技：参与的项目获国家科学技术进步一等奖,Wind
115,2021-11-04,长电科技：参与的项目获国家科学技术进步一等奖,e公司
116,2021-11-04,大基金动向曝光：超8成持仓股遭减持、加码芯片龙头,Wind
117,2021-11-03,新潮集团王新潮：两年投资48个半导体项目，并购整合将成未来趋势,搜狐
118,2021-11-03,大基金持仓明细曝光，加码芯片设备龙头，超八成遭遇减持。北交所开市在即，精选层大活跃 减持股份,新浪
119,2021-11-03,北向资金连续5日净买入，隆基股份遭大幅抛售超16亿元,Wind
120,2021-11-03,大基金又要减持了！安集科技再遭减持，股价年内跌近26% 减持股份,第一财经
121,2021-11-03,国内芯片公司利润大增，半导体设备企业的新动态,Ofweek
122,2021-11-03,北向资金动向盘点：冷静应对巨幅波动,Wind
123,2021-11-02,封测龙头华天科技，行业景气却有隐忧,搜狐
124,2021-10-29,"长电科技现1笔大宗交易 共成交1,008.00万元",新浪
125,2021-10-29,长电科技今日大宗交易成交35万股，成交价28.8元折价6.83%,Wind
126,2021-10-29,步入稳健发展之际，盘点长电科技三年三大变化,北国网
127,2021-10-29,晨会聚焦211029重点关注航天宏图、金禾实业、赛轮轮胎、瑞可达、北方华创、中晶科技、思瑞浦、长电科技、华测检测、广州酒家等,国信研究
128,2021-10-29,长电科技（600584）2021年三季报点评：封测产能紧缺，业绩超预期,国信研究
129,2021-10-28,长电科技(600584)季报点评：聚焦异构集成解决方案 产品不断优化净利润大幅提升,新浪
130,2021-10-28,长电科技披露2021年三季报 实现营收219.17亿元,资本邦
131,2021-10-28,长电科技(600584)季报点评：订单饱满 经营业绩超预期,新浪
132,2021-10-28,开源证券：维持长电科技(600584.SH)“买入”评级 需求强劲订单饱满 Q3业绩超预期,智通财经
133,2021-10-28,长电科技2021第三季度实现营收81亿元，同比增长19.3% | 美通社,美通社
134,2021-10-28,A股融资融券日报：两融余额减少19.89亿元（10月27日）,Wind
135,2021-10-27,开源证券：给予长电科技买入评级,证券之星
136,2021-10-27,长电科技：第三季度净利7.93亿元 同比增长99%,财联社
137,2021-10-27,长电科技(600584.SH)：第三季度净利增99.40%至7.93亿元,格隆汇
138,2021-10-27,长电科技驶入稳健发展快车道，第三季度业绩再创新高,美通社
139,2021-10-27,图解长电科技三季报：第三季度单季净利润同比增99.40%,证券之星
140,2021-10-27,长电科技现2笔大宗交易 共成交692.44万元,新浪
141,2021-10-27,长电科技：第三季度净利润同比增长99.4%,Wind
142,2021-10-27,新鲜出炉！长电科技：2021年第三季度净利润约7.93亿元，同比增长99.4%,每日经济新闻
143,2021-10-27,长电科技：前三季度净利润同比增长176.84%,Wind
144,2021-10-27,A股融资融券日报：两融余额增加17.51亿元（10月26日）,Wind
145,2021-10-26,半导体制造系列：先进封装扮演更重要角色,新浪
146,2021-10-25,中泰金工定向增发跟踪周报（10/24）,ZTQuant
147,2021-10-25,电子行业周报：鸿蒙生态蓬勃发展 IOT产业加速,新浪
148,2021-10-22,下周783亿市值限售股解禁，长城证券解禁市值近160亿元 解禁,Wind
149,2021-10-22,长电科技：目前公司继续维持高产能利用率,每日经济新闻
150,2021-10-21,长电科技：公司在2015年建立了财务共享中心,每日经济新闻
151,2021-10-21,长电科技：公司各个厂区目前尚未因限电政策受到停产或减产的影响,Wind
152,2021-10-20,长电科技：本次限售股上市流通日为10月27日 占公司总股本9.93% 解禁,发布易
153,2021-10-20,长电科技最新公告：约1.77亿限售股将解禁 解禁,证券之星
154,2021-10-20,长电科技(600584.SH)：1.77亿股限售股将于10月27日上市流通 解禁,智通财经
155,2021-10-20,长电科技：约1.77亿股限售股将解禁 解禁,财联社
156,2021-10-20,长电科技(600584.SH)：约1.7668亿股限售股将解禁 解禁,格隆汇
157,2021-10-20,长电科技：1.77亿股限售股10月27日上市流通 解禁,Wind
158,2021-10-20,长电科技：约1.77亿股限售股10月27日解禁，占比9.72% 解禁,每日经济新闻
159,2021-10-19,深度*行业*电子行业周报：需求与产能共振 半导体产业持续增长可期,新浪
160,2021-10-19,大基金有新动作！二期布局有何玄机？,Wind
161,2021-10-18,科技硬件周报：半导体景气周期延续,新浪
162,2021-10-18,电子行业周报：关注折叠屏创新、荣耀崛起以及苹果MINILED新品发布,新浪
163,2021-10-15,电子行业2021年四季度投资策略：消费电子环比改善 布局低估值龙头半导体持续关注国产替代,新浪
164,2021-10-12,同惠电子(833509)：电子测量仪器头部企业 受益于新能源景气,新浪
165,2021-10-12,中金 | 半导体制造系列：先进封装扮演更重要角色,中金点睛
166,2021-10-11,电子元器件周报：芯片大厂开启新一轮涨价潮 半导体景气度有望延续,新浪
167,2021-10-11,电子行业周报：台股营收透露曙光、先蹲后跳静待佳音,新浪
168,2021-10-08,深度*行业*电子行业周报：三季报拉开序幕 晶圆厂格芯赴美上市,新浪
169,2021-10-08,节前机构调研去哪儿？,Wind
170,2021-10-08,科技行业深度研究：看好先进封装及封装设备国产化,新浪
171,2021-09-29,长电科技：封测巨头，“后摩尔时代”能否再次腾飞？,和讯
172,2021-09-28,长电科技：海外疫情目前对公司海外工厂的生产没有造成影响,每日经济新闻
173,2021-09-28,直击业绩会|长电科技：下半年扩产产能将按计划陆续开出 预期业绩将稳健增长,财联社
174,2021-09-28,通富微电推出55亿定增计划，半导体行业高景气度仍将持续？,第一财经
175,2021-09-27,电子行业每周市场动态追踪：半导体产业自立是长期必然趋势,新浪
176,2021-09-27,长电科技：公司目前产能利用率饱满,Wind
177,2021-09-27,"长电科技：公司目前产能利用率饱满, 下半年仍有扩产产能陆续开出",每日经济新闻
178,2021-09-26,电子行业周报：杂音频传、信心受挫；先蹲后跳、静待佳音,新浪
179,2021-09-24,半导体设备行业点评：紧供给持续+国产替代提速 国内头部设备商将显着受益,新浪
180,2021-09-22,电子元器件周报：IPHONE13正式发布 行业景气度有望延续,新浪
181,2021-09-22,A股主力净流入逾100亿、超跌高景气股票名单出炉,Wind
182,2021-09-22,半导体封测业景气高涨 切忌盲目跟风,产业经济新闻网
183,2021-09-18,中观行业数据观察：国家大基金一期良性退出 二期继续布局半导体产业 芯片依然短缺致汽车产销四连跌 盈利能力下降,新浪
184,2021-09-18,科技硬件行业周报：继续看好通信板块,新浪
185,2021-09-17,长电科技：“20长电科技MTN001”要约收购已完成,Wind
186,2021-09-17,长电科技(600584.SH)完成对20长电科技MTN001的现金要约收购,智通财经
187,2021-09-16,长电科技：完成对20长电科技MTN001共10亿元(面值)的现金要约收购,财联社
188,2021-09-15,电子：半导体大厂安森美再次涨价 印证行业高景气,新浪
189,2021-09-10,[中国好公司]封测龙头长电科技：募资扩产能保供给 重研发加固技术护城河,新浪
190,2021-09-10,电子行业2021年中报总结：板块增速分化 自下而上关注细分龙头,新浪
191,2021-09-08,长电科技：公司近日宣布正式推出XDFOI?全系列极高密度扇出型封装解决方案,每日经济新闻
192,2021-09-07,长电科技：公司有参与汽车芯片的封测业务,Wind
193,2021-09-06,半导体周跟踪：产业趋势向上明确 短期波动不改高景气,新浪
194,2021-09-03,长电科技前三季度营收增长16.8%，净利润增长176.6%,亿欧网
195,2021-09-02,大基金批量减持半导体，1600亿巨头一度跌停，这次影响多大？,Wind
196,2021-09-02,大基金又要批量减持了……,Wind
197,2021-09-02,港股盘前必读：小米汽车有限公司在北京完成工商注册已组成300人团队,Wind
198,2021-09-02,大基金再次披露减持计划,Wind
199,2021-09-01,长电科技：“缺芯潮”带动封测龙头业绩大幅增长，上半年归母净利润已超去年全年,21世纪经济报道
200,2021-09-01,1600亿半导体巨头遭大基金减持，浮盈超148%！,Wind
201,2021-08-31,长电科技上半年利润超全年，高增长不只靠“时势”,中经导报
202,2021-08-31,A股早报2021年8月31日星期二,Wind
203,2021-08-31,150亿元到手火速建仓！刘格菘隐形重仓股曝光,Wind
204,2021-08-30,半导体周跟踪：中报亮眼反映行业高景气 全年高增确定性强,新浪
205,2021-08-30,电子行业行业周报：闻泰科技趋势渐起 澜起科技引领DDR5代际替换,光大证券
206,2021-08-30,江苏长电科技：对“20长电科技MTN001”现金要约收购,Wind
207,2021-08-27,下周1983亿市值限售股解禁，东方盛虹解禁市值超876亿元居首,Wind
208,2021-08-27,长电科技：公司2021年固定资产投资计划安排43亿元人民币,Wind
209,2021-08-27,长电科技：截至目前芯电半导体（上海）有限公司未减持公司股份,Wind
210,2021-08-27,长电科技：公司为全球第三、中国第一的封测企业 技术实力全球一流水平,证券之星
211,2021-08-26,财信证券维持长电科技推荐评级：需求旺盛叠加运营效率提升，盈利能力显着改善,每日经济新闻
212,2021-08-26,长电科技：公司目前产能利用率饱满,Wind
213,2021-08-26,长电科技上半年延续高增长 大力布局先进封装功不可没,北国网
214,2021-08-26,重磅信号！万亿巨头突然全面涨价，4万亿赛道又要飞？,Wind
