207,2021-09-26,电力指数五周劲升26%，绿电掀起飓风、机构喊话价值重估,Wind
208,2021-09-26,国电电力于安徽成立新能源开发公司，注册资本1500万元,乐居财经
209,2021-09-25,国电电力股价本周上涨17.23%,大众证券报
210,2021-09-24,消费股登场，4000亿酱茅涨停！化工股却批量跌停,Wind
211,2021-09-24,国电电力市场首批蓝色债券成功发行，华泰证券积极助推蓝色经济高质量发展,华泰联合证券
212,2021-09-24,机构近期抢筹这81股 你跟吗?,证券之星
213,2021-09-24,每日市场热点分析,新浪
214,2021-09-24,A股融资融券日报：两融余额增加70.33亿元（9月23日）,Wind
215,2021-09-24,A股早报2021年9月24日星期五,Wind
216,2021-09-24,每日理财观察：首批5只FOF-LOF产品获批,Wind
217,2021-09-23,国电电力龙虎榜数据（9月23日）,Wind
218,2021-09-23,交易异动！国电电力：近3个交易日上涨25.96%,每日经济新闻
219,2021-09-23,国电电力(600795.SH)股价异动 不存在应披露未披露重大信息,智通财经
220,2021-09-23,涨停板解密：两大板块个股火爆受追捧！（9月23日）,Wind
221,2021-09-23,A股资金流向（9月23日）：电力、资源股出现强分歧,Wind
222,2021-09-23,9月23日国电电力涨停分析：雄安新区，电改，央企改革概念热股,证券之星
223,2021-09-23,A股收盘综述：造纸、环保股批量涨停，磷化工、纯碱、锂电电解液板块熄火,Wind
224,2021-09-23,造纸板块掀涨停潮！国庆长假前资金或将维持观望,Wind
225,2021-09-23,许家印开会，恒大系冲高回落！A股地产一度爆拉4%,Wind
226,2021-09-23,国家能源投资集团：董事发生变动 董监高成员变化,Wind
227,2021-09-23,国电电力广西风电签订500公顷屋顶租赁投资开发协议,北极星电力
228,2021-09-23,电力板块表现强势 国电电力等近十股涨停,上证报
229,2021-09-23,国电电力、广州发展、金开新能、中闽能源、浙江新能、上海电力、内蒙华电继续涨停,Wind
230,2021-09-23,国电电力2连板，电力股炒作,Wind
231,2021-09-23,机构五日抢筹38股 主力资金大量流入,证券之星
232,2021-09-23,A股融资融券日报：两融余额增加66.65亿元（9月22日）,Wind
233,2021-09-23,A股早报2021年9月23日星期四,Wind
234,2021-09-23,44天！A股破最长万亿成交纪录！一板块30+涨停,Wind
235,2021-09-22,国电电力龙虎榜数据（9月22日）,Wind
236,2021-09-22,国电电力涨停，4机构合力抢筹买入2.86亿元,证券之星
237,2021-09-22,A股房地产逆风翻盘，情况有变？3大转机降临,Wind
238,2021-09-22,电力板块30+涨停！绿电抢占新风口，机构爆买,Wind
239,2021-09-22,国电电力首板,Wind
240,2021-09-22,国电电力：截至2021年6月底，公司控股装机容量8239.79万千瓦，其中水电、风电、光伏发电、燃气发电等清洁、可再生能源装机占总装机容量的27.16%,每日经济新闻
241,2021-09-22,国电电力发展：“18国电MTN003”票面利率下调102bp至3.05%,Wind
242,2021-09-19,国电电力间接控股子公司环境违法被罚26万元 环保处罚,每日经济新闻
243,2021-09-18,国电电力(600795)：煤价上涨业绩承压 资产置换有望增厚盈利,新浪
244,2021-09-17,中国神华：将于10月22日召开临时股东大会,Wind
245,2021-09-17,新一批“电改”在路上，新能源发电全面爆发,Wind
246,2021-09-16,国电电力(600795.SH)拟注销已回购股份18.15亿股 占目前总股本的9.24%,智通财经
247,2021-09-16,国电电力全面部署在浙企业迎战台风“灿都”,国电电力
248,2021-09-16,国电电力援建藏区幼儿园助力乡村振兴,国电电力
249,2021-09-15,中国短期融资券及中期票据信用分析周报,新浪
250,2021-09-15,A股融资融券日报：两融余额减少10.55亿元（9月14日）,Wind
251,2021-09-14,国电电力甘肃新能源光伏发电项目获得批复,国电电力
252,2021-09-10,国电电力：答复“20国电绿色ABN001”和“20国电绿色ABN002”持有人会议决议,Wind
253,2021-09-10,国电电力绥中公司防结露专利消除设备隐患,我的煤炭网
254,2021-09-09,国家能源局：着力加强新能源生产运行安全监管,Wind
255,2021-09-09,国电电力绥中公司10MW分布式光伏项目获投资备案,国电电力
256,2021-09-09,主承销商：“19国电MTN005”持有人会议未形成有效决议,Wind
257,2021-09-08,北京市广渡律师事务所：“18国电MTN002”等十一期债券持有人会议未生效,Wind
258,2021-09-08,工商银行：“21国电GN002(可持续挂钩)”持有人会议审议通过相关议案,Wind
259,2021-09-08,主承销商：“19国电MTN003”等多只债券持有人会议均不生效,Wind
