117,2021-07-20,10大顶流基金经理二季度调仓动向曝光,Wind
118,2021-07-20,广发基金傅友兴最新持仓，重仓三环集团（广发稳健增长开放式基金）,证券之星
119,2021-07-20,电子周报：台积电上修全年半导体展望；小米Q2全球份额首次第二,新浪
120,2021-07-19,燃料电池指数创两年新高，发生了什么？,Wind
121,2021-07-19,电子周报：台积电法说会看好云计算和车规级芯片需求 面板进入持续盈利周期,新浪
122,2021-07-15,制造业升级赛跑，去年翻倍的新科技基金，今年还能选到潜力股吗？,新浪
123,2021-07-14,国盛证券：给予三环集团买入评级,证券之星
124,2021-07-14,国盛证券维持三环集团买入评级：行业景气延续，Q2业绩超预期,每日经济新闻
125,2021-07-14,代持还是隐匿？前妻举报上市公司原监事离婚前转移资产 涉及资金2.7亿 诉讼纠纷,21世纪经济报道
126,2021-07-14,A股异动 | 三环集团(300408.SZ)涨6%再创新高 料上半年净利同比增75%-105%,格隆汇
127,2021-07-14,三环集团(300408)：Q2业绩高速增长 持续看好未来成长前景,广发证券
128,2021-07-14,创业板指快速翻红，早盘一度跌超1%,Wind
129,2021-07-13,三环集团：预计上半年实现净利润9.73亿元-11.4亿元,中证网
130,2021-07-13,电子行业2021中报前瞻：5G手机、远程需求、汽车电子仍为2021三大主轴,新浪
131,2021-07-13,晚间重要公告2021年7月13日星期二,Wind
132,2021-07-13,三环集团(300408.SZ)半年度净利润预增75%-105%,格隆汇
133,2021-07-13,三环集团：预计上半年净利润同比增长75%-105%,Wind
134,2021-07-12,电子设备、仪器和元件行业周报：半导体结构性失衡仍将延续 疫情加剧封装、MLCC全球供给紧张,新浪
135,2021-07-08,一线调研|洁美科技：纸质载带市占率超50%离型膜新产品有望放量增长,财联社
136,2021-07-07,北汽系主体信用资质弱化简评,新浪
137,2021-07-06,电子周报：元器件和半导体中报业绩靓丽 面板盈利周期持续确认,新浪
138,2021-07-06,三环集团：公司SOFC产品主要有燃料电池隔膜板、SOFC单电池等，目前已成为全球SOFC电解质隔膜、SOFC单电池的主要供应商,每日经济新闻
139,2021-07-02,7 月金股出炉 ，遭北上资金抛售 21 亿的宁德时代仍获 9 家券商“抱团”推荐,ZAKER
140,2021-07-02,电子行业2021年中报业绩展望：半导体持续景气 消费电子阶段承压,新浪
141,2021-07-01,三环集团：公司SOFC产品主要有燃料电池隔膜板、SOFC单电池等，目前已成为全球SOFC电解质隔膜、SOFC单电池的主要供应商,每日经济新闻
142,2021-07-01,日本元器件产业发展启示：国产化浪潮开启 具备一体化能力的平台型企业空间巨大,新浪
143,2021-06-30,通信电子行业景气数据跟踪报告之六(2021年6月)：电动汽车浪潮开启 全球半导体龙头业绩靓丽,光大证券
144,2021-06-30,三环集团大涨,新浪
145,2021-06-18,电子行业2021年下半年投资策略：短期看景气 长期看成长,新浪
146,2021-06-15,电子行业2021年中期策略：国产化继续是行业主线 看好元器件和半导体设备,新浪
147,2021-06-15,31股获券商买入评级，奇安信-U目标涨幅达88.65%,Wind
148,2021-06-15,【东北晨会0615】策略：震荡延续，中小盘成长占优/海外宏观周度观察/每周行情前瞻/有色行业周报/三环集团（深）、中远海控,东北证券研究所
149,2021-06-15,【东北电子吴若飞】三环集团（300408）深度报告：电子陶瓷领军者，发力MLCC助力国产替代,东北证券研究所
150,2021-06-12,6月11日29只个股获券商关注，三环集团目标涨幅达55.87%,每日经济新闻
151,2021-06-12,东北研究|一周深度,东北证券研究所
152,2021-06-11,东北证券：三环集团（300408.SZ）电子陶瓷领军者，发力MLCC助力国产替代，给予“买入”评级,智通财经
153,2021-06-11,东北证券给予三环集团买入评级：电子陶瓷领军者，发力MLCC助力国产替代,每日经济新闻
154,2021-06-10,八大券商主题策略：国产软件进入新的景气周期？华为产业链受益公司名单曝光,中金在线
155,2021-06-09,三环集团(300408.SZ)拟10股派2.5元 6月17日除权除息,智通财经
156,2021-06-09,三环集团(300408.SZ)2020年度权益分派10派2.5元股权登记日为2021年6月16日,格隆汇
157,2021-06-09,电子商业模式专题一：用巴菲特的逻辑选电子公司,新浪
158,2021-06-07,通信电子行业景气数据跟踪报告之五：全球与国内龙头的靓丽业绩持续印证半导体高景气度,光大证券
159,2021-06-06,【兴证电子】周报：继续看好半导体设备和材料，产能释放+制程跃迁，元器件景气度将再次上行,兴证电子谢恒团队
160,2021-06-04,三环集团大涨,新浪
161,2021-06-03,债市信用周报：“16凯迪债”未能按时兑付本息 亚太药业主体及相关债项信用等级下调 未按时兑付本息,新浪
162,2021-06-01,中金行业首选：2021年6月,新浪
163,2021-06-01,5月流动性持稳，月末资金扰动有惊无险，债市震荡偏强｜债市综述,Wind
164,2021-05-27,5月27日晚间重要行业研究汇总(附股),中金在线
165,2021-05-27,淡水泉概念股普遍走升，濮阳惠成、三环集团、歌尔股份、水晶光电等涨幅居前,Wind
166,2021-05-24,"三环集团现2笔大宗交易 共成交3,223.24万元",新浪
167,2021-05-24,三环集团今日大宗交易成交98.57万股，成交价32.7元折价10.12%,Wind
168,2021-05-24,电子行业：半导体设备受益下游扩产景气 继续看好元器件和面板,新浪
169,2021-05-22,【民生周末重点推荐】首席看电子：业绩增长强劲，电子行业景气延续——电子行业2020年报和2021一季报总结,MS研究
170,2021-05-21,【异动股】MLCC板块下挫，火炬电子(603678.CN)跌3.93%,财华社
171,2021-05-20,三环集团：目前已成为全球SOFC电解质隔膜、SOFC单电池的主要供应商,每日经济新闻
172,2021-05-20,三环集团：目前MLCC的0201型号已有生产，01005型号还在研发中,每日经济新闻
173,2021-05-20,三环集团：公司MLCC目前产能和订单都较为饱满,每日经济新闻
