,2021-12-31,荣盛石化：目前已顺利产出光伏料产品,Wind
1781,2018-08-28,[推荐评级]民生化工行业周报：原油价格上涨 PTA产业链持续走高,中财网
1782,2018-08-27,[增持评级]民营大炼油系列报告之聚酯全产业链跟踪：产业链利润移至中游 短期PTA景气继续,中财网
1783,2018-08-27,化工：磷肥景气上行 荐4股,东兴证券
1784,2018-08-27,[增持评级]基础化工行业周报：PTA维持强势 关注采暖季限产提前和下游需求旺季的共振,中财网
1785,2018-08-27,化工行业周报：环保继续趋严 看好PTA-涤纶产业链高景气,中财网
1786,2018-08-22,萧山农商行第二大股东所持股权被悉数拍卖 为今年以来最大笔淘宝司法拍卖,每日经济新闻
1787,2018-08-22,[路演]荣盛石化：上半年PTA产品毛利率同比略有增长,全景网
1788,2018-08-22,[路演]荣盛石化：PTA价格上涨对公司形成一定利好,全景网
1789,2018-08-22,[买入评级]荣盛石化(002493)中报点评：业绩基本平稳 未来炼化增量巨大,中财网
1790,2018-08-22,[增持评级]大炼化聚酯产业链周报：PX、PTA继续强势 下游盈利持续下降,中财网
1791,2018-08-22,718家上市公司汇兑损失近7亿，企业外汇套保应对汇率波动,21世纪经济报道
1792,2018-08-21,[买入评级]“炼化-化纤”产业链周报：“PX-PTA-长丝”价格不断创新高 继续推荐四小龙+卫星石化,中财网
1793,2018-08-21,[审慎增持评级]荣盛石化(002493)中报点评：PTA供需格局趋好 浙江石化值得期待,中财网
1794,2018-08-21,[推荐评级]荣盛石化(002493)中报点评：PTA供需持续改善 业绩平稳增长静待浙石化投产,中财网
1795,2018-08-21,[审慎推荐-A评级]荣盛石化(002493)中报点评：上半年业绩略有增长 PTA带来业绩弹性,中财网
1796,2018-08-21,化工行业:弱势行情选择确定性 旺季将至掘金强势品种,中证网
1797,2018-08-21,[推荐评级]石化行业周报：PTA-聚酯产业链价格继续大涨 行业景气持续高企,中财网
1798,2018-08-21,[推荐评级]化工行业周报：出口情况良好、人民币汇率贬值支撑醋酸价格 环氧丙烷-聚醚多元醇产业链提价,中财网
1799,2018-08-21,[增持评级]基础化工行业周报：涤纶产业链普涨 PA66延续涨势 关注苏北化工园区复产进展,中财网
1800,2018-08-21,[增持评级]荣盛石化(002493)中报点评：18Q2受财务费用影响业绩下滑 PX、PTA价差扩大有望带来18H2盈利提升,中财网
1801,2018-08-21,【申万石化】荣盛石化半年报点评——18Q2受财务费用影响业绩下滑，PX、PTA价差扩大有望带来18H2盈利提升,申万石油化工
1802,2018-08-21,"荣盛石化2018年中报点评:中报符合预期,三季度以来PTA和芳烃价格大幅上涨",光大证券
1803,2018-08-20,[推荐评级]化工行业周报：PTA价格再创新高 DMC、DMF价格上涨,中财网
1804,2018-08-20,[强于大市评级]石化行业周报：机构预期分化 未来原油供求存在不确定性,中财网
1805,2018-08-20,[推荐评级]石化行业周报：上半年我国石油和化工行业营收和利润均大幅增长,中财网
1806,2018-08-20,[推荐评级]石化行业周报：涤纶产业链景气攀升 原油价格中位波动,中财网
1807,2018-08-20,[强烈推荐评级]荣盛石化(002493)中报点评：财务费用增加拖累二季度业绩 看好公司长期成长性,中财网
1808,2018-08-20,石油化工行业研究周报：什么导致了民营炼化股价和PTA的分化?,中财网
1809,2018-08-20,[买入评级]荣盛石化(002493)半年报点评：财务费用拖累二季度业绩 下半年盈利有望改善,中财网
1810,2018-08-20,[推荐评级]荣盛石化(002493)中报点评：业绩符合预期 浙石化项目有序推进,中财网
1811,2018-08-20,[优于大市评级]荣盛石化(002493)半年报点评：2018H1归母净利润平稳增长,中财网
1812,2018-08-19,【太平洋化工】荣盛石化2018中报点评：业绩基本平稳，未来炼化增量巨大,太平洋化工
1813,2018-08-19,化工：纯碱和涤纶长丝库存再下降 荐4股,方正证券
1814,2018-08-17,荣盛石化：上半年净利润同比增1.03%,Wind
1815,2018-08-17,[优于大市评级]石油化工行业深度报告：油价、天然气、民营炼化,中财网
1816,2018-08-16,化纤“沃尔玛”被抢断货 盈利差价怒增82%,中金在线
1817,2018-08-15,[买入评级]化学纤维行业简评：PTA和长丝不断创新高 桐昆股份和恒逸石化业绩弹性最大,中财网
1818,2018-08-15,"石油化工行业大炼化聚酯产业链周报第29期:PX、PTA持续走强,下游盈利小幅回暖",光大证券
1819,2018-08-13,[看好评级]基础化工行业周报：磷矿石限产价格持续高位 PTA高歌猛进,中财网
1820,2018-08-13,[推荐评级]石油化工行业周报：涤纶产业链景气持续 原油价格中位波动,中财网
1821,2018-08-13,[强于大市评级]石化行业周报：科威特：油价到年底将在70-75 美元之间波动,中财网
1822,2018-08-13,[推荐评级]民生化工周报：PTA-聚酯产业链价格再创四年新高,中财网
1823,2018-08-12,化工：油价仍维持震荡 荐5股,中泰证券
1824,2018-08-12,[优于大市评级]石化行业数据周报,中财网
1825,2018-08-11,行情不好，这72只股三季度以来股价竟创新高！,Wind
1826,2018-08-11,PTA期货大涨A股如何演绎？化纤板块站上风口,巨丰财经
1827,2018-08-10,"大炼化系列报告(六):聚酯产业链利润将迎重构,中下游盈利渐入佳境",正点财经
1828,2018-08-09,[优于大市评级]7月原油成品油进出口数据分析：7月成品油净出口量环比大幅减少 乙烯-石脑油价差扩大至每吨740美元,中财网
1829,2018-08-07,"大炼化聚酯产业链周报第28期:PX、PTA持续走强,下游盈利大幅收窄",光大证券
1830,2018-08-06,8月6日A股龙虎榜揭秘，机构最青睐6股,Wind
1831,2018-08-06,龙虎榜 | 大盘继续探底 机构回补力度加大,金融投资报
1832,2018-08-06,机构席位抛售寒锐钴业，深股通买入恒逸石化荣盛石化,Wind
1833,2018-08-06,荣盛石化龙虎榜数据（8月6日）,Wind
1834,2018-08-06,化工:多因素催化炼化聚酯产业链 炼化持续景气,太平洋证券
1835,2018-08-01,[看好评级]基础化工行业周报：PTA行业有望迎来新一轮景气周期,中财网
1836,2018-07-31,[领先大市-A评级]基础化工行业周报：涤丝、PA66持续上行 聚合MDI、醋酸止跌回涨,中财网
1837,2018-07-31,[优于大市评级]石油化工行业跟踪报告：上半年纺织品零售额同比大幅增长9.7% PTA、涤纶价格再创新高,中财网
1838,2018-07-30,[优于大市评级]石化行业周报：2Q18化工行业基金持仓分析,中财网
1839,2018-07-30,[推荐评级]石化行业周报：地缘政治及欧美贸易摩擦缓解致布油上涨 涤纶长丝-原材料价差略有回落,中财网
1840,2018-07-30,[买入评级]“炼化-化纤”产业链周报：PTA和长丝不断创新高 推荐民营化工四小龙+新凤鸣,中财网
1841,2018-07-30,【新时代中小盘 孙金钜团队】激励力度大、业绩要求高的优质股权激励方案涌现,新时代证券研究
1842,2018-07-30,[推荐评级]化工行业周报：景气指数继续下行 推荐八大行业,中财网
1843,2018-07-30,[推荐评级]石化周报：油价小幅震荡趋稳 涤纶盈利有望持续,中财网
1844,2018-07-30,[增持评级]大炼化聚酯产业链周报：PTA上行空间打开 涤纶价格大幅上涨,中财网
1845,2018-07-30,[增持评级]华泰研究石油化工/基础化工行业周报(第三十周),中财网
1846,2018-07-29,[看好评级]基础化工聚酯产业链系列报告之PTA：一体化龙头抢得“纤”机,中财网
1847,2018-07-29,化工：景气指数继续下行 荐5股,方正证券
1848,2018-07-27,化工中期策略：把握业绩不放松,中财网
1849,2018-07-27,【化工丨李永磊】荣盛石化(002493)：PX-PTA-涤纶产业链龙头，全力打造民营炼化行业标杆,方正证券研究
1850,2018-07-26,五大券商周五看好6板块46股,证券之星
1851,2018-07-26,[看好评级]选股系列思考之一：从资本开支角度掘金成长性周期股,中财网
1852,2018-07-26,荣盛石化创历史新高,中证报
1853,2018-07-25,荣盛石化：7月24日融资余额为4.04亿元，较前一日骤增5.75%,Wind资讯
1854,2018-07-25,化工业再起风云 民企成为新看点,21世纪经济报道
1855,2018-07-24,[增持评级]大炼化聚酯产业链周报：PTA价格大幅提升 地炼开工率持续下滑,中财网
1856,2018-07-24,[增持评级]基础化工行业周报：TDI、R22、丁辛醇强势上涨 关注苏北化工园区复产进度,中财网
1857,2018-07-24,[看好评级]基础化工行业周报：萤石制冷剂产业链领涨 醋酸跌幅居前,中财网
1858,2018-07-24,[推荐评级]石化行业周报：美国或“宽限”伊朗制裁 本周油价下跌 PTA-原料价差继续扩大,中财网
