430,2021-06-30,天风证券维持中国巨石买入评级：业绩符合预期，公司成长、行业景气持续可期，目标价26.18元,每日经济新闻
431,2021-06-30,中国巨石(600176)公司点评：业绩符合预期 公司成长、行业景气持续可期,新浪
432,2021-06-30,建材行业基金持仓专题：行业整体继续低配 建议把握板块结构性机会,新浪
433,2021-06-30,东兴证券维持中国巨石强烈推荐评级：成本领先为基，引领行业结构性高成长,每日经济新闻
434,2021-06-30,中国巨石(600176)：21Q2延续高增 估值性价比凸显,新浪
435,2021-06-30,中国巨石(600176)：成本领先为基 引领行业结构性高成长,新浪
436,2021-06-30,东北证券维持中国巨石买入评级，2021年半年度业绩预增公告点评：玻纤景气有望延续，产品结构优化，公司综合竞争力再提升,每日经济新闻
437,2021-06-30,国信证券金股推荐：2021年7月各行业金股推荐汇总,新浪
438,2021-06-30,中国巨石(600176)2021年上半年业绩预增点评：1H21业绩高增 行业高景气持续,新浪
439,2021-06-30,A股早报2021年6月30日星期三,Wind
440,2021-06-30,中国巨石(600176)：业绩超预期 景气延续,新浪
441,2021-06-30,中国巨石上半年净利预增200%-250%电子纱产能今年有望达16.5万吨,财联社
442,2021-06-29,晚间重要公告2021年6月29日星期二,Wind
443,2021-06-29,6月29日极米科技、宁波华翔、中国巨石等10家公司公告出现利好,证券之星
444,2021-06-29,中国巨石：预计上半年净利润增加15.25亿元-19.06亿元,资本邦
445,2021-06-29,预增！中国巨石：预计2021年上半年净利润同比增长200%到250%,每日经济新闻
446,2021-06-29,量价齐升 中国巨石(600176.SH)半年度归母净利预增200%至250%,智通财经
447,2021-06-29,中国巨石：预计上半年净利润同比增加15.2亿元-19.1亿元，同比增长20,新浪
448,2021-06-29,中国巨石：预计上半年净利润同比增加200%到250%,财联社
449,2021-06-29,中国巨石：预计上半年净利润同比增加200%到250%,Wind
450,2021-06-29,大宗指南周期品周度运行变化,新浪
451,2021-06-28,建材行业周观点：分布式光伏试点启动 利于光伏玻璃及高纯石英砂的需求增长,新浪
452,2021-06-28,从财报运行看当前各板块投资机会：增长韧性犹存 分化仍在继续,新浪
453,2021-06-25,建材行业投资专题：回归本位 关注低估值、强业绩的优质品种,新浪
454,2021-06-24,建材行业投资专题：建材智造 中国巨石,新浪
455,2021-06-23,中国短期融资券及中期票据信用分析周报,新浪
456,2021-06-23,“未来工厂”什么样？,工业电器网
457,2021-06-22,中国巨石(600176.SH)：完成发行5亿元超短期融资券,格隆汇
458,2021-06-21,煤炭开采行业周报：周期品周度运行变化,新浪
459,2021-06-21,建筑材料行业周报：地产销售竣工数据韧性强 继续推荐玻璃和优质成长消费建材,新浪
460,2021-06-20,建材行业周观点：单月竣工再回双位数增长，水泥累计产量创新高，玻璃仍保持较高增速,华创建筑建材研究
461,2021-06-20,建材行业：竣工持续强劲 石膏板、玻璃韧性强；重点关注超跌玻纤,新浪
462,2021-06-19,建筑材料行业研究周报：5月投资基数效应显着 实际需求或好于数据表现,新浪
463,2021-06-16,中国巨石：股份质押,和讯
464,2021-06-16,建材行业周报：关注周期板块淡季背后的龙头成长性,新浪
465,2021-06-16,中国巨石(600176.SH)：振石集团解押约2.12亿股及质押约1.15亿股,格隆汇
466,2021-06-16,中国巨石：振石集团累计质押公司股份约4.46亿股,每日经济新闻
467,2021-06-16,中国巨石(600176.SH)股东振石集团解质2.12亿股及重新质押1.15亿股,智通财经
468,2021-06-15,建筑材料行业2021年中期投资策略：供给趋势为主 需求景气为辅,广发证券
469,2021-06-15,建筑材料行业周报：行业淡季 立足中长期布局优质成长和格局优化,新浪
470,2021-06-15,建材行业：“边际逻辑弱化” 水泥淡季降价,新浪
471,2021-06-15,2021年下半年投资策略：周期景气有望持续 产业变革趋势孕育成长新机遇,新浪
472,2021-06-15,非金属建材2021 年中期投资策略：加速扩品类 龙头抗周期,新浪
473,2021-06-14,建材行业周观点：玻璃涨势放缓，水泥迎来淡季,华创建筑建材研究
474,2021-06-13,建筑材料行业：平板玻璃和玻纤电子纱价格上涨,广发证券
475,2021-06-11,揭秘送转股 132只除权以来股价上涨,证券时报网
476,2021-06-10,129只送转股走出贴权走势,证券时报网
477,2021-06-08,六大券商周三看好的六大板块,证券之星
478,2021-06-08,建筑材料行业：玻纤行业周观点更新,新浪
479,2021-06-08,【建材】建材行业周报—玻璃出现南北分化，库存天数止跌回升,中银证券研究
