144,2021-11-23,解盘：资金持续流入，铁矿石、光模块、稀土永磁、煤炭领涨,Wind
145,2021-11-23,军工股午前拉升，亚星锚链等快速走强,Wind
146,2021-11-23,中国船舶七一一所二氧化碳压缩机正式投产 助力实现“双碳”目标－国务院国有资产监督管理委员会,国资委
147,2021-11-22,中国船舶现1笔大宗交易 共成交372.40万元,新浪
148,2021-11-22,中国船舶今日大宗交易成交17.50万股，成交价21.28元折价7.03%,Wind
149,2021-11-20,申万宏源交运一周天地汇：“沿海捎带”限制放开利好枢纽港 中通2022年业绩指引超预期,新浪
150,2021-11-18,中国船舶集团与中金公司签署战略合作协议,e公司
151,2021-11-18,中国船舶(600150.SH)选举沈梁为监事会主席,智通财经
152,2021-11-18,提前5个月！沪东中华又一艘大型LNG-FSRU命名,国际船舶
153,2021-11-18,海关总署：10月中国船舶进口183艘，同比增长21.2%,我的钢铁
154,2021-11-18,解盘：资金小幅流入，锂矿、风电、稀土、纯碱领涨,Wind
155,2021-11-18,中国船舶集团向巴基斯坦海军交付一艘新型护卫舰－国务院国有资产监督管理委员会,国资委
156,2021-11-17,2022年中国船舶涂料行业竞争格局及市场份额分析 中远佐敦占据国内市场份额超过30%,前瞻研究院
157,2021-11-16,打破检测垄断！中国船企第一家！,我的钢铁
158,2021-11-16,中国船舶造阿尔及利亚豪华客滚船首航 －国务院国有资产监督管理委员会,国资委
159,2021-11-15,【异动股】船舶制造板块拉升，中国船舶(600150.CN)涨5.77%,财华社
160,2021-11-15,申万宏源交运造船数据跟踪：22国签署《绿色航运走廊的克莱德班克宣言》 船舶替代周期有望提前,新浪
161,2021-11-12,[公司]中船汉光：间接控股控股中国船舶集团承诺3年内不转让、减持公司股份,全景网
162,2021-11-11,铸起“海上生命线”——记中国船舶集团七〇四所海上保障项目团队,经济日报
163,2021-11-11,2022年中国船舶涂料行业供需现状及市场规模分析 船舶涂料市场受造船业景气影响较大,前瞻研究院
164,2021-11-11,【*中国船舶小公募】不超20亿，3年（2.80%-3.80%）、5年（3.00%-4.00%），AAA/AAA，上交所，今日簿记,中信建投固定收益部
165,2021-11-11,船舶制造行业：这轮复苏才刚刚开始,新浪
166,2021-11-11,中国船舶援建1500吨海事巡逻舰交付,我的钢铁
167,2021-11-10,中国船舶租赁与上船院签署战略合作框架协议,国际船舶
168,2021-11-09,军工板块获资金增配，机构持股最大增仓变动超50%,Wind
169,2021-11-09,兵器工业集团携手中国船舶集团研发数字化专用系统－国务院国有资产监督管理委员会,国资委
170,2021-11-08,我国迄今为止出口吨位最大、技术最先进水面战斗舰艇今交付,澎湃新闻
171,2021-11-08,【异动股】船舶制造板块下挫，中国船舶(600150.CN)跌5.39%,财华社
172,2021-11-08,【异动股】船舶制造板块低开，中国船舶(600150.CN)跌2.1%,财华社
173,2021-11-08,海关总署：10月中国船舶出口325艘,我的钢铁
174,2021-11-08,数说“进博购物车”里的溢出效应,Wind
175,2021-11-05,中国船舶集团签约31个采购项目：总金额14亿元，同比增九成,澎湃新闻
176,2021-11-05,中国船舶集团31个项目集中签约,中新网
177,2021-11-05,中国船舶集团获国家科学技术多项奖励,国际船舶
178,2021-11-05,中国船舶集团旗下中国动力子公司河柴重工签5000万元订单,Wind
179,2021-11-05,中国船舶集团旗下中国动力子公司河柴重工签5000万元订单,e公司
180,2021-11-05,中国船舶集团与农业银行签署战略合作协议,国际船舶
181,2021-11-04,中船应急：七一九所减持1465万股公司股份 减持股份,中证网
182,2021-11-04,向海图强，这家企业的底气何来？,中国能源网china5e
183,2021-11-03,中国船舶集团：与建设银行签署战略合作协议,e公司
184,2021-11-03,【行情】国防军工板块午后持续低迷，亚星锚链跌近8%，中国船舶、中兵红箭、富吉瑞跟跌,金十数据
185,2021-11-03,中船广西建造“绿色珠江”工程两型LNG动力散货船首制船交付,国际船舶
186,2021-11-03,A股早报2021年11月3日星期三,Wind
187,2021-11-02,10股特大单净流入资金超2亿元,证券时报网
188,2021-11-02,涨停板解密：市场回落，军工股逆市火爆！（11月2日）,Wind
189,2021-11-02,A股资金流向：主要行业主力资金悉数出逃，光伏股遭大幅抛售,Wind
190,2021-11-02,快讯：中国船舶涨停 报于24.85元,金融界
191,2021-11-02,11月2日中国船舶涨停分析：航母，海工装备，军工研究所概念热股,证券之星
192,2021-11-02,A股收盘综述：“宁王”力扛创业板，多只航母概念股尾盘暴拉涨停,Wind
193,2021-11-02,中国船舶首板，中船系集体拉升,Wind
194,2021-11-02,中船科技、中国船舶尾盘涨停，航母板块继续扩大升幅,Wind
195,2021-11-02,解盘：资源股低迷，半导体、食品、IGBT、航母领涨,Wind
196,2021-11-01,中国船舶最新公告：子公司收到政府补助合计2992.95万元,证券之星
197,2021-11-01,华金证券维持中国船舶增持评级：归母净利润高增长，看好造船景气长周期向上,每日经济新闻
198,2021-11-01,华金证券：给予中国船舶增持评级,证券之星
199,2021-11-01,中国船舶：公司下属子公司获得政府补助2992.95万元,每日经济新闻
200,2021-11-01,图解中国船舶三季报：第三季度单季净利润同比增428.29%,证券之星
201,2021-11-01,Mysteel：船舶制造行业10家上市企业前三季度营收756亿元,我的钢铁
202,2021-11-01,中国海装破冰平价海上风电！,中国能源网
203,2021-11-01,中船系上市公司2021第三季度业绩发布,钢企网
204,2021-10-31,中国船舶(600150.SH)第三季度净利润1.51亿元 同比增长428.29%,格隆汇
205,2021-10-30,中国船舶三季度营收下降净利润同比大增 盈利能力下降,国际船舶
206,2021-10-29,中国船舶第三季度净利润同比增长428%,上证报
207,2021-10-29,中国船舶租赁(03877.HK)：中船集团100%股权划转至中国船舶集团的工商变更登记完成,格隆汇
208,2021-10-29,中船防务：主营业务毛利持续提升 前三季度业绩稳步增长,中证网
209,2021-10-29,黄旭华，捐出1100万！,新京报
210,2021-10-29,中船防务(00317)：中船工业集团100%股权划转至中国船舶集团完成工商变更登记,智通财经
211,2021-10-29,中船防务(00317.HK)：控股股东股权无偿划转完成工商变更登记 减持股份,格隆汇
212,2021-10-29,中国船舶：第三季度净利润1.51亿元 同比增长428%,财联社
213,2021-10-29,中国船舶：前三季度净利润同比增长138.92%,Wind
214,2021-10-29,中国船舶旗下公司拟转让上海江兴置业85%股权，底价3935万,贝壳财经
215,2021-10-29,2021年软科中国船舶与海洋工程学科排名发布,国际船舶
216,2021-10-29,中国船舶前三季度经济运行稳中向好,中国船舶网
217,2021-10-29,中船综合院举办聚焦低碳零碳船舶动力沙龙,国际船舶
218,2021-10-27,中国船舶集团旗下大船集团6天实现6节点,我的钢铁
219,2021-10-27,中国船舶再次培育“世界冠军”！全球最大全能型LNG加注船建成命名！,我的钢铁
220,2021-10-26,造船行业系列报告(二)：如何看待运价波动与造船订单持续性,广发证券
221,2021-10-23,申万宏源交运一周天地汇：低货值货物出口替代高货值 加班船市场预冷预计集运一二级市场价差有望收窄,新浪
222,2021-10-21,支持浦东高水平改革开放 上海海关推进企业集团保税监管改革,浦东时报
223,2021-10-21,速度质量双提升！15000TEU超大型集装箱船再交付,我的钢铁
224,2021-10-21,上海海关推进企业集团保税监管改革,浦东时报
225,2021-10-20,中国船舶：监事会主席莘国梁因年龄原因辞职 董监高成员变化,中国经济网
226,2021-10-20,中国船舶：监事会主席莘国梁辞职 董监高成员变化,每日经济新闻
227,2021-10-20,中国船舶(600150.SH)：莘国梁辞去监事会主席等职务,智通财经
228,2021-10-20,中国船舶：监事会主席辞职,Wind
229,2021-10-20,大船集团再获Golden Ocean四艘85000吨散货船订单,国际船舶
230,2021-10-20,中国海装16MW半直驱海上风机重磅发布！,北极星电力
231,2021-10-20,沪东中华交付达飞第2艘15000箱集装箱船,国际船舶
232,2021-10-19,中国船舶集团签约广东省首批内河船舶LNG动力改造项目,我的钢铁
233,2021-10-19,预计将于2023年上半年出坞 中国首制大型邮轮在上海外高桥实现全船贯通,东方网
234,2021-10-18,“上海制造”新订单助中船集团坐稳世界第一,文汇报
235,2021-10-18,中国船舶黄埔文冲拿下史上最大单笔支线箱船订单－国务院国有资产监督管理委员会,国资委
236,2021-10-17,外高桥造船联合中船贸易在沪签订10艘7000TEU集装箱船造船合同,中证网
