,2021-12-31,煤炭坐上“过山车”：价格疯涨后企稳回落,中国经营网
102,2021-12-03,绿色电力板块大涨，政策利好叠加下游空间改善，多股本周涨幅已逾10%,财联社
103,2021-12-03,华能国际涨停，三机构合计买入1.57亿元,Wind
104,2021-12-03,涨停板解密：资金青睐，三大板块个股火爆上攻！（12月3日）,Wind
105,2021-12-03,12月3日主力资金净流出49亿元,证券时报网
106,2021-12-03,12月3日收评：上证指数上涨0.94% 两市成交11353亿,搜狐
107,2021-12-03,12月3日华能国际涨停分析：火电，电改，风电概念热股,证券之星
108,2021-12-03,A股收盘综述：沪指大涨一举拿下3600点！绿色电力概念掀涨停潮,Wind
109,2021-12-03,60亿元主力资金加仓电力板块 机构推荐关注电力自动化设备赛道,第一财经
110,2021-12-03,快讯：电力板块午后持续冲高 华能国际等多股涨停,新浪
111,2021-12-03,快讯：华能国际涨停 报于7.23元,金融界
112,2021-12-03,解盘：人气持续回暖，电力、存储器、白酒、半导体领涨,Wind
113,2021-12-03,异动快报：华能国际（600011）12月3日10点53分封涨停板,中金在线
114,2021-12-03,电力股集体上扬，中闽能源、金雷股份、华能国际涨幅居前,Wind
115,2021-12-03,中国银河维持环保公用行业推荐评级：“双碳”政策密集出台，关注环保公用领域规划,每日经济新闻
116,2021-12-01,川财证券金股12月投资策略,新浪
117,2021-11-30,电力股集体拉升，天能重工、时代新材、华能国际等领衔上涨,Wind
118,2021-11-29,公用事业行业周报：政策推动下电煤矛盾持续缓和 全国统一电力市场呼之欲出,新浪
119,2021-11-28,公用周报：省间电力现货交易规则出台 三峡能源发布股权激励计划,新浪
120,2021-11-26,华能国际(600011.SH)：完成发行20亿元中期票据(可持续挂钩),格隆汇
121,2021-11-26,北向资金净卖出近45亿结束连续5日净买入，招商银行净卖出超6亿元,Wind
122,2021-11-26,华能国际(600011.SH)完成发行20亿元2021年度第二期中期票据(可持续挂钩),智通财经
123,2021-11-26,公用事业行业省间现货交易政策点评：电改持续推进 现货市场建设更进一步,新浪
124,2021-11-26,公用环保行业周报：10月用电需求继续强劲南网发布十四五规划,新浪
125,2021-11-26,公用环保行业重点事项点评：省间现货交易意义重大 新能源消纳再添保障,新浪
126,2021-11-25,电力、煤气及水等公用事业行业：提价格促消纳 跨省现货提振运营商盈利,国金证券股份有限公司
127,2021-11-25,电力月谈：2021年11月期,新浪
128,2021-11-25,慢牛股突然跳水跌停，券商刚连夜推荐！开盘9亿封涨停，近两倍于流通盘，金融股变身锂电龙头？绿电利好频出，概念股走高,微信
129,2021-11-25,绿色电力概念股拉升，中央深改委会议提出建设全国统一电力市场体系,第一财经
130,2021-11-25,绿电政策频出，电力板块发力走高，黔源电力等大涨,证券时报网
131,2021-11-25,电力及公用事业：绿电政策频出 重视绿电板块机会,新浪
132,2021-11-25,港股异动 | 华能国际(00902)涨超6%领涨电力股 国家电网公布省间电力现货交易规则,智通财经
133,2021-11-25,电力股集体造好，湖南发展、甘肃电投领跑,Wind
134,2021-11-24,中国短期融资券及中期票据信用分析周报,新浪
135,2021-11-24,华能国际(600011.SH)子公司拟携关联方向沾益公司增资1.56亿元,智通财经
136,2021-11-24,A股收盘综述：沪指四连升，一度站上3600点；北交所新股大涨！,Wind
137,2021-11-24,华能国际：华能岱山1号海上风电正按国家和省市海上风电相关政策履行核准程序,每日经济新闻
138,2021-11-24,华能国际：受到大连疫情防控等因素影响，对庄河海上风电IV1风场年内全容量并网造成一定困难,每日经济新闻
139,2021-11-24,A股午盘综述：纺织服装迎来久违爆发，元宇宙反复活跃；北交所新股暴涨逾200%！,Wind
140,2021-11-24,海源复材首板，与华能国际等拟合作投资太阳能光伏电池等项目,Wind
