13426,2018-03-13,3月13日中小板高活跃度个股一览,中证网
13427,2018-03-13,进阶中的ILIFE智意：用技术驱动产品及品牌发展,搜狐
13428,2018-03-13,“击穿产研投”首站AI：鲸准联合百度风投、盛世投资等200家机构重磅发布AI产业价值全名单,全球财经网
13429,2018-03-13,数据王：昨日涨停今日跌停 独角兽概念成风险,巨丰财经
13430,2018-03-13,3月13日复盘:短期以整理为主 主力重点出10股(名单),新浪
13431,2018-03-13,人工智能“水滴论”火了！杨元庆到底怎么定义它？,砍柴网
13432,2018-03-13,523亿资金争夺20股：主力资金重点出击10股(名单),新浪
13433,2018-03-13,科大讯飞总裁助理刘国飞：携手云适配共探AI+安全新模式,砍柴网
13434,2018-03-13,击穿产研投：鲸准联合百度风投、盛世投资等重磅发布AI产业价值全名单,亿欧网
13435,2018-03-13,[推荐评级]计算机行业研究周报：继续看好工业互联网、“独角兽”等新经济、新技术投资机遇,中财网
13436,2018-03-13,3月13日A股半天资金主力净流入、净流出前十大个股,顶尖财经网
13437,2018-03-13,刘庆峰刚秀完讯飞晓译 没想到准儿翻译机功能更强大,飞象网
13438,2018-03-13,网易“翻译神器”翻译蛋2.0上线在即 翻译机“大战”正式打响,财经网
13439,2018-03-13,【策略】创业板处于“熊市顶部”、还是“牛市底部”？注意观察一点,国元证券订阅号
13440,2018-03-13,今日紧急减仓一类股,新浪
13441,2018-03-13,人工智能时代 信息素养教育要从娃娃抓起,科技日报
13442,2018-03-13,张朝阳和王小川共振的产物出来了，到底是啥？,搜狐
13443,2018-03-13,科技题材股疯涨 投资需“慧眼”,扬子晚报
13444,2018-03-13,机构之音：用反证法论证创业板难见大反转,山石观市
13445,2018-03-13,互联网、智能行业巨头站台，不料汽车生态竟被吉利玩转了,维库电子市场
13446,2018-03-13,两市两融余额增逾50亿 资金追捧农业银行等5股,和讯
13447,2018-03-13,早评:市场风向或转移 科技股有望继续冲高,证券之星
13448,2018-03-13,巨丰早评：科技股有望继续冲高,巨丰财经
13449,2018-03-13,证监会：五年来140余项制度建设中 全面嵌入投保要求,证券日报
13450,2018-03-13,"计算机行业:突破性质仍需验证,紧抓个股是王道",国联证券
13451,2018-03-12,搜狗旅行翻译宝京东预售成绩喜人，首日预售量超3000+,赛迪网
13452,2018-03-12,大公司如何布局AI+?杨元庆李彦宏等在两会上释放讯号!,IT时代网
13453,2018-03-12,图说涨停:独角兽概念股高潮不断 两条路线布局(名单),证券之星
13454,2018-03-12,2018AWE 社交厨房 整屋智能真的只是噱头吗,亿邦动力
13455,2018-03-12,医疗信息化，减轻就诊“难”和“烦”,科技日报
13456,2018-03-12,巨丰投顾：题材股此起彼伏 创业板指剑指前期高点,中证网
13457,2018-03-12,科大讯飞疑即将发布翻译机新品 翻译功能全方位提升,砍柴网
13458,2018-03-12,三大股指全线上涨 独角兽概念板块大涨4.25%,中新网
13459,2018-03-12,产品不够人性，唤醒不够灵敏，卷土重来的物联网这次靠谱吗？,腾讯网
13460,2018-03-12,655亿资金争夺20股：主力资金重点出击9股(名单),新浪
13461,2018-03-12,3月12日大盘收评：锂电池股票大涨 多只龙头涨停,南方财富网
13462,2018-03-12,题材股此起彼伏 创业板剑指前高,中财网
13463,2018-03-12,[增持评级]计算机行业周报：“独角兽”来袭 看好A股科技类龙头,中财网
13464,2018-03-12,[同步大市-A评级]电子元器件行业深度分析：语音引领交互变革 智能开启音箱升级,中财网
13465,2018-03-12,跨越关口上新阶，酷宅科技引领高质量发展,砍柴网
13466,2018-03-12,[中性评级]计算机行业周报：“创新”列政府工作报告主旋律 讨论三个产业共振点,中财网
13467,2018-03-12,一现象或暗示中小创行情迈入新阶段 看长做短为宜,金融界
13468,2018-03-12,巨丰午评：大盘上行空间打开,巨丰财经
13469,2018-03-12,详解华为智能家居战略：1+X助推百亿计划,搜狐
13470,2018-03-12,中光防雷、科陆电子、川金诺、先导智能2017年度业绩说明会3月12日在全景·路演天下举行,全景网
13471,2018-03-12,刘庆峰模仿特朗普讲话？科大讯飞展示智能机器人,南方财富网
13472,2018-03-12,地图里隐藏的“五行”投资圈,红周刊
13473,2018-03-12,热点追踪：科技浪潮风起云涌，把握市场投资主线,国元天长
13474,2018-03-12,[推荐评级]华创证券传媒互联网行业周报,中财网
13475,2018-03-12,热点概念与题材前瞻（附股）,中财网
13476,2018-03-12,谁来创新？动力何来？——代表热议如何答好新时代“创新之问”,新华网
13477,2018-03-12,人工智能高歌猛进，人才从哪儿来,科技日报
13478,2018-03-12,顶级家电与消费电子展开幕 六股现上车良机,中财网
13479,2018-03-12,题材层出不穷,投资快报
13480,2018-03-12,资金追捧三类科创股，30只业绩翻番股被机构关注,证券日报
13481,2018-03-12,资金追捧三类科创股 30只业绩翻番股被机构关注,证券日报
13482,2018-03-11,两会 | 科大讯飞刘庆峰：中美可以说很多领域已同步进入无人区,中国经营网
13483,2018-03-11,[推荐评级]计算机行业周观点：这次行情与之前有何不同?,中财网
13484,2018-03-11,机器人也走“代表通道” 刘庆峰：梦想让机器像人一样会思考,华夏时报
13485,2018-03-11,科大讯飞股份有限公司董事长、总裁刘庆峰向记者展示本公司的翻译机,新华网
13486,2018-03-11,科大讯飞刘庆峰谈AI:在应用驱动、数据迭代中进化,新京报
13487,2018-03-11,自主品牌、新能源两脚落地 广汽能否撑起曾庆洪时代的“野心”？,中国经营网
13488,2018-03-10,他做区块链媒体解币圈乱象 圈粉20万日新增6000+ 获种子轮投资,搜狐
13489,2018-03-10,重庆市两江新区考察团到合肥高新区考察,元器件交易网
13490,2018-03-10,独角兽概念热情高涨 绩优科技股成宠儿,金融投资报
13491,2018-03-10,智能电视新品全盘点：从“内容为王”走向“技术创新”新赛道,腾讯网
13492,2018-03-09,"人工智能迅猛发展背后：3成受访者称已威胁工作,多数人愿主动学习",财经网
13493,2018-03-09,国家释放重磅信号，所有人的利好，又一场巨变开始！,21财闻汇
13494,2018-03-09,汪潮涌，顶级传统PE的区块链转身,搜狐
13495,2018-03-09,制造业富士康和直播圈的虎牙，有什么交集？,飞象网
13496,2018-03-09,全球化新阶段新打法 TCL“黑白”联合作战,华夏时报
13497,2018-03-09,中小板一周活跃个股排行榜,中证网
13498,2018-03-09,3月9日中小板高活跃度个股一览,中证网
13499,2018-03-09,关于举办首届全国基层中医药信息化建设（浙江 海盐） 高峰论坛的通知,中国中医药报
13500,2018-03-09,两会大佬热议AI 杨元庆建言献策带火“行业智能”,砍柴网
13501,2018-03-09,533亿资金争夺20股：主力资金重点出击12股(名单),新浪
13502,2018-03-09,今日92只个股突破半年线,中财网
13503,2018-03-09,盘点丨上海人工智能领域投资机构TOP50,亿欧网
13504,2018-03-09,全球一流供应商合力打造捷途X70、X70S,中金在线
13505,2018-03-09,华为公布智能家居战略：从头部公司切入，三年实现百亿美金流水,腾讯网
13506,2018-03-09,刷牙也可以“挖矿”?详解如何刷牙也赚钱,南方财富网
13507,2018-03-09,京东2月数码风云榜出炉 智能机器人销额增幅高达506.7%,砍柴网
13508,2018-03-09,IPO史上最快过会记录，富士康靠的是什么？,维库电子市场
13509,2018-03-09,暴风集团旗下暴风AI电视亮相2018年AWE,中证报
13510,2018-03-09,科大讯飞刘庆峰：要让人工智能走下神坛,新浪
13511,2018-03-08,中国人工智能技术，引领全球智慧手机时代,飞象网
13512,2018-03-08,3月8日中小板高活跃度个股一览,中证报
13513,2018-03-08,突破特征表达方式：微软亚洲研究院CVPR论文DA-GAN，让计算机创造奇妙“新物种”,新智元
13514,2018-03-08,“互联网+医疗”须大数据赋能,Ofweek
13515,2018-03-08,两融余额重返万亿元 融资净买入格局重现,财富动力网
13516,2018-03-08,“独角兽”成市场热词 业务合作也备受投资者关注,股城网
13517,2018-03-08,震荡整理格局 四维图新融资盘回流,投资快报
13518,2018-03-08,北汽昌河将于3月22日 发布全新战略部署,网通社
13519,2018-03-08,厉害！这些公司买了这么多新三板“独角兽”,中财网
13520,2018-03-08,富士康今日上会 这些独角兽概念股可关注,e公司
13521,2018-03-08,这些消息 牛市行情还需进一步确认,财界网
13522,2018-03-08,融资余额重返万亿大关 融资客又回来了——道达早评,每经网
13523,2018-03-08,蓝牙耳机第二春：苹果抢跑，亚马逊BAT跟风,腾讯网
13524,2018-03-08,开年新动作，寻找2018机遇,新京报
13525,2018-03-08,科大讯飞董事长刘庆峰：潜在独角兽要寻找战略投资者,中证报
13526,2018-03-07,两融余额重返万亿 筹码变局折射龙马行情有望回温,证券日报
13527,2018-03-07,全国政协委员、佳都科技CEO刘伟：我国智能交通发展水平落后　意味着市场巨大,每日经济新闻
13528,2018-03-07,全国人大代表、科大讯飞董事长刘庆峰： 人工智能需源头创新 我国有两大产业优势,每日经济新闻
13529,2018-03-07,石述思：AI国家战略升级百度再发力 ，AI+将如何改变中国？,中金在线
13530,2018-03-07,3月7日中小板高活跃度个股一览,中证报
13531,2018-03-07,AI赋能，科大讯飞全面助力智慧广电,中金在线
13532,2018-03-07,喜报!科大讯飞荣获“CNAAⅠ”一级广告企业认证,南方财富网
13533,2018-03-07,主力资金上午最青睐哪些个股,证券时报
13534,2018-03-07,专家：人工智能是新一轮全球科技革命产业变革的核心所在,经参网
