3101,2020-10-19,2020年9月广州房地产市场月报及国庆市场分析（限时送报告）| 研热点,保利投顾研究院
3102,2020-10-19,Ding!地产早茶来了！(10月19日),保利投顾研究院
3103,2020-10-19,地产行业动态跟踪报告：投资延续高增 单月新开工增速转负,新浪
3104,2020-10-18,【天风地产|周观点】销售改善，货币政策精准导向，“因城施策”常态化,天诚地产会
3105,2020-10-18,@品牌房企，泉州市场还有多少露脸机会？,搜狐
3106,2020-10-17,【华西地产·行业周报】20201017：融资新规范围扩大，销售规模同比微降,地产由我说
3107,2020-10-16,房地产9月行业动态报告：9月销售热度稍有降温 关注板块四季度表现9月行业动态报告,新浪
3108,2020-10-16,【国君地产|行业月报】楼市冷暖，市场热寒---龙头房企月报（9月）,小谢看地产
3109,2020-10-16,光大证券--光大房地产行业流动性跟踪报告（2020年9月）需求侧按揭总量受控 供给侧融资加速分化,金融界
3110,2020-10-16,东北证券--房地产行业：国庆假期新房销售同比持平 9月房企销售高基数下延续高增,金融界
3111,2020-10-16,1-9月中国房企新增土地储备报告·观点月度指数,新浪
3112,2020-10-16,最后的尚海湾 泰康人寿传闻接盘里的地产物语,观点地产网
3113,2020-10-15,单楼盘8天成交780套，贝壳全民新房节成品牌房企“超级带货场”,和讯
3114,2020-10-14,"保利地产现1笔大宗交易 共成交1,612.00万元",新浪
3115,2020-10-14,广东上市房企9月份销售金额普涨 拿地补仓意愿强,证券日报
3116,2020-10-14,A股共发生94宗大宗交易成交21.04亿元（10月14日）,Wind
3117,2020-10-14,保利地产今日大宗交易成交100万股，成交价16.12元溢价0.0%,Wind
3118,2020-10-14,杭州一小区新房地暖漏水 开发商为保利融信联营公司,中国经济网
3119,2020-10-14,深圳楼市又要火？ 4宗宅地迎来十多家房企竞逐,券商中国
3120,2020-10-14,深圳一日出让4宗宅地，人才安居集团成最大赢家,经济观察网
3121,2020-10-14,21股获买入评级 最新:小熊电器,中财网
3122,2020-10-14,保利地产(600048)9月经营数据点评：销售高增长 拿地较稳健,新浪
3123,2020-10-14,82股获券商买入评级，万科A目标涨幅达60.77%,Wind
3124,2020-10-14,上市房企“金九”报喜，四季度销售压力仍存,上证报
3125,2020-10-13,A股龙头房企业绩回暖，仍面临市场分化与监管加强双重压力,南都报
3126,2020-10-13,华西证券--房地产行业2020年9月销售数据点评：销售延续强势 各梯队稳步向好,金融界
3127,2020-10-13,房地产行业周报：双节销售韧性延续 土地溢价率边际下行,新浪
3128,2020-10-13,A股融资融券日报：两融余额增加168.27亿元（10月12日）,Wind
3129,2020-10-12,十一黄金周贝壳全民新房节火爆 重庆、武汉等多城市新房卖出超4000套,北京商报
3130,2020-10-12,【华创地产袁豪团队】保利地产9月销售点评：销售保持高增，拿地相对积极,地产豪声音
3131,2020-10-12,保利地产(600048)9月销售数据点评：销售保持高增 拿地相对积极,新浪
3132,2020-10-12,[兴证地产]9月新房二手房月报：9月成交同比保持增长，增速有所下滑,YCMProperty
3133,2020-10-12,重庆、武汉等多地认购破4000套，贝壳全民新房节引领“金九银十”地产营销,和讯
3134,2020-10-12,天风证券：保利地产金九开局表现不俗，补货意愿充足,乐居财经
3135,2020-10-12,机构重仓股跟踪周报,新浪
3136,2020-10-12,保利地产(600048)：金九开局表现不俗 补货意愿充足,新浪
3137,2020-10-12,保利地产9月签约面积347.43万平方米 同比增加27.78%,证券之星
3138,2020-10-12,市场要闻丨大房企折价促销，勉强维持“金九”行情,36氪
3139,2020-10-12,保利地产：近期新增项目16个 总金额134.53亿元,中国网
3140,2020-10-12,A股融资融券日报：两融余额增加132.13亿（10月9日）,Wind
3141,2020-10-12,七大利好能否再拉中阳,中财网
3142,2020-10-12,房地产行业月报：销售延续强势 各梯队稳步向好,新浪
3143,2020-10-12,多家房企9月销售回暖 四季度房企去库存有望加快,证券时报
3144,2020-10-12,上市公司正负面新闻2020年10月12日星期一,Wind
3145,2020-10-12,新增房地产项目16个，保利地产9月签约金额同比增长37%,亿欧网
3146,2020-10-11,多家A股地产公司披露9月销售数据 保利地产签约金额同比增长37%,e公司
3147,2020-10-11,晚间重要公告2020年10月11日星期日,Wind
3148,2020-10-11,公告精选：新余国科停牌核查；保利地产9月份签约金额同比增36.69%,e公司
3149,2020-10-11,【天风地产|周观点】9月以来地产韧性足，国庆热点城市调控持续,天诚地产会
3150,2020-10-11,保利地产(600048.SH)近期新增16个房地产项目,格隆汇
3151,2020-10-11,保利地产：前9月签约销售金额3673.78亿元 同比增5.94%,中国网
3152,2020-10-11,保利地产：9月实现签约金额503.22亿元同比增加36.69%,格隆汇
3153,2020-10-11,保利地产：9月份签约金额503.22亿元，同比增36.69%,Wind
3154,2020-10-11,太原楼市调查：“金九”不金但“银十”在望,搜狐
3155,2020-10-10,“三道红线”下谁还能借到便宜钱？规模上市房企融资成本揭秘,奥一网
3156,2020-10-10,上周重点监测房企共拿地36宗 总出让金约466.96亿,中指院
3157,2020-10-10,南昌|前三季度土地市场表现亮眼!成交总额444.36亿,搜狐
3158,2020-10-09,川财证券：9月金股组合亏损13.22% 10月荐股名单出炉 亏损,新浪
3159,2020-10-09,房地产行业研究：单月增速放缓 加推或成调节剂,华安证券
