22163,2018-10-15,环视四周全是对手 北汽新能源据年销15万辆目标还有多远,EV视界
22164,2018-10-15,[领先大市-A评级]电力设备行业动态分析：特高压高歌猛进 电动车不负旺季,中财网
22165,2018-10-15,新能源行业周报：多方利好 宁德时代展现强者风范,中财网
22166,2018-10-15,[中性评级]汽车行业周报：9月汽车销量出炉 全月零售销量同比下滑14%,中财网
22167,2018-10-15,[推荐评级]电气设备行业事件点评报告：电动车产销提速 产业链企稳在望,中财网
22168,2018-10-15,[买入评级]汽车行业动态：新能源汽车9月产销12.7/12.1万辆 同比增长64.4%/54.8%,中财网
22169,2018-10-15,[强于大市评级]汽车行业点评：9月车市低迷 新能源销量超预期,中财网
22170,2018-10-15,[推荐评级]机械行业周报：看好基本面良好 下跌后估值优势凸显的个股,中财网
22171,2018-10-15,[买入评级]跨市场新能源汽车行业观察之十：9月新能源汽车销量12.1万辆 同比+55% 环比+20%,中财网
22172,2018-10-15,[看好评级]新能源汽车产业链周报：9月新能源汽车和动力电池双双报喜,中财网
22173,2018-10-15,[推荐评级]机械行业周报：9月动力电池装机量同比增66% Q3煤机行业产值或创新高,中财网
22174,2018-10-15,[买入评级]比亚迪(002594)简评：9月产销快报发布 新能源持续发力 燃油车结构向好,中财网
22175,2018-10-15,【G20周刊】宁德时代入选第三批制造业单项冠军企业,高工锂电
22176,2018-10-15,[增持评级]华泰证券交运设备行业周报(第四十一周),中财网
22177,2018-10-15,【中金汽车】周报：9月车市双位数下滑；华晨宝马拟转让中方25%股权,金车研究
22178,2018-10-13,三季度自主品牌销量：主力集体回暖 马太效应加剧,经济观察网
22179,2018-10-13,"94%A股公司获政府补助创新高，79家公司靠""输血""扭亏",Wind
22180,2018-10-12,确认氢燃料电池研发 比亚迪为何自行“打脸”？,Ofweek
22181,2018-10-12,比亚迪涨逾8% 9月份新能源车销量大增,e公司
22182,2018-10-12,港股异动︱9月份整体销量同比升40% 比亚迪(01211)涨5.26%,智通财经
22183,2018-10-12,比亚迪新能源甩燃油车飞奔,盖世汽车
22184,2018-10-11,90台！比亚迪在加拿大再创辉煌战绩,EV视界
22185,2018-10-11,9月汽车销量快报：金九成色不足，集团老大也栽了，唯吉利/奇瑞/比亚迪稳坐泰山,汽车纵横杂志社
22186,2018-10-11,比亚迪商用车亮相深圳物博会,e公司
22187,2018-10-11,比亚迪发布9月销量，同比增38%达45029辆,中金在线
22188,2018-10-11,比亚迪纯电动9月销量1.21万辆 增长314%,我的钢铁
22189,2018-10-11,比亚迪踏足北美19年累计投入逾3亿美元,中新网
22190,2018-10-11,港股快讯：比亚迪股价现报47.95港元 下跌4%,格隆汇
22191,2018-10-11,全国销量第一 比亚迪新能源汽车9月售25019辆,车质网
22192,2018-10-11,比亚迪新能源车9月销量大涨121% 占据当月销量近6成份额,中金在线
22193,2018-10-11,比亚迪9月销量达47913辆 新能源汽车增幅达138%,盖世汽车
22194,2018-10-11,【国泰君安国际策略速评】汽车行业：比亚迪(01211.HK)：新能源车九月销量高增长，燃油车持稳,国泰君安证券香港
22195,2018-10-11,比亚迪9月销量大涨 新能源车首次突破2.5万辆,车质网
22196,2018-10-11,11日公告透露利好 20只个股有望爆发,中金在线
22197,2018-10-11,【中金汽车】比亚迪：新能源乘用车月销创新高；助力业绩回升,金车研究
22198,2018-10-11,【招商汽车|公司点评】比亚迪：9月销量超预期，新能源新车型保持强势,招商汽车研究
22199,2018-10-11,比亚迪宋MAX车主原音回放 再现调查现场,车质网
22200,2018-10-11,"新能源行业周报:积极的因素在增多,行业景气度在转好",信达证券
22201,2018-10-10,中通客车三季度净利预降七成 新能源客车行业持续下滑 盈利能力下降,e公司
22202,2018-10-10,万安科技：子公司成为比亚迪产品供应商,e公司
22203,2018-10-10,"*DJ 比亚迪∶9月销量为47,913辆",道琼斯
22204,2018-10-10,比亚迪：9月新能源汽车销量达2.79万辆 环比增长27.8%,e公司
22205,2018-10-10,比亚迪：1-9月新能源汽车累计销量14.34万辆,Wind
22206,2018-10-10,新能源汽车行业周报:212款车型进入工信部第10批新能源汽车推荐目录,渤海证券
22207,2018-10-09,新能源行业周报:产品升级有望推动新能源汽车年末产销爆发增长,爱建证券
22208,2018-10-08,比亚迪：今年汽车销量会率先实现高增长,Wind
22209,2018-10-08,比亚迪午后异动重挫5.17%报46.56元 成交4.58亿元,腾讯网
22210,2018-10-08,比亚迪：公司有氢燃料电池相关研究,e公司
22211,2018-10-08,比亚迪：将根据业务发展的具体情况推进动力电池独立和上市,Wind
22212,2018-10-08,iCET：2018年新能源汽车市场开放指数报告（附下载）,199IT
22213,2018-10-07,工信部第10批新能源汽车推荐目录 威马／比亚迪／江铃等入选,EV视界
22214,2018-10-07,比亚迪股票分析：新能源汽车销量增长迅速，新品加注智能化,南方财富网
22215,2018-10-05,都5号了还没出去玩？那你一定是没买这几款适合全家出行的神车,和讯
22216,2018-10-05,共31款车型 第10批新能源汽车推荐目录,汽车之家
22217,2018-10-01,8 月份全球新能源车销量出炉 特斯拉总销量第一,第一电动网
22218,2018-10-01,中国8月新能源车电机装机量破10万，比亚迪/北汽新能源/联合电子排前三,第一电动网
22219,2018-09-30,【零售市场分析】8月新能源乘用车零售市场分析报告出炉：继7月销量低谷强势回升30%！,盖世汽车
22220,2018-09-30,动力电池8月装机量4.2GWh，磷酸铁锂占比增加,第一电动网
22221,2018-09-30,股神巴菲特投资比亚迪 十年赚146%,新浪
22222,2018-09-30,继7月销量低谷强势回升30%！8月新能源乘用车零售市场分析报告出炉,盖世汽车每日速递
22223,2018-09-30,8月全球电动车销量: 特斯拉夺双冠 中国电动车表现抢眼,盖世汽车
22224,2018-09-30,"新能源汽车行业产业链中报业绩解析:短期行业基本面改善,中长期重视龙头突围",国海证券
22225,2018-09-29,第五届储能创新与技术峰会2018,金融界
22226,2018-09-29,新出行视频丨URBAN LIGHT 城市之光 比亚迪唐 DM 大片,第一电动网
22227,2018-09-29,8月三电装机量分析：电池装机量同比增长44% 比亚迪电机电控装机量领先,盖世汽车
22228,2018-09-29,新出行试车 | 吴颖体验比亚迪全新一代宋DM,第一电动网
22229,2018-09-29,"新能源行业周报:继续看好阶段性反弹,布局景气度高的环节",信达证券
22230,2018-09-29,"汽车和汽车零部件行业:2018年10月新能源汽车产业链观察,中长期投资时点到来,短期或受补贴政策扰动",国金证券
22231,2018-09-28,疑用控股公司来“虚增营收”，这家中国新能源汽车代表公司背后暗含什么玄机？,和讯
22232,2018-09-28,助力“蓝天保卫战”，比亚迪纯电动出租车拉力赛在太原举行,EV视界
22233,2018-09-28,比亚迪突破国外垄断，自主研发IGBT列入核心竞争力,Wind
22234,2018-09-28,电动车产业链“大洗牌”加速 业内称产业链存活率不超过10%,经济观察网
22235,2018-09-28,8月方形电池装机量TOP10 前两名容量占比超8成,上海有色
22236,2018-09-28,多次摘下新能源销量桂冠的比亚迪，是实至名归还是徒有虚表？,亿欧网
22237,2018-09-28,一电排行榜 | 新能源乘用车8月产量排行：比亚迪元夺冠 蔚来产量攀升 小鹏/电咖无产出,第一电动网
22238,2018-09-28,巨丰热点：新能源汽车板块呈现活跃 北汽蓝谷盘中涨停,巨丰财经
22239,2018-09-28,【锂电G20】锂电池结构件龙头科达利的制胜利器,高工锂电
22240,2018-09-28,“双面”比亚迪:营收反常遭质疑 50亿公司债曝光底牌?,财经网
22241,2018-09-28,[新车速览]秦Pro主打新能源 哈弗F5领衔年轻化潮流,中国经济网
22242,2018-09-27,北汽新能借壳首日跌36% 新能源整车第一股名不副实？,新浪
22243,2018-09-27,北汽新能源VS蔚来，上市背后有何不同？,亿欧网
22244,2018-09-27,"比亚迪：8月汽车销量同比增长42.1%,全新一代宋纯电版性能指标抢眼",中证网
22245,2018-09-27,综述：中企搭载新技术登陆汉诺威商用车展,新华网
22246,2018-09-27,与奔驰、宝马、比亚迪共享市场 超威集团新能源汽车业务打进东南亚,Ofweek
22247,2018-09-27,机械行业周报：布局油服能源及半导体设备 自下而上精选优质个股,中证网
22248,2018-09-27,同比增长近两倍 谁该向插电混动要红利,盖世汽车
22249,2018-09-27,比亚迪投资500万美元在美建仓储设施 提高电动巴士生产能力和效率,盖世汽车
22250,2018-09-27,广汽新能源的后发优势,盖世汽车
22251,2018-09-27,比亚迪突破国外垄断，自主研发IGBT列入核心竞争力,维库电子市场
22252,2018-09-27,312批新车公示配套电池电机企业排行 宁德时代中车时代稳占鳌头,盖世汽车
22253,2018-09-27,比亚迪秦Pro,新京报
22254,2018-09-27,"电气设备行业周报:新能源车中游需求发力,特高压建设提速",国海证券
22255,2018-09-26,多家券商新能源车草根调研：旺季来临，机不可失！,和讯
22256,2018-09-26,数说丨销量差距超2万辆 新能源车企冰火两重天,每日经济新闻
22257,2018-09-26,借壳上市北汽新能源面临的到底是机遇还是风险,和讯
22258,2018-09-26,晚间最新研报 明日6股值得关注,中财网
22259,2018-09-26,27日机构强推买入 五股成摇钱树,证券之星
22260,2018-09-26,汽车：行业估值底部 关注龙头企业,上海证券
22261,2018-09-26,2018中国闪存市场峰会：聚焦技术创新和市场突破，盛况空前,中国电子报
22262,2018-09-26,比亚迪报55.35港元涨1.1% 暂成交2.58亿港元,格隆汇
22263,2018-09-26,比亚迪青海24Gwh三元电池明年底将全部达产,电缆网
22264,2018-09-26,纯电动比亚迪夺冠，混合动力重度低迷，新能源客车走势分析,第一商用车网
22265,2018-09-26,新能源汽车行业周报:合资车企推出新能源车型,渤海证券
22266,2018-09-25,上市公司员工持股计划四周年盘点：亏多赚少,中国经济周刊
22267,2018-09-25,汽车：车市下行压力依旧 下滑幅度有所收窄,国海证券
22268,2018-09-25,电气设备：新能源车中游需求发力 荐13股,国海证券
22269,2018-09-25,汽车：上周汽车板块整体上涨4.08% 荐5股,广发证券
22270,2018-09-25,比亚迪：旗下玻璃业务出货状况良好，将成盈利增长点,Wind
22271,2018-09-25,比亚迪巧用利润调节器，或存用控股公司虚增营收嫌疑,Wind
22272,2018-09-25,比亚迪巧用利润调节器 或存用控股公司虚增营收嫌疑 欺诈造假,新浪
22273,2018-09-25,三元锂遭受质疑，磷酸铁锂悄悄收回失地,维库电子市场
22274,2018-09-25,【G20周刊】天赐材料2000吨LiFSI项目预计明年底投产,高工锂电
22275,2018-09-25,巨丰早评：市场大起大落可能性很低,巨丰财经
22276,2018-09-25,汽车板块驶入热点快车道 六股有望率先发力,中证报
22277,2018-09-24,不造车的阿里如何 跑赢汽车变革的下半场,第一财经
22278,2018-09-24,“车型”千姿百态迎金秋 上周共有11款新车上市,网通社
22279,2018-09-24,机械制造：煤机龙头利润弹性有望逐步显现 荐10股,和讯
