2589,2020-08-05,民生银行西安分行：推广“免还续贷” 纾困小微企业,第一财经
2590,2020-08-05,A股融资融券日报：两融余额增加42.15亿元（8月4日）,Wind
2591,2020-08-05,银行行长离职去哪儿了？密集“下海”案例锐减 董监高成员变化,Wind
2592,2020-08-05,民生银行五一劳动奖评选结果,中国金融新闻网
2593,2020-08-05,云图控股与祺鲲科技“相拥”区块链 创新性破解农村小微企业融资难,证券日报
2594,2020-08-04,债券重大事件2020年8月4日星期二,Wind
2595,2020-08-04,24载“老建行”袁桂军 或“空降”民生银行任副行长,新浪
2596,2020-08-04,云图控股携手祺鲲科技破解农业融资难题获肯定,凤凰网
2597,2020-08-04,A股融资融券日报：两融余额增加245.57亿元（8月3日）,Wind
2598,2020-08-04,“芒果大王”的致富经,中国金融新闻网
2599,2020-08-04,公募基金持银行股比例降至历史次低,Wind
2600,2020-08-04,黄金价格大涨之后门店消费冷清，实物回购火热,Wind
2601,2020-08-03,招商证券原固收总经理获刑 5年利益输送6家公司2.7亿 其他违规处罚,中国经济网
2602,2020-08-03,光伏组件价格反弹不改长期下降趋势,Ofweek
2603,2020-08-03,A股融资融券日报 ：两融余额增加78.75亿元（7月31日）,Wind
2604,2020-08-03,银行股遇尴尬：股东高管买买买、公募基金卖卖卖,Wind
2605,2020-08-03,原油宝“后遗症”？多家银行暂停账户铂金、钯金开仓,国际金融报
2606,2020-08-03,银行股遇尴尬：股东高管买买买公募基金卖卖卖,证券时报
2607,2020-08-02,银行股迎来投资“两极世界”：公募仓位降至历史最低，高管却在买买买,券商中国
2608,2020-08-02,银行股又迎尴尬时刻！公募疯狂减持，仓位降至历史次低，银行股东、高管却在买买买,券商中国
2609,2020-08-02,"""原油宝""爆雷新进展！27省高院公告案件集中管辖",券商中国
2610,2020-08-02,银行股又迎尴尬时刻！公募疯狂减持，仓位降至历史次低，银行股东、高管却在买买买，到了贪婪时刻？ 减持股份,券商中国
2611,2020-08-01,央行及银保监会行政处罚汇总（7月27日-7月31日） 金融监管处罚,Wind
2612,2020-07-31,宁波银保监局：对民生银行宁波分行作出行政处罚，罚款25万元 金融监管处罚,Wind
2613,2020-07-31,保理业务办理不规范，民生银行一分行被罚25万 金融监管处罚,中新经纬
2614,2020-07-31,民生银行宁波分行被罚25万：保理业务办理不规范 金融监管处罚,新浪
2615,2020-07-31,A股融资融券日报 ：两融余额增加76.12亿元（7月30日）,Wind
2616,2020-07-31,银行系金融科技，子公司增至11家,Wind
2617,2020-07-30,手握700亿财富地产大佬退休！疑卷入“腐败”风波的它，路在何方,投资家
2618,2020-07-30,多家银行暂停账户贵金属开仓,Wind
2619,2020-07-30,A股融资融券日报 ：两融余额增加148.46亿元（7月29日）,Wind
2620,2020-07-29,多家银行暂停账户贵金属开仓 吸取原油宝事件教训？,新浪
2621,2020-07-29,民生银行股东累计质押30.36亿股 占总股本6.93%,资本邦
2622,2020-07-29,【权益变动】民生银行(01988-HK)获非执董刘永好所控法团两日增持1535.75万股,财华社
2623,2020-07-29,A股融资融券日报：两融余额增加24.98亿元（7月28日）,Wind
2624,2020-07-29,港股盘前必读：泰格医药首日孖展额度高达408.35亿港元超购68.35倍,Wind
2625,2020-07-29,每日理财观察：央行摸底线上消费贷款流入楼市,Wind
2626,2020-07-29,期市投资参考：纽约期金刷新历史新高，国际油价集体下跌,Wind
2627,2020-07-29,民生银行(01988.HK)获非执行董事刘永好三日增持2705.75万股,格隆汇
2628,2020-07-28,民生银行(01988.HK)变更持续督导保荐机构及保荐代表人,格隆汇
2629,2020-07-28,民生银行：股东中国泛海解除质押约1.14亿股，新增质押约1.14亿股,每日经济新闻
2630,2020-07-28,民生银行(600016.SH)：中国泛海解押、质押均为约1.14亿股,格隆汇
2631,2020-07-28,银行行业周报：LPR连续3月维持不变 Q2基金重仓银行比例仅2.28%,新浪
2632,2020-07-28,多家银行暂停账户铂金、钯金开仓交易！担心“原油宝”事件再现？,中证报
2633,2020-07-28,金融街下午茶2020年7月28日星期二,Wind
2634,2020-07-28,A股融资融券日报：两融余额增加44.04亿元 （7月27日）,Wind
2635,2020-07-28,今年已有1639家银行网点终止营业，线下业务规模加速缩减 业务变化,Wind
2636,2020-07-27,民生银行(01988.HK)股东中国泛海先解质后质押1.14亿股公司A股,格隆汇
2637,2020-07-27,5年输送利益2.74亿！债市精英职务侵占案细节曝光,券商中国
2638,2020-07-27,时代银行周报 | 资产质量压力隐现，银行业需未雨绸缪,时代在线
2639,2020-07-27,银行行业周报：中小银行MPA考核或放松 信贷扩张可期,新浪
2640,2020-07-27,A股融资融券日报：两融余额减少187.18亿元（7月24日）,Wind
2641,2020-07-27,民生银行(01988.HK)获非执董刘永好两日增持893.85万股,格隆汇
2642,2020-07-26,【兴证金融 傅慧芳】LPR连续3月维持不变，Q2基金重仓银行比例仅2.28%——银行业周报（200718-200724）,兴证金融
2643,2020-07-24,刘永好耗资1.2亿连续5日增持民生银行H股 最新持股1.89%,新浪
2644,2020-07-24,刘永好9个月增持34次民生银行股权 只差0.036％到举牌线,腾讯网
2645,2020-07-24,智通港股沽空统计|7月24日,智通财经
2646,2020-07-24,A股融资融券日报：两融余额增加86.87亿元（7月23日）,Wind
2647,2020-07-24,民生银行呼和浩特大南街支行举办财商系列活动,腾讯网
2648,2020-07-23,大唐地产三战港股IPO 信托贷款占比曾高达7成,新浪
2649,2020-07-23,民生银行：中国泛海控股集团有限公司解除质押约1.14亿股,每日经济新闻
2650,2020-07-23,增持+举牌，多路资本开启“买买买”模式,Wind
2651,2020-07-23,民生银行南京分行：全力当好江苏“六稳”“六保” 金融服务生力军,中国金融新闻网
2652,2020-07-23,六稳六保，民生在行动系列报道 ——知名餐企急需千万流动资金 民生银行为渝企纾困解难,上游新闻
2653,2020-07-23,OPPO替补华为、中国乔丹起诉亚马逊、美联航二季度营收暴跌87%,云掌财经
2654,2020-07-23,滴滴回应上市传闻；刘永好33次增持民生银行；科创板一年催生7名百亿富豪,中国企业家网
2655,2020-07-23,A股融资融券日报：两融余额增加72.2亿元（7月22日）,Wind
2656,2020-07-22,民生银行(01988.HK)股东中国泛海先解质后质押1.14亿股公司A股,格隆汇
2657,2020-07-22,四川华体照明科技股份有限公司关于暂时使用闲置募集资金进行现金管理到期赎回并继续,证券时报
2658,2020-07-22,刘永好连续三日增持民生银行H股，新一届董事会选举重启在即,澎湃新闻
2659,2020-07-22,非执行董事刘永好两日增持民生银行(01988)1199.7万股，总金额约为5966.09万港元,智通财经
2660,2020-07-22,刘永好9个月增持民生银行33次距离5%举牌线仅一步之遥,格隆汇
2661,2020-07-22,刘永好又出手了！9个月增持民生银行33次,券商中国
2662,2020-07-22,公募基金A股二季报出炉，17张图纵览持仓变化,Wind
2663,2020-07-22,——记民生银行成都东大街支行服务经理骆彦俐,中国金融新闻网
2664,2020-07-22,银行周报第23期：理财步入正轨 LPR利率已维持4个月无变化,新浪
2665,2020-07-22,A股融资融券日报：两融余额增加16.15亿元（7月21日）,Wind
2666,2020-07-22,港股盘前必读：据悉滴滴出行正计划最快年内在香港IPO,Wind
2667,2020-07-22,新增资金流向制造业，如何保证,经济日报
2668,2020-07-22,分红派息渐近尾声，资金抢权推高银行股估值,Wind
2669,2020-07-22,民生银行(01988.HK)获非执董刘永好两日增持1199.7万股,格隆汇
2670,2020-07-21,六稳六保，民生在行动系列报道 ——“医药通”施妙手 民生银行助药企蓬勃发展,上游新闻
2671,2020-07-21,A股融资融券日报：两融余额增加127.02亿元（7月20日）,Wind
2672,2020-07-21,民生银行(01988.HK)获非执董刘永好增持313.9万股,格隆汇
2673,2020-07-20,民生银行(01988)股东中国泛海先解押后质押5136万股A股,智通财经
2674,2020-07-20,民生银行(01988.HK)股东中国泛海先解押后质押5136万股A股,格隆汇
2675,2020-07-20,中国泛海解押再质押民生银行5136万股股份,观点地产网
2676,2020-07-20,民生银行(600016.SH)：股东中国泛海解除质押及质押5136万股,格隆汇
2677,2020-07-20,用AI的线团，解开金融行业的米拉诺斯迷宫,DoNews
2678,2020-07-20,A股融资融券日报：两融余额减少64.64亿元（7月17日）,Wind
2679,2020-07-19,厦门一公司非法结算逾4000万 民生、中信、浦发银行为通道方 其他违规处罚,新浪
2680,2020-07-19,中国败家第 1 人！百亿家财散尽，昔日山西首富李兆会债务无人接盘,砍柴网
2681,2020-07-19,银证保监管分头接管华夏人寿、国盛证券等九家金融机构,信托网
2682,2020-07-18,民生银行信用卡中心：智能客户联络体系案例评述,新浪
2683,2020-07-17,股东华夏人寿被接管 民生银行(01988)正常经营没有重大不利影响,智通财经
2684,2020-07-17,高迎欣正式就任民生银行董事长,北京商报
2685,2020-07-17,民生银行：高迎欣董事长任职资格获核准,新浪
2686,2020-07-17,民生银行(600016.SH)：中国银保监会委托国寿健康托管华夏人寿,格隆汇
2687,2020-07-17,民生银行(600016.SH)：董事长高迎欣任职资格获银保监会核准,格隆汇
2688,2020-07-17,民生银行：银保监会接管华夏人寿对公司正常经营没有重大不利影响,Wind
2689,2020-07-17,泛海控股资金链迎大考年内逾200亿债务到期,中新经纬
2690,2020-07-17,A股融资融券日报：两融余额减少62.73亿元（7月16日）,Wind
2691,2020-07-17,国内债市盘前2020年7月17日星期五,Wind
2692,2020-07-17,民生银行北分中小企业金融服务成效显著,北青网
2693,2020-07-16,A股融资融券日报：两融余额增加10.73亿元（7月15日）,Wind
2694,2020-07-15,民生银行(01988)：中国泛海持有的公司5136万股解除质押及再质押,智通财经
2695,2020-07-15,民生银行(600016.SH)：中国泛海质押5136万股,格隆汇
2696,2020-07-15,中国短期融资券及中期票据信用分析周报,新浪
2697,2020-07-15,银企签约，数字化转型合作空间大,中国橡胶网
2698,2020-07-15,银行理财产品周报,新浪
2699,2020-07-15,航新科技(300424.SZ)：拟向民生银行申请不超1.5亿元授信额度,格隆汇
2700,2020-07-15,银保监会严禁资金违规流入股市，如何影响A股？,Wind
2701,2020-07-15,A股融资融券日报：两融余额增加130.07亿元（7月14日）,Wind
2702,2020-07-15,3成A股上市银行股权质押率超10%，监管、银行多项措限制高比例质押股东表决权,Wind
2703,2020-07-14,央行开展300亿元7天期逆回购操作，净投放300亿元,Wind
2704,2020-07-14,A股融资融券日报：两融余额增加324.89亿元（7月13日),Wind
2705,2020-07-14,民生银行：取消召开“19伊利实业SCP006”持有人会议,Wind
2706,2020-07-13,民生银行(01988):泛海国际质押823.75万股公司股份,智通财经
2707,2020-07-13,民生银行(01988.HK)：泛海国际质押824万股公司A股,格隆汇
2708,2020-07-13,聚焦银行板块，持续低估值，后市路在何方？,Wind
2709,2020-07-13,民生银行：股东泛海国际质押约824万股,每日经济新闻
2710,2020-07-13,民生银行(600016.SH)：泛海国际质押823.75万股,格隆汇
2711,2020-07-13,民生银行：拟于7月27日召开“19昆山创业MTN002”持有人会议,Wind
2712,2020-07-13,民生银行沈阳分行：多措并举助力企业复工复产,经济观察网
2713,2020-07-13,民生银行南京分行：高效服务支持小微企业复工复产,经济观察网
2714,2020-07-13,民生银行合肥分行：服务联动助推银企合作共赢,经济观察网
2715,2020-07-13,民生银行乌鲁木齐分行：“超值贷”助力小微企业复工忙,经济观察网
2716,2020-07-13,民生银行济南分行：专业服务助力战略民企发展,经济观察网
2717,2020-07-13,A股融资融券日报：两融余额增加157.62亿元（7月10日）,Wind
2718,2020-07-12,民生银行(01988-HK)(600016-CN)股东股份解押,财华社
2719,2020-07-12,民生银行：倾力做好“稳企业”金融服务,经济观察报
2720,2020-07-11,赛轮集团与民生银行达成战略合作,轮胎世界网
2721,2020-07-11,民生银行倾力服务“六稳”“六保”,中国经营报
2722,2020-07-11,民生银行武汉分行：“提质降本”助力中小微企业,新浪
2723,2020-07-11,民生银行温州分行：精准高效服务战略民企,中国经营报
2724,2020-07-11,民生银行南京分行：强化对“稳企业”的金融支持,新浪
2725,2020-07-11,民生银行杭州分行：综合服务助力科创企业成长,新浪
2726,2020-07-10,民生银行成都分行员工勇救落水男孩 面对感激婉言“只是举手之劳”,金融投资报
2727,2020-07-10,未持牌从事资金清算，厦门中南支付被判非法经营罪 其他违规处罚,和讯
2728,2020-07-10,泛海控股境外公司就7.5亿港元融资再申请展期1年 违约失信,观点地产网
2729,2020-07-10,中国民生银行股份有限公司20红狮SCP004信用风险缓释凭证信息披露文件,银行间市场协会
2730,2020-07-10,7月10日，民生银行通过线上VR新形式，正式启动了以“彼此相连”为主题的“2020小微金融特别服务年”活动。,新华网
2731,2020-07-10,泛海控股(000046.SZ)：中国通海金融向民生银行再次申请融资展期 违约失信,格隆汇
2732,2020-07-10,民生银行深圳分行：推出多重优惠 助力小微企业走出困境,每经网
2733,2020-07-10,民生银行长春分行：强化金融服务 精准支持小微企业发展,每日经济新闻
2734,2020-07-10,民生银行兰州分行：加强银企联动 高效支持医药企业,每日经济新闻
2735,2020-07-10,民生银行广州分行：创新供应链金融支持企业复工复产,每日经济新闻
2736,2020-07-10,遇见民生 遇见更好的自己,中国金融新闻网
2737,2020-07-09,民生银行：强化金融担当 提升服务质效,每日经济新闻
2738,2020-07-09,民生银行海口分行金融知识宣传进乡村,证券导报
2739,2020-07-09,A股融资融券日报：两融余额增加327.95亿元（7月8日),Wind
2740,2020-07-08,不足半年盛京银行再换帅！70后沈国勇接棒肖瑞彦 董监高成员变化,金融界
2741,2020-07-08,银行理财产品周报,新浪
2742,2020-07-08,民生银行：泛海控股解除质押约5136万股,每日经济新闻
2743,2020-07-08,民生银行(01988)：股东中国泛海5136万股解除质押,智通财经
2744,2020-07-08,民生银行(600016.SH)：中国泛海解押及再质押5136万股,格隆汇
2745,2020-07-08,A股融资融券日报：两融余额增加267.17亿元（7月7日),Wind
2746,2020-07-07,盛京银行不到半年再换行长：49岁常务副行长沈国勇接棒,澎湃新闻
2747,2020-07-07,独家！民生银行董事提议给洪崎发1500万元奖励【探针】,新浪
2748,2020-07-07,有表有真相，大涨之后银行股竟然还有市净率0.5的便宜货,Wind
2749,2020-07-07,A股融资融券日报：两融余额增加389.61亿元（7月6日),Wind
2750,2020-07-06,民生银行(01988)将于7月13日派A股现金红利每股0.37元,智通财经
2751,2020-07-06,36家银行股23家涨停！板块涨幅超9％，国有大行涨幅靠后,腾讯网
2752,2020-07-06,民生银行(600016.SH)：年报推10派3.7元 股权登记日7月10日,格隆汇
