7012,2018-11-26,电力设备行业周报:青海~河南、陕北~武汉特高压工程开始设备招标,渤海证券
7013,2018-11-23,厦钨长汀金龙获评金风科技首批绿色供应商,上海有色
7014,2018-11-22,人民大学首次发布“2018中国能源企业创新能力百强榜单”,光明网
7015,2018-11-21,【晨会纪要】策略丁文 银河证券晨会纪要—20181121,中国银河证券研究
7016,2018-11-21,原油重挫美油创一年多新低 利好及利空股一览,金融界
7017,2018-11-21,可再生能源电力配额制实施在即 逾6亿大单抢筹10股,证券日报
7018,2018-11-21,蓝箭航天获3亿融资 中国民营航天投资激增,第一财经日报
7019,2018-11-21,"电气设备行业点评:配额制加速落地,19年正式考核",国联证券
7020,2018-11-20,拼多多2018Q3营收33.72亿元同增697%；高德上线“未来行程规划”，可提供未来某时段出行建议丨【每日播报】,阿特列斯如是说
7021,2018-11-20,民营火箭企业蓝箭航完成金额为3亿元人民币B+轮融资,DoNews
7022,2018-11-20,民企蓝箭航天获3亿元B+轮融资，用于液体火箭研制、基建,澎湃新闻
7023,2018-11-20,民营火箭企业蓝箭航天B+轮获投3亿元 累计融资超8亿,新浪
7024,2018-11-20,曾发射民营运载火箭朱雀一号的蓝箭航天宣布融资3亿,凤凰网
7025,2018-11-20,华创资本领投，蓝箭航天完成B+轮3亿融资,亿欧网
7026,2018-11-20,民营火箭企业蓝箭获3亿元B+轮融资 华创资本领投,网易
7027,2018-11-20,电新行业：配额制临近新能源板块迎新机遇,联讯证券
7028,2018-11-20,"可再生能源配额制第三版征求意见稿解读:配额制落地时间明确,市场化机制促进新能源消纳",申万宏源
7029,2018-11-20,"电力设备行业:望眼全球,格局为大",安信证券
7030,2018-11-19,可再生能源电力配额制1月1日执行 新能源企业有望与供电公司谈判电价,证券日报
7031,2018-11-19,电气设备：细则更细 新添激励指标,国信证券
7032,2018-11-19,浙商·电新公用环保 | 配额制三征意见，政策或助环保企业经营改善,浙商证券研究所
7033,2018-11-19,海外机构调研数量环比增660%，逾九成被调研个股实现上涨,证券日报
7034,2018-11-19,海外机构调研上市公司数量环增660%,证券日报
7035,2018-11-19,电力设备新能源行业周报:可再生能源配额制第三版征求意见稿发布,光大证券
7036,2018-11-19,电力设备与新能源行业周报:新能源和电动车优质龙头成长性看好,东吴证券
7037,2018-11-19,"电力设备与新能源及公用环保行业周报:配额制三征意见,政策或助环保企业经营改善",浙商证券
7038,2018-11-19,电力设备行业周报:国家电网在欧盟的首个电网EPC项目正式竣工,渤海证券
7039,2018-11-18,电气设备：关注风电行业制造环节的盈利改善,川财证券
7040,2018-11-17,77只股吸金逾200亿 10家公司净利润有望同比增逾50%,中国经济网
7041,2018-11-16,东旭蓝天荣获“2018中国新能源产业最具成长性上市公司”奖,每经网
7042,2018-11-16,【晨会纪要】策略丁文 银河证券晨会纪要—20181116,中国银河证券研究
7043,2018-11-16,【中信建投电新】电源设备：配额制再征意见，19年考核加速落地,新能源沙龙
7044,2018-11-16,可再生能源配额制落地在即 消纳改善利好龙头(受益股),金融界
7045,2018-11-16,"电新新能源专题之一:配额制明年将执行,确保新能源消纳,稳定装机需求",联讯证券
7046,2018-11-14,11月14日 主力资金近三日都在买这些概念股,每日经济新闻
7047,2018-11-14,风电行业：销售回暖,申万宏源
7048,2018-11-13,建信基金权益产品“腿短”，靠货基规模独大收取巨额管理费,和讯
7049,2018-11-13,11月13日 主力资金近三日都在买这些概念股,每日经济新闻
7050,2018-11-13,"电力设备行业:守得云开,方见月明",安信证券
7051,2018-11-12,VIP资讯分享：A.华为发布HiAI2.0平台 麒麟芯片再引关注。,首席投顾说
7052,2018-11-12,【12日资金路线图】主力资金净流入65亿 龙虎榜机构抢筹4股,证券时报网
7053,2018-11-12,11月12日A股龙虎榜揭秘，机构最青睐4股,Wind
7054,2018-11-12,机构今日买入这4股 抛售首航节能9801万元,第一财经
7055,2018-11-12,金风科技龙虎榜数据（11月12日）,Wind
7056,2018-11-12,外资动向|北向资金连续四个交易日增仓 沪深股通流入超14亿元,腾讯网
7057,2018-11-12,恒指收涨0.12%报25633点 券商板块再显强势,金融界
7058,2018-11-12,龙虎榜：金风科技放量涨停 三家机构席位买入近1.5亿元,e公司
7059,2018-11-12,金风科技今日放量涨停，三机构席位买入1.47亿元,Wind
7060,2018-11-12,【超级大单】 11月12日 7只个股特大单净流入超亿元,每日经济新闻
