,2021-12-30,华西证券：给予百隆东方买入评级,证券之星
134,2021-06-15,纺织服装行业2021年度中期投资策略：顺势·崛起,新浪
135,2021-06-11,百隆东方龙虎榜数据（6月11日）,Wind
136,2021-06-02,纺织服装板块走强，机构建议关注三条主线,第一财经
137,2021-05-27,百隆东方(601339)：2021年第二期股票期权激励计划授予,证券时报网
138,2021-05-24,发生了什么？多家银行高管及家属陷“短线交易门”,Wind
139,2021-05-21,纺织服装5月投资策略：行业供需两旺 关注绩优龙头,新浪
140,2021-05-20,发改委调研纺织行业运行情况，消费回暖三大细分赛道受益丨牛熊眼,第一财经
141,2021-05-18,纺织服装行业周报：关注21Q1强势复苏及21Q2迎拐点标的,新浪
142,2021-05-10,纺织服装双周报202106期：消费景气订单充足 布局绩优龙头,新浪
143,2021-05-10,华金证券--纺织服装行业年报季报小结及前瞻：可选消费恢复性高增长，积极关注服装持续复苏【行业研究】,金融界股吧
144,2021-05-10,【中银纺服】板块总结&下半年投资策略：疫情后行业改善明显，布局品牌龙头,微信
145,2021-05-07,纺织服装行业：印度疫情恶化看好上游纺织,纺织网
146,2021-05-07,纺织服装行业：印度疫情恶化看好上游纺织产业链龙头,纺织网
147,2021-04-30,一周机构评级：26股获扎堆推荐 18股看涨空间超20%,证券时报网
148,2021-04-29,【机构风向标】26股获机构高频力荐，18股上涨空间超20%,证券时报网
149,2021-04-29,印度疫情持续发酵纺织订单或流向我国机构看好这些概念股,第一财经
150,2021-04-28,A股异动丨百隆东方(601339.SH)逼近涨停 首季净利大增逾2倍,格隆汇
151,2021-04-27,百隆东方：2021年第一季度净利润约2.23亿元，同比增加212.64%,每日经济新闻
152,2021-04-27,百隆东方(601339.SH)一季度归母净利同比增212.64%至2.23亿元,智通财经
153,2021-04-27,百隆东方：一季度净利润同比增长212.64%,Wind
154,2021-04-27,印度疫情恶化，国内纺织服装企业或迎机遇，美邦服饰等涨停,证券时报网
155,2021-04-27,印度疫情概念股继续发酵，制剂出口，医疗服务等医药股走强,新浪
156,2021-04-27,一线|印度新一轮疫情凶猛 欧美客户直接下单中国纺企 回流单5~6月还会增加,财联社
157,2021-04-27,【行情】纺织制造板块开盘走高，众望布艺涨停，孚日股份、百隆东方、新野纺织、金春股份跟涨,金十数据
158,2021-04-22,百隆东方(601339.SH)完成授予2200万份股票期权,智通财经
159,2021-04-22,百隆东方(601339.SH)：2020年度净利升22.92%至3.66亿元拟10派2元,格隆汇
160,2021-04-22,百隆东方：2020年净利润同比增长22.92%,Wind
161,2021-04-20,浙商马莉 林骥川 || 华孚时尚：主业优势稳固复苏明确，落子工业互联网打开新天地──华孚时尚深度报告,纺服新消费马莉团队
162,2021-04-19,纺织服装行业点评报告：一季报高增长龙头表现强势 低估值个股值得关注,浙商证券
163,2021-04-16,浙商马莉 林骥川 | 行业观点：全面看多Q1高增长、低估值标的,纺服新消费马莉团队
164,2021-04-14,纺织服装上市公司业绩频频预喜 森马服饰一季度净利预增超17倍,证券时报
165,2021-04-14,A股早报2021年4月14日星期三,Wind
166,2021-04-13,订单增加产能复苏 百隆东方预计一季度净利润同比增长190%至230%,证券日报网
167,2021-04-13,百隆东方龙虎榜数据（4月13日）,Wind
168,2021-04-13,华西证券--百隆东方：年报及一季报均超预期，长期看好份额提升【公司研究】,金融界股吧
169,2021-04-13,百隆东方(601339)：2020年度净利增长27.15%,挖贝网
170,2021-04-12,百隆东方：2020年净利润同比增长27.15%（业绩快报）,Wind
171,2021-04-12,百隆东方：一季度预计净利润同比增长190.0%~230.0%,Wind
172,2021-04-12,百隆东方(601339.SH)2020年业绩快报 净利润3.79亿元 同比增长27%,智通财经
173,2021-04-12,百隆东方(601339.SH)一季度净利同比预增190%-230%,智通财经
174,2021-04-12,百隆东方(601339.SH)：2021年一季度净利预增190%-230%,格隆汇
175,2021-04-12,融资客青睐7股，奥来德买入占比高达58.68%,Wind
176,2021-04-01,百隆东方(601339)：2021年第一期股票期权激励计划授予,证券时报网
177,2021-03-30,纺织服装行业周报：新疆棉事件发酵 百隆东方相对受益,新浪
178,2021-03-19,百隆东方：上交所对公司时任监事王维予以监管关注 金融监管处罚,Wind
179,2021-03-15,纺织服装行业周报：USDA 全球棉花期末库存预期环比再次调减,新浪
180,2021-03-15,华西证券--百隆东方：开展第二期股权激励计划，深度绑定核心员工【公司研究】,金融界股吧
181,2021-03-12,百隆东方(601339.SH)向2名激励对象授予400万份股票期权,智通财经
182,2021-03-12,百隆东方(601339.SH)拟授出2200万份股票期权 行权价为4.33元/股,智通财经
183,2021-03-12,百隆东方(601339.SH)向2021年第一期股票期权激励对象授予400万份股票期权,格隆汇
184,2021-03-12,百隆东方(601339.SH)拟推2200.0008万份股票期权激励计划,格隆汇
185,2021-03-08,纺织服装行业：关注A股纺织服装行业上半年的投资机会,广发证券
186,2021-03-03,券商首次关注1股并给予买入评级（3月3日）,Wind
187,2021-03-03,华西证券--百隆东方：色纺纱行业龙头，棉价上涨、产能扩张共振【公司研究】,金融界股吧
188,2021-03-02,华西证券给予百隆东方买入评级，色纺纱行业龙头，棉价上涨、产能扩张共振，目标价格为6.3-7.11元,每日经济新闻
189,2021-03-02,纺织服装行业周报：棉价继续上行 进口纱报价已上涨,新浪
190,2021-03-02,百隆东方(601339)：监事亲属违规买卖公司股票构成短线 其他违规处罚,格隆汇
191,2021-03-01,百隆东方：公司监事亲属违规买卖公司股票构成短线交易暨公司监事辞职 关联方问题,Wind
192,2021-03-01,纺织服装和化妆品行业2021年春季策略报告：柳暗花明 千帆竞发,光大证券
193,2021-03-01,纺织与服装行业周报：棉价上行 建议关注优质棉纺龙头,新浪
194,2021-02-24,中泰证券：全球需求复苏预期下，棉价有望趋势上行,Wind
195,2021-02-23,中泰证券--纺织服装行业深度报告,金融界
196,2021-02-23,纺织服装：全球需求复苏预期下 棉价有望趋势上行,新浪
197,2021-02-22,纺织服装行业周报：棉价上涨棉企利润改善 首选纱线端及针织产业链,新浪
198,2021-02-18,纺织服装行业：看好2021年棉花价格 关注棉纱龙头上市公司,广发证券
199,2021-02-18,百隆东方(601339)：拟向激励对象授予股票期权总计400,格隆汇
200,2021-02-12,纺织服装行业动态报告：加拿大鹅20Q4 中国区收入高增30%；快时尚电商ASOS完成收购TOPSHOP,新浪
201,2021-02-09,纺织服装行业动态报告：加拿大鹅20Q4中国区收入高增30%；快时尚电商ASOS完成收购TOPSHOP,新浪
202,2021-02-08,百隆东方(601339.SH)：拟向激励对象授予股票期权总计400万份,格隆汇
203,2021-02-08,纺织服装行业周报：CANADA GOOSE 2021Q3财季中国大陆直营销售额同比增长42％,新浪
204,2021-02-04,华西证券--纺织服装行业周报年报前瞻：20Q4降温不及预期影响冬装销售，关注2021年估值转换受益标的【行业研究】,金融界股吧
