,2021-12-31,"建业地产与中国铁建地产签约,将在代建、装配式建筑等领域合作",金融界
132,2021-11-19,中国铁建(01186.HK)2021年公司债券第二期品种一首个周期票面利率为3.3%,格隆汇
133,2021-11-18,中国铁建：与矿冶科技集团签署战略合作协议,e公司
134,2021-11-18,焦点日报 | 碧桂园服务或一年内第三次配股集资80亿港元,搜狐
135,2021-11-18,建筑行业专题报告：“双碳1+N”政策刚性驱动 看好能源电力建筑央企、装配式板块,新浪
136,2021-11-18,中国铁建：2021-2023年，公司分红比例将维持在15%及以上,每日经济新闻
137,2021-11-18,中国铁建(01186.HK)拟发行不超30亿元可续期公司债,格隆汇
138,2021-11-18,"中诚信：中国铁建主体信用等级为AAA,评级展望为稳定",乐居财经
139,2021-11-18,中国铁建拟发行30亿元公司债券，用于补充流动资金,乐居财经
140,2021-11-17,中国铁建100亿元ABS获上交所受理,乐居财经
141,2021-11-16,中国铁建近期中标987.2亿元重大项目,乐居财经
142,2021-11-16,中国铁建(601186.SH)近期合计中标987.21亿元重大项目,智通财经
143,2021-11-16,中国铁建(601186.SH)：近期中标11个重大项目 项目金额合计987.21亿元,格隆汇
144,2021-11-16,中国铁建：公司中标987.21亿元重大项目,Wind
145,2021-11-16,中国铁建：中标987.21亿元重大项目,财联社
146,2021-11-16,中国铁建：公司A股中没有美国机构投资者，H股的大部分投资人持股都在HKSCC NOMINESS LIMITED机构下持股,每日经济新闻
147,2021-11-16,中国铁建：目前公司房地产业务现金流状况良好，业务整体风险可控,每日经济新闻
148,2021-11-15,中国铁建：今年6月，公司所属铁建重工在科创板分拆上市，铁建重工针对其核心员工进行了战略配售及员工持股,每日经济新闻
149,2021-11-15,中国铁建：制定了《改革三年行动实施方案》，明确6大方面23项改革任务，确定71条改革举措,每日经济新闻
150,2021-11-15,中国铁建：公司下属子公司中铁建国际持有厄瓜多尔米拉多铜矿30%股权,Wind
151,2021-11-15,国泰君安：维持中国铁建 中国中铁及中国建筑国际买入评级,新浪
152,2021-11-15,中铁建财务公司再推“降债宝”,新浪
153,2021-11-13,中铁建物业高管变动：范会理出任经理，邓秋生调整为执行董事 董监高成员变化,乐居财经
154,2021-11-13,A股绿色周报｜33家上市公司暴露环境风险 浙富控股旗下环保企业被罚近80万元 环保处罚,每日经济新闻
155,2021-11-12,中国铁建旗下新铁鑫建20亿元ABS债券项目状态更新为“已反馈”,乐居财经
156,2021-11-12,中国铁建：国资委对上市公司管理层持股有很多具体的限制，目前仍处于论证阶段,每日经济新闻
157,2021-11-12,中国铁建：公司未来将以“建筑为本”作为发展的立足点,每日经济新闻
158,2021-11-12,硬核实力凸显，今年以来138家企业登陆科创板,Wind
159,2021-11-11,建筑工程行业2022年度投资策略：行到水穷处 坐看云起时,光大证券
160,2021-11-09,中国铁建10.25亿元摘得绍兴2宗商住用地,中国网
161,2021-11-09,中国铁建联合嵊州城南建设10.25亿摘绍兴嵊州2宗商住地,观点地产网
162,2021-11-09,央企名企缘何扎堆潍坊？,中经导报
163,2021-11-08,中国铁建地产北京梧桐浅山项目获“长城杯”奖项,中房网
164,2021-11-08,久盛电气：公司客户主要为中国建筑、中国中铁、中国铁建、万达、华润置地等大中型优质客户,每日经济新闻
165,2021-11-08,建筑钢铁行业周报：本周我们推出了钢铁行业系列深度之第一篇,新浪
166,2021-11-05,建筑与工程Ⅲ深度报告：传统建筑板块仍承压 原材料上涨拖累盈利,新浪
167,2021-11-05,国家科学技术奖轨交奖项均在基建领域 中国中车4年来首缺席,中国经营报
168,2021-11-05,大建筑央企2021三季报汇总分析：订单、营收增速放缓，周转率有所改善【招商建筑】 盈利能力下降,微信
169,2021-11-05,中国铁建：正在推进董事会换届工作,每日经济新闻
170,2021-11-05,中国铁建：前三季度新签合同额较去年同期增长12.64%，按照往年惯例，很多项目会集中在第四季度招标,每日经济新闻
171,2021-11-04,中国铁建(601186)：21Q3业绩稳健 物贸新签订单高增,新浪
172,2021-11-04,中国铁建与信达地产建立战略联盟 将展开全方位深度合作,和讯
173,2021-11-04,建筑行业11月月报：专业工程高增长 园林与装饰承压 绿色低碳助发展,新浪
