,2021-12-31,北新建材董事长王兵：建议房地产产业链成为实现“双碳”目标的主战场,每日经济新闻
514,2021-05-18,建材行业动态点评：强定价权成为核心观测指标,新浪
515,2021-05-17,建材行业周报：重点关注超跌玻纤龙头；品牌建材持续推荐,新浪
516,2021-05-17,中泰周期·大宗指南：周期品周度运行变化,新浪
517,2021-05-14,建筑装饰行业：装修产业链剖析及装配式内装对装修行业格局的影响,广发证券
518,2021-05-14,快讯：北新建材收购台安实业70%股权,乐居财经
519,2021-05-13,宋志平：企业管理的真谛是什么？,搜狐
520,2021-05-13,建筑材料每周观点：季报行情即将结束 关注消费建材低估值成长标的,新浪
521,2021-05-12,宋志平：中国企业界需要一场“机制革命”,新浪
522,2021-05-12,建材行业：业绩持续向上 弹性依旧可期,光大证券
523,2021-05-12,中银证券维持北新建材买入评级：一季报业绩创新高，多项业务全面开花,每日经济新闻
524,2021-05-12,中银国际：北新建材（000786.SZ）21Q1业绩创新高，维持“买入”评级,智通财经
525,2021-05-12,中信证券：建材行业竞争格局持续优化，水泥价格有望保持高位稳定,证券时报网
526,2021-05-11,【东北建筑建材王小勇】建材行业2020年年报和2021年一季报总结：建材龙头之九万里风鹏正举,东北证券研究所
527,2021-05-11,天风研究 | 2020年报·2021一季报总结,天风研究
528,2021-05-10,建材行业2020年报2021年1季报总结：全面改善 景气依旧,新浪
529,2021-05-10,东北证券--建材行业2020年年报和2021年一季报总结：建材龙头之九万里风鹏正举【行业研究】,金融界股吧
530,2021-05-10,建筑材料行业每周观点：周期品价格持续上涨 关注低估值成长标的,新浪
531,2021-05-10,建材行业周观点：浮法玻璃持续上涨创新高，光伏玻璃小幅略降,华创建筑建材研究
532,2021-05-10,建筑材料行业：水泥、平板玻璃、玻纤价格继续上涨,广发证券
533,2021-05-10,A／H建材行业龙头2020年年报及2021年一季报总结：压力测试与逻辑攻防转换,新浪
534,2021-05-10,国金证券--非金属类建材行业研究：玻璃价格创新高，关注竣工产业链【行业研究】,金融界股吧
535,2021-05-10,东吴证券--建筑材料行业跟踪周报：商品普涨周期建材有望走强【行业研究】,金融界股吧
536,2021-05-07,建筑材料行业20年报及21Q1季报总结：疫情压力下交出优异答卷 供给端是变化主因,广发证券
537,2021-05-06,社保基金长线坚守36只股（附股）,证券时报网
538,2021-04-30,北新建材与12家甘肃建筑装饰协会会员企业签署战略合作协议,e公司
539,2021-04-30,北新建材(000786)：成本优势护航一体两翼 Q1业绩表现亮眼,新浪
540,2021-04-30,太平洋证券维持北新建材买入评级：Q1 业绩亮眼，石膏板龙头开启新一轮成长,每日经济新闻
541,2021-04-30,首创证券给予北新建材增持评级，2021年一季报点评：Q1 业绩高速增长，石膏板与防水共同发力,每日经济新闻
542,2021-04-30,北新建材2021年一季报点评：业绩高增符合预期，盈利恢复现金流好转,华创建筑建材研究
543,2021-04-30,东方证券维持北新建材买入评级，2021年一季报点评：Q1 高增长，利润弹性待释,每日经济新闻
544,2021-04-30,社保基金连续4个季度以上持有191股 最长已持有50个季度,证券时报网
545,2021-04-30,中国公司债及企业债信用分析周报,新浪
546,2021-04-29,天风证券维持北新建材买入评级：Q1业绩增长亮眼，持续看好多业务布局战略，目标价58.24元,每日经济新闻
547,2021-04-29,北新建材(000786)：Q1表现超预期 看好石膏板量价趋势与防水提速,新浪
548,2021-04-29,北新建材(000786)：销量大增 提价Q2盈利有望抬升,新浪
549,2021-04-29,社保基金长线坚守31只股（附股）,证券时报网
550,2021-04-29,北新集团建材股份有限公司信息披露,证券时报
551,2021-04-29,北新建材（000786）：成长起点,中信证券研究
552,2021-04-28,北新建材(000786.SZ)一季度净利大增1468.43%至5.22亿元,格隆汇
553,2021-04-28,北新建材：2021年第一季度净利润约5.22亿元，同比增加1468.43%,每日经济新闻
554,2021-04-28,北新建材(000786.SZ)第一季度归母净利润同比增长1468.43%至5.22亿元,智通财经
555,2021-04-28,中国建材(03323)：北新建材一季度归母净利同比增1468.43%至5.22亿元,智通财经
556,2021-04-28,中国建材(03323.HK)：北新建材2021年一季度净利5.22亿元 同比增长1468.43%,格隆汇
557,2021-04-28,北新建材：一季度净利润同比增长1468.43%,Wind
558,2021-04-28,【建材】建材行业2021Q1持仓点评—东方雨虹一枝独秀，水泥成重点增持方向,中银证券研究
559,2021-04-26,国君建材 | 建材龙头股2021年一季度持仓分析：A/H继续减配水泥，聚焦消费建材龙头,金衍君
560,2021-04-26,中泰周期·大宗指南：周期品周度运行变化,新浪
561,2021-04-26,建材行业北上资金周报,新浪
562,2021-04-26,长城建材-建材行业周观点：Q1基金建材持仓比例为1.1%，市场关注防水、管材等细分龙头,高材疾足
563,2021-04-22,A股共发生57宗大宗交易成交15.57亿元（4月22日）,Wind
564,2021-04-22,北新建材今日大宗交易成交20万股，成交价44.65元溢价0.0%,Wind
565,2021-04-22,全球最牛主权基金一季度赚3000亿，减持多只A股,Wind
566,2021-04-21,董承非大减仓、刘格菘爱制造，赵诣增持天赐材料,Wind
567,2021-04-20,董承非最新持仓曝光：兴全趋势股票仓位一季末降至六成，减持顺丰与三一,Wind
568,2021-04-20,国金证券--非金属类建材行业研究：旺季到来，板块兼具低估值和成长【行业研究】,金融界股吧
569,2021-04-19,4月19日晚间重要行业研究汇总(附股),中金在线
570,2021-04-16,北新建材12年花27亿走出“诉讼漩涡” 石膏板销量占全国逾六成计划扩产77%,长江商报
571,2021-04-15,【解读】淡季不淡！多家建材龙头Q1业绩超预期，后市如何看？,财华社
572,2021-04-15,消费回暖去库存加快，水泥钢材喜迎“业绩牛”,Wind
573,2021-04-15,中信证券：碳中和政策目标明确，建材行业供给端迎来中长期催化,Wind
574,2021-04-15,144股获券商买入评级 海鸥住工目标涨幅达165.63%,Wind
575,2021-04-14,北新建材：隐形冠军的业绩从不隐形,格隆汇
576,2021-04-14,东北证券--北新建材：一季度业绩超预期，看好全年表现【公司研究】,金融界股吧
577,2021-04-14,北新建材今日大宗交易成交24.20万股，成交价42.46元折价4.33%,Wind
578,2021-04-14,石膏板龙头一季度净利润同比增长超15倍，北新建材盘中大涨超7%！,环球老虎财经
579,2021-04-14,A股异动|北新建材(000786.SZ)涨逾4%一季度净利预增1404.52%-1645.24%,格隆汇
580,2021-04-14,主产品销量增长，北新建材预计一季度净利润5亿-5.8亿,资本邦
581,2021-04-14,中国建材(03323-HK)附属北新建材(000786-CN)料首季多赚最多16.5倍,财华社
582,2021-04-14,A股早报2021年4月14日星期三,Wind
583,2021-04-14,港股盘前必读：携程公布回港二次上市最终价格为每股268港元,Wind
584,2021-04-13,起底雨中情：“告状者”耿进玉,乐居财经
585,2021-04-13,中国建材(03323)：预计首季归属于北新建材股东的净利润为5亿-5.8亿元 同比增长14.04倍至16.45倍,智通财经
586,2021-04-13,晚间重要公告2021年4月13日星期二,Wind
587,2021-04-13,北新建材：一季度净利预增1405%-1645%至5亿元–5.8亿元,乐居财经
588,2021-04-13,北新建材：预计一季度净利润同比增长1404.52%-1645.24%,Wind
589,2021-04-13,广发证券：消费建材今年景气度将具备持续超预期可能,Wind
590,2021-04-12,建筑材料行业周报：看好水泥旺季景气下估值修复机会 继续推荐优质成长消费建材,新浪
591,2021-04-12,长城建材-建材行业周观点：建材业提前碳达峰重在抓源头,高材疾足
592,2021-04-12,建材行业周观点：一季报预告陆续披露 各细分行业业绩有望持续向好,新浪
593,2021-04-12,建材行业：旺季来临 关注一季报超预期公司,新浪
594,2021-04-12,建筑材料行业周报：旺季涨价持续 关注Q1超预期品种,新浪
595,2021-04-12,建材行业定期报告：需求稳定格局优化 关注消费建材板块,新浪
596,2021-04-11,建材行业周观点：一季报预告整体亮眼，玻璃玻纤涨价带来业绩弹性,华创建筑建材研究
597,2021-04-10,【银河周知】关注碳中和愿景下我国相关行业的投资机会,中国银河证券研究
598,2021-04-08,多因素提振石膏板消费预期 北新建材稳步前行,挖贝网
599,2021-04-08,中国建材集团12家上市公司2020年度成绩显着亮点突出,中国水泥网
600,2021-04-08,北新建材新增仿冒纠纷 曾涉司法案件120起 诉讼纠纷,乐居财经
601,2021-04-08,“神枪手”社保基金持仓路线曝光！新进47只个股 医药电子是真爱,21世纪经济报道
602,2021-04-07,建材行业定期报告：建材渐入旺季 推荐地产后周期优质标的,新浪
603,2021-04-07,中国银河证券维持建材行业推荐评级：碳中和背景下建材行业展望,每日经济新闻
604,2021-04-07,建材行业碳中和系列报告之一：碳中和背景下建材行业展望,新浪
605,2021-04-07,建材行业周报：当前时点如何看竣工？,新浪
606,2021-04-06,北新建材：石膏板最好增长期已过,证券市场周刊
607,2021-04-06,中泰周期·大宗指南第13期：周期品周度运行变化,新浪
608,2021-04-06,王牌投研|核心资产如期反弹 距阻力位还有多远？这只票被机构盯上,新浪
609,2021-04-06,建材行业周报：建材进入需求旺季 关注一季报超预期机会,新浪
610,2021-04-06,建筑材料行业每周观点：水泥价格持续普涨 关注低估值成长标的,新浪
611,2021-04-06,国金证券--非金属类建材行业：水泥价格延续涨势，估值存修复预期【行业研究】,金融界股吧
612,2021-04-05,建材行业周观点：光伏玻璃提前兑现年内降价预期，关注后期“以价换量、以量补价”逻辑演绎,华创建筑建材研究
613,2021-04-05,建筑材料行业周报：关注一季报超预期个股 水泥估值修复可期,新浪
614,2021-04-02,A股收盘综述：上证指数涨0.52%，创业板指涨1.31%,Wind
615,2021-04-02,解盘：人气继续回暖，半导体、今日头条、白酒、高价股领涨,Wind
616,2021-04-02,A股午盘综述：上证指数涨0.43%，创业板指涨1.58%,Wind
617,2021-04-02,行业观察|东方雨虹获高瓴溢价入股北新建材大手笔增持禹王防水防水材料产业未来将呈“一超多强”格局,证券之星
618,2021-04-02,社保QFII持股路径曝光，化工电子板块各有所爱,Wind
619,2021-04-01,社保QFII最新调仓！两类资金分歧巨大,Wind
620,2021-04-01,兴证策略&多行业：2021年4月金股组合,新浪
621,2021-04-01,中泰证券：不确定性逐步消退，乐观看待4月行情,Wind
622,2021-04-01,中泰证券：不确定性逐步消退，乐观看待4月行情,证券时报网
623,2021-03-31,北新建材(000786)：拟收购禹王系全部股权 防水决策和资源配置效率提升可期,新浪
624,2021-03-31,北新建材(000786.SZ)拟收购北新禹王防水等8家控股子公司少数股权,智通财经
625,2021-03-30,北新建材：拟收购禹王系公司的剩余30%股权,Wind
626,2021-03-30,建材周报：2020年度中国建筑材料工业碳排放报告发布,新浪
627,2021-03-30,深度*行业*建材行业周报：沿江熟料再调价 水泥景气度再提升,新浪
628,2021-03-30,建材Ⅲ周观点：长三角熟料再提价超预期 水泥价格普涨迎修复行情,新浪
629,2021-03-29,建筑材料行业：关注一季报超预期和高景气可持续的地产后周期,广发证券
630,2021-03-29,建材行业周观点：华东熟料价格已超去年最高水平 玻璃库存短期存在消化压力,新浪
631,2021-03-29,高瓴布局水泥股去年持仓市值缩水1.18亿 挪威央行重点围猎科技股 连续下跌,新浪
632,2021-03-29,[路演]北新建材：加强对龙骨考核、渠道下沉等多种方式推动龙骨业务提升,全景网
633,2021-03-29,建筑材料行业：再次重点提示水泥股投资机会,新浪
634,2021-03-29,社保基金长期重仓股名单曝光（附股）,证券时报网
635,2021-03-29,宋志平：员工没有积极性，这个企业永远做不好,中国水泥网
636,2021-03-28,建材行业周观点：重大项目开工带动水泥熟料开启普涨，玻璃短期预计趋稳,华创建筑建材研究
637,2021-03-28,建材行业周报：关注一季报超预期 价格上涨／碳中和继续利好水泥板块,新浪
638,2021-03-26,社保基金连续持有25股最长已持有33个季度,证券时报网
639,2021-03-26,89股获券商买入评级 广联达目标涨幅达95.33%,Wind
640,2021-03-26,QFII持有65股 5股持仓市值超10亿元,证券时报网
641,2021-03-26,16只高增长个股获机构高频买入推荐,Wind
642,2021-03-26,高增长，并获机构高频买入推荐股名单来了,中国基金报
643,2021-03-26,工信部重磅发文！5G行业大动作，北上资金猛加仓,证券时报网
644,2021-03-26,业绩高增长股获机构密集推荐 14股上涨空间超两成,证券时报
645,2021-03-25,16只高增长个股获机构高频买入推荐，14股后市上涨空间超两成,证券时报网
646,2021-03-25,北新建材(000786)：北去南来自在飞 新巢筑成雏燕缀,新浪
647,2021-03-25,社保基金长线坚守20只股（附股）,证券时报网
648,2021-03-25,东北证券给予北新建材买入评级：北去南来自在飞，新巢筑成雏燕缀,每日经济新闻
649,2021-03-25,东北证券：北新建材(000786.SZ)石膏板消费属性明显，给予“买入”评级,智通财经
650,2021-03-24,【国信建材|年报点评】北新建材(000786)：多品类发力共成长，看好盈利弹性和成长空间,微信
651,2021-03-24,北新建材：2020年并表防水业务营业收入为32.87亿元，占公司营业收入的19.56%,每日经济新闻
652,2021-03-24,花了27亿，北新建材逐渐走出诉讼“泥坑”,乐居财经
653,2021-03-24,北新建材2020年实现净利润28.6亿元 同比增长548.28%,证券日报网
654,2021-03-24,中银证券维持北新建材买入评级：四季度业绩靓丽，多项业务同步开花,每日经济新闻
655,2021-03-24,95股获券商买入评级，昊海生科目标涨幅达91.78%,Wind
656,2021-03-24,爆雷了？房地产巨头突然宣布：逾期债务300多亿！最新社保基金持股动向曝光，新进13只股（附股） 违约失信,中国财富网
657,2021-03-24,爆雷了？华夏幸福突然宣布：逾期债务300多亿！ 违约失信,证券时报网
658,2021-03-24,【读财报】北新建材：“一体两翼”布局加速 公司有望受益于行业产能出清,面包财经
659,2021-03-24,QFII最新持仓曝光，24只个股成海外长线资金新宠,Wind
660,2021-03-23,80股今日获机构买入评级,证券时报网
661,2021-03-23,北新建材现1笔大宗交易 共成交516.00万元,新浪
662,2021-03-23,北新建材今日大宗交易成交12万股，成交价43.0元溢价0.0%,Wind
663,2021-03-23,社保基金长期坚守股曝光，32股连续持有至少一年,Wind
664,2021-03-23,国信证券维持北新建材买入评级，2020年年报点评：多品类发力共成长，看好盈利弹性和成长空间,每日经济新闻
665,2021-03-23,社保基金长期坚守股票曝光，32股连续持有至少一年,证券时报
666,2021-03-23,北新建材(000786)：多品类发力共成长 看好盈利弹性和成长空间,新浪
667,2021-03-23,东兴证券给予北新建材强烈推荐评级，石膏板销量逆势向上，新方向快速增长和布局,每日经济新闻
668,2021-03-23,建筑材料行业：阳春旺季景气上升 关注水泥预期差,新浪
669,2021-03-23,海通证券研究所早报,新浪
670,2021-03-23,上调评级至买入策略选股（3月23日）,Wind
671,2021-03-23,国金证券：建材行业下游需求恢复，防水全面提价,证券时报网
672,2021-03-23,社保基金去年四季度重仓股揭秘（附股）,证券之星
673,2021-03-23,A股早报2021年3月23日星期二,Wind
674,2021-03-23,47股获券商买入评级，上汽集团目标涨幅达62.85%,Wind
675,2021-03-23,【朝闻国盛0323】低估值央企性价比突显，供给侧逻辑驱动价值重估,国盛证券研究所
676,2021-03-22,点评|北新建材(000786)：Q4业绩靓丽，一体两翼推进支撑长期发展【华西建材建筑戚舒扬团队】20210322,华西工匠
677,2021-03-22,北新建材(000786)：业绩符合预期 平台化再进一步,新浪
678,2021-03-22,北新建材跌6.8%：兴全持股 中信证券高点喊目标价63元,中国经济网
679,2021-03-22,建材行业周观点：地产竣工增长40%，竣工复苏趋势延续，继续看好地产竣工链投资机会,华创建筑建材研究
680,2021-03-22,55股今日获机构买入评级5股上涨空间超50%,证券时报网
681,2021-03-22,大盘小幅回升 机构态度仍显谨慎,金融投资报
682,2021-03-22,北新建材逆势大跌，四机构合计抛售近2亿元 连续下跌,第一财经
683,2021-03-22,监管趋严，高送转成凤毛麟角，后市如何玩？,Wind
684,2021-03-22,北新建材龙虎榜数据（3月22日）,Wind
685,2021-03-22,北新建材逆势大跌近7%，机构出逃,Wind
686,2021-03-22,基础化工行业：追“宗”系列：大宗投资前瞻：通胀修复提振铜铝价格 钢铁供给收缩预期强化,新浪
687,2021-03-22,北新建材(000786)：一体石膏板+稳健增长 一翼防水爆发,新浪
688,2021-03-22,北新建材2020年净利润同比增长17%,中证网
689,2021-03-22,北新建材(000786)：“一体两翼”战略稳步推进 提价周期推升业绩弹性,新浪
690,2021-03-22,建材行业北上资金周报,新浪
691,2021-03-22,华西证券给予北新建材买入评级，Q4业绩靓丽，一体两翼推进支撑长期发展,每日经济新闻
692,2021-03-22,社保基金长线坚守30只股（附股）,证券时报网
693,2021-03-22,北新建材(000786)：毛利率小幅提升 归母扣非净利同比增长17%,新浪
694,2021-03-22,建材行业周报：顺周期行业供需或超预期 推荐经济复苏、竣工主线,新浪
695,2021-03-22,国盛证券维持北新建材买入评级：主业盈利提升稳健发展，防水业务打开成长新空间,每日经济新闻
696,2021-03-22,北新建材跌停，万里石、祁连山、中材科技等跟随走软,Wind
697,2021-03-22,民生证券：北新建材（000786.SZ）毛利率小幅提升，维持“推荐”评级,智通财经
698,2021-03-22,太平洋维持北新建材买入评级：“一体两翼”战略稳步推进，提价周期推升业绩弹性，目标价58元,每日经济新闻
699,2021-03-22,北新建材(000786.SZ)绩后跳水逼近跌停,格隆汇
700,2021-03-22,东方证券维持北新建材买入评级，2020年报点评：多元化布局收成效，21年石膏板量价齐升，目标价58.元,每日经济新闻
701,2021-03-22,北新建材2020年营收168.03亿元，防水建材营收32.87亿元,中国房地产网
702,2021-03-22,平安证券维持北新建材推荐评级：年报业绩符合预期，打造“防水材料+建筑涂料”两翼,每日经济新闻
703,2021-03-22,东方证券：北新建材(000786.SZ)21年石膏板量价齐升，目标价58.00元，维持“买入”评级,智通财经
704,2021-03-22,北新建材获国金证券维持“买 入”评级,乐居财经
705,2021-03-22,国金证券给予北新建材买入评级，C端盈利提升，B端加速放量,每日经济新闻
706,2021-03-21,北新建材2020年报点评：业绩逆势增长，多元化布局打造长期驱动,华创建筑建材研究
707,2021-03-21,华泰证券维持北新建材买入评级：成本优势凸显，一体两翼布局加速,每日经济新闻
708,2021-03-21,北新建材发布2020年度报告,搜狐
709,2021-03-21,建筑材料行业报告：竣工改善显着 继续推荐玻璃、玻纤、消费建材等,新浪
710,2021-03-21,北新建材(000786)：业绩符合预期；持续看好结构升级+品类扩张,新浪
711,2021-03-20,北新2020年报|净利增至30亿，负债率降至24%，业绩市值逆势双增,搜狐
712,2021-03-20,北新建材：2020年支付诉讼和解费10亿元｜年报拆解,乐居财经
713,2021-03-20,北新建材：2020商誉减值1113万元｜年报拆解 资产异常,乐居财经
714,2021-03-20,北新建材：现金流净额同比降7.38%至18.4亿元｜年报拆解 运营能力下降,乐居财经
715,2021-03-20,建材行业：低基数下需求快速增长 看好竣工受益品种,新浪
716,2021-03-20,建筑材料行业：从500强房企首选品牌看消费建材行业格局变化,广发证券
717,2021-03-20,今日49公司公布年报10家业绩增幅翻倍,证券时报网
718,2021-03-20,上市公司正负面新闻2021年3月20日星期六,Wind
719,2021-03-19,中国建材(03323)：北新建材2020年归母净利同比增长5.48倍至28.6亿元,智通财经
720,2021-03-19,北新建材2020年净利润同比增长548% 拟10派5.5元,上证报
721,2021-03-19,中国建材(03323.HK)：北新建材年度净利润增长548.28%至28.6亿元,格隆汇
722,2021-03-19,北新建材：2020年净利润28.6亿元，同比增长548.28%｜年报快讯,乐居财经
723,2021-03-19,北新建材(000786.SZ)：拟注册发行债务融资工具额度累计不超72亿元,格隆汇
724,2021-03-19,北新建材(000786.SZ)：拟向银行等金融机构申请累计不超292.8亿元综合授信额度,格隆汇
725,2021-03-19,北新建材(000786.SZ)：拟使用任一时点合计不超50亿元闲置自有资金进行委托理财,格隆汇
726,2021-03-19,北新建材(000786.SZ)：拟投设一家全资子公司作为投资和运营防水业务的平台,格隆汇
727,2021-03-19,北新建材(000786.SZ)年度归母净利同比增548.28%至28.6亿元 拟10股派5.5元,智通财经
728,2021-03-19,成绩单！北新建材：2020年度净利润约28.6亿元，同比增加548.28%,每日经济新闻
729,2021-03-19,北新建材(000786.SZ)2020年度扣非净利润升17.04%至27.76亿元 拟10派5.5元,格隆汇
730,2021-03-19,北新建材：2020年净利润同比增长548.28%,Wind
731,2021-03-19,3月19日主力资金净流出399亿元,证券时报网
732,2021-03-19,2021年1-2月建材行业需求端数据点评：就地过年叠加节后需求恢复 季节性价格调整幅度小于以往,光大证券
733,2021-03-19,【银河晨报】3.19丨铜，经济复苏、通胀归来下最受益的大宗商品之一,中国银河证券研究
734,2021-03-19,【银河建材王婷】行业点评丨1-2月建材行业数据点评：地产投资拉动行业需求高增长,中国银河证券研究
735,2021-03-18,兴论碳中和系列：拥抱能源革命的强主题,新浪
736,2021-03-18,中国银河--2021年1~2月建材行业数据跟踪：地产投资拉动行业需求高增长【行业研究】,金融界股吧
737,2021-03-17,深度*行业*建材行业周报：多品种建材轮番提价 玻璃价格短期快速提升,新浪
738,2021-03-16,钢铁、建材行业1-2月数据点评：供需两旺开门红 高景气助推估值上行,新浪
739,2021-03-16,建筑材料行业周报：碳中和不断催化 水泥龙头有望提估值,新浪
740,2021-03-15,北新建材：将减少石膏单耗及对脱硫石膏的总使用量,每日经济新闻
741,2021-03-15,建筑材料行业周报：继续推荐低估值水泥板块和优质成长消费建材龙头,新浪
742,2021-03-15,建筑材料行业：关注“碳中和”与“地产后周期”两条主线,广发证券
743,2021-03-12,北新建材：贾同春有台“提款机”,乐居财经
744,2021-03-12,开好局起好步！中国建材集团捷报频传,中国建材集团
745,2021-03-12,晨报0312 | 白酒专题、装配式装修专题、江苏银行（600919）,国泰君安证券研究
746,2021-03-11,建材渠道变革之专题：渠道再选择 功能建材的装配式集中,新浪
747,2021-03-11,【行业专题】渠道再选择，功能建材的装配式集中（国君建材 鲍雁辛 赵晨阳）20210308,鲍大侠之建材
748,2021-03-11,八大券商主题策略：碳中和或成下一个催化剂！周期建材迎布局良机！首推水泥,中金在线
749,2021-03-10,建筑装饰行业：如何从消费者角度进行一次深入装修,广发证券
750,2021-03-10,中泰证券--建材行业周报：全球经济复苏和竣工仍是主线；水泥望迎估值修复【行业研究】,金融界股吧
751,2021-03-09,建材行业周观点：“两会”下碳中和趋势明确 海外刺激落地加速经济修复,新浪
752,2021-03-09,建材行业北上资金流向周报,新浪
753,2021-03-09,太平洋--建材行业周观点：玻璃玻纤景气度上行，调整带来极佳配置机会【行业研究】,金融界股吧
754,2021-03-08,建筑材料行业周报：关注碳中和对于水泥行业供给端影响 落后产能加速退出或对价格利好,新浪
755,2021-03-08,建筑材料行业周报：玻璃玻纤价格涨势持续 继续推荐玻纤、出口等景气板块,新浪
756,2021-03-08,建材行业2021年一季报前瞻：弹性与韧性,新浪
757,2021-03-08,深度*行业*建材行业周报：玻纤直接纱集体提价 伟星新材业绩超预期,新浪
758,2021-03-08,建筑材料行业：消费建材行业研究方法,广发证券
759,2021-03-05,774家公司全年业绩预增,证券之星
760,2021-03-03,北新建材：股东国泰民安集团累计减持0.18%股份 减持股份,Wind
761,2021-03-03,北新建材：股东国泰民安集团减持计划完成，减持约308万股,每日经济新闻
762,2021-03-03,北新建材(000786.SZ)：国泰民安集团减持期满 累计减持308.25万股 减持股份,格隆汇
763,2021-03-03,建材行业2月行业动态报告：春季开工提前 行业旺季来临,新浪
764,2021-03-02,建筑材料行业：旺季提前 建材主流品种全面提价,新浪
765,2021-03-02,1996家公司预告全年业绩 785家预增,证券之星
766,2021-03-02,销售PK首席 | 杨光：重点看好水泥板块 主推顺周期产业链,中信建投证券研究
767,2021-03-01,建筑材料行业报告：继续推荐玻璃、玻纤、消费建材 关注低估值水泥,新浪
768,2021-03-01,建材行业周观点：海外因素引发龙头大跌 但公司基本面无忧 连续下跌,新浪
769,2021-03-01,建材行业北上资金流向周报,新浪
770,2021-03-01,建材行业周观点：玻纤年后上涨势头不减，继续推荐顺周期和地产竣工链,华创建筑建材研究
771,2021-03-01,建材行业周报：水泥动了玻璃还会远吗？专题复盘“石膏板牛”北新建材,新浪
772,2021-03-01,深度*公司*建材行业周报：沿江熟料二轮上涨 龙头有望迎来量价齐升,新浪
773,2021-02-28,建材行业周报：玻纤海外价格快速上涨 沿江熟料第二轮提价,新浪
774,2021-02-25,建材行业-护面纸：石膏板产业链的解构、复盘与思考,新浪
775,2021-02-25,2194家公司预告全年业绩 899家预增,证券之星
776,2021-02-25,“碳中和”主题投资系列(二)：全行业联合：谋局“碳中和”,广发证券
777,2021-02-24,北新建材股价跌5.2% 现报49.02元,乐居财经
778,2021-02-24,全年业绩高增长股提前看，624股净利润增幅翻倍,证券之星
779,2021-02-23,“世界第三大酒庄”出手，“公募一哥”操盘基金暂停申购,证券时报网
780,2021-02-23,能源、基础材料行业追“宗”系列-大宗投资前瞻：工业金属受益于通胀上行 建材春季躁动开启,新浪
781,2021-02-22,建材行业周报：华东熟料价格提前上涨 看好C端建材回暖,新浪
782,2021-02-21,宋志平：在国企干了40年，我的5个体会,搜狐
783,2021-02-21,建筑材料行业周报：水泥玻璃涨价超预期 下游工地有望提前开工,新浪
784,2021-02-21,建材行业周报：长三角沿江熟料价格上涨 低估水泥望迎来估值修复,新浪
785,2021-02-18,建材行业：原材料上涨对家装建材影响几何？,新浪
786,2021-02-18,A股共发生78宗大宗交易成交12.63亿元（2月18日）,Wind
787,2021-02-18,北新建材现1笔大宗交易 共成交695.52万元,新浪
788,2021-02-18,北新建材今日大宗交易成交12.79万股，成交价54.38元溢价0.0%,Wind
789,2021-02-18,2月18日晚间重要行业研究汇总(附股),中金在线
790,2021-02-18,建材行业周观点(2021年2月8日-2021年2月14日)：节后海外及国内经济恢复预期增强 重点关注顺周期机会,新浪
791,2021-02-18,北新建材2亿收购 深交所问询标的评估增值率148%合理性 问询,中国经济网
792,2021-02-18,建材行业北上资金周报,新浪
793,2021-02-17,建材行业周报：海外大宗品价格上涨 推荐全球定价工业品玻纤,新浪
794,2021-02-17,建材行业周报：历年春节后建材板块如何演绎,新浪
795,2021-02-13,2021年中国防水卷材行业市场竞争格局分析 行业呈现“一超多强”竞争格局,前瞻研究院
796,2021-02-10,59股股东户数连降筹码持续集中,证券时报网
797,2021-02-10,监管动态|北新建材拟2.22亿元收购上海台安70%股权，深交所追问标的估值公允性 问询,财经网
798,2021-02-10,节后年报密集发布，高送转向“厚”赚,Wind
799,2021-02-10,深交所向北新建材发出关注函 关注函,每日经济新闻
800,2021-02-10,北新建材收关注函 关注函,Wind
801,2021-02-09,建材行业2020年年报前瞻：消费建材和玻璃表现强势 21年关注Α机会,新浪
802,2021-02-09,19家公司上调业绩预期51家公司对2020年业绩预告进行修正,证券时报
803,2021-02-09,北新建材拟2.23亿元受让上海台安70%股权 完善防水业务布局,全景网
804,2021-02-09,"北新建材现1笔大宗交易 共成交1,339.71万元",新浪
805,2021-02-09,北新建材今日大宗交易成交24.20万股，成交价55.36元溢价0.0%,Wind
806,2021-02-09,上海台安加入北新建材 开启全国防水产业新局,证券日报网
807,2021-02-09,北新建材(000786)：收购华东防水资产 “一体两翼”再下一城,新浪
808,2021-02-08,北新建材（000786）重大事项点评：2.23亿重组上海高端防水品牌，防水业务再下一城,华创建筑建材研究
809,2021-02-08,建材行业周观点：碳排放权交易开始试行 行业竞争格局长期迎来优化,新浪
810,2021-02-08,建筑材料行业周报：玻纤价格上涨 继续推荐景气延续的玻纤和出口链条,新浪
811,2021-02-08,北新建材收报54.30元涨7.9% 总市值917.4亿元,乐居财经
812,2021-02-08,建筑材料行业周报：玻纤继续提价 地产销售景气推升装修需求,新浪
813,2021-02-08,建材行业周观点：下游需求扩产电子纱迎上涨行情，推荐顺周期和地产竣工链,华创建筑建材研究
814,2021-02-08,建筑材料行业研究周报：新房／二手房销售数据强劲 继续推荐消费建材、玻纤、玻璃,新浪
815,2021-02-08,北新建材股价涨5.0% 现报52.85元,乐居财经
816,2021-02-08,【国金晨讯】A股一周策略：持币还是持股过节？金山云：视频云、游戏云“特长生”能否弯道超车？奇安信：新网安领军,国金证券研究所
817,2021-02-08,建材行业周报：玻纤价格继续上调 C端品牌建材拐点确立,新浪
818,2021-02-07,建材行业周报：玻纤再度涨价 坚定推荐行业龙头,国金证券股份有限公司
