,2021-12-28,诺泰生物创上市新低 IPO募8亿南京证券赚0.7亿,中国经济网
97,2021-06-15,限售股解禁冲击，跌不新鲜，涨才罕见，南京证券有效避过“一劫”，下周仍有券商股面临大考 解禁,财联社
98,2021-06-15,是何原因？南京证券大额解禁不跌反涨 下周仍有券商股面临大考 解禁,财联社
99,2021-06-15,解禁日大涨！这只券商股打破“魔咒”，为啥？,Wind
100,2021-06-15,解禁日大涨：南京证券打破“魔咒” 只因股东的一纸承诺,上证报
101,2021-06-15,A股异动|南京证券(601990.SH)逆势涨逾4%控股股东此前承诺三年内不减持,格隆汇
102,2021-06-15,非银金融行业周报：现金管理类理财产品迎新规,新浪
103,2021-06-15,两家券商近900亿元限售股将解禁，股价能否扛得住？ 解禁,每日经济新闻
104,2021-06-14,券商板块即将迎来“中考”：中信建投南京证券6月将解禁限售股近900亿元，对股价是否有冲击？ 解禁,每日经济新闻
105,2021-06-14,本周操盘攻略：大牛股解禁、美联储将议息,Wind
106,2021-06-14,本周操盘攻略：大牛股解禁、美联储将议息 解禁,Wind
107,2021-06-13,下周解禁市值较本周减少86%，康华生物、南京证券解禁市值超百亿 解禁,新浪
108,2021-06-13,下周解禁市值环比减少86%！疫苗大牛股解禁市值逾百亿元，这些股票解禁压力也较大（附名单） 解禁,中证网
109,2021-06-13,下周750亿市值面临解禁，两股解禁市值均超百亿元,Wind
110,2021-06-12,下周解禁：南京证券控股股东承诺不减持,大众证券报
111,2021-06-09,白名单：券商监管更精细,证券市场周刊
112,2021-06-09,券商股遭遇减持和解禁，短期承压中期仍被看好,Wind
113,2021-06-08,6月券商限售股“扎堆”解禁 解禁,中证报
114,2021-06-07,华为鸿蒙搅动券业！保证兼容各券商APP大行动，30多家券商海报刷屏，行业蹭了热点，更体现专注投入,财联社
115,2021-06-07,解盘：科技股强势，半导体、操作系统、自主可控略涨,Wind
116,2021-06-07,本周操盘攻略：52家公司限售股陆续解禁，解禁市值大幅增加 解禁,Wind
117,2021-06-06,下周操盘攻略：上市银行触发稳定股价措施，台积电4nm提前一季试产,Wind
118,2021-06-06,南京证券(601990.SH)：控股股东方面承诺首发限售股解禁后36个月内不减持,格隆汇
119,2021-06-06,定心丸来了！南京证券股东承诺不减持，涉及超八成限售股！年内还有10家券商面临解禁 解禁,券商中国
120,2021-06-04,南京证券警报解除？控股股东承诺解禁后3年不减持，持有10.23亿股占本次限售超八成，出招破可有效？,证券之星
121,2021-06-04,南京证券(601990.SH)控股股东及其子公司承诺首发限售股解禁后不减持股份,智通财经
122,2021-06-04,南京证券(601990.SH)：约12.38亿股首发限售股6月15日解禁 解禁,格隆汇
123,2021-06-04,南京证券：占总股本34.30%限售股将于6月15日上市流通 解禁,Wind
124,2021-06-04,全年最大解禁潮来袭，三类股套现压力大,Wind
125,2021-06-04,解禁冲击700亿券商跌近8%！还有券业巨头近1700亿解禁在即,Wind
