589,2021-01-11,电子行业周报：面板价格涨势不休 苹果月度数据上佳,新浪
590,2021-01-11,广东领益智造股份有限公司监事会 关于公司2020年股票期权与限制性股票激励计划 首次授予激励对象名单（调整后）的审核意见及公示情况说明,证券时报
591,2021-01-10,思维并购周报｜香雪制药零元收购香雪精准2.5％股份；古井贡酒完成收购明光酒业60%股权,投资者网
592,2021-01-07,领益智造(002600.SZ)：就收购珠海伟创力100%股权已完成股东变更等相关工商变更登记手续,格隆汇
593,2021-01-07,A股融资融券日报：两融余额增加74.06亿元（1月6日）,Wind
594,2021-01-06,A股早报2021年1月6日星期三,Wind
595,2021-01-04,消费电子行业：结构性创新+平台型布局引领全球供应链重塑,新浪
596,2021-01-04,开市前双响雷！超13万股东踩雷,网易
597,2021-01-04,开年利好！下周A股解禁市值环比降73% 但3只股票流通盘增逾1倍（附名单） 解禁,中证报
598,2021-01-04,开市前双响雷！超13万股东踩雷 深陷医疗事故风波的眼科界“茅台”本周迎解禁 安全事故,金融界
599,2021-01-03,中泰金工定向增发跟踪周报（01/03）,ZTQuant
600,2021-01-03,看好2021年汽车电子新动能 晶圆代工吃紧下半导体持续高景气,中信建投证券研究
601,2021-01-01,中信建投证券2021年度十大预测,中信建投证券研究
602,2021-01-01,2021年券商看好的十大板块,Wind
603,2020-12-31,领益智造拟为土耳其赛尔康提供最高不超5000万美元担保 大额借贷担保,乐居财经
604,2020-12-31,领益智造拟为旗下4家公司提供最高8.1亿元担保 大额借贷担保,乐居财经
605,2020-12-31,领益智造为苏州领裕2亿元授信提供担保 大额借贷担保,乐居财经
606,2020-12-31,领益智造为成都领益提供担保，额度提高至8.24亿元 大额借贷担保,乐居财经
607,2020-12-31,领益智造：拟为子公司的融资或其他履约义务提供不超过313.24万元担保 担保风险,乐居财经
608,2020-12-31,A股融资融券日报：两融余额增加73.97亿元（12月30日）,Wind
609,2020-12-30,领益智造(002600.SZ)：约3.22亿股限售股1月6日解禁 解禁,格隆汇
610,2020-12-30,领益智造：占总股本4.5748%限售股将于2021年1月6日上市流通 解禁,Wind
611,2020-12-28,电子周报：快充和激光雷达步入快车道 半导体景气度高昂,新浪
612,2020-12-28,电子行业周报：小米11取消标配充电头 关注快充投资机遇,新浪
613,2020-12-28,苹果板块下挫逾2%，立讯精密、工业富联、领益智造、欧菲光等普跌,Wind
614,2020-12-27,【民生研究】周观点汇总：关注景气度触底而估值承压的板块投资机会,MS研究
615,2020-12-25,电子行业2021年投资策略报告：经济复苏创新驱动 电子行业景气上行,新浪
616,2020-12-25,领益智造(002600)：收购珠海伟创力 拓展组装业务布局,新浪
617,2020-12-24,与华为“分手”一年多，年收入仅百万，资产总额急剧下降 伟创力实业将被领益智造收购 盈利能力下降,每日经济新闻
618,2020-12-24,去年宣布“停止为华为代工”的伟创力子公司，被领益智造收购,企查查
619,2020-12-24,“捅刀”华为后一直停工，伟创力无奈变卖珠海工厂 经营问题,观察者网
620,2020-12-24,28股获券商买入评级，创世纪目标涨幅达64.11%,Wind
621,2020-12-24,与华为“闹掰”一年多，伟创力实业年收入仅百万，终被卖给领益制造,每日经济新闻
622,2020-12-24,领益智造接盘伟创力实业100%股权 后者被剔出华为供应链后停工已一年多 经营问题,每日经济新闻
