125,2021-08-26,东方财富证券维持深南电路增持评级，2021年中报点评：持续优化业务结构，封装基板迎来爆发,每日经济新闻
126,2021-08-26,当前时点，为什么我们再度重视新基建及5G应用的投资机会？,金融界
127,2021-08-25,【中信建投电子|刘双锋&雷鸣团队】深南电路(002916)：封装基板高景气，下半年盈利有望改善,中信建投电子研究
128,2021-08-25,深南电路(002916)点评：数通PCB稼动率较低 封装基板需求紧俏,新浪
129,2021-08-24,券商首次关注6股并给予买入评级（8月24日）,Wind
130,2021-08-24,西南证券首予深南电路买入评级：短期业绩承压，PCB龙头积极运营反弹可期，目标价117.26元,每日经济新闻
131,2021-08-23,通信本周专题：从派息率和子公司独立分拆上市重新审视运营商投资价值,新浪
132,2021-08-22,景旺电子：利润增长遇瓶颈,证券市场周刊
133,2021-08-21,【招商电子】深南电路：下半年主业有望好转，封装基板业务阔步向前,招商电子
134,2021-08-20,"深南电路现1笔大宗交易 共成交2,880.12万元",新浪
135,2021-08-20,深南电路今日大宗交易成交30.02万股，成交价95.94元溢价0.0%,Wind
136,2021-08-20,碧桂园?美好中国ESG100指数完成2021年度调仓,新浪
137,2021-08-20,福斯特(603806)点评：光伏胶膜产销稳步扩张 平台化拓展电子材料产品,新浪
138,2021-08-19,PCB企业业绩分化 龙头股业绩下降北上资金不减反增 盈利能力下降,e公司
139,2021-08-19,福斯特(603806)：胶膜持续成长 多方位打造增长极,新浪
140,2021-08-19,晚间重要公告2021年8月19日星期四,Wind
141,2021-08-19,深南电路半年报：上半年净利5.61亿元 同比降23% 盈利能力下降,财联社
142,2021-08-19,深南电路：2021年半年度净利润约5.61亿元，同比下降22.57% 盈利能力下降,每日经济新闻
143,2021-08-19,深南电路(002916.SZ)：上半年净利降22.57%至5.61亿元 盈利能力下降,格隆汇
144,2021-08-19,深南电路：上半年净利润同比减少22.57% 盈利能力下降,Wind
145,2021-08-16,深南电路：全资子公司广州广芯封装基板有限公司成立,中证网
146,2021-08-16,出资2亿，国产PCB巨头拟成立子公司,证券之星
147,2021-08-16,通信电子行业周报：高精度位导龙头华测导航迈入自动驾驶时代,光大证券
148,2021-08-16,深南电路于广州成立新公司，注册资本2亿元,搜狐
149,2021-08-09,通信电子行业周报：看好通信板块中期行情 半导体波动中掘金,光大证券
150,2021-08-05,南亚新材(688519)：业绩符合预期 覆铜板高端新产品有望陆续放量,新浪
151,2021-08-03,深南电路：拟定增不超过25.5亿用于高阶倒装芯片用IC载板产品制造项目等项目,资本邦
152,2021-08-03,8月3日操盘必读：影响股市利好与利空消息,新浪
153,2021-08-03,深南电路拟定增25.5亿加码封装基板产能,证券时报
154,2021-08-02,晚间重要公告2021年8月2日星期一,Wind
155,2021-08-02,深南电路(002916.SZ)拟非公开发行股票募集不超25.5亿元,智通财经
156,2021-08-02,深南电路：拟定增募资不超过25.5亿元,Wind
157,2021-08-02,深南电路拟募资不超25.5亿元 定增面临这几大风险,每日经济新闻
158,2021-08-02,深南电路：拟非公开增发募资不超过25.5亿元,每日经济新闻
159,2021-08-02,深南电路：最近五年不存在被证券监管部门和证券交易所处罚的情况,每日经济新闻
160,2021-08-02,深南电路：拟定增募资不超25.5亿元,Wind
161,2021-07-27,【深度·天风电子】持续看好 IC 载板基材及制造的国产化机遇,科技伊甸园
162,2021-07-20,深南电路：公司有参与700MHz频段5G通信PCB产品的制造,Wind
163,2021-07-20,深南电路：公司有参与700MHz频段5G通信PCB产品的制造,每日经济新闻
164,2021-07-20,深南电路：由于产能规模扩张，公司存货规模有所增长,Wind
165,2021-07-20,重磅机会！机构罕见扎堆调研，这一策略胜率高达八成,Wind
166,2021-07-20,机构调研跑断腿，科创板股票春天将至？,Wind
167,2021-07-19,深南电路最新公告：以6720万元竞得龙岗区坪地街道某地使用权,证券之星
168,2021-07-19,深南电路(002916.SZ)以6720万元竞拍取得土地使用权,智通财经
169,2021-07-19,A股午盘综述：三大股指午前均有抬头迹象,Wind
170,2021-07-14,今年新款iPhone产量有望增两成 我国累计建设5G基站91.6万座丨明日主题前瞻,第一财经
171,2021-07-14,深南电路：公司南通三期项目建设进展顺利,Wind
172,2021-07-14,深南电路：公司南通三期项目建设进展顺利预计2021年4季度投产,财联社
173,2021-07-13,电子行业2021中报前瞻：5G手机、远程需求、汽车电子仍为2021三大主轴,新浪
174,2021-07-13,通信点评报告：为何当前时点我们继续坚定看好通信板块价值和投资机会,新浪
175,2021-07-12,家居｜金牌厨柜变更持续督导保荐代表人 黄熙接替陈霖,财经网
176,2021-07-12,【招商电子】PCB月度深度跟踪：覆铜板Q2量价齐升，下半年关注IC载板、通信板及苹果链,招商电子
177,2021-07-12,26股获北向资金加仓超亿元,证券时报网
178,2021-07-12,上市公司正负面新闻2021年7月12日星期一,Wind
179,2021-07-10,上市公司正负面新闻2021年7月10日星期六,Wind
180,2021-07-09,深南电路(002916.SZ)：拟以非公开发行股票方式募资用于公司项目建设和日常经营,格隆汇
181,2021-07-09,深南电路：FC-BGA封装基板主要应用在CPU、GPU等高阶IC芯片，有较高的技术壁垒,每日经济新闻
182,2021-07-09,深南电路：受通信市场需求调整影响，目前国内通信市场需求以700M项目为主，海外通信市场需求同比有所改善,每日经济新闻
183,2021-07-09,晚间重要公告2021年7月9日星期五,Wind
184,2021-07-09,深南电路：筹划非公开发行股票事项,e公司
185,2021-07-08,深南电路：2020年度公司折旧和摊销合计6.44亿元,Wind
186,2021-07-07,深南电路：公司近期PCB综合产能利用率较去年同期有所下降,Wind
187,2021-07-07,深南电路：受通信市场需求调整影响，公司近期PCB综合产能利用率较去年同期有所下降 盈利能力下降,每日经济新闻
188,2021-07-07,深南电路：目前广州封装基板项目整体进展处于拟参与竞拍土地使用权的前期阶段,Wind
189,2021-07-07,深南电路：公司现有工厂已具备FC-CSP基板的批量生产能力,Wind
190,2021-07-06,先进制造行业2021年7月投资策略：七月防守为主 布局估值和增长匹配的中小市值标的,新浪
191,2021-07-04,半导体行业月度深度跟踪：行业景气业绩兑现 关注AIOT智能化浪潮,新浪
192,2021-07-02,电子行业2021年中报业绩展望：半导体持续景气 消费电子阶段承压,新浪
193,2021-07-01,电子行业2021年三季度投资策略：半导体持续重点推荐 消费电子看好下半年苹果链确定性,新浪
194,2021-07-01,【干货】中国印制电路板(PCB)产业链全景梳理及区域热力地图,前瞻研究院
195,2021-06-30,6月29日57只个股获券商关注，深南电路目标涨幅达87.62%,每日经济新闻
196,2021-06-30,【东北电子杨一飞】深南电路（002916）事件点评：拟建封装基板生产基地，迈向更高阶技术,微信
197,2021-06-29,通信行业跟踪周报：本周专题 三大运营商5G总用户数超4.5亿 智慧能源解决方案加速发展,新浪
198,2021-06-29,东北证券：深南电路（002916.SZ）拟建封装基板生产基地，维持“买入”评级,智通财经
199,2021-06-29,第二季度集中开工163个重大项目 今年上半年总投资约1.4万亿元,南方日报
200,2021-06-29,抢先机！上千个重大项目落子布局,南方日报
201,2021-06-29,广州开发区打造全国集成电路第三极核心承载区，粤芯已吸引32家上下游半导体企业落户,21世纪经济报道
202,2021-06-29,机构看中这些股 近五日大手笔净买入,证券之星
203,2021-06-29,东北证券维持深南电路买入评级：拟建封装基板生产基地，迈向更高阶技术,每日经济新闻
204,2021-06-29,广州黄埔七大集成电路项目开工含粤芯半导体二期、深南电路FCBGA封装基板项目,财联社
205,2021-06-29,38股获券商买入评级，深南电路目标涨幅达82.32%,Wind
206,2021-06-28,【招商电子】深南电路：发力FC-BGA等载板业务，引领高端载板国产化,招商电子
207,2021-06-27,【建投中小盘|深度】东威科技：从PCB到锂电池，深耕电镀技术的高端精密电镀设备供应商,中信建投中小市值
208,2021-06-25,总投资60亿元深南电路拟投建广州封装基板生产基地,半导体协会
209,2021-06-25,60亿扩产瞄准中长期发展 深南电路建设封装基板生产基地,长江商报
210,2021-06-25,A股早报2021年6月25日星期五,Wind
211,2021-06-25,深南电路拟投60亿巩固封装基板领先地位 深耕主业37年连续五年高增长,长江商报
212,2021-06-24,两市全天共58只股涨停，电气部件与设备行业成最大赢家,Wind
213,2021-06-24,深南电路龙虎榜数据（6月24日）,Wind
214,2021-06-24,60亿元投资建设封装基板项目 深南电路跳空高开封涨停板,产业经济新闻网
215,2021-06-24,深南电路拟投60亿元资金用于拓产封装基板,证券之星
216,2021-06-24,解盘：光伏屋顶强势拉升，医药、芯片股回调,Wind
217,2021-06-24,深南电路拟投60亿用于FC-BGA封装基板项目,TechWeb
218,2021-06-24,异动股揭秘：深南电路：拟投资建设广州封装基板生产基地项目 深南电路触及涨停,ZAKER
219,2021-06-24,A股早报2021年6月24日星期四,Wind
220,2021-06-24,深南电路(002916)点评：投资60亿封装基板新项目 加速IC材料国产化,新浪
221,2021-06-23,热点追踪：“鸿蒙概念股”福日电子辟谣称目前生产的机型均未搭载鸿蒙系统,新浪
222,2021-06-23,市场需求旺盛订单饱满 深南电路拟投60亿拓产封装基板,e公司
223,2021-06-23,公告精选：深南电路拟60亿投建封装基板生产基地项目；一批公司拟中选药品集中采购,e公司
224,2021-06-23,晚间重要公告2021年6月23日星期三,Wind
225,2021-06-23,深南电路(002916.SZ)：拟以2亿元在广州设子公司以建FC-BGA封装基板项目,格隆汇
226,2021-06-23,深南电路：拟60亿元投建广州封装基板生产基地项目,Wind
227,2021-06-23,深南电路(002916.SZ)拟参与竞拍土地使用权,智通财经
228,2021-06-23,深南电路(002916.SZ)投资建设广州封装基板生产基地项目,智通财经
229,2021-06-22,2021下半年电子行业投资策略：5G产业强者恒强 聚焦国产化,新浪
230,2021-06-20,电气设备行业感光干膜：如何看福斯特的“第二增长极”,新浪
231,2021-06-17,福斯特(603806)：光伏胶膜龙头的新成长,新浪
232,2021-06-17,深南电路：公司共拥有深圳2家、无锡1家封装基板工厂,Wind
233,2021-06-17,深南电路：公司共拥有深圳2家、无锡1家封装基板工厂,每日经济新闻
234,2021-06-17,深南电路：已积极投入汽车电子相关技术研发,上证报
235,2021-06-17,深南电路：公司目前汽车电子业务占比较小,Wind
236,2021-06-16,通用机械行业先进制造：PCB需求持续景气 把握中游设备投资机会,新浪
237,2021-06-15,通信行业跟踪周报：本周专题 四部委印发《能源领域5G应用实施方案》 华为成立子公司发力能源数字化,新浪
238,2021-06-10,120家公司获机构调研（附名单）,证券之星
239,2021-06-09,【繁微另类数据】基于移动大数据的上市公司金融活动指数的选股应用,东证衍生品研究院
240,2021-06-09,广东上市公司火线驰援，科技抗疫大放异彩,Wind
241,2021-06-08,深南电路：已启动内部调整工作 协调价格波动｜公司问答,第一财经
242,2021-06-08,深南电路大涨,新浪
243,2021-06-08,粤开策略：每日数据跟踪,新浪
