90,2021-12-12,上汽集团：11月份上汽实现整车销售60.1万辆，继续保持逐月攀升的增长势头,每日经济新闻
91,2021-12-12,蜜雪冰城、双汇也入局元宇宙？是风口还是虎口？,Wind
92,2021-12-12,MG ONE助力科技平权 名爵开启品牌变革新篇章,网通社
93,2021-12-11,如何量产你说了算 Cyber暴造局正式成立,汽车之家
94,2021-12-10,上汽集团：公司所属捷氢科技自研的燃料电池系统技术性能已可比肩全球领先水平，相关技术均已率先实现产品化落地,每日经济新闻
95,2021-12-10,上汽集团：公司通过成立上汽英飞凌合资企业，并与地平线等芯片企业建立业务或资本合作,每日经济新闻
96,2021-12-10,上汽集团：氢燃料电池由上汽集团控股子公司捷氢科技研发生产,每日经济新闻
97,2021-12-10,上汽集团：上汽通用五菱生产的新能源乘用车目前均可计算双积分，计算双积分的方式与轿车无区别,每日经济新闻
98,2021-12-10,上汽集团：下半年公司产销量逐月攀升,每日经济新闻
99,2021-12-10,上汽集团：国内乘用车产品均涉及EDR法规，国家要求从2022年1月1日起生产的乘用车产品须满足EDR法规，公司新能源小型车已完成产品及产线整改，对销售无影响,每日经济新闻
100,2021-12-10,上汽集团：已启动二期16Gwh电芯产线建设 计划明年底建成投产,乐居财经
101,2021-12-10,上汽集团：时代上汽一期建成产能已达到26Gwh，考虑到产能供不应求，目前已启动二期16Gwh电芯产线建设，计划明年底建成投产,每日经济新闻
102,2021-12-10,"上汽集团现1笔大宗交易 共成交1,855.55万元",新浪
103,2021-12-10,上汽集团今日大宗交易成交85万股，成交价21.83元溢价0.0%,Wind
104,2021-12-10,车企入局Robotaxi，网约车行业迎来供给侧改革？,36氪
105,2021-12-10,不愿意“灵魂”被华为掌控的上汽集团，自研了一个“灵魂”！,Ofweek
106,2021-12-10,东亚机械：公司目前产品没有新能源汽车零部件产品,Wind
107,2021-12-10,天风证券：芯片供给持续改善 汽车业有望进入加库周期,智通财经
108,2021-12-10,上汽集团11月销量超60万，新能源车同比增长45.6%,盖世汽车
109,2021-12-09,车企杀入 RoboTaxi 赛道，能超过自动驾驶公司吗？,ZAKER
110,2021-12-09,“十四五”农村规划吹风会两大要点：消费更新+粮食安全，五大板块异动！,Wind
111,2021-12-09,上汽集团现1笔大宗交易 共成交871.60万元,新浪
112,2021-12-09,上汽集团今日大宗交易成交40万股，成交价21.79元溢价0.0%,Wind
113,2021-12-09,上汽时代启用首条CTP电池量产线,世纪新能源
114,2021-12-09,安世豪交棒，奥迪失去中国豪华汽车市场龙头地位,每日经济新闻
115,2021-12-09,东方证券：给予上汽集团买入评级，目标价位29.59元,证券之星
116,2021-12-09,东方证券维持上汽集团买入评级：销售结构向好，ID系列销量持续向上，目标价29.59元,每日经济新闻
117,2021-12-09,【渤海证券 汽车】行业复苏可盼，电动智能加速——汽车行业2022年投资策略报告——中性,新浪
118,2021-12-09,未来计划曝光 享道Robotaxi启动运营,汽车之家
119,2021-12-09,东亚机械：公司的终端客户包括有比亚迪、东风汽车、上汽集团等,财联社
120,2021-12-09,上汽集团(600104)：11月产销稳步修复 享道ROBOTAXI启动,新浪
121,2021-12-09,22股获券商买入评级，江苏神通目标涨幅达91.08%,Wind
122,2021-12-09,12月8日27只个股获券商关注，广汽集团目标涨幅达65.78%,每经网
123,2021-12-09,合资公司年度“最强回暖”，上汽集团又行了？,ZAKER
124,2021-12-08,【早知道】A股史上“最贵新股”出炉；欧美股市全线上涨纳指涨逾3％,腾讯网
125,2021-12-08,汽车行业简评报告：11月比亚迪、造车新势力销量齐创新高 经销商补库进行时,新浪
126,2021-12-08,上汽接入Momenta飞轮，成为中国第一个落地RoboTaxi的车企,量子位
127,2021-12-08,国海证券维持上汽集团增持评级，事件点评：11月销量突破60万，多品牌创年内新高,每日经济新闻
128,2021-12-08,国海证券：给予上汽集团增持评级,证券之星
129,2021-12-08,固态电池来了！锂电巨头称随时可量产装车！,Ofweek
130,2021-12-08,21深度丨R标“单飞”后：上汽自主品牌向上故事怎么讲？,21世纪经济报道
131,2021-12-08,上汽集团宣布国内首个车企L4自动驾驶运营平台“享道Robotaxi”正式启动运营,Wind
132,2021-12-08,出租车没驾驶员！中国车企首个L4无人驾驶商业运营落地,上证报
133,2021-12-08,传统车企掀起分拆热潮，新能源赛道yyds？,资本邦
134,2021-12-08,上汽、长城、长安进军印度，是否低估了印度市场的复杂性？,Ofweek
135,2021-12-08,享道出行上线L4自动驾驶运营平台 明年运营车队规模达200辆,贝壳财经
136,2021-12-08,华西证券：给予上汽集团买入评级，目标价位28.79元,证券之星
137,2021-12-08,华西证券维持上汽集团买入评级：缺芯缓解产大于销，合资上新销量高增,每日经济新闻
138,2021-12-08,上汽集团：凯迪拉克纯电中大型豪华SUV LYRIQ订金订单已近5000个,IT之家
139,2021-12-08,新能源汽车持续火热，多家车企今年前十一个月销量同比大增,资本邦
140,2021-12-08,每日理财观察：前11个月我国进出口规模超去年全年,Wind
141,2021-12-08,上柴股份蓝青松：双轮驱动“跑”出新姿态,上证报
142,2021-12-08,内外兼修创新驱动 上海上市公司变大为强,上证报
143,2021-12-08,量产PACK下线 上汽时代首条CTP产线开启,汽车之家
144,2021-12-08,上汽集团前11个月销量为480万辆,北京商报
145,2021-12-08,上汽集团最新销量公布，两大合资品牌销量又下滑 盈利能力下降,ZAKER
146,2021-12-07,公告精选：凯普生物、龙佰集团全年业绩大幅预增；牧原股份相关商业承兑汇票已全部兑付,e公司
147,2021-12-07,奥迪中国“破冰高手”安世豪将卸任 新“关键先生”温泽岳接棒过渡期重任,经济观察网
148,2021-12-07,上汽集团：前11月新能源汽车销量同比增长155.45%,上证报
149,2021-12-07,晚间公告｜12月7日这些公告有看头,第一财经
150,2021-12-07,上汽集团11月销量出炉 上汽大众销量同比暴降 盈利能力下降,快科技
151,2021-12-07,金融街下午茶2021年12月7日星期二,Wind
152,2021-12-07,上汽集团：11月单月销量突破60万辆关口,证券时报网
153,2021-12-07,上汽集团：前11个月汽车销量同比下降1.06% 盈利能力下降,阿尔法工场
154,2021-12-07,上汽集团：11月整车销量破60万辆,证券时报网
