550,2021-04-27,49公司获得增持评级-更新中,中财网
551,2021-04-27,通信行业周报：一季度电信业发展良好 5G手机渗透率持续提升,新浪
552,2021-04-26,【华西通信|公司点评】紫光股份：聚焦三大主要市场，经营持续稳健,香农圆桌沙龙
553,2021-04-26,年报解读|3个关键词看2020年紫光股份年报,金融界
554,2021-04-26,核心业务表现强劲 紫光股份2020年营收、扣非净利呈两位数增长,上证报
555,2021-04-26,紫光股份旗下新华三与中移集成签署战略合作协议,紫光集团
556,2021-04-24,紫光股份：核心业务表现强劲 “从芯到云”能力提升,中证网
557,2021-04-23,紫光股份：拟为公司合并报表范围内子公司提供14.7亿元的担保 大额借贷担保,Wind
558,2021-04-23,紫光股份：关于2020年度计提资产减值准备约5.7亿元 资产异常,Wind
559,2021-04-23,紫光股份：核心业务强劲，2020年营收、扣非净利润稳步增长,证券时报网
560,2021-04-23,紫光股份2020年营收597.05亿元，运营商业务56.58亿元,C114通信网
561,2021-04-23,紫光股份(000938.SZ)2020年度净利润升2.78%至18.95亿元拟10派1元,格隆汇
562,2021-04-23,紫光股份(000938.SZ)2020年度归母净利同比增2.78%至18.95亿元 拟10派1元,智通财经
563,2021-04-23,紫光股份：2020年净利润同比增长2.78%,Wind
564,2021-04-22,年报解读|华胜天成：IT企业却靠投资收益扭亏大量股权投资引致潜在风险,科创板日报
565,2021-04-21,晚间重要公告2021年4月21日星期三,Wind
566,2021-04-21,紫光股份(000938.SZ)：持股2.82%股东林芝清创拟减持不超0.70%股份 拟减持股份,格隆汇
567,2021-04-21,紫光股份(000938.SZ)股东林芝清创拟减持不超过2000万股 拟减持股份,智通财经
568,2021-04-21,紫光股份：控股股东的一致行动人林芝清创拟减持不超0.7%股份 拟减持股份,Wind
569,2021-04-21,清华系资本图谱：三大平台各展所长,Wind
570,2021-04-20,华安证券--通信行业周报：华为开启被动转型，车端云全面赋能合作伙伴【行业研究】,金融界股吧
571,2021-04-19,华泰证券：通信行业建议关注前期超跌、估值低位且一季度高增长的板块,Wind
572,2021-04-19,财经早茶｜张坤一季度大幅加仓医药、银行；第22届中国环博会即将举办,证券之星
573,2021-04-19,财经早茶｜张坤一季度大幅加仓医药、银行；第22届中国环博会即将举办,同壁财经
574,2021-04-13,安信证券--计算机行业动态分析：中电科吹响计算机行业新一轮国企改革号角【行业研究】,金融界股吧
575,2021-04-13,【计算机】计算机板块微调，关注网安和云计算板块――计算机行业周报――看好,渤海证券研究
576,2021-04-12,渤海证券--计算机行业周报：计算机板块微调，关注网安和云计算板块【行业研究】,金融界股吧
577,2021-04-12,华安研究行业周观点集萃,华安证券
578,2021-04-12,信达证券--通信行业·产业追踪（8）：公安部力推电子标识，上海新增IDC能耗利好优势企业【行业研究】,金融界股吧
579,2021-04-12,通信行业周报：天翼推动5G工业物联发展 模组厂商机遇广阔,新浪
580,2021-04-11,申万宏源通信周报：电子车牌或迎法律加持 产业链或现良机,新浪
581,2021-04-09,紫光股份旗下新华三集团发布“云智原生”战略,证券时报网
582,2021-04-09,行业观察｜政经企名家聚首领航者论坛：共话产业破局再生长,财经杂志
583,2021-04-09,通信行业2021年一季报前瞻：应用端渗透加速 行业多环节迎来边际改善,新浪
584,2021-04-07,通信行业周报：亿联上线MEETINGEYE BYOD模式 移远定增落地,新浪
585,2021-04-05,【华西通信|周专题】华为年报解读：聚焦国内，边界扩张,香农圆桌沙龙
586,2021-04-02,科技及智能设备产业链日报：航空航天与国防Ⅲ指数继续领涨,新浪
587,2021-03-30,通信行业一周谈：三大运营商21年投资将平稳增长 中移动5G传输集采中兴份额提升显着,新浪
588,2021-03-29,通信行业周报2021年3月第5期：2020年运营商全面改善 2021年有望继续向上,新浪
589,2021-03-29,通信行业：运营商年度总结四大亮点 行业云化、智慧化升级机遇,新浪
590,2021-03-29,通信行业周报：运营商年报披露完毕 工信部加强“双千兆”建设,新浪
591,2021-03-28,【华西通信】周专题：运营商年度总结四大亮点，行业云化、智慧化升级机遇,香农圆桌沙龙
592,2021-03-27,申万宏源通信周报：运营商财报透露出哪些行业趋势？,新浪
593,2021-03-27,计算机行业周报：3月展望数字货币推广三大预测？,新浪
594,2021-03-26,紫光股份：2020年新华三在运营商的数轮集采中多次中标，已全面参与运营商大网的建设，产品解决方案已进入运营商最为核心的基础网络,每日经济新闻
595,2021-03-24,紫光股份：旗下新华三与京东达成战略合作,e公司
596,2021-03-24,紫光股份：旗下新华三集团入围中央国家机关2021年数据库软件协议供货采购项目,e公司
597,2021-03-22,通信行业周报：华为拟收5G专利费 中兴5G毛利率提升,新浪
598,2021-03-22,通信周报：电信设备市场预期乐观,新浪
599,2021-03-21,海通通信一周谈：电信回A募资发力云网融合 Q2服务器预计稳步增长,新浪
600,2021-03-21,通信行业：运营商产业互联网业务加速发展,新浪
601,2021-03-20,申万宏源通信周报：国产转移下 国内IOT芯片厂商的机会何在？,新浪
602,2021-03-19,康力优蓝CANBOT经营主体成立机器人科技新公司，前者股东含康力电梯、紫光股份等,企查查
603,2021-03-19,2月教育企业市值排行榜,搜狐
604,2021-03-19,【机会挖掘】全面推动IPv6应用的规模部署 产业链公司有望加速受益,证券时报网
605,2021-03-18,中兴通讯(000063)：通信龙头全年营收高质量增长 静待展翅腾飞,新浪
606,2021-03-15,通信设备行业跟踪报告：电信联通经营数据向好 资本开支增长平稳,新浪
607,2021-03-15,通信行业周报：电信联通资本开支拆解：5G投资保持平稳 产业互联网显着增加,华安证券
608,2021-03-15,科技行业：运营商ARPU回暖 盈利复苏持续展现,新浪
609,2021-03-15,通信行业周报：5G手机驱动出货量攀升 看好运营商长期提质转型,新浪
610,2021-03-15,【华西通信】周专题：IDC：行业资本周期推动加速整合,香农圆桌沙龙
611,2021-03-10,中泰证券--通信行业周报：千兆光网写入政府工作报告，5G用户发展超预期【行业研究】,金融界股吧
612,2021-03-09,通信一周谈：两会报告强调5G和千兆光网建设,新浪
613,2021-03-08,通信行业周报：政府工作报告淡化提速降费 信骅2月营收环比改善,新浪
614,2021-03-08,信达证券--信达通信·产业追踪（3）：两会重点提及工业互联网，宝信软件核心受益【行业研究】,金融界股吧
615,2021-03-08,【华西通信】周专题：运营商：数据跟踪+历史定价因素解析,香农圆桌沙龙
616,2021-03-06,2月教育企业市值排行榜：欢聚取代培生进入综合榜TOP 10,搜狐
617,2021-03-06,通信周报：政府工作报告指引新趋势？产业数字化加速,新浪
618,2021-03-03,紫光股份：一年内未向大股东定向增发,每日经济新闻
619,2021-03-03,紫光股份：未发现有商誉减值的迹象,每日经济新闻
620,2021-03-02,通信行业周报：韩运营商5G效应持续显现 物联网闪耀2021 MWC,新浪
621,2021-03-01,【华西通信】周专题：MWC上海5G应用加速落地，看好板块业绩估值提升,香农圆桌沙龙
622,2021-03-01,信达证券--通信行业·产业追踪（2）：物联网芯片国产化提速，赋能物联网发展【行业研究】,金融界股吧
623,2021-02-27,申万宏源通信周报：从2021MWC 大会看5G行业应用创新,新浪
624,2021-02-23,通信周报2021第7期：蜂窝笔记本渗透率提升 物联网模组市场空间广阔,新浪
625,2021-02-23,通信一周谈：华为、中兴位居5G核心专利TOP3 2021年中国5G用户将超5亿,新浪
626,2021-02-23,科技行业：业绩释放+景气改善 建议关注IDC,新浪
627,2021-02-22,通信行业周报：5G驱动韩国运营商ARPU值提升 2021世界移动大会召开在即,新浪
