,2021-12-31,煤炭坐上“过山车”：价格疯涨后企稳回落,中国经营网
152,2021-09-22,A股收盘综述：电力股批量封板、神华兖煤涨停，一线地产股柳暗花明,Wind
153,2021-09-22,解盘：电力股全线飙升，消费、金融大幅回调,Wind
154,2021-09-22,A股午盘综述：指数下滑无碍炒作，电力煤炭板块飙升、地产否极泰来,Wind
155,2021-09-21,发改委等部门开展能源保供稳价工作督导 冷链行业发展空间可观丨明日主题前瞻,第一财经
156,2021-09-21,公用事业周报：8月全社会总电量累计同比+13.8% 发改委印发《完善能源消费强度和总量双控制度方案》,新浪
157,2021-09-17,晚间重要公告2021年9月17日星期五,Wind
158,2021-09-17,国投电力：拟发行公司债不超过30亿元,每日经济新闻
159,2021-09-17,国投电力(600886.SH)：拟公开发行不超30亿元公司债券,格隆汇
160,2021-09-17,国投电力：拟公开发行债券募资不超过30亿元,Wind
161,2021-09-17,国投电力(600886.SH)拟面向专业投资者公开发行不超30亿元债券,智通财经
162,2021-09-16,公用事业点评报告：高基数叠加偏弱需求 发用电量增速有所回落,新浪
163,2021-09-16,国投电力：加码清洁能源发展，贯彻“融投管退”环节,澎湃新闻
164,2021-09-13,大宗商品行业周报：绿色能源与大宗商品周报(2021年第19期),新浪
165,2021-09-13,晚间重要公告2021年9月13日星期一,Wind
166,2021-09-13,国投电力(600886.SH)拟与川投能源共同投资347.22亿元建设孟底沟水电站,智通财经
167,2021-09-13,国投电力：拟参与投资孟底沟水电站 项目总投资347.22亿元,财联社
168,2021-09-13,国投电力：拟与川投能源工头投建雅砻江水电孟底沟水电站,Wind
169,2021-09-13,公用事业行业：两部委推动绿电交易试点 《抽水蓄能中长期发展规划(2021-2035年)》印发实施,新浪
170,2021-09-10,长江电力(600900)：短期来水压制业绩 长期综合清洁能源平台可期,新浪
171,2021-09-10,国投电力(600886)：电价增长助推收入 高煤价压制净利,新浪
172,2021-09-09,抽水储能领域迎重磅利好，北上资金看好这些股(附股),中财网
173,2021-09-09,国投电力(600886)煤价上行拖累业绩 风光装机持续提升,新浪
174,2021-09-09,葛卫东出手，裘国根加仓，这家公司有何看点？,Wind
175,2021-09-08,公用事业行业周报：持续推荐有成长性的新能源及火电转型标的,新浪
176,2021-09-08,电力股掀涨停潮，绿电交易开启，百亿规模利好新能源运营商,第一财经
177,2021-09-06,国投电力今日大宗交易成交243.80万股，成交价9.0元折价8.72%,Wind
178,2021-09-05,环保公用行业周报：碳中和重塑电力行业格局 电价调整吹响A股电力价值重估号角,新浪
179,2021-09-04,环保公用行业2021年中报总结：21Q2板块基金持仓环比-0.17PCT 新能源发电板块领涨,新浪
180,2021-09-03,国投电力：定增申请获中国证监会受理,财联社
181,2021-09-02,策略月报：8月产业资本减持额下降 减持股份,新浪
182,2021-09-01,每日报告回放,新浪
183,2021-09-01,国投电力(600886)：水风光携手发力 高煤价致业绩承压 盈利能力下降,新浪
184,2021-09-01,私募大佬持仓出炉！冯柳、邓晓峰、葛卫东、裘国根、赵军等心水股有哪些,Wind
185,2021-08-31,国投电力：高煤价下利润短期承压，成长属性持续凸显,郭丽丽的研究札记
186,2021-08-31,434股获买入评级 最新:国投电力,中财网
187,2021-08-31,长江电力(600900)：投资平台属性增强 21H1归母净利润同比+8.6%,新浪
188,2021-08-31,国投电力(600886)：量缩价增 第三阶成长启动,新浪
189,2021-08-31,机构二季度持股趋分散，增持蓝筹白马,Wind
190,2021-08-31,国投电力(600886)2021年中报点评：雅砻江电价提升凸显压舱石属性 新能源业务亮眼,新浪
191,2021-08-31,国投电力：公司对外担保余额约21.64亿元 大额借贷担保,每日经济新闻
192,2021-08-30,国投电力：2021年半年度净利润约23.37亿元，同比下降24.02% 盈利能力下降,每日经济新闻
193,2021-08-30,国投电力(600886.SH)：上半年净利降24.02%至23.37亿元 盈利能力下降,格隆汇
194,2021-08-30,国投电力2021年上半年实现净利润41.87亿元，同比下降17.05% 盈利能力下降,经济观察报
195,2021-08-30,国投电力：上半年净利润同比减少24.02% 盈利能力下降,Wind
196,2021-08-30,公用环保行业周报：发改委完善电解铝阶梯电价政策利好新能源发电,新浪
197,2021-08-29,周末影响A股十大事件来了！,Wind
198,2021-08-29,公用事业周报：发改委鼓励电解铝企业提高新能源电源利用水平 7月天然气进口量同比+27.0%,新浪
199,2021-08-28,张坤中报“内涵”三只新隐形重仓股：中国国贸、双汇发展和国投电力,腾讯网
200,2021-08-28,“千亿顶流”张坤隐形重仓股来了！,Wind
201,2021-08-20,碧桂园?美好中国ESG100指数完成2021年度调仓,新浪
202,2021-08-18,全面深化交流合作 加快实现绿色发展,钢企网
203,2021-08-16,公用事业行业周报：电力供需紧张叠加高煤价 加快电价机制改革,新浪
204,2021-08-16,发钱啦！国投电力2020年年度权益分派实施公告,北极星电力
205,2021-08-15,公用事业周报：七月用电量同比高增12.8% 国家鼓励可再生能源企业增强调峰或储能能力,新浪
206,2021-08-10,国投电力(600886.SH)2020年度权益分派10派2.8元 股权登记日为8月17日,格隆汇
207,2021-08-10,国投电力(600886.SH)于8月18日每股派发现金红利0.28元,智通财经
208,2021-08-09,公用事业行业周报：“十四五”我国煤电装机或增容控量,新浪
209,2021-08-09,天风证券维持国投电力买入评级：从周期到价值，从价值到成长，目标价13.05元,每日经济新闻
210,2021-08-09,全市场流动性周观察：产业资本加码增持 美债收益率转为上行,国海证券
211,2021-08-09,【独家】2021年7月电力项目情况：涉及核准、开工、并网等(6),北极星电力
212,2021-08-08,公用事业周报：8月云南省内交易电价同比+1分 国内首个天然气制氢加氢一体站试运行,新浪
213,2021-08-08,环保公用行业周报：市场化交易电价全线上涨 未来电价有望进入上行通道,新浪
214,2021-08-06,国投电力：长江电力长期看好公司业绩 目前业务互补性不强｜公司问答,第一财经
215,2021-08-06,国投电力：将在分红预案通过之日起两个月内完成分红,每日经济新闻
216,2021-08-06,年内逾30公司被举牌 产业资本相中谁？,投资快报
217,2021-08-05,晚间公告｜8月5日这些公告有看头,第一财经
218,2021-08-05,持续“扫货”同行股权 长江电力增持申能股份与国投电力,e公司
219,2021-08-05,国投电力：股东长电投资增持 6966 万股，占比 1%,ZAKER
220,2021-08-05,国投电力(600886.SH)股东长电投资增持比例达1%,智通财经
221,2021-08-05,国投电力(600886.SH)：股东长电投资累计增持达1%股份,格隆汇
222,2021-08-05,财信证券电力行业2021年8月月度报告：中报预增，新能源运营商维持高景气度,财信证券研究
223,2021-08-04,公用事业行业信息点评：强化需求侧管理 提升系统灵活性,新浪
224,2021-08-03,国投电力：“前科”犹在 定增再引争议,证券市场周刊
225,2021-08-02,公用事业行业周报：完善分时电价政策 新能源发电再迎机遇,新浪
226,2021-08-01,公用环保行业周报：峰谷价差显着扩大 利好灵活性电源及储能,新浪
227,2021-07-30,国家发改委完善分时电价机制点评：峰谷价差显着扩大 利好灵活性电源及储能,新浪
228,2021-07-30,公用事业行业点评：分时电价机制优化 助力能源转型提速,新浪
229,2021-07-30,电力行业点评：分时电价削峰填谷 电网减负、储能加码,新浪
230,2021-07-28,国投电力(600886.SH)：定增事项获国投集团批复,格隆汇
231,2021-07-28,国投电力(600886.SH)非公开发行股票事项获国投集团批复,智通财经
232,2021-07-27,国投电力：拟向控股股东定增 预案发布次日股价大跌 连续下跌,面包财经
233,2021-07-22,融资客青睐6股，江苏舜天买入占比高达45.22%,Wind
234,2021-07-20,600亿龙头突然闪崩，恒大系又大跌！什么情况？ 连续下跌,Wind
235,2021-07-20,国投电力大跌 连续下跌,新浪
236,2021-07-20,上市公司正负面新闻2021年7月20日星期二,Wind
237,2021-07-19,国投电力：最近五年不存在被证券监管部门和证券交易所采取监管措施或处罚的情况,每日经济新闻
238,2021-07-19,国投电力(600886.SH)拟向控股股东定增募资36.33亿元,智通财经
239,2021-07-19,国投电力：拟定增募资36.33亿元，用于两河口水电站项目和补充流动资金,Wind
240,2021-07-19,国投电力：拟向国投集团定增募资36.33亿元,财联社
241,2021-07-19,绿色能源与大宗商品月报(2021年7月),新浪
242,2021-07-19,国投电力：上半年累计完成发电量656.99亿千瓦时,北极星电力
243,2021-07-19,公用事业2021年中报业绩前瞻：煤电普遍承压 关注新能源高成长,新浪
244,2021-07-18,公用周报：6月全社会用电总量同比+9.8% 天然气产量同比+13.1%,新浪
245,2021-07-17,长江电力(600900)：来水偏枯业绩仍然增长 看好全年表现,新浪
246,2021-07-16,公用事业点评报告：来水偏枯限制水电出力 旺盛需求拉动火电增速回升,新浪
247,2021-07-15,兴论碳中和系列4：全国碳交易启动在即 碳资产影响力长期提升,新浪
248,2021-07-15,国投电力(600886)：二季度电价提升有望增收 煤价高涨或限制业绩表现,新浪
249,2021-07-15,国投电力(600886.SH)完成发行10亿元2021年度第一期中期票据,智通财经
250,2021-07-13,国投电力(600886.SH)二季度境内控股企业累计完成发电量340.06亿千瓦时,智通财经
251,2021-07-13,财信证券电力行业2021年6月月度报告：关注业绩预增和碳交易市场带来的投资机会,财信证券研究
252,2021-07-09,一周电力项目汇总(2021.7.5-7.9)—核准、开工、并网等,北极星电力
253,2021-07-08,晚间公告｜7月8日这些公告有看头,第一财经
254,2021-07-08,国投电力最新公告：雅砻江杨房沟水电站2号机组投产,证券之星
255,2021-07-08,国投电力(600886.SH)：雅砻江杨房沟水电站2号机组投入商业运行,格隆汇
256,2021-07-07,国投电力：国投天津宁河50MW风电项目土地出让面积12665平方米，主要建设一座110kV升压站和19台风机用地,每日经济新闻
257,2021-07-07,今日能源看点：国家发改委发布“十四五”循环经济发展规划！裴文田被任命为国家矿山安全监察局副局长！,国际能源网
258,2021-07-07,国投电力：旗下桐梓林电站预计在全国碳交易市场逐步放开CCER交易后可参与市场,Wind
259,2021-07-06,公用事业周报：前5月全国市场化累计交易电量同比+47.8% 华能水电2021H1业绩同比预增88%-108%,新浪
