,2021-12-31,OpenHarmony 项目群 12 月新增捐赠人美的集团、深圳开鸿,IT之家
941,2021-08-25,外资周报第95期：TAPER预期发酵 交易盘大幅外流,新浪
942,2021-08-25,2万买的美的空调年年坏年年修 消费者:对品牌失去信心,中国经济网
943,2021-08-25,A股融资融券日报：两融余额增加68.17亿元（8月24日）,Wind
944,2021-08-25,A股早报2021年8月25日星期三,Wind
945,2021-08-25,腾讯、阿里、京东、美团集体躁动，港股又到布局时点？,Wind
946,2021-08-24,【提前看】24日公告精选：何享健耗资10亿元增持美的集团；上能电气明日复牌,证券时报网
947,2021-08-24,晚间重要公告2021年8月24日星期二,Wind
948,2021-08-24,明星基金隐形重仓股曝光！部分标的被深套,Wind
949,2021-08-24,美的集团：何享健已耗资10亿元增持公司0.19%股份,上证报
950,2021-08-24,美的集团(000333.SZ)：何享健累计增持1355.98万股 耗资10亿元,智通财经
951,2021-08-24,美的集团：控股股东美的控股有限公司一致行动人何享健先生计划自5月20日起6个月内，拟以自有资金不低于8亿元增持公司A股股份,每日经济新闻
952,2021-08-24,美的集团：何享健耗资10亿元累计增持0.19%公司股份,e公司
953,2021-08-24,美的集团：6月3日至7月7日 何享健累计增持股份金额为10亿元,财联社
954,2021-08-24,美的集团：何享健已增持0.19%公司股份，耗资10亿元,Wind
955,2021-08-24,家用电器研究周报(2021年第34周)：7月空调内销同比转正 地产销售同比年内首负,光大证券
956,2021-08-24,美的集团：库卡预期2021年全年订单将实现同比增长，全年收入实现小幅的同比增长，全年EBIT将实现转正,每日经济新闻
957,2021-08-24,A股融资融券日报：两融余额增加174.98亿元（8月23日）,Wind
958,2021-08-24,7月家电电零售跟踪：集成灶线下强势增长 白电增速扭正,新浪
959,2021-08-24,A股强势反弹，多个板块批量涨停，三大核心赛道会持续崛起？,Wind
960,2021-08-23,格力美的新搏杀：销售与资本两大战场,和讯
961,2021-08-23,A股大幅反弹北向资金加仓超18亿，持续加码高景气板块,Wind
962,2021-08-23,A股强势反弹，工业母机批量涨停，新龙头闪现？,Wind
963,2021-08-23,A股收盘综述：创业板指放量大涨逾3%，两市近200股涨幅超10%,Wind
964,2021-08-23,干货！2021年中国小家电行业龙头企业分析——美的集团：业务发展“稳中求进”,前瞻研究院
965,2021-08-23,格力电器半年报出炉：净利同比增近50% 仍低于2019年同期,和讯
966,2021-08-23,A股午盘综述：市场普反创业板指升逾2%，工业母机概念井喷,Wind
967,2021-08-23,A股融资融券日报：两融余额减少45.91亿元（8月20日）,Wind
968,2021-08-23,家用电器行业研究周报：疫情影响下 主要家电市场渠道结构变化,新浪
969,2021-08-23,美的集团计划五年内国际市占率达10% 加速全球化海外营收连续五年占比近半,长江商报
970,2021-08-22,啥情况？千亿大牛股被富时罗素踢出群，原因竟是这个！,Wind
971,2021-08-21,北向资金连续两日净卖出超百亿，这些个股被逆市加仓（名单）,21世纪经济报道
972,2021-08-21,刚刚公布！71只A股新纳入，增量配置资金即将进场,Wind
973,2021-08-20,北向资金6年来首次连续两日净卖出超百亿，贵州茅台、五粮液、恒瑞医药遭惨烈抛售,Wind
974,2021-08-20,收藏！2021年1-7月中国医疗行业细分市场投融资数据解读(二) 医疗器械共发生63起亿级及以上事件,前瞻研究院
975,2021-08-20,家用电器行业7月数据月报：空调内销改善 外销增速放缓,广发证券
976,2021-08-20,A股融资融券日报：两融余额减少15.59亿元（8月19日）,Wind
977,2021-08-19,家电巨头跨界医疗器械：美的、格力、海尔、TCL,赛柏蓝器械
978,2021-08-19,美的集团跌3.44% 申银万国长江证券高点喊买,中国经济网
979,2021-08-19,美的多元化布局未明朗，增加自营提高利润,Ofweek
980,2021-08-19,A股融资融券日报：两融余额增加49亿元（8月18日）,Wind
981,2021-08-19,美的集团连续3日获北向资金净买入,证券时报网
982,2021-08-18,全面引爆，2025年美的集团海外收入破400亿美元,搜狐
983,2021-08-18,北向资金稳步加仓3日净买入超111亿，持续扫货大金融龙头股,Wind
984,2021-08-18,券商股批量涨停，机构进场扫货！未来市场或这样走,Wind
985,2021-08-18,美的集团今日大宗交易成交4.92万股，成交价78.0元溢价4.7%,Wind
986,2021-08-18,美的集团：8月18日主力资金净流入额占板块119.91%,每日经济新闻
987,2021-08-18,基金发行增量趋缓，资金波动持续加大——市场资金面周观察,修炼投资的水晶球
988,2021-08-18,家用电器行业2021W33周观点：从电商数据看小米系家电品牌及其智能生态+,新浪
989,2021-08-18,34股获北向资金加仓超亿元,证券之星
990,2021-08-18,A股融资融券日报：两融余额减少125.59亿元（8月17日）,Wind
991,2021-08-18,“基金大跌”罕见进热搜TOP3！慌吗？北上连续加仓，公募仓位下降,Wind
992,2021-08-17,家电巨头玩跨界，为何他们也都瞄准医疗器械？,医疗器械创新网
993,2021-08-17,北向资金逆市抄底加仓A股近15亿，通威股份、北方稀土净买入额均创历史新高,Wind
994,2021-08-17,热门股回调成大跌主因？不要慌，短线或快速企稳,Wind
995,2021-08-17,家电行业周观点：基于“估值性价比+成本托底预期”的反弹,新浪
996,2021-08-17,公募基金减配 资本正在重新评估家电行业,新浪
997,2021-08-17,深度*行业*家用电器行业周报：大家电线上渠道表现更好 集成灶维持较高景气度,新浪
998,2021-08-17,海尔智家“大手笔”回购股价回归年初水平，海外营收占比近一半,搜狐
999,2021-08-17,美的集团等37股获北向资金增持额超亿元,证券时报网
1000,2021-08-17,A股融资融券日报：两融余额增加8.88亿元（8月16日）,Wind
1001,2021-08-17,北向资金动向盘点：逆市加仓电力设备新能源,Wind
1002,2021-08-17,北向资金净买入超60亿元，创8月以来新高！持续卖出这两只白酒股,21世纪经济报道
1003,2021-08-17,每日理财观察：中国7月份宏观经济数据出炉,Wind
1004,2021-08-17,义翘神州中一签可赚15万 资金跑步入场 市场不缺机会,财富动力网
1005,2021-08-16,北向资金 | 合计净流入62.02亿元，美的集团、亿纬锂能、隆基股份净买入居前,上游新闻
1006,2021-08-16,终结连续3日净流出！北向资金净买入62亿元，重点增持这3只龙头股（名单）,21世纪经济报道
1007,2021-08-16,数据复盘｜主力资金撤离有色金属股 北向资金抢筹美的集团等股,证券时报网
1008,2021-08-16,北向资金今日净买入62.02亿元 美的集团净买入居首,金融界
1009,2021-08-16,北向资金今日净买入美的集团6.89亿元,证券时报
1010,2021-08-16,北水卖出腾讯超25亿港元、美团超8亿港元；南水买入美的集团近7亿元,富途证券
1011,2021-08-16,出海日报｜《和平精英》和《PUBG Mobile》位列7月全球移动游戏收入榜首；阿根廷Ualá募资3.5亿美元,36氪
1012,2021-08-16,北向资金今日净流入62.02亿元，加仓美的集团近7亿元,第一财经
1013,2021-08-16,北向资金今日大幅净买入62亿元，低估值消费白马股获追捧,Wind
1014,2021-08-16,突然“被埋”！千亿龙头跌停，最火赛道也熄火了,Wind
1015,2021-08-16,A股资金流向（8月16日）：资金大幅出逃锂电产业链,Wind
1016,2021-08-16,8月16日两市散户减持的50只个股 减持股份,证券之星
1017,2021-08-16,A股收盘综述：沪指录得6连阳，氢能源板块午后再度爆发,Wind
1018,2021-08-16,A股异动 | 美的集团(000333.SZ)涨超4%创逾2个月新高 回购方案实施完成,格隆汇
1019,2021-08-16,美的集团：上半年库卡中国业务订单同比增超40%,e公司
1020,2021-08-16,超跌消费茅族集体反弹，美的集团涨超5%,Wind
1021,2021-08-16,A股早报2021年8月16日星期一,Wind
1022,2021-08-16,32股受青睐，北向资金增持额超亿元,证券时报网
1023,2021-08-16,美的集团：到2025年海外销售收入要突破400亿美元，国际市占率达到10%,Wind
1024,2021-08-16,A股融资融券日报：两融余额减少36.53亿元（8月13日）,Wind
1025,2021-08-16,前有酷开后有白电 创维集团“年抛式”分拆上市,中国家电网
1026,2021-08-16,家电周报：7月电商数据稳健 白电龙头基本面拐点渐近,新浪
1027,2021-08-15,广东区域股市周报：新增三家上市公司 英维克涨55.19%涨幅第一,每日经济新闻
1028,2021-08-14,抛售白酒股，超16亿元抢筹机械行业这只个股！北向资金本周增减持一览（名单） 减持股份,21世纪经济报道
1029,2021-08-14,美的、格力原材料端继续承压，“家电双熊”遭遇成长困境,红周刊
1030,2021-08-14,上市公司正负面新闻2021年8月14日星期六,Wind
1031,2021-08-14,两融跑步入场周增200亿，宁德582亿定增机构高喊买入,Wind
1032,2021-08-13,美的集团：回购方案实施完成，支付50亿元,Bianews
1033,2021-08-13,美的集团(000333.SZ)：第四期事业合伙人持股计划非交易过户完成 过户数为198.5611万股,格隆汇
1034,2021-08-13,公告精选：美的集团回购方案实施完成；宁德时代拟减持永福股份不超3%股份,e公司
1035,2021-08-13,美的集团耗资50亿元完成回购,大众证券报
1036,2021-08-13,公告精选：美的集团回购方案实施完成；招商银行上半年净利同比增22.82%,e公司
1037,2021-08-13,晚间重要公告2021年8月13日星期五,Wind
1038,2021-08-13,美的集团(000333.SZ)：完成回购 累计耗资50亿元回购7197.62万股,格隆汇
1039,2021-08-13,美的集团(000333.SZ)完成回购7197.62万股 耗资达回购方案上限50亿元,智通财经
1040,2021-08-13,美的集团：公司完成回购，总计回购约7198万股,每日经济新闻
1041,2021-08-13,美的集团：回购股份比例达1%、支付约50亿元，回购方案实施完成,Wind
1042,2021-08-13,海尔智家回购已花20亿股价无起色，营收增速放缓10年耗费900亿做投资 盈利能力下降,搜狐
1043,2021-08-13,"美的集团现3笔大宗交易 共成交2,698.26万元",新浪
1044,2021-08-13,美的集团今日大宗交易成交37.68万股，成交价71.61元溢价0.0%,Wind
1045,2021-08-13,深度*行业*21M7家电月度数据点评：618大促对7月需求有一定透支 新兴品类表现优于传统品类,新浪
1046,2021-08-13,芒果超媒(300413)：《哥哥》正式上映 IP价值持续提升,新浪
1047,2021-08-13,A股融资融券日报：两融余额增加73.91亿元（8月12日）,Wind
1048,2021-08-12,"美的集团现1笔大宗交易 共成交1,100.53万元",新浪
1049,2021-08-12,美的集团今日大宗交易成交15.30万股，成交价71.93元溢价1.42%,Wind
1050,2021-08-12,从超配到低配 公募家电板块调仓路径,新浪
1051,2021-08-12,美的集团(000333)：市场销量回复 原材料价格上涨,新浪
1052,2021-08-12,A股融资融券日报：两融余额增加75.25亿元（8月11日）,Wind
1053,2021-08-12,“美的泡水空调洗净晾干后再次销售”?官方回应来了,北京青年报
1054,2021-08-12,爱婴室拟2亿收购贝贝熊遭董事反对：何剑峰控股标的资产为负 15个月亏2052万 投资失误,新浪
1055,2021-08-11,家用电器行业：GEA 百年家电龙头成长史,广发证券
1056,2021-08-11,北上资金全透视月报(21年7月)：上月外资继续流入 增持电子与消费,广发证券
1057,2021-08-11,大牛股连续跌停，地产股大爆发，机构资金建仓股曝光,Wind
1058,2021-08-11,机构建仓股曝光 贵州茅台、三一重工、美的集团排名居前,第一财经
1059,2021-08-11,A股融资融券日报：两融余额增加29.47亿元（8月10日）,Wind
1060,2021-08-10,前有酷开后有白电，创维集团“年抛式”分拆上市,36氪
1061,2021-08-10,2021年7月家电行业淘系电商数据点评：子板块延续分化 白电实现高景气增长,新浪
1062,2021-08-10,A股融资融券日报：两融余额增加71.84亿元（8月9日）,Wind
1063,2021-08-10,一半是海水一半是火焰，极致行情下基金调仓换股攻略,Wind
1064,2021-08-09,东南电子在经营上被大客户“拿捏” 高市场份额、高毛利率真实性存疑 欺诈造假,新浪
1065,2021-08-09,北向资金今日净买入44.66亿元，光伏股逆势遭大幅抛售,Wind
1066,2021-08-09,因赛集团：美的集团是公司长期合作的客户,Wind
1067,2021-08-09,策略周报：成长依然占优 第三轮疫情下的全球供应链紧缺重新加剧,新浪
1068,2021-08-09,家电行业周报：Q2收入超预期 H2不必过度悲观,新浪
1069,2021-08-09,数字化转型， 佛山为何应重视研究美的,南方日报
1070,2021-08-09,A股融资融券日报：两融余额增加8.43亿元（8月6日）,Wind
1071,2021-08-08,制氢设备供不应求，猪价迎来久违反弹丨明日主题前瞻,第一财经
1072,2021-08-08,这些公司7月真金白银大手笔回购,上游新闻
1073,2021-08-08,美的销售泡过水的空调？官方回应了,快科技
1074,2021-08-07,美的、格力股票回购较劲：巨额资金难阻下跌，格力股价已近质押警戒线,时代在线
1075,2021-08-06,从“茅指数”转向“宁组合”，是什么让新能源板块急速机构化？,Wind
1076,2021-08-06,宝钢与美的联手打造百万吨合作平台丨钢铁财经资讯速览,钢铁新闻网
1077,2021-08-06,结束6日连续净买入，北向资金离场，颇受青睐的中国平安遭抛售 减持股份,21世纪经济报道
1078,2021-08-06,A股融资融券日报：两融余额增加49.65亿元（8月5日）,Wind
1079,2021-08-06,北向资金动向盘点：谁接谁的盘，谁抄谁的底？,Wind
1080,2021-08-06,【银河家电李冠华】行业动态 2021.7丨基金家电持仓创近五年新低,中国银河证券研究
1081,2021-08-05,美的集团(000333.SZ)第七期全球合伙人持股计划非交易过户完成,智通财经
1082,2021-08-05,北向资金今日净卖出19.65亿元，中国平安净卖出居首,Wind
1083,2021-08-05,美的集团：全球已有近 3000 多家医院都安装了这一系统，北美市场占有率到达95%,每日经济新闻
1084,2021-08-05,家电行业月报：中高端家电市场规模增速表现亮眼,新浪
1085,2021-08-05,美的集团：美的厨电5G+工业互联网应用示范园区，被评为世界经济论坛“灯塔工厂”,每日经济新闻
1086,2021-08-05,A股融资融券日报：两融余额增加114.45亿元（8月4日）,Wind
1087,2021-08-04,【国盛策略 | 陆股通月报】内外波动加剧，北上回流消费,尧望后势
1088,2021-08-04,2021H1空调出货数据点评：内外销双位数增长 渠道库存已至低水位,新浪
1089,2021-08-04,美的、格力二季度均遭公募减持超亿股，家电龙头为何被抛弃？ 减持股份,红周刊
1090,2021-08-04,美的集团旗下公司状告华帝股份等，系侵害实用新型专利权纠纷 诉讼纠纷,乐居财经
1091,2021-08-04,空调巨头回购“赛跑”：格力已完成100亿元 美的超35亿元,电鳗快报
1092,2021-08-04,安得智联全产业链布局和场景化解决方案，开启新一轮的融合化发展,砍柴网
1093,2021-08-04,好风凭借力 佛企出海劲,南方日报
1094,2021-08-04,A股早报2021年8月4日星期三,Wind
1095,2021-08-04,每日理财观察：网络游戏防沉迷引热议,Wind
1096,2021-08-04,A股融资融券日报：两融余额减少19.26亿元（8月3日）,Wind
1097,2021-08-04,美的集团8月3日现1笔大宗交易,证券时报网
1098,2021-08-04,游戏产业将变天？北上积极调仓聚焦两大板块,Wind
1099,2021-08-03,金融街下午茶2021年8月3日星期二,Wind
1100,2021-08-03,北上资金不惧调整逆势增仓，三季度重拾传统“大白马”,Wind
1101,2021-08-03,深度*行业*家用电器行业周报：21H1主要家电品类线上占比持续提升 新兴家电市场集中度持续提高,新浪
1102,2021-08-03,王者荣耀遭重拳，腾讯回应！千亿芯片大白马闪崩跌停,Wind
1103,2021-08-03,禁买线预警，看“聪明钱”如何爆买A股？,Wind
1104,2021-08-03,美的集团今日大宗交易成交46.15万股，成交价70.92元溢价0.0%,Wind
1105,2021-08-03,"美的集团现1笔大宗交易 共成交3,272.96万元",新浪
1106,2021-08-03,A股资金流向（8月3日）：高切低趋势日渐明朗，新能源产业链集体遭抛售,Wind
1107,2021-08-03,老白马也有春天 三一重工、美的集团大涨逾7%,证券之星
1108,2021-08-03,美的集团居2021《财富》世界500强第288名，较去年排名上升19名-网,钢企网
1109,2021-08-03,美的集团冲击涨停，成交额超55亿元,Wind
1110,2021-08-03,家电股午后拉升走高，美的集团涨逾8%,36氪
1111,2021-08-03,家电股午后拉升走高 美的集团涨逾7%,e公司
1112,2021-08-03,美的集团大涨超7%重返70元上方 市值超5000亿元,证券时报网
1113,2021-08-03,超跌价值股尾盘持续走高，三一重工、美的集团双双大涨8%,Wind
1114,2021-08-03,家电板块走强 美的集团涨超6%,格隆汇
1115,2021-08-03,美的集团涨近6%，股价重回70元,Wind
1116,2021-08-03,下行难抑，董明珠怎么救格力,《商学院》杂志
1117,2021-08-03,美的集团耗资35亿大额回购 股价反而一路下跌30% 连续下跌,搜狐
1118,2021-08-03,从放牛娃到《财富》世界500强企业掌舵人，他说“多亏了改革开放”,搜狐
1119,2021-08-03,A股融资融券日报：两融余额增加141.8亿元（8月2日）,Wind
1120,2021-08-03,8月3日操盘必读：影响股市利好与利空消息,新浪
1121,2021-08-03,股海导航 8月3日沪深股市公告提示,新浪
1122,2021-08-02,水泥价格大面积上涨，盐湖提锂龙头复牌归来丨明日主题前瞻,第一财经
1123,2021-08-02,由《财富》世界500强榜单看家电行业未来格局,搜狐
1124,2021-08-02,晚间公告热点追踪：半导体设备龙头北方华创拟遭实控人减持,新浪
1125,2021-08-02,从世界500强看“湾区力量”：25家登榜再创历史新高，广州、香港各新增2家，产业分布更加多元化,21世纪经济报道
1126,2021-08-02,美的集团截至7月底累计回购5109.8万股，耗资35.38亿元,乐居财经
1127,2021-08-02,公告精选：北方华创实控人抛减持计划；锦浪科技上半年净利润同比增长101%,e公司
1128,2021-08-02,美的集团已耗资35.38亿元回购0.7245%股份,上证报
1129,2021-08-02,美的集团(000333.SZ)已累计回购5109.8万股 耗资35.38亿元,智通财经
1130,2021-08-02,美的集团(000333.SZ)：已累计耗资约35.38亿元回购5109.8万股,格隆汇
1131,2021-08-02,美的集团：7月份回购耗资27.5亿元,e公司
1132,2021-08-02,外资抢筹开启八月“开门红” 两只机器人细分龙头接连被买爆,新浪
1133,2021-08-02,美的集团：累计回购约5110万股，占比0.7245%,每日经济新闻
1134,2021-08-02,美的集团：已累计回购0.7245%公司股份，耗资35.38亿元,Wind
1135,2021-08-02,家用电器研究周报：7月家电再度跑输大盘 6月冰洗出口增速下行,光大证券
1136,2021-08-02,家电行业周观点：兑现中报压力 关注后续改善,新浪
1137,2021-08-02,《财富》世界500强榜单发布，海尔美的格力表现如何？,搜狐
1138,2021-08-02,美的、格力、海尔齐上榜《财富》世界500强，格力排名较去年后退52位,搜狐
1139,2021-08-02,家用电器行业2021年中报业绩前瞻：白电需求缓慢复苏 新兴赛道高歌猛进,新浪
1140,2021-08-02,美的空调院士工作站揭牌 聘请王浚院士为“首席科学家”,凤凰网
1141,2021-08-02,A股融资融券日报：两融余额减少7.74亿元（7月30日）,Wind
1142,2021-08-02,每日理财观察：中央政治局会议定调下半年经济工作,Wind
1143,2021-08-02,【银河家电李冠华】行业点评丨白电仓位大幅降低，高景气板块受青睐,中国银河证券研究
1144,2021-08-01,“7月黄金坑”出现，布局“低估茅”好时机，高端白酒仍是首选赛道,Wind
1145,2021-07-30,北向资金 | 合计净流入22.48亿元，泸州老窖、美的集团、伊利股份净买入居前,上游新闻
1146,2021-07-30,北向资金今日净买入22.47亿元，对白酒股态度分化,Wind
1147,2021-07-30,美的集团：已为苏州地铁6号线、雄安高铁站等城市交通命脉提供完善解决方案,e公司
1148,2021-07-30,美的集团接受12家机构调研！短期主力资金净流入，市场资金早已察觉,每日经济新闻
1149,2021-07-30,A股融资融券日报：两融余额增加86.23亿元（7月29日）,Wind
1150,2021-07-29,佛山制造业怎么转？三年内大手笔发放百亿补贴，龙头标杆引领中小企业抱团,21世纪经济报道
1151,2021-07-29,中国银河维持家电行业推荐评级：白电仓位大幅降低，高景气板块受青睐 投资评级恶化,每日经济新闻
1152,2021-07-29,42股受青睐，北向资金增持额超亿元,证券时报网
1153,2021-07-29,A股融资融券日报：两融余额减少160.85亿元（7月28日）,Wind
1154,2021-07-29,美的集团7月28日现2笔大宗交易,证券时报网
1155,2021-07-28,美的集团现2笔大宗交易合计成交58.00万股,证券时报网
1156,2021-07-28,北向资金今日净买入80.53亿元，东方雨虹获净买入近12亿元,Wind
1157,2021-07-28,"美的集团现2笔大宗交易 共成交3,670.24万元",新浪
1158,2021-07-28,美的集团今日大宗交易成交58万股，成交价63.28元溢价0.0%,Wind
1159,2021-07-28,2021Q2家用电器板块基金持仓分析：持仓历史低位 新消费受青睐 关注稳健高性价比领域,新浪
1160,2021-07-28,A股融资融券日报：两融余额减少114.87亿元（7月27日）,Wind
1161,2021-07-28,北向资金动向盘点：净卖不过才40亿，抛压为什么那么大,Wind
1162,2021-07-28,沪指跌破3400点，北向资金减仓力度降低，逆市买入这些股（名单）,21世纪经济报道
1163,2021-07-27,北向资金今日净卖出41.72亿元，贵州茅台遭净卖出逾10亿元,Wind
1164,2021-07-27,A股再迎回购潮，千亿资金整装待发,Wind
1165,2021-07-27,"美的集团现1笔大宗交易 共成交3,536.64万元",新浪
1166,2021-07-27,美的集团今日大宗交易成交57.60万股，成交价61.4元溢价0.0%,Wind
1167,2021-07-27,美的集团连续回调，股价创出1年新低,Wind
1168,2021-07-27,A股融资融券日报：两融余额减少6.08亿元（7月26日）,Wind
1169,2021-07-27,北向资金净流出超百亿创年内新高，连续出逃京东方，抄底这些个股（名单）,21世纪经济报道
1170,2021-07-27,北向资金动向盘点：净卖第一不是食品饮料，更不是医药,Wind
1171,2021-07-27,沪指盘中一度跌破年线，机构称系统性风险有限,Wind
1172,2021-07-27,我国5G基站超97万站，年底将开通140万站,Wind
1173,2021-07-26,大股东减持股价下跌 背靠美的集团的万东医疗业绩提振难 减持股份,新浪
1174,2021-07-26,家用电器研究周报：21Q2基金减仓家电 15Q3以来首现低配,光大证券
1175,2021-07-26,北向资金净卖出创近一年新高，京东方A遭净卖出10.53亿元居首,Wind
1176,2021-07-26,不平凡的7月：茅台新低股指尽墨，4成个股却上涨,Wind
1177,2021-07-26,北向资金半日净流出62亿！核心资产不香了？,Wind
1178,2021-07-26,平安，万科，美的集体大跌，“老”白马们前路堪忧！ 连续下跌,证券之星
1179,2021-07-26,创维集团拟将创维电器独立上市 家电企业为何偏爱拆拆拆,中国商报
1180,2021-07-26,股价涨疯 大股东减持 没有业绩支撑的万东医疗还能蹦多高？ 减持股份,电鳗快报
1181,2021-07-25,苹果概念回调，机构紧急调研,Wind
1182,2021-07-25,"明星基金经理投资风向已变？二季度早已布局这些""宁指数""标的",红周刊
1183,2021-07-25,深度*行业*家用电器行业周：家电主流品类进入提价周期 新兴家电需求整体向上,新浪
1184,2021-07-24,大举加仓安踏李宁！陆股通基金最新重仓股大曝光：最爱是消费，次之为信息技术,Wind
1185,2021-07-24,中国股票的市盈率仍偏低，看清热门股、最差股基金最新持仓！,Wind
1186,2021-07-23,家电企业跨界医疗 美的万东道阻且长,新浪
1187,2021-07-23,家电行业周报：业绩披露期 关注业绩超预期个股,渤海证券
1188,2021-07-23,2张图看清热门股、最差股中基金最新持仓！,Wind
1189,2021-07-23,A股巨量调整：两融新高追逐热门股，医药消费批量新低,Wind
1190,2021-07-23,宏观策略日报：公募基金二季度规模增长加快 新能源相关板块获得增持,新浪
1191,2021-07-23,上半年空调量降额涨，行业出现结构性缺货？,新京报
1192,2021-07-23,创维拟分拆上市家电企业偏爱“花式”融资,中国商报
1193,2021-07-23,21Q2基金持仓结构分析：新能源赛道持仓比例超过20%,新浪
1194,2021-07-23,华为联合美的、中国联通发布 5G 融合定位解决方案,ZAKER
1195,2021-07-23,A股融资融券日报：两融余额增加93.49亿元（7月22日）,Wind
1196,2021-07-23,基金经理抱得更紧了！大幅提升创业板、科创板仓位,Wind
1197,2021-07-23,18家千亿顶流基金公司调仓释放重要信息,Wind
1198,2021-07-22,换个地方接着抱团,包子君
1199,2021-07-22,家电行业6月数据点评：成长景气 大电回暖,新浪
1200,2021-07-22,21年基金中报点评：从价值转向成长,新浪
1201,2021-07-22,家电及相关行业：地产竣工转好 厨电、空调需求受益,新浪
1202,2021-07-22,基金抱团50强出炉！顶流扎堆增持股曝光,Wind
1203,2021-07-22,A股市场流动性热点跟踪：二季度基金全面加仓成长制造,新浪
1204,2021-07-22,暴赚8700亿！二季度公募基金23万亿创新高,Wind
1205,2021-07-22,A股融资融券日报：两融余额增加100.15亿元（7月21日）,Wind
1206,2021-07-22,《财富》中国500强家电榜单，“粤家电”占比过半,羊城晚报
1207,2021-07-22,港股盘前必读：消息称爱美客计划于本月或下月向港交所递交上市申请,Wind
1208,2021-07-22,创纪录大赚近九千亿，公募基金二季报全透视！,Wind
1209,2021-07-22,基金重仓股变化折射时代变迁，宁德时代晋升为公募基金第二大重仓股,Wind
1210,2021-07-22,公募二季度重仓白酒医药新能源，明显增持新材料板块,Wind
1211,2021-07-21,家用电器研究周报：利空钝化 估值偏低 配置价值上升,光大证券
1212,2021-07-21,210亿元股份回购实施近半，格力仍未挽回股价颓势，空调“老大”位置难重返,搜狐
1213,2021-07-21,调研记录|美的集团（000333.SZ）：今年COLMO高端品牌产品销售规模力争达30亿元,智通财经
1214,2021-07-21,万东医疗午后闪崩跌停，美的集团医疗梦能成吗? 连续下跌,证券之星
1215,2021-07-21,创维集团拟分拆创维电器，为何家电企业偏爱“分拆上市”？,中国商报
1216,2021-07-21,造车新军——360和美的如何站稳脚跟？,第一电动网
1217,2021-07-21,A股融资融券日报：两融余额增加20.89亿元（7月20日）,Wind
1218,2021-07-21,创维集团拟将创维电器独立上市 家电企业为何偏爱拆拆拆,中国商报
1219,2021-07-21,A股走出独立行情，十大顶流基金经理最新调仓动向出炉,Wind
1220,2021-07-20,美的集团接受26家机构调研！短期主力资金净流出，存在资金分歧,每日经济新闻
1221,2021-07-20,家电行业周观点：风格或再平衡 板块有望企稳,新浪
1222,2021-07-20,广东首个5G全连接智能制造示范工厂落户顺德,21世纪经济报道
1223,2021-07-20,10大顶流基金经理二季度调仓动向曝光,Wind
1224,2021-07-20,北向资金今日净买入30.65亿元，持续加仓医药股,Wind
1225,2021-07-20,国盛策略：海外通胀再超预期 北上波动加大,新浪
1226,2021-07-20,美的集团今日大宗交易成交14.30万股，成交价69.61元溢价0.0%,Wind
1227,2021-07-20,[公司]美的集团：美的工业互联网已具备坚实基础和实力,全景网
1228,2021-07-20,[公司]美的集团：着力构建开放式创新生态平台,全景网
1229,2021-07-20,[公司]美的集团：在11个国家设立了28个研究中心,全景网
1230,2021-07-20,[公司]美的集团：过去5年研发投入接近450亿元,全景网
1231,2021-07-20,多机构调研美的集团 库卡各项数据指标均恢复明显,上海有色
1232,2021-07-20,A股异动|万东医疗(600055.SH)大涨近9%拟向控股股东美的集团定增募资不超20.83亿元,格隆汇
1233,2021-07-20,万东医疗持续受到追捧 长期增长前景是上涨主因,财富动力网
1234,2021-07-20,A股融资融券日报：两融余额增加6.19亿元（7月19日）,Wind
1235,2021-07-20,刘格菘仓位仍超90%、萧楠大幅增持银行股,Wind
1236,2021-07-20,外资抢筹A股背后：消费股蓄势待发,Wind
1237,2021-07-19,萧楠二季度大幅增持银行板块，招商银行入围易方达科顺重仓股，美的集团出局,每日经济新闻
1238,2021-07-19,顶流基金经理最新重仓股大曝光，狂买这些股！,Wind
1239,2021-07-19,美的集团大宗交易成交1823.64万元,证券时报网
1240,2021-07-19,美的集团：两大项目斩获中轻联科技进步奖一等奖,e公司
1241,2021-07-19,深度*行业*家电社零&地产数据点评：地产竣工数据表现较好 有望带动家电内销持续复苏,新浪
1242,2021-07-19,农银汇理张峰所管6只基金年内负收益权益团队薄弱人才流失严重,新浪
1243,2021-07-19,美的集团今日大宗交易成交26万股，成交价70.14元溢价0.0%,Wind
1244,2021-07-19,深度*行业*家用电器：21M6家电月度数据点评,新浪
1245,2021-07-19,家电行业周报-半年度盘点：集成灶亮眼表现持续 传统品类压力下积极谋增长,新浪
1246,2021-07-19,美的集团：原材料的上升确实对产品成本产生一定影响,Wind
1247,2021-07-19,国君家电|多重边际改善有助消除悲观预期 ——2021W29家电行业周报,小蔡看家电
1248,2021-07-19,家用电器行业周报：6月空调出口旺销 内销略超2019年同期,新浪
1249,2021-07-19,A股融资融券日报：两融余额减少42.07亿元（7月16日）,Wind
1250,2021-07-19,主流券商：市场风格有望再平衡,Wind
1251,2021-07-18,晚间重要公告2021年7月18日星期日,Wind
1252,2021-07-18,美的集团(000333.SZ)548.8962万股限制性股票将于7月20日上市流通,智通财经
1253,2021-07-18,美的集团：549万股限售股将于7月20日上市流通 解禁,财联社
