,2021-12-31,OpenHarmony 项目群 12 月新增捐赠人美的集团、深圳开鸿,IT之家
7032,2019-01-30,美的外资持股首超26%，4200亿外资汹涌流入在即,21世纪经济报道
7033,2019-01-30,美的集团旗下智能科技产业基金完成备案 规模7.1亿元,中证网
7034,2019-01-30,华录百纳2018年预亏超30亿背后：早年收购标的估值大幅缩水 预亏,经济观察网
7035,2019-01-30,"家电消费促进政策再细化:促进政策拉动,或利好行业龙头",中证网
7036,2019-01-30,商誉风暴肆掠A股,阿尔法工场
7037,2019-01-29,监管政策鼓励分红：鸿利智汇1年分红是过去7年近两倍,新浪
7038,2019-01-28,基金调研:52家外资调研美的集团 凯丰投资访胜利精密,新浪
7039,2019-01-28,我国系统防治废铅蓄电池污染 五股迎来机遇,中财网
7040,2019-01-28,【新闻人物】除了芯片，董明珠还要做什么,中国企业家杂志
7041,2019-01-28,助力春季行情，北上资金节前忙“扫货”,中证报
7042,2019-01-28,调研数据显露主力布局意图 多公司被10家以上机构调研,证券日报
7043,2019-01-27,【华创家电】重仓比例环比下滑，北上资金持续流入,微信
7044,2019-01-25,美的集团：换股吸收合并小天鹅能否获得核准存在不确性,Wind
7045,2019-01-25,山西证券家电行业2018Q4基金持仓研究,山西证券
7046,2019-01-24,A股共发生32宗大宗交易成交10.69亿元（1月24日）,Wind
7047,2019-01-24,[快讯]美的集团发布解除质押公告 涉及股份55100万股,中财网
7048,2019-01-24,美的集团今日大宗交易成交350万股，成交价37.31元折价10.29%,Wind资讯
7049,2019-01-24,长江家电 | 重仓比例环比持续下滑，小家电逆势提升,长江家电研究团队
7050,2019-01-24,"家电行业周报:12月空调内销重返正增长,静待厨电度过寒冬",浙商证券
7051,2019-01-23,弃酒卖家电 安防概念也受青睐,金融投资报
7052,2019-01-23,小米和美的联姻：小米4年赚了2倍 美的半年浮亏超40% 亏损,挖贝网
7053,2019-01-23,"家电周报2019第2期:美的加码智能制造,自主品牌全球化进程加速",长城证券
7054,2019-01-22,中资收日企 联手变犀利,第一财经
7055,2019-01-22,家电行业每周观点:如何看待近期家电板块行情,光大证券
7056,2019-01-22,家电行业周报:如何看待春节前的小行情,爱建证券
7057,2019-01-21,解局 | 樾宸投资是谁？美的置业集团股东68亿增资扩股财技,观点地产网
7058,2019-01-21,格力电器受“恩宠”，康盛股份入“冷宫”,红周刊
