,2021-12-24,中金黄金：公司四季度生产经营情况正常，产量稳定,每日经济新闻
612,2020-05-18,5月18日主力资金净流出466亿元,证券时报网
613,2020-05-18,1年大涨37%！国际金价飙至8年新高，这类基金要火,老司基一枚
614,2020-05-18,黄金珠宝概念股近三日受21亿主力资金追捧,证券时报网
615,2020-05-18,金价再创七年半新高！避险情绪不断推热ETF投资需求,中投网
616,2020-05-18,半导体冲高跳水科技股全面下挫沪深指数尾盘走弱两市分化严重,财华社
617,2020-05-18,指数高位震荡尾盘走弱，场内资金分化较为严重,金融界
618,2020-05-18,新华500指数（989001）18日收盘涨0.18%,新华网
619,2020-05-18,中金黄金涨停，量比5.91,中新经纬
620,2020-05-18,市场运行节奏胶着 稳增长政策预期渐落地,金融投资报
621,2020-05-18,A股收评：沪指震荡收涨0.24%，大消费走强，科技股普跌,格隆汇
622,2020-05-18,周一，黄金概念股盘中强势拉升，晓程科技、赤峰黄金、中金黄金等多股涨停。,中国金融信息网
623,2020-05-18,【异动股】贵金属板块拉升，贵研铂业(600459-CN)涨停,财华社
624,2020-05-18,快讯：黄金板块持续走强 赤峰黄金涨停,新浪
625,2020-05-18,黄金概念股走强，结构：黄金价格仍具上冲动力,证券时报网
626,2020-05-18,创业板指盘中翻红 黄金板块涨幅居前,上证报
627,2020-05-18,贵金属板块走强 贵研铂业涨停,证券时报网
628,2020-05-18,黄金概念持续走强,证券时报网
629,2020-05-18,国际黄金价格创下2012年以来新高 黄金板块走强,新浪
630,2020-05-18,黄金板块持续拉升 赤峰黄金大涨超7%,上证报
631,2020-05-18,【行情】黄金板块持续拉升，盛达资源、赤峰黄金大涨7%，中金黄金、西部矿业、银泰黄金、山东黄金走强。,金十数据
632,2020-05-18,【异动股】贵金属板块高开，盛达资源(000603-CN)涨5.69%,财华社
633,2020-05-12,【国信有色】财报总结暨5月投资策略：企业业绩出现分化，大宗商品价格反弹 盈利能力下降,刘孟峦有色研究
634,2020-05-12,中金黄金(600489.SH)：中鑫基金认购2.46亿股持股达5.3%,格隆汇
635,2020-05-12,中金黄金：中鑫基金通过认购方式取得公司2.458亿股股份，持股比例5.30%,Wind
636,2020-05-08,兴业证券：投资者普遍对金价乐观，但机构股票配置比例仍较低,智通财经
637,2020-05-08,【兴证金属·黄金行业跟踪报告】黄金问卷调查结果：投资者普遍对金价乐观，但机构股票配置比例仍较低,兴证有色钢铁
638,2020-05-07,ETF黄金总持仓创新高，黄金等避险资产仍具备投资价值丨牛熊眼,第一财经
639,2020-05-07,行业利润底部待需求回暖，关注半导体材料、钴锂版块--有色金属与新材料行业2020年一季报总结,华宝财富魔方
640,2020-05-07,瑞华惨败A股 年报审计公司数暴降九成 盈利能力下降,北京商报
641,2020-05-06,受益金价大涨，超毅网络2019盈利2938.85万元，机构称金价有望进一步抬升,资本邦
642,2020-04-30,【有色-齐丁】黄金行业：盈利弹性和资本运作渐入佳境,安信证券研究
643,2020-04-30,中金黄金(600489.SH)一季度净利润降22.4%至1.6亿元 盈利能力下降,格隆汇
644,2020-04-30,中金黄金：一季度净利润同比减少53.54% 盈利能力下降,Wind
645,2020-04-24,中金黄金股份有限公司监事会关于公司股票期权激励计划预留股票期权激励对象名单的审核意见及公示说明,证券时报
646,2020-04-22,百家公司融资助力业绩 57家公司业绩弹性大,大众证券报
647,2020-04-21,融资环境改善 57家公司业绩弹性大,大众证券报
648,2020-04-20,中金黄金：2019年经审计年度报告延期至5月30日披露 延期披露,新浪
649,2020-04-20,中金黄金(600489.SH)：2019年年报披露时间变更为5月30日,格隆汇
650,2020-04-20,中金黄金：为控股子公司提供合计9.3亿元担保 大额借贷担保,Wind
651,2020-04-20,中金黄金：年报披露日延期至4月30日 延期披露,Wind
652,2020-04-20,10.62亿元资金今日流出有色金属股,证券时报网
653,2020-04-20,金价创7年新高 黄金主题基金受关注,中国基金报
654,2020-04-15,17.54亿元资金今日流出有色金属股,证券时报网
655,2020-04-15,黄金股午后逆势走强，中金黄金涨超5%,Wind
656,2020-04-15,黄金板块短线走强,Wind
657,2020-04-15,黄金动态点评：强通缩预期暂时消除，美元流动性紧张缓解,东莞证券
658,2020-04-15,机构判断黄金涨势未完,中证报
659,2020-04-14,国际金价创逾7年新高 “股期”两市表现抢眼,证券日报
660,2020-04-14,生意社：受铜矿供应干扰 铜价连续反弹近15%,生意社
661,2020-04-14,金价飙升创7年新高！资金大幅涌入黄金ETF,中投网
662,2020-04-14,有色金属行业资金流入榜：8股净流入资金超亿元,证券时报网
663,2020-04-14,巨·热点|市场迎修复性反弹 两市热点全线活跃 哪类机会最受青睐 ？,巨丰财经
664,2020-04-14,巨丰午评：市场高开高走 中线主力归位,巨丰财经
665,2020-04-14,A股早评：三大指数高开黄金概念股开盘走强,格隆汇
666,2020-04-14,黄金股全线高开国际金价创逾7年新高,格隆汇
667,2020-04-10,金价走高黄金股普涨,格隆汇
668,2020-04-08,金融机构超700亿元重仓8只黄金股！ 融资客百亿真金加持这6股,证券日报
669,2020-04-08,天风证券：流动性危机缓解&通缩预期放缓，金价中期有望震荡上行,证券时报网
670,2020-04-07,逆市出逃！超5亿资金抛售抗“疫”龙头股，尾盘资金抢筹5股,证券时报网
671,2020-04-07,有色金属行业今日净流入资金24.33亿元，8股净流入资金超亿元,证券时报网
672,2020-04-07,巨丰收评：市场全面开花 北上资金大笔扫货,巨丰财经
673,2020-04-07,早盘复盘：港A两市飘红收涨，科技、消费板块领涨大市,格隆汇
674,2020-04-07,【建投策略-流动性观察】货币市场宽松，外资持续回流——4月第2周,中信建投
675,2020-04-07,【有色】继续推荐贵金属，重点关注新能源上游子行业钴,天风研究
676,2020-04-01,中金黄金(600489.SH)向245名激励对象授予3327.56万份股票期权,格隆汇
677,2020-04-01,4月1日券商晨会研报汇编,证券日报
678,2020-03-31,【建投策略-流动性观察】OMO利率下调20BP，外围反弹外资回流——4月第1周,中信建投
679,2020-03-31,天风证券：金价中期有望震荡上行 推荐山东黄金等,证券时报网
680,2020-03-30,中金黄金(600489.SH)：内蒙古矿业90%股权及中原冶炼厂60.98%股权均已变更登记至公司名下,格隆汇
681,2020-03-30,【有色】重点关注黄金配置，新能源长期趋势不改,天风研究
682,2020-03-25,5.41亿元资金今日流出有色金属股,证券时报网
683,2020-03-25,10年来最大单日涨幅 基金：金价暴涨非正常交易逻辑驱动,金融界
684,2020-03-25,黄金空头哭了！期货、股票均暴涨，黄金大牛市要来了？,Wind
685,2020-03-25,【睿·投顾】上证指数缩量涨超2% 这一因素决定反弹高度,恒泰头派账户
686,2020-03-25,真金回归 “螺纹金”褪色 避险选老牌还是新贵？,中证报
687,2020-03-25,美联储“all in买买买” 现货金价再上1600美元/盎司,证券日报
688,2020-03-25,沪指重回2700点 股市现大底了吗？,新京报
689,2020-03-24,慌不择路、不择手段！美联储无限量供应美元，黄金暴涨900点,搜狐
690,2020-03-24,主力扫货这些白马股 尾盘近5亿资金疯抢5G龙头,金融界
691,2020-03-24,北向资金抢筹黄金股，这些龙头股有望进入快速反弹期丨牛熊眼,第一财经
692,2020-03-24,23.12亿元资金今日流入有色股,证券时报网
693,2020-03-24,美联储“allin买买买”激活金价机构股票池锁定5只黄金潜力,证券日报
694,2020-03-24,25亿主力资金近三日杀入黄金珠宝概念股,证券时报网
695,2020-03-24,美联储不限量“放水”刺激国际金价暴涨港A两市黄金股全线走高,财华社
696,2020-03-24,沪指收涨2.34%，北向资金净流入超50亿元,新京报
697,2020-03-24,24日强势板块分析：黄金概念爆发 汽车板块强劲反弹,证券时报网
698,2020-03-24,美联储无限量宽松政策提振金价 A股黄金股强势爆发,新浪
699,2020-03-24,3月24日午后两市机构大单抢筹40股(名单),金融界
700,2020-03-24,美联储开启无上限量化宽松，黄金概念大幅拉升，银泰黄金等涨停,证券时报网
701,2020-03-24,金价大幅反弹重回1600美元 黄金股集体飙涨丨牛熊眼,第一财经
702,2020-03-24,2009年以来最大单日涨幅！2大魔咒破除，黄金牛市可能要来了,证券时报
703,2020-03-24,黄金：涅槃重生,齐丁有色研究
704,2020-03-19,风险事件爆发叠加 投资者抛售黄金套现,中国报告大厅
705,2020-03-16,安信策略:短期通缩预期不能否定黄金中长期配置价值|山东黄金,齐丁有色研究
706,2020-03-16,黄金：在水一方,齐丁有色研究
707,2020-03-13,【每日金属资讯】厦门钨业旗下厦钨新能源拟拆分至科创板上市、中金黄金实施第一期股权激励计划,有色钢铁杨坤河
708,2020-03-13,中金黄金(600489.SH)：股票期权激励计划获国务院国资委批复,格隆汇
709,2020-03-06,64股今日获机构买入评级,证券时报网
710,2020-03-06,银河证券：美联储紧急降息，边际宽松周期或重启将驱动金价上行,第一财经
711,2020-03-04,巨·热点 | 市场休整孕育新机遇 涨价题材受追宠！,巨丰财经
712,2020-03-02,A股暴涨：四大万亿级产业或存机会 高瓴资本布局了它,金融界
713,2020-02-28,中金黄金大跌5.02%，近5日共流出21324.22万元 连续下跌,中新经纬
714,2020-02-26,江西铜业入主恒邦股份后迈出运作第一步 推出31亿锁价定增方案,经济观察网
715,2020-02-24,巨·热点 | 热点板块不惧市场调整 强势股掀起涨停浪潮 哪类股最受主力青睐？,巨丰财经
716,2020-02-24,黄金股普遍高开,Wind
717,2020-02-24,招商证券基金：均衡配置 分散投资,中证网
718,2020-02-21,巨·热点 | 热点不断涌现 哪些板块关注度持续提升？,巨丰财经
719,2020-02-21,巨·财经|全球黄金ETF持仓创历史新高意味着什么,巨丰财经
720,2020-02-21,2月21日早盘主力巨资抢筹四大板块(附股),金融界
721,2020-02-21,巨丰投顾独家解读：全球黄金ETF持仓量创历史新高,巨丰财经
722,2020-02-20,国际金价创7年新高 黄金配置需求有望提升丨牛熊眼,第一财经
723,2020-02-19,两消息推动国际金价一夜暴涨，黄金股有望向上修复丨牛熊眼,第一财经
724,2020-02-18,【天风有色杨诚笑团队】有色金属：疫情影响有限，看好新能源趋势机会，中期关注铜铝修复,笑看有色
725,2020-02-13,2月13日午后主力巨资出逃四大板块(附股),金融界
726,2020-02-10,基金大幅增持有色金属，重点加仓新能源汽车产业链上游材料类个股,证券时报网
727,2020-02-08,股票仓位创新高，地产汽车重现增持——2019Q4主动股票型基金季报分析,微信
728,2020-02-06,三大券商周五看好的六大板块,证券之星
729,2020-02-06,中金：如何看待最近黄金股票跟随市场回调？,中金点睛
730,2020-02-05,[麒麟研报]有色金属大涨 券商:看好锂钴 重视黄金,新浪
731,2020-02-04,中金黄金现1笔大宗交易 共成交632.40万元,新浪
732,2020-02-04,中金黄金今日大宗交易成交93万股，成交价6.8元折价10.88%,Wind
733,2020-01-23,2020年贵金属一季度预测:金价震荡向上 迎来配置时点,新浪
734,2020-01-21,我国黄金产量连续13年居世界第一，金价有望继续上冲,第一财经
735,2020-01-15,解密主力资金出逃股连续5日净流出497股,证券时报网
736,2020-01-13,解密主力资金出逃股连续5日净流出410股,证券时报网
737,2020-01-10,中国黄金市场化债转股项目取得中国证监会正式批复,中国有色
738,2020-01-09,央企50板块总体上涨0.39%，中国国航领涨,搜狐
739,2020-01-09,机构、外资集体砸盘，6亿大资金出逃转基因龙头,第一财经
740,2020-01-09,61股主力资金净流入超亿元,证券时报网
741,2020-01-09,1月9日午盘主力巨资抢筹四大板块(附股),金融界
742,2020-01-09,1月9日早盘主力巨资抢筹四大板块(附股),金融界
743,2020-01-09,船舶重工集团概念大跌,中财网
744,2020-01-09,中金黄金85亿重组获批 向247名员工推首期股票期权激励计划,长江商报
745,2020-01-08,今日3只股公告增持股数达0.24亿,证券时报网
746,2020-01-08,市场避险情绪升温 黄金股集体大涨,中国经济网
747,2020-01-08,股海导航 1月8日沪深股市公告提示,新浪
748,2020-01-07,A股头条之上市公司（1.8）,金融界
749,2020-01-07,晚间公告热点追踪：特斯拉概念股天汽模提示风险,新浪
750,2020-01-07,中金黄金(600489.SH)拟85.05亿元购买内蒙古矿业90%股权及中原冶炼厂60.98%股权,格隆汇
751,2020-01-07,中金黄金：重组事项获得证监会核准批复,e公司
752,2020-01-07,中金黄金(600489.SH)：重组事项获中国证监会核准,格隆汇
753,2020-01-07,巨丰早评：冲高回落不改A股上行趋势,巨丰财经
754,2020-01-07,特斯拉概念与石油股齐飞 北上资金加仓不含糊,证券时报
755,2020-01-06,巨·热点丨特斯拉概念将复制消费电子暴涨神话？,巨丰财经
756,2020-01-06,今日152只个股跨越牛熊分界线,证券时报网
757,2020-01-06,巨丰收评：3100点得而复失 市场避险情绪再起,巨丰财经
758,2020-01-06,161只股中线走稳站上半年线,证券时报网
759,2020-01-06,今日168只个股跨越牛熊分界线,证券时报网
760,2020-01-06,巨丰午评：沪指冲破3100点 市场新主线产生,巨丰财经
761,2020-01-06,【盘中播报】112只个股突破半年线,证券时报网
762,2020-01-06,盯盘:京山轻机秒停,中财网
763,2020-01-05,考核排名偏向长期，公募基金年度排名战热度降温,Wind
764,2020-01-04,考核排名偏向长期 公募基金年度排名战热度降温,新浪
765,2020-01-03,【盘中播报】62只个股跨越牛熊分界线,证券时报网
766,2020-01-02,河南中原黄金冶炼厂原董事长任文生被查,中新经纬
767,2019-12-31,有色金属行业：关注金银比或将修复带来的投资机会！,顶尖财经网
768,2019-12-30,【建投中小盘】一周策略回顾与展望,中信建投中小市值
769,2019-12-30,中信建投：一周策略回顾与展望,中信建投
770,2019-12-30,金价强势突破千五关口 短期交易性机会犹存,证券时报网
771,2019-12-27,【晨观方正】宏观/化工/有色/电子20191230,方正证券研究
772,2019-12-17,私募大佬出手：狂买紫金矿业 持仓市值已高达23亿元,上证报
773,2019-12-13,中金黄金：董事杨奇辞职 董监高成员变化,Wind
774,2019-12-04,事件驱动金价创阶段新高 4只低估值黄金股值得关注,证券日报
775,2019-12-04,和信投顾：不惧外界干扰 A股抗跌能力增强,中金在线
776,2019-12-04,黄金股午后持续走强 盛大资源涨停,中国经济网
777,2019-12-04,避险情绪升温黄金概念成“香饽饽”，金价中长期向上趋势看好,第一财经
778,2019-12-04,【异动股】黄金概念板块拉升，银泰黄金(000975-CN)涨8.24%,财华社
779,2019-12-04,【异动股】贵金属板块，荣华实业(600311-CN)涨5.05%,财华社
780,2019-12-03,【异动股】贵金属板块拉升，ST金贵(002716-CN)涨4.76%,财华社
781,2019-12-03,【异动股】贵金属板块拉升，中润资源(000506-CN)涨2.89%,财华社
782,2019-12-03,黄金资源股逆势走高 赤峰黄金涨逾3%,证券时报网
783,2019-12-03,中国黄金市场化债转股项目获证监会无条件通过,中国黄金网
784,2019-12-02,黄金牛市卷土重来，A股大干快上，抢矿抢票,阿尔法工场研究院
785,2019-12-02,定增周报（2019年第48周）：9家公司定增获准,面包财经
786,2019-12-02,周观点：碳酸锂价格继续下挫，逆周期调节利好基本金属,申万有色公众平台
787,2019-12-01,【天风有色杨诚笑团队】有色金属：钴锂龙头有望充分受益新周期，关注经济预期带来基本金属修复,笑看有色
788,2019-11-29,29日公司新闻聚焦:多家药企入围新医保目录 华东重机全年业绩预增,证券时报网
789,2019-11-28,A股头条之上市公司（11.29）,金融界
790,2019-11-28,晚间公告热点追踪:多家公司产品纳入国家医保目录,新浪
791,2019-11-28,证监会：中金黄金、福能股份发行股份购买资产事项均获无条件通过,中证网
792,2019-11-28,并购重组委2019年第63次会议审核结果公告,证监会
793,2019-11-28,中金黄金、福能股份重组均获证监会通过 明日复牌,e公司
794,2019-11-28,中金黄金：重组无条件过会，11月29日复牌,Wind
795,2019-11-28,【天风有色杨诚笑团队】有色金属：铜铝边际改善有望持续，关注钴价底部反弹及中重稀土弹性,笑看有色
796,2019-11-28,福能股份、中金黄金今日全天停牌,第一财经
797,2019-11-28,福能股份、中金黄金因重组上会临停,Wind
798,2019-11-28,交易提示：中金黄金、福能股份临时停牌,e公司
799,2019-11-28,巨丰早参：易会满表示要加强资本市场改革顶层设计,巨丰财经
800,2019-11-28,联讯早餐荟——11月28日星期四,联讯金融
801,2019-11-28,股海导航 11月28日沪深股市公告提示,新浪
802,2019-11-28,华创事件驱动早报11-28：国务院推进提升政务服务水平；苹果无线耳机持续热销,华创证券研究
803,2019-11-28,A股头条：国常会聚焦营商环境 易会满强调加强资本市场改革顶层设计,金融界
804,2019-11-27,上市公司明日停复牌（11.28）,金融界
805,2019-11-27,A股头条之上市公司（11.28）,金融界
806,2019-11-27,11月28日上市公司重要公告集锦：暴风集团官网、APP不能正常提供服务,证券日报
807,2019-11-27,中金黄金：重组上会 股票停牌,e公司
808,2019-11-27,中金黄金(600489.SH)：重组事项明日上会 当日停牌,格隆汇
809,2019-11-27,中金黄金：并购重组11月28日上会，当天起停牌 重大事项停牌,Wind
810,2019-11-25,白马抱团瓦解，强周期题材崛起？,养基司令
811,2019-11-22,证监会：中金黄金、福能股份发行股份购买资产事项11月28日上会,Wind
812,2019-11-22,证监会：中金黄金、福能股份发行股份购买资产事项将于11月28日上会,中证网
813,2019-11-22,并购重组委2019年第63次工作会议公告,证监会
814,2019-11-22,22日公司新闻聚焦:格力集团谋求入主欧比特 暴风集团审计机构请辞,证券时报网
815,2019-11-22,财经早报:科创板第一例定价低于下限 A股破净率超10%,新浪
816,2019-11-22,股海导航 11月22日沪深股市公告提示,新浪
817,2019-11-21,A股头条之上市公司（11.22）,金融界
818,2019-11-21,晚间公告热点追踪：中船科技并购重组事项未获通过 并购重组异常,新浪
819,2019-11-21,中金黄金：并购重组事项将于近期上会,e公司
820,2019-11-21,中金黄金(600489.SH)：重组事项将于近日上会 当日停牌,格隆汇
821,2019-11-21,警方要求立案P2P员工退工资 高价明星代言费能退吗？,网贷之家
822,2019-11-20,【异动股】贵金属板块拉升，赤峰黄金(600988-CN)涨3.89%,财华社
823,2019-11-15,11月15日上市公司晚间公告速递,新浪
824,2019-11-15,中金黄金：董事长宋鑫辞职 董监高成员变化,证券时报网
825,2019-11-15,中金黄金：宋鑫辞去公司董事长职务 董监高成员变化,Wind
826,2019-11-13,黄金股早盘集体拉升 东方金钰涨逾5%,中国经济网
827,2019-11-12,紫金矿业未来三年主要矿产品将呈“爆发式”增长,中国有色
828,2019-11-11,【异动股】贵金属板块下挫，ST金贵(002716-CN)跌4.42%,财华社
829,2019-11-11,早盘复盘：港A两市集体重挫，格力美的均大幅回调超4%,格隆汇
830,2019-11-11,【异动股】贵金属板块下挫，ST金贵(002716-CN)跌4.82%,财华社
831,2019-11-11,银河证券：锂行业触底供给收缩锂板块反弹可期,证券时报网
832,2019-11-08,【异动股】贵金属板块下挫，ST金贵(002716-CN)跌3.44%,财华社
833,2019-11-08,绩优基金到底“隐藏”了哪些秘密？,养基司令
834,2019-11-08,【异动股】贵金属板块低迷，山东黄金(600547-CN)跌2.71%,财华社
835,2019-11-08,10月份混基跌幅前40名前海开源四居其一 难承黄金之重,中国经济网
836,2019-11-06,山东黄金领港A两地黄金股普跌 伦敦金现大跌破1490美元 连续下跌,格隆汇
837,2019-11-06,贵金属板块大跌 山东黄金跌逾3% 连续下跌,证券时报网
838,2019-11-01,巨丰热点：黄金板块呈现市场活跃 盛达资源等个股逆势拉升,巨丰财经
839,2019-10-31,中金黄金：3Q19业绩环比改善 受益金价上涨,红周刊
840,2019-10-30,中金黄金(600489.SH)前三季净利降31.98%至1.30亿元 盈利能力下降,格隆汇
841,2019-10-30,中金黄金公布三季报 前三季净利减少31.98% 盈利能力下降,新浪
842,2019-10-30,中金黄金：前三季度净利润同比减31.98% 盈利能力下降,Wind
843,2019-10-30,中金黄金：为控股子公司司提供1.36亿元担保 大额借贷担保,Wind
844,2019-10-18,【异动股】贵金属板块下挫，ST金贵(002716-CN)跌4.95%,财华社
845,2019-10-12,黄金长牛可期!机构上调预期 四季度或迎战略级买点,第一财经
846,2019-10-11,【申万宏源有色】20191011:有色三季报前瞻：黄金和钴企业利润回暖,申万有色公众平台
847,2019-10-10,逆周期经济政策进一步加码叠加旺季来临 有色行业景气度有望回升,证券时报网
848,2019-10-10,前海开源遭黄金股“烫伤” 5只混基9月份跌幅超8%,中国经济网
849,2019-10-08,[快讯]中金黄金:收到中国证监会行政许可项目审查一次反馈意见通知书,中财网
850,2019-10-04,假期促销 黄金首饰迎购买高峰！如何保值增值,Wind
851,2019-09-26,【异动股】黄金概念板块低开，银泰资源(000975-CN)跌7.11%,财华社
852,2019-09-26,"有色金属一周回顾:8月工业增加值低位徘徊,制造业投资承压,看好黄金板块",申万宏源
853,2019-09-25,有色金属：继续重点关注贵金属 荐6股,华鑫证券
854,2019-09-23,有色金属：贵金属价格有望获得支撑 荐13股,国盛证券
855,2019-09-23,有色金属：看好黄金板块 荐8股,申万宏源
856,2019-09-17,天风证券：全球宽松，有色起舞,证券时报网
857,2019-09-16,【天风有色杨诚笑团队】全球宽松，有色起舞,笑看有色
858,2019-09-16,【申万宏源有色】20190913周报：美国8月消费好于预期，黄金调整后仍然看涨，钴持续看好,申万有色公众平台
859,2019-09-12,中金黄金(600489.SH)资产重组申请获中证监受理,格隆汇
860,2019-09-06,贵金属板块大跌 银泰资源跌逾6% 连续下跌,证券时报网
861,2019-09-04,小金属掀起“大行情”！挖掘元素周期表背后的“藏宝图”,中证报
862,2019-09-04,中信建投秋季有色金属策略：关注逆周期对铜铝的催化,新浪
863,2019-09-04,【异动股】贵金属板块拉升，金贵银业(002716-CN)涨9.05%,财华社
864,2019-09-03,画像聪明钱“QFII”二季度投资路径：左手科技右手消费 “吃药”不爱“喝酒”,大众证券报
865,2019-09-03,黄金股的博弈价值 金价历次上涨的启示,证券市场周刊
866,2019-09-02,一周简报：向上金服成交涨24% 爱钱进跌20%,网贷之家
867,2019-08-30,有色金属2020年半年报业绩综述及展望：水涨船高，全面改善，维持“增持”评级,国泰君安
868,2019-08-29,中金黄金：债转股和内蒙古矿业注入后，盈利偏弱状况有望实质性改善,商品价值链研究
869,2019-08-28,[快讯]中金黄金公布2018年年度分红实施方案,中财网
870,2019-08-27,“大妈”将笑到最后？两国黄金已创历史新高，机构看好国内金价,Wind
871,2019-08-26,快讯：避险情绪升温 黄金概念股表现强势,网易
872,2019-08-22,"国泰君安：将中金黄金评级调低为""谨慎增持""",Wind
873,2019-08-22,中金黄金半年报见光股价跌2％ 金价上涨净利反降四成 盈利能力下降,中国经济网
874,2019-08-21,【异动股】黄金概念板块下挫，藏格控股(000408-CN)跌4.2%,财华社
875,2019-08-20,【华泰有色李斌团队】中金黄金(600489)中报点评：毛利润平稳增长，营业外支出拖累业绩 盈利能力下降,华泰研究所有色金属
876,2019-08-20,黄金股也要看成色 基金青睐业绩确定性,新浪
877,2019-08-20,铝业股大涨，机构：铝价将稳定上行，板块景气度有望持续改善,第一财经
878,2019-08-20,【异动股】贵金属板块低开，中金黄金(600489-CN)跌2.83%,财华社
879,2019-08-20,广电系概念拉升 天威视讯爆拉,中财网
880,2019-08-20,趋势巡航：兵临2900 进攻还是退缩,金融界
881,2019-08-20,盘前必读公告：这些股不容错过！,巨丰财经
882,2019-08-20,社保基金“新宠”曝光 偏好大消费和TMT个股,证券时报
883,2019-08-20,社保基金“新宠”曝光偏好大消费和TMT个股,证券时报
884,2019-08-19,【每日金属资讯】银泰资源、金洲管道、大冶特钢等利润同比增加,有色钢铁杨坤河
885,2019-08-19,A股头条之上市公司（8.20）,金融界
886,2019-08-19,晚间公告精选丨顺丰控股：7月速运物流业务收入83.43亿元，同比增长19.12%,21世纪经济报道
887,2019-08-19,[快讯]中金黄金:因现金分红调整发行股份及支付现金购买资产并募集配套资金项目之股份发行价格,中财网
888,2019-08-19,中金黄金：上半年净利润7336.77万元 同比下滑41% 盈利能力下降,e公司
889,2019-08-19,中金黄金：上半年净利润同比减41.08% 盈利能力下降,Wind
890,2019-08-19,中央重磅政策带来A股大行情创指涨超3%收复5月以来全部失地,财华社
891,2019-08-19,A股放量大涨超2%：两市逾百股涨停，创业板指涨3.5%,澎湃新闻
892,2019-08-19,深汕合作区概念大涨 4股爆拉,中财网
893,2019-08-19,【安信有色】中金黄金：2019H1业绩回落，静待集团优质资产注入 盈利能力下降,齐丁有色研究
894,2019-08-16,融资客青睐15股，招商蛇口买入占比高达59.88%,Wind
895,2019-08-16,中国黄金登甘肃质检抽查黑榜 吉林金矿刚曝死亡事故 产品问题,中国经济网
896,2019-08-15,美债拉警报重燃市场避险情绪，黄金概念标的股投资价值凸显,第一财经
897,2019-08-15,市场避险情绪升温 黄金股开盘大涨,中国经济网
898,2019-08-15,巨丰热点：避险情绪推升黄金股走强 金洲慈航等个股逆势拉升,巨丰财经
899,2019-08-14,【异动股】黄金概念板块低开，银泰资源(000975-CN)跌6.78%,财华社
900,2019-08-13,全球震荡资金抢“险”，金价突破1520美元重要点位！有港股暴涨40%，A股黄金板块后市怎么走?,e公司
901,2019-08-13,金价持续走高 黄金股纷纷走强,中证网
902,2019-08-13,黄金珠宝指数涨3.45% 金洲慈航直线涨停,中证网
903,2019-08-13,避险情绪持续升温 黄金价格再创年内新高 |板块牛熊榜,第一财经
904,2019-08-13,沪指跌0.55%围绕2800点震荡 中船系概念股异动拉升,第一财经
905,2019-08-13,【异动股】贵金属板块高开，恒邦股份(002237-CN)涨5.03%,财华社
906,2019-08-13,【异动股】黄金概念板块高开，恒邦股份(002237-CN)涨5.03%,财华社
907,2019-08-13,黄金股逆市走强 恒邦股份、山东黄金涨4%,证券时报网
908,2019-08-10,黄金价格持续上涨 黄金股成“香饽饽”,财富动力网
909,2019-08-09,如何避险？主力疯抢此类股（重磅）,中财网
910,2019-08-09,A股黄金板块总计有12家公司 多家公司业绩预警,证券日报
911,2019-08-09,产品涨价股价滞后 北上资金大举增仓,证券时报
912,2019-08-08,错过猪肉股行情？如今涨价概念再度火爆，资金看上这些板块,证券时报网
913,2019-08-08,国际金价创六年来新高 套了六年的中国大妈都赚钱了,钱江晚报
914,2019-08-08,走势完爆99%股票，年内最牛股在这里！6股逆市创新高,证券时报
915,2019-08-08,金价续刷6年以来新高 黄金概念股中报扭亏为盈,财富动力网
916,2019-08-08,黄金涨涨涨！央行连续八个月增持302万盎司黄金,新浪
917,2019-08-08,市场弱势依旧，存在下探预期,华龙掘金
918,2019-08-07,避险资产再狂欢，黄金暴力拉升突破1500，金价将迎新一轮主升浪,第一财经
919,2019-08-07,巨丰资金流向：两市窄幅震荡走低 有色获主力9.64亿净流入！,巨丰财经
920,2019-08-07,容维证券刘思山：市场高开低走 后市仍将下探,--
921,2019-08-07,沪指震荡跌0.32% 黄金、电力股集体活跃,中新经纬
922,2019-08-07,08月07日 主力资金抢筹最积极的前10股（附名单）,每日经济新闻
923,2019-08-07,08月07日 主力资金近三日都在买这些概念股,每日经济新闻
924,2019-08-07,08月07日 25只股票封板 有色金属板块涨幅最大,每日经济新闻
925,2019-08-07,金价大涨 港A两地黄金股延续强势,中证网
926,2019-08-07,山东黄金涨2.81%，创年度新高，报46.46元,腾讯网
927,2019-08-07,金价一度涨至1490美元 港A两地黄金股大涨,格隆汇
928,2019-08-07,两市早盘反弹乏力，黄金股强势,每日经济新闻
929,2019-08-07,早盘复盘：港A两市弱势震荡，钴概念股集体爆发，港银板块继续走弱,格隆汇
930,2019-08-07,午评：沪指高开低走半日微跌0.01% 有色钴资源股全线爆发,证券时报网
931,2019-08-07,国际金价逾六年首次升破1500美元 港A黄金股大涨,中证网
932,2019-08-07,沪金期货创六年半来新高 贵金属概念股普涨,中证网
933,2019-08-07,【异动股】黄金概念板块高开，洛阳钼业(603993-CN)涨停,财华社
934,2019-08-07,【异动股】贵金属板块高开，山东黄金(600547-CN)涨3.45%,财华社
935,2019-08-07,COMEX期货黄金突破1500美元/盎司 黄金概念股领涨！,21世纪经济报道
936,2019-08-07,国际金价大涨！黄金股持续冲高，盛达矿业大涨7%,腾讯网
937,2019-08-07,快讯：黄金板块逐渐走强 盛达矿业大涨7%,新浪
938,2019-08-07,黄金股再现强势 贵金属指数涨逾4%,中证网
