1101,2021-04-15,真正“杀猪盘”！养猪业现经典“盛衰周期”，一片哀嚎之下，“猪茅”现英雄本色？,证券之星
1102,2021-04-15,猪企频频爆雷之下，牧原Q1逆势大增60%，凭什么？,格隆汇
1103,2021-04-15,猪肉暴利终结！三家养猪大户业绩“炸雷”，最惨的利润跌90%,Wind
1104,2021-04-15,新希望一季度业绩预降近九成，生猪销售价格等因素影响所致,资本邦
1105,2021-04-15,猪肉暴利终结 新希望正邦等三家养猪大户业绩“炸雷”,发现网
1106,2021-04-15,【行情】猪肉股开盘普跌，新希望一季度业绩预减近9成开盘跌5%，天邦股份跌4%，牧原股份逆势升近3%,金十数据
1107,2021-04-15,800亿养猪龙头净利大跌90%，格力业绩翻倍却悬了！30倍超级大牛股炸了,Wind
1108,2021-04-15,猪肉股开盘普跌，新希望低开5%,Wind
1109,2021-04-15,A股养猪大户业绩集体暴跌，股民哭了：真正杀猪盘,每日经济新闻
1110,2021-04-15,32家公司出现价格倒挂，锁价定增也不能包赚不赔了,Wind
1111,2021-04-14,晚间要闻2021年4月14日星期三,Wind
1112,2021-04-14,新希望：一季度预计净利润同比下降88.94%~92.62%,Wind
1113,2021-04-14,养猪股一季度业绩预告来了 3800亿“猪茅”净利大增,第一财经
1114,2021-04-14,新希望：预计一季度净利润同比下降88.94%至92.62%,Wind
1115,2021-04-14,新希望一季度净利最高预降超九成,北京商报
1116,2021-04-13,新希望：拟开展期货套期保值保证金最高占用额不超8亿元,格隆汇
1117,2021-04-13,新希望(000876.SZ)拟开展期货套期保值业务,智通财经
1118,2021-04-13,新希望：预计公司及子公司开展商品套期保值业务所需保证金最高占用额不超8亿元,Wind
1119,2021-04-13,开源证券--农林牧渔行业周报：上市猪企以量补价，3月收入环比增长【行业研究】,金融界股吧
1120,2021-04-12,农林牧渔行业周报：后周期景气 关注饲料、疫苗板块龙头,新浪
1121,2021-04-10,华润64.5亿夺佛山新地王 2.2万/平楼面价里的市场空间,观点地产网
1122,2021-04-09,刘永好：解决农村现代化的困难，要增加农民的收入,搜狐
1123,2021-04-09,中国可转债策略周报：转债“反指”大筛查,新浪
1124,2021-04-09,新希望3月生猪销售收入同比增111.34% 未来或将旗下冷链物流业务单独上市,金融界
1125,2021-04-08,中天美好旗下公司被新希望入股背后楼永良家族大举进击资本市场,新京报
1126,2021-04-08,[公司]新希望3月生猪销量突破85万头 以量换价收入同比翻番,全景网
1127,2021-04-08,2021亚布力，企业家花式重仓武汉,虎嗅APP
1128,2021-04-08,刘永好：新希望将在武汉投建100亩冷链物流仓,乐居财经
1129,2021-04-08,刘永好：新希望冷链物流，不排除单独上市可能,紫金财经
1130,2021-04-08,七个月市值蒸发逾千亿，新希望3月商品猪销售均价同比下降28%,资本邦
1131,2021-04-08,一季度94家公司完成股份回购计划,Wind
1132,2021-04-07,晚间要闻2021年4月7日星期三,Wind
1133,2021-04-07,新希望刘永好：不排除旗下冷链物流业务单独上市可能性,澎湃新闻
1134,2021-04-07,新希望刘永好：刘畅和一帮年轻人都进步，这几年做得相当不错,澎湃新闻
1135,2021-04-07,晚间重要公告2021年4月7日星期三,Wind
1136,2021-04-07,新希望(000876.SZ)：2月销售生猪69.78万头 同比增长199%,智通财经
1137,2021-04-07,新希望：3月生猪销售收入环比增长7.02%,36氪
1138,2021-04-07,新希望：3月生猪销售收入环比增7%同比增111%,格隆汇
1139,2021-04-07,新希望：3月销售生猪85.39万头，环比变动22.37%,Wind
1140,2021-04-07,猪肉股整体疲软，牧原、双汇发展、温氏、新希望、大北农普跌,Wind
1141,2021-04-06,四川富豪身价暴跌300亿！新希望为何失宠？,搜狐
1142,2021-04-01,六和饲料（淮安）有限公司环境违法被罚1.99万元,每日经济新闻
1143,2021-04-01,证监会：新希望发行可转债事项4月6日上会,Wind
1144,2021-04-01,证监会：新希望发行可转债事项4月6日上会,e公司
1145,2021-04-01,资讯：打造全产业链平滑周期波动养殖屠宰龙头企业加码食品赛道,财联社
1146,2021-04-01,新希望创逾一年新低，温氏股份、双汇发展、正邦科技、天邦股份走软,Wind
1147,2021-04-01,新希望：公司有经营白羽肉禽业务,Wind
1148,2021-03-25,新网银行被点名批评，大股东新希望要“背锅”吗？,云掌财经
1149,2021-03-25,益客食品大而不强:鸡鸭全产业链难御风险 业绩骤降六成,斑马消费
1150,2021-03-24,食品饮料行业点评：近千亿市场的益生菌有望在膳食补充剂领域实现较快增长,新浪
1151,2021-03-22,市场监管总局推动乳品企业履行承诺,Wind
1152,2021-03-21,药明生物：收购辉瑞杭州基地和苏桥生物,腾讯网
1153,2021-03-19,违规放款？背靠新希望、小米的新网银行被银保监局通报！,环球老虎财经
1154,2021-03-18,遭质疑造假，7年暴涨近100倍的牧原股份强势反击，不仅救活自己还救活了猪肉板块！,重庆商报
1155,2021-03-18,新网银行违规放贷被通报：贷款费率超30%，合作平台涉套路贷，新希望均为股东,搜狐
1156,2021-03-18,新希望超52亿竞得武汉汉口滨江两宗地，将建设其华中总部,新京报
1157,2021-03-18,新希望底价52.26亿元拿下武汉汉口滨江五期两宗地块,观点地产网
1158,2021-03-18,同行向其拿“货”！ 牧原股份凭全产业链自繁自养模式练就“猪茅”,证券日报网
1159,2021-03-18,新网银行被点名通报 银保监会掀开了这家银行高利贷的盖子,新浪
1160,2021-03-17,中国短期融资券及中期票据信用分析周报,新浪
1161,2021-03-17,新希望发行20亿中期票据 “淘金”乡村振兴,金融投资报
1162,2021-03-17,“二师兄”坐滑梯！猪肉价格为何下跌？“猪茅”们还好吗？,金融界
1163,2021-03-17,养猪大户间有什么区别？牧原股份回应深交所问询多面对比温氏、新希望,经济观察网
1164,2021-03-17,放风价已出！苏州这个神秘倒挂新盘，到底什么时候公开？,搜狐
1165,2021-03-17,牧原股份涨超5%，提振猪肉板块,Wind
