,2021-12-31,正泰电器：以集中竞价交易方式回购公司股份,资本邦
317,2021-06-30,新能源行业：硅片降价周期启动需求或好于预期 分布式光伏爆发助力碳中和-行业点评,新浪
318,2021-06-29,正泰电器：公司全资子公司上海正泰电源系统有限公司为新能源及电力行业提供性能优异的光伏逆变与储能变流等设备，满足不同类型项目的需求,每日经济新闻
319,2021-06-29,电力电气设备 公用事业：硅片价格松动 广西存量项目可延期并网 项目问题,新浪
320,2021-06-29,电力设备新能源行业周观察：电动与智能共振中游景气向上 1-5月户用光伏装机超预期,新浪
321,2021-06-29,120家光伏概念股再上涨；上能电气上周涨幅31%，天合光能、正泰电器、通威股份、锦浪科技、固德威等上扬,中国能源网china5e
322,2021-06-28,智能工厂 | 上市十年，正泰电器以创新驱动发展、数字化升级，“拓宽”企业护城河,新浪
323,2021-06-28,电力设备及新能源行业周报：光伏需求望复苏 风电配置价值凸显,新浪
324,2021-06-28,电力电气设备、公用事业行业：上游涨价企稳+政策利好 光伏行情持续演绎,新浪
325,2021-06-28,电气设备行业周报：政策推进利好分布式装机 5月需求持续向好,华安证券
326,2021-06-28,电力设备与新能源21H2投资策略：对电动车板块超配 光伏拐点初现,智通财经
327,2021-06-25,北向资金本周爆买A股超200亿，连续加码金融股,Wind
328,2021-06-25,电气设备行业跟踪报告：整县推进分布式光伏试点 利好分布式光伏市场,新浪
329,2021-06-25,正泰电器盘中快速上涨,新浪
330,2021-06-25,别看表面波澜不惊，万亿风口来临？277亿惨烈博弈，“巨无霸”上演“天地板”,和讯
331,2021-06-25,【东吴晨报0625】【行业】电新【个股】波司登、奥特维,东吴研究所
332,2021-06-24,两市全天共58只股涨停，电气部件与设备行业成最大赢家,Wind
333,2021-06-24,光伏板块嗨了：社保QFII坚守的正泰电器涨停 6月来硫酸钾价格大涨,每经牛眼
334,2021-06-24,电力电气设备、公用事业行业：整县分布式试点方案下发 有望成零碳关键,新浪
335,2021-06-24,近20股涨停，市场空间有望达万亿，光伏建筑一体化概念为何如此火爆丨行业风口,第一财经
336,2021-06-24,电力设备及新能源行业重大事项点评：推进整县光伏试点 分布式集约化发展加速,新浪
337,2021-06-24,光伏行业点评：分布式光伏开发试点启动 屋顶光伏高增开启,新浪
338,2021-06-24,新能源、环保领域碳中和动态追踪(十六)：规模化开发分布式光伏成未来趋势 需求加速放量全产业链将受益,光大证券
339,2021-06-21,工控5月月报：工控需求高增、进口替代加速,新浪
340,2021-06-21,电力设备及新能源行业周报：关注新能源和制造业的边际变化,新浪
341,2021-06-20,电力设备新能源周观察：电动车中游景气向上 硅料产业链博弈或将结束,新浪
342,2021-06-18,从探索到领跑 | 正泰电器入选浙江省首批内外贸一体化“领跑者”企业培育名单,工业电器网
343,2021-06-15,电力设备及新能源行业周报：政策推动新能源发展 自动化景气有望延续,新浪
344,2021-06-15,电力电气设备、公用事业行业：项目电价及开发规则利好 光伏迎积极拐点,新浪
345,2021-06-15,【方正电新｜周观点】锂电5月磷酸铁锂产量占比超60%，广东海风政策好于预期,申建国电新团队
346,2021-06-11,光伏发电成本降80%，平价上网悄然而至,Wind
347,2021-06-11,电力电气设备、公用事业行业：光伏产业呼吁价格理性 板块迎来积极拐点,新浪
348,2021-06-11,发改委调整新能源上网电价政策，机构建议三条路径布局投资机会,第一财经
349,2021-06-09,【晨观方正】宏观/家电/电新/环保/科技&电子/食品饮料/建材建筑 20210609,新浪
350,2021-06-08,电力设备行业动态分析：欧洲电车持续繁荣 光伏展热点不断,新浪
351,2021-06-03,光伏板块走弱，隆基、通威、阳光电源、福斯特、福莱特、正泰电器齐跌,Wind
352,2021-06-02,新能源与电力设备行业周报：美国电动车补贴力度空前 中游机会正在提前,新浪
353,2021-06-02,百年大党的支部力量丨正泰集团：红色力量扛起双重责任,新浪
354,2021-05-31,中国电研：浙江正泰电器股份有限公司减持计划完成，减持约117万股,每日经济新闻
355,2021-05-31,中国电研(688128.SH)：减持期届满 正泰电器累计减持116.6392万股 减持股份,格隆汇
356,2021-05-31,【方正电新｜周观点】美国新能源补贴提案超预期，光伏产业链价格持续上涨,申建国电新团队
357,2021-05-31,电力设备及新能源行业周报：光伏产业链涨价趋势下 关注新技术和新应用,新浪
358,2021-05-28,电气设备行业：大宗材料涨价下电气元器件龙头的应对之法,新浪
359,2021-05-28,电力电气设备、公用事业行业：数据中心配套新能源 利好新增装机和消纳,新浪
360,2021-05-26,正泰电器：控股子公司对外担保,Wind
361,2021-05-25,中泰证券--电力设备新能源周观察：产业链价格再迎上调，光伏海内外持续高景气【行业研究】,金融界股吧
362,2021-05-24,电力设备及新能源行业周报：硅料价格持续上涨 产业盈利继续分化,新浪
363,2021-05-24,光伏行业周报：硅片电池涨价提速,新浪
364,2021-05-24,【方正电新丨周观点】光伏材料价格全线上涨，新能源车相关政策持续推进,申建国电新团队
365,2021-05-23,牵手正泰电器 星帅尔获约百亿级光伏组件大单,上证报
366,2021-05-23,安信电新：锂电材料验证板块高景气，新政落地风光起量在即,科创板日报
367,2021-05-23,电气设备周观点：产业链价格再迎上调 光伏海内外持续高景气,新浪
368,2021-05-21,上机数控(603185)：再签51亿元硅料长单 保障原材料供应,国联证券
369,2021-05-20,电力设备行业动态跟踪报告：该如何看待原材料价格上涨对低压电器企业的影响？,新浪
370,2021-05-20,工控月报：工控需求高增、进口替代加速,新浪
371,2021-05-19,国家电网再提新型电力系统 这几条投资主线值得关注丨牛熊眼,第一财经
372,2021-05-19,[路演]中国电研：正泰电器减持系其自身资金安排所需 减持股份,全景网
373,2021-05-19,正泰电器：业绩符合预期，低压电器龙头加速扩张,Ofweek
374,2021-05-19,正泰电器上调8类低压电器产品价格,国际电力网
375,2021-05-18,电力设备新能源周观察：4月新能源汽车销量符合预期 继续看好板块行情,新浪
376,2021-05-17,公牛集团盈利原地踏步，正泰电器4亿现金扛380亿债|年报对比⑩,乐居财经
377,2021-05-17,电力设备：电车景气依旧 光伏拐点已现,新浪
378,2021-05-13,千亿大白马遭反垄断调查，高瓴社保踩雷！紧急回应来了,Wind
379,2021-05-12,中国最低调的行业冠军：一年净利超过99%的制造企业,I黑马
380,2021-05-11,正泰电器(601877)：户用光伏高速增长 低压电器增长超预期,国联证券
381,2021-05-11,上机数控(603185)：单晶硅片出货放量 一季度业绩大幅增长,国联证券
382,2021-05-11,我国可再生能源装机规模稳步扩大，后市如何捕捉投资主线,第一财经
383,2021-05-10,【方正电新丨周观点】欧洲新能车增势持续强劲，央企光伏组件开标逐步推进,申建国电新团队
384,2021-05-10,正泰电器：员工持股计划专用证券账户持有股票1780万股，员工持股计划锁定期将于5月12日届满,每日经济新闻
385,2021-05-10,正泰电器(601877.SH)员工持股计划锁定期届满,智通财经
386,2021-05-10,电力设备及新能源行业周报：硅料盈利有望超预期 持续关注电气龙头,新浪
387,2021-05-10,电力设备及工控2020年年报及2021年一季报总结：2020业绩高增 工控21Q1延续高景气,新浪
388,2021-05-10,【电新*曾朵红】深度：工控&电力设备行业2020年报&一季报总结——工控龙头Q1再超市场预期持续向好，电网龙头表现平稳,东吴研究所
389,2021-05-08,正泰聘任新副总裁，曾任施耐德电气销售总监,中国房地产网
390,2021-05-08,正泰电器(601877)年报&一季报点评：低压整装再出发 光伏户用新篇章,新浪
391,2021-05-07,【东吴电新】年报&季报总结：工控龙头Q1再超市场预期持续向好，电网龙头表现平稳,新兴产业汇
392,2021-05-07,中银国际：维持正泰电器“买入”评级，低压电器与光伏业务双轮驱动,乐居财经
393,2021-05-07,正泰电器(601877)：直销、户用爆发力显现 Q1高增兑现,新浪
394,2021-05-06,中银晨会聚焦,新浪
395,2021-05-06,国联证券：正泰电器(601877.SH)户用光伏高速增长，给予“持有”评级,智通财经
396,2021-05-06,【电新】正泰电器—经营业绩保持稳健，户用龙头地位稳固,中银证券研究
397,2021-05-01,研究 | 浙江新能路演推至节后预测一季度业绩负增长 上市背后或遭“七连问” 盈利能力下降,中金在线
398,2021-04-30,正泰电器：整体经营稳健，渠道体系变革初见成效 【安信电新】,电新邓永康团队
399,2021-04-30,券商首次关注8股并给予买入评级（4月30日）,Wind
