,2021-12-31,正泰电器：以集中竞价交易方式回购公司股份,资本邦
60,2021-11-30,正泰电器(601877.SH)：截至11月30日已累计回购231.74万股,格隆汇
61,2021-11-30,电力设备及新能源行业周报：政策推动分布式规范发展 提升电网智能化水平,新浪
62,2021-11-30,电力电气设备行业：配网：投资加码关键环节 行业景气正当时,新浪
63,2021-11-29,中证指数光伏力量：隆基股份、通威股份、特变电工、福斯特、正泰电器,Ofweek
64,2021-11-29,电力电气设备、公用事业：分布式光伏安全标准征求意见 有望加速行业发展规范化、格局集中化,新浪
65,2021-11-29,电气设备策略：新型电力系统下电网投资回暖 看好结构性投资机遇,新浪
66,2021-11-29,电力电气设备、公用事业：硅片跌幅扩大 政策首提分布式规范化,新浪
67,2021-11-29,中信证券：政策的出台有利于工商业分布式光伏和户用光伏向更加规范的方向发展,证券时报网
68,2021-11-26,总规模9GW+、交易金额超287亿元，2021年光伏电站交易创新高！,北极星电力
69,2021-11-25,正泰电器：以集中竞价交易方式首次回购100.80万股公司股份,发布易
70,2021-11-25,正泰电器拟斥资5150万元回购公司股份约101万股,乐居财经
71,2021-11-25,正泰电器：首次回购约101万股,每日经济新闻
72,2021-11-25,正泰电器(601877.SH)耗资5150.12万元累计回购100.8万股,智通财经
73,2021-11-25,正泰电器(601877.SH)：首次回购 累计耗资5150.12万元回购100.80万股,格隆汇
74,2021-11-25,光伏股二次下探，德业股份、晶澳科技领跌,Wind
75,2021-11-23,【中银电新】新能源发电：美众议院通过刺激法案，新能源需求有望提升,老成之见
76,2021-11-22,正泰电器：拟回购不低于10亿元且不超过20亿元公司股份,每日经济新闻
77,2021-11-22,新能源行业周报：10月出口数据强劲 国内外需求依然无忧,华安证券
78,2021-11-21,碳中和行业(电新+环保)周报：美国新能源车刺激政策有望出台 10月新增光伏装机环比增速转正,光大证券
79,2021-11-19,正泰电器旗下诺雅克电气经营范围新增研发配电开关控制设备等,乐居财经
80,2021-11-19,硬核成果见证标准引领之路！正泰电器获评“全国低压电器标准化杰出贡献奖”,和讯
81,2021-11-18,正泰电器轻资产布局户用光伏 子公司增资10亿引入工行、红杉,贝壳财经
82,2021-11-18,电力设备专题报告(16)：南网发布“十四五”规划：总量温和增长 重心是解决新能源问题、配用电侧建设,新浪
83,2021-11-17,2022年光伏行业投资策略：格局向好成长加速-光伏行业2022年投资策略,新浪
84,2021-11-15,正泰电器：19.72亿出售户用光伏发电系统资产 资产异常,中证网
85,2021-11-15,环保新能源事件点评：两大“双碳”指导性文件落地,新浪
86,2021-11-15,正泰电器(601877.SH)：19.72亿元出售合计493.13MW户用光伏发电系统资产 资产异常,格隆汇
87,2021-11-15,电力电气设备 公用事业行业动态：产业链现跌势 中美光伏贸易摩擦或缓和,新浪
88,2021-11-11,正泰电器：截至2021年11月4日前十大流通股东持股占比63.81%,每日经济新闻
89,2021-11-10,910家公司今年以来回购股份逾千亿元,Wind
90,2021-11-09,中国电研：正泰电器累计减持1%股份，减持数量过半 减持股份,Wind
91,2021-11-09,中国电研：股东正泰电器本次集中竞价减持数量已过半 减持股份,每日经济新闻
92,2021-11-09,中国电研(688128.SH)：正泰电器于11月3日-9日减持1%的股份 减持股份,格隆汇
93,2021-11-09,正泰电器涨超6%，光伏50ETF（159864）涨超2%,资本邦
94,2021-11-08,新能源又迎利好？央行推出碳减排支持工具，哪些股望受益？,财联社
95,2021-11-08,宏发转债：高压直流继电器龙头品种,新浪
96,2021-11-05,家居市值周榜（10.29-11.05）：34家下滑，正泰电器降幅最高,乐居财经
97,2021-11-04,晚间重要公告2021年11月4日星期四,Wind
98,2021-11-04,正泰电器拟回购10亿元-20亿元股份，用于实施员工持股计划,乐居财经
99,2021-11-04,北向资金稳步加仓连续6日净买入，新能源、大消费集体获抢筹,Wind
100,2021-11-04,正泰电器：拟以10亿元-20亿元回购股份,格隆汇
101,2021-11-03,东吴证券维持正泰电器买入评级，2021年三季度报点评：户用光伏表现亮眼，低压经销渠道略有承压，目标价77.4元,每日经济新闻
102,2021-11-03,东吴证券：给予正泰电器买入评级，目标价位77.4元,证券之星
103,2021-11-02,盈利同比下滑近一成，正泰电器今年前三季度净利润27.79亿元 盈利能力下降,资本邦
104,2021-11-02,北向资金连续4日净买入累计扫货近150亿，新能源龙头股集体获抢筹,Wind
105,2021-11-01,公募三季度全景图绘出， “百亿俱乐部”规模缩水,Wind
106,2021-11-01,图解正泰电器三季报：第三季度单季净利润同比减24.50% 盈利能力下降,证券之星
107,2021-11-01,聪明资金最新动向揭秘，风格紧急切换氢能源概念股，重金杀入3只大白马股，大幅加仓19股,证券之星
108,2021-11-01,公募三季度全景图绘出“百亿俱乐部”规模缩水,Wind
109,2021-10-30,光伏板块全线爆发，正泰电器上涨17.73%「光伏周评榜」,华夏时报
110,2021-10-29,正泰电器第三季度营收同比增长43%,上证报
111,2021-10-29,正泰电器(601877.SH)：第三季度净利降24.50%至9.34亿元 盈利能力下降,格隆汇
112,2021-10-29,正泰电器：三季度营收同比增长43.68% 新能源业务持续发力,中证网
113,2021-10-29,正泰电器公布三季报 前三季净利减少8.84% 盈利能力下降,新浪
114,2021-10-29,正泰电器第三季度净利9.34亿元，同比减少24.5% 盈利能力下降,乐居财经
115,2021-10-29,正泰电器：前三季度净利润同比减少8.84% 盈利能力下降,Wind
116,2021-10-28,沪港通十大成交活跃股排名（10月28日）,Wind
117,2021-10-28,A股早报2021年10月28日星期四,Wind
118,2021-10-27,涨停板解密：政策利好，新能源产业个股逆市爆发！（10月27日）,Wind
119,2021-10-27,深度*行业*新能源发电行业动态点评：政策体系趋明 风光需求无忧,新浪
120,2021-10-27,新能源、环保领域碳中和动态追踪(三十三)：国务院印发碳达峰行动方案 风光储+循环经济助力降碳行动,光大证券
121,2021-10-27,金风科技、正泰电器、日月股份涨停，机械ETF（516960）涨超1.2%,资本邦
122,2021-10-27,快讯：正泰电器涨停 报于59.4元,金融界
123,2021-10-27,正泰电器涨停，光伏50ETF（516880）上涨超2%,资本邦
124,2021-10-27,正泰电器涨超7%，光伏50ETF（159864）涨超1%,资本邦
125,2021-10-27,碳中和概念炒作卷土重来，正泰电器、天赐材料、上海电力涨超7%,Wind
126,2021-10-26,顶流基金经理三季度持仓出炉，他们重仓这些股！,国际金融报
127,2021-10-26,明星基金三季度调仓观察：冯明远减仓宁德时代，葛兰加仓爱尔眼科,第一财经
128,2021-10-26,特斯拉刷屏，坚定两点看法,每日经济新闻
129,2021-10-26,傅鹏博、赵诣、冯明远、林英睿、赵枫持仓思路各有不同,Wind
130,2021-10-25,电气设备周报：国家能源局积极推动风电光伏 9月户用光伏装机量超预期,新浪
131,2021-10-25,碳中和行业(电新+环保)周报：华为签约全球最大储能项目 海外车企积极拥抱磷酸铁锂,光大证券
132,2021-10-25,9月光伏装机量点评：9月光伏装机同比大增 持续看好行业,新浪
133,2021-10-18,电气设备周报：光伏产业链价格上涨 需求逻辑全面兑现,新浪
134,2021-10-17,光伏10月景气研判：蓄势上扬,新浪
135,2021-10-14,券商营业部实力大比拼！中金成最强黑马，这家中小券商挤入前三,Wind
136,2021-10-14,股票交易龙虎榜百强营业部出炉，华泰、中信数量最多,Wind
137,2021-10-11,北向资金今日小幅净买入1.87亿元，药明康德、招商银行净买入超3亿元,Wind
138,2021-10-11,电力设备及新能源行业周报：风光基地建设推进 电网结构机会明确,新浪
139,2021-10-10,电气设备行业周报：基本面强势得验证 继续看好新能源,新浪
140,2021-10-08,正泰电器：员工持股计划所持有的公司股票全部出售完毕,每日经济新闻
141,2021-10-01,顶流海外中国基金最新动向曝光！节后A股怎么投？,Wind
142,2021-10-01,抄底茅台，狂买银行！顶流海外中国基金最新动向曝光！,Wind
143,2021-09-29,【中原电气设备】光伏行业周报：能耗双控，产业链价格上涨,中原证券研究所
144,2021-09-28,碳中和系列点评之十七：深化能源领域“放管服”改革 加快以新能源为主体的新型电力系统建设,新浪
145,2021-09-28,488.61MW！“整县推进”背景下的首单交易出炉！正泰发布户用资产出售公告！ 资产异常,新能源网
146,2021-09-27,光伏板块重回强势，硅料涨势不止,华夏时报
147,2021-09-27,电力设备及新能源行业周报：主辅材价格强势 电网结构机会明确,新浪
148,2021-09-27,电力设备行业动态分析：新能源车销量稳定上行 风电增长确定性强化,新浪
149,2021-09-27,A股异动 | 中国电研(688128.SH)跌逾5% 股东正泰电器拟减持不超6%公司股份 拟减持股份,格隆汇
150,2021-09-26,电气设备新能源行业周报：二线电池价格探涨缓解成本压力 8月新能源装机超市场预期,新浪
151,2021-09-25,东方雨虹：目前公司与正泰电器、中来股份尚未就光伏屋面项目开展合作,每日经济新闻
152,2021-09-25,Wind风控日报2021年9月25日星期六,Wind
153,2021-09-25,上市公司正负面新闻2021年9月25日星期六,Wind
154,2021-09-24,晚间重要公告2021年9月24日星期五,Wind
155,2021-09-24,晚间公告｜9月24日这些公告有看头,第一财经
156,2021-09-24,正泰电器(601877.SH)拟出售总装机容量不超3000MW 户用光伏发电系统资产,智通财经
157,2021-09-24,正泰电器：拟出售部分户用光伏发电系统资产 总装机容量不超过3000MW 资产异常,e公司
158,2021-09-24,正泰电器：授权公司管理层办理户用光伏发电系统资产出售 资产异常,Wind
159,2021-09-24,中国电研(688128.SH)主要股东正泰电器拟减持不超过2427万股 拟减持股份,智通财经
160,2021-09-24,中国电研：持股9.35%的股东浙江正泰电器股份有限公司拟减持不超过6% 拟减持股份,新浪
161,2021-09-24,中国电研：正泰电器拟减持公司6%股份 拟减持股份,e公司
162,2021-09-24,中国电研：正泰电器拟减持公司股份不超6% 拟减持股份,Wind
163,2021-09-24,正泰电器签1556MW光伏电站协议，二季度社保基金增持868万股,阿尔法工场
164,2021-09-23,储能风口进行时|近半年涨幅超过70%，正泰电器正渐入佳境？,财华社
165,2021-09-23,晚间重要公告2021年9月23日星期四,Wind
166,2021-09-23,正泰电器子公司与多地政府部门签署屋顶分布式光伏电站开发合作协议,上证报
167,2021-09-23,正泰电器(601877.SH)：控股子公司就推进整县屋顶分布式光伏开发试点工作与多地相关政府部门签署合作框架协议,格隆汇
168,2021-09-23,正泰电器：控股子公司与多地相关政府部门签署了合作框架协议,Wind
169,2021-09-22,跌宕起伏！光伏行业基本面是否生变？（名单）,Wind
170,2021-09-17,锂电股突然大跌的原因找到了！公募基金紧急解盘,Wind
171,2021-09-17,证监会重磅发声！“基金大跌”冲上热搜，节前A股能否企稳？,Wind
172,2021-09-16,锂矿三巨头集体跌停！机构“有点懵”,Wind
173,2021-09-16,A股又跳水！一则大消息，最强赛道掀跌停潮,Wind
174,2021-09-16,A股收盘综述：锂、光伏、稀土等大幅调整，统筹保障动力电池资源供应消息引起波澜,Wind
175,2021-09-16,快讯：正泰电器跌停 报于51.91元,金融界
176,2021-09-15,电气设备行业跟踪报告：“双碳”目标呼唤灵活性与智能化,新浪
177,2021-09-15,光伏行业重大事项点评：整县项目超预期 分布式增长再加速,新浪
178,2021-09-15,电力电气设备、公用事业行业动态：整县分布式名单下发 国内光伏需求再加码,新浪
179,2021-09-14,万亿养老金重仓股揭晓！去年投资收益率超10%,Wind
180,2021-09-13,电力设备新能源行业周报：电池龙头加大布局力度 光伏装机四季度旺季确定性高,新浪
181,2021-09-13,电力设备及新能源行业周报：电网3500亿美元投资 推进新型电力系统建设,新浪
182,2021-09-12,光伏股抱团跳水，正泰电器下跌6.03%「光伏周评榜」,华夏时报
183,2021-09-10,A股市场流动性热点跟踪：8月外资流入复盘,新浪
184,2021-09-10,电气设备行业事件点评：绿色电力交易正式开启 利好风电光伏健康发展,新浪
185,2021-09-10,正泰电器通过国家工业互联网平台功能性能综合评测,财联社
186,2021-09-06,电力设备与新能源行业周观察：欧洲五国电动车渗透率环比提升 风光储发展空间可期,新浪
187,2021-09-06,三大热门赛道财报透视，高研发投入下业绩迎爆发,Wind
188,2021-09-04,专访正泰电器董事长南存辉：减排已成全社会共识，发展新能源产业助力实现“双碳”目标,每日经济新闻
189,2021-09-02,快讯：正泰电器涨停 报于62.8元,金融界
190,2021-09-01,快讯：正泰电器跌停 报于56.66元,金融界
191,2021-09-01,上机数控(603185)：单晶硅片产能扩建迅猛 业绩持续高增长,国联证券
192,2021-09-01,新能源行业周报：下半年建议关注涨价行情和政策利好板块,华安证券
193,2021-09-01,光伏板块跌幅加深，隆基、通威、阳光电源、中环、福斯特等集体下挫,Wind
194,2021-08-31,电力电气设备、公用事业行业动态：需求支撑全产业链价格维持涨势,新浪
195,2021-08-31,2021年9月十大金股：风格再平衡 以景气对冲宏观不确定性,光大证券
196,2021-08-31,新能源、环保领域碳中和动态追踪(二十八)：光伏政策有望超预期 需求提振利好全产业链,光大证券
197,2021-08-30,山西证券首予正泰电器增持评级：低压电器销售稳步增长，政策助力户用业务有望高增,每日经济新闻
198,2021-08-30,电力设备及新能源行业周报：需求驱动涨价 光伏景气度有望持续,新浪
199,2021-08-30,一图看懂正泰电器2021半年度报告,工业电器网
200,2021-08-30,正泰电器(601877)：低压发展超预期 整县分布式利好户用业务,新浪
201,2021-08-30,电气设备行业周报：再看光伏的持续性,新浪
202,2021-08-30,电力设备与新能源行业周观察：宁德时代储能业务快速成长 风电行业变化正当时,新浪
203,2021-08-30,解盘：资源科技强势，光伏屋顶、新能源、小金属、大飞机领涨,Wind
204,2021-08-29,东吴证券维持正泰电器买入评级，2021年中报点评：低压直销高速增长，户用光伏借势起航,每日经济新闻
205,2021-08-29,中银证券维持正泰电器买入评级：低压电器多点突破，户用业务高速增长,每日经济新闻
206,2021-08-28,【东吴电新】正泰电器2021年中报点评：低压直销高速增长，户用光伏借势起航,新兴产业汇
207,2021-08-28,中泰证券维持正泰电器增持评级：业绩符合预期，低压&户用龙头稳健扩张,每日经济新闻
208,2021-08-27,【方正电新】正泰电器上半年业绩点评：户用龙头持续进击，低压直销快速放量,申建国电新团队
209,2021-08-27,安信证券维持正泰电器买入评级：业绩符合预期，双轮驱动亮点纷呈，目标价70元,每日经济新闻
210,2021-08-27,正泰电器半年度报告！二季度业绩喜人,证券之星
211,2021-08-27,正泰电器：业绩符合预期，双轮驱动亮点纷呈【安信电新】,电新邓永康团队
212,2021-08-27,资金决定市场方向：北上加码买入，两融迭创新高,Wind
213,2021-08-27,正泰电器披露2021半年报：抢抓“双碳”机遇，户用光伏业务势头强劲,中国经济网
214,2021-08-27,正泰电器：就推进整县屋顶分布式光伏开发签署合作协议,财联社
215,2021-08-27,电力电气设备行业动态：2Q21海外光伏回顾：涨价接受度提升 看好3Q起供应链压力边际改善,新浪
216,2021-08-26,正泰电器上半年实现净利润18.44亿元 户用光伏保持高速增长,中证网
217,2021-08-26,正泰电器今日大宗交易成交3.81万股，成交价54.11元溢价0.0%,Wind
218,2021-08-26,茅台“降价”吓趴白酒，两大主力资金却连续加仓,Wind
219,2021-08-26,正泰电器：2021年半年度净利润约18.44亿元，同比增加1.86%,每日经济新闻
220,2021-08-26,正泰电器2021年上半年实现净利润19.84亿元，同比小幅增长4.54%,经济观察网
221,2021-08-26,正泰电器(601877.SH)上半年净利微升1.86%至18.44亿元,格隆汇
222,2021-08-26,正泰电器：上半年净利润同比增长1.86%,Wind
223,2021-08-25,腾讯、阿里、京东、美团集体躁动，港股又到布局时点？,Wind
224,2021-08-23,电气设备行业周报：光伏出口那些事儿,新浪
225,2021-08-21,捷捷微电(300623)公司信息更新报告：2021H1业绩符合预期 产品结构优化明显,新浪
226,2021-08-17,电力设备及新能源行业周报：需求回暖驱动光伏涨价 关注风电、电网配置价值,新浪
227,2021-08-16,新能源行业周报：储能政策再出台 三四季度装机需求将持续高增,华安证券
228,2021-08-16,电气设备行业周报：光伏硅料价格箱体震荡 下游需求持续向好,新浪
229,2021-08-16,79股获券商买入评级，龙马环卫目标涨幅达79.71%,Wind
230,2021-08-16,揭秘各路机构“心动股” 新能源赛道最受追捧,证券时报
231,2021-08-14,主力资金最钟情股来了！谁是新晋心动股，谁是主力“心头肉”，30只“长情股”名单出炉,证券时报网
232,2021-08-14,正泰电器(601877)首次覆盖报告：市场放量在即 分布式建设运营龙头再起航,光大证券
233,2021-08-13,正泰电器股价涨6.3% 现报55.88元,乐居财经
234,2021-08-12,电气设备行业点评报告：储能(三大弹性方向之后周期)再迎利好 发电侧政策出台,新浪
235,2021-08-11,天正电气(605066)：直销经销双轮驱动 低压电器龙头增长加速,新浪
236,2021-08-10,光伏系列报告(四十二)：整县推进模式有望激活分布式市场,新浪
237,2021-08-10,正泰电器成立智慧低碳科技公司，注册资本5000万,搜狐
238,2021-08-10,正泰电器股价涨5.7% 现报54.95元,乐居财经
239,2021-08-10,风格切换？机构：硬科技仍是主线，寻找高性价标的,Wind
240,2021-08-10,市场风格轮动切换，机构提示热门赛道拥挤风险,Wind
241,2021-08-09,孕育十家千亿企业后，光伏还有哪些期待？,Ofweek
242,2021-08-09,正泰电器(601877)：因为相信 所以看见,新浪
243,2021-08-09,正泰电器股价涨5.1% 现报53.57元,乐居财经
244,2021-08-09,安信证券维持正泰电器买入评级：因为相信，所以看见—再论正泰电器投资价值，目标价70元,每日经济新闻
245,2021-08-09,正泰电器·重磅深度：因为相信，所以看见——再论正泰电器投资价值【安信电新】,电新邓永康团队
246,2021-08-08,福莱特股价涨幅高达24.36%，正泰电器、晶澳科技市值超千亿「光伏周评榜」,华夏时报
247,2021-08-06,正泰电器盘中快速下跌,新浪
248,2021-08-06,正泰电器等71股近五日获机构净买入,证券时报网
249,2021-08-06,北向资金动向盘点：谁接谁的盘，谁抄谁的底？,Wind
250,2021-08-05,浙江区域股市周报：和达科技跌出板块市值10强 54家机构调研迪普科技,每日经济新闻
251,2021-08-05,长江证券：维持正泰电器(601877.SH)“买入”评级 整县推进方案助力用户业务成长,智通财经
252,2021-08-05,正泰电器大涨,新浪
253,2021-08-05,新政助力户用光伏加速拓展 正泰电器新增980MW意向装机容量,财联社
254,2021-08-04,每日市场热点分析,新浪
255,2021-08-04,江特电机等74股近五日获机构净买入,证券时报网
256,2021-08-04,正泰电器(601877)：出奇制胜 户用为先,新浪
257,2021-08-04,正泰电器涨停市值突破千亿，成第十家千亿光伏企业,证券之星
258,2021-08-04,正泰电器：签署合作框架协议 推进整县屋顶分布式光伏开发试点,财联社
259,2021-08-04,正泰电器(601877.SH)：就推进整县屋顶分布式光伏开发试点工作与相关政府部门签署合作框架协议,格隆汇
260,2021-08-04,正泰电器收报47.77元涨10.0% 总市值1027.0亿元,乐居财经
261,2021-08-04,A股收盘综述：创业板指涨2.47%，新能源车产业链掀起炒作大潮,Wind
262,2021-08-04,解盘：资金回流市场人气不减，锂电、稀土、新能源领涨,Wind
263,2021-08-04,正泰电器市值突破1000亿元！,北极星电力
264,2021-08-02,正泰电器龙虎榜数据(8月2日）,Wind
265,2021-08-02,兴业证券：7月金股组合亏损2.87% 8月荐股名单出炉 亏损,新浪
266,2021-08-02,机构3日爆买4.7亿 这家公司叠加储能+光伏+自动化三大热点！,证券之星
267,2021-08-02,龙虎榜丨机构今日抛售这17股，买入正泰电器4.68亿元,第一财经
268,2021-08-02,正泰电器：连续3个交易日收盘价格涨幅偏离值累计超过20%,发布易
269,2021-08-02,8月2日主力资金净流出26亿元,证券时报网
270,2021-08-02,正泰电器入选“2020中国上市公司高质量发展百强榜”,工业电器网
271,2021-08-02,交易异动！正泰电器：近3个交易日上涨30.03%,每日经济新闻
272,2021-08-02,正泰电器(601877.SH)股价异动 不存在应披露而未披露事项,智通财经
273,2021-08-02,电力设备及新能源行业周报：风光景气度持续回升 政策驱动储能发展,新浪
274,2021-08-02,基础材料、机械、电力电气设备行业2Q21持仓及陆港通分析：公募持仓大幅提升 超配新能源,新浪
275,2021-08-02,杠杆资金重仓股曝光 正泰电器居首,第一财经
276,2021-08-02,A股早报2021年8月2日星期一,Wind
277,2021-07-30,7月30日主力资金净流出257亿元,证券时报网
278,2021-07-30,电力设备及新能源行业储能与新能源发展跟踪：分时电价机制点评-分时电价政策出台 “软”因素支持储能发展,新浪
279,2021-07-30,涨停板解密：资金抢入，三大板块个股掀涨停潮！（7月30日）,Wind
280,2021-07-30,储能概念全线爆发，科信技术等多股涨停,Wind
281,2021-07-30,每日市场热点分析,新浪
282,2021-07-30,A股早报2021年7月30日星期五,Wind
283,2021-07-30,连ETF都涨停！万亿巨头有重磅动作，A股后市怎么走,Wind
284,2021-07-29,涨停板解密：两板块个股现涨停潮！（7月29日）,Wind
285,2021-07-29,国社罕见深夜喊话，A50强劲反弹近3%,Wind
286,2021-07-28,39股主力资金净流入超亿元,中国财富网
287,2021-07-28,热门光伏板块两日跌8%，5张图看清其业绩、债务和估值风险情况,Wind
288,2021-07-28,A股缩量十字星，北上资金80亿抄底，市场稳了？,Wind
289,2021-07-27,"正泰电器现1笔大宗交易 共成交1,172.36万元",新浪
290,2021-07-27,正泰电器今日大宗交易成交32.30万股，成交价36.3元溢价0.0%,Wind
291,2021-07-27,天正电气(605066)：市场开拓新突破 业绩进入加速期,新浪
292,2021-07-23,储能风口进行时|华为披荆斩棘，带来哪些掘金机遇？,财华社
293,2021-07-23,【行情】光伏建筑板块短线拉升，秀强股份涨超13%，双杰电气、天合光能、正泰电器跟涨,金十数据
294,2021-07-20,电力设备新能源行业2021年中报业绩前瞻：“双碳”驱动电动化加速 新能源发电需求持续向好,新浪
295,2021-07-20,正泰电器加码分布式光伏，股价将赶超其他龙头？,Ofweek
296,2021-07-20,正泰电器现1笔大宗交易 共成交282.95万元,新浪
297,2021-07-20,正泰电器：子公司拟引进投资者增资10亿元 促进分布式光伏业务发展,北极星电力
298,2021-07-20,中信建投证券：维持正泰电器(601877.SH)“买入”评级 户用装机高增 新能源业务持续增长,智通财经
299,2021-07-19,正泰电器(601877)：双轮驱动 稳健增长,新浪
300,2021-07-19,正泰电器：正泰安能拟增资扩股引进投资者增资总金额为10亿元,发布易
301,2021-07-19,正泰电器(601877.SH)子公司正泰安能拟增资扩股引进投资者,智通财经
302,2021-07-19,正泰电器(601877.SH)：为促进分布式光伏业务发展正泰安能拟引进投资者增资10亿元,格隆汇
303,2021-07-16,电气设备行业：分布式光伏试点政策推进 铁锂电池助力爆款车型,广发证券
304,2021-07-12,电力电气设备、公用事业行业：硅料成交价首次松动 看好开工率持续修复,新浪
305,2021-07-12,电力设备及新能源行业周报：风电板块配置价值凸显 新型电力系统长期空间可期,新浪
306,2021-07-10,正泰电器：大力推广BIPV光伏建筑一体化，实现清洁能源“身边取”,e公司
307,2021-07-09,众业达：公司商城有销售一小部分正泰产品,Wind
308,2021-07-09,乐清启动浙江首个地方碳普惠市场建设，正泰集团等四方签订协议,Wind
309,2021-07-07,温州10家企业及2个产业基地上榜省级名单,钢企网
310,2021-07-06,电气设备行业周报：硅料龙头加速扩产 价格下降有望释放需求,华安证券
311,2021-07-06,电力电气设备、公用事业行业：硅片电池报价下调 看好下游开工率回升,新浪
312,2021-07-05,电气设备行业周报：中游排产维持高景气 电动车大行情延续,新浪
313,2021-07-05,电力设备新能源行业周报：新势力6月销量创新高 多省份发布整县推进申报方案,新浪
314,2021-07-04,电力设备行业：全球电动化呼啸前行 光伏多环节价格松动,新浪
315,2021-07-04,工控&电力设备行业2020年中期投资策略：工控高景气和进口替代加速 新型电力系统结构变化,新浪
316,2021-06-30,电力电气设备、公用事业、节能环保行业2H21电力新能源策略：聚焦光伏转折 关注新能源运营长期成长性,新浪
