29,2021-12-24,12.24丨安徽骗保大案主犯获刑10年；前10月交强险承保亏损超20亿,和讯
30,2021-12-24,华侨城Ａ：渤海证券是公司的战略投资之一，公司对该股权投资以权益法核算,每日经济新闻
31,2021-12-24,泰康人寿5亿元出手购华侨城附属50%股权,资本邦
32,2021-12-24,财面儿丨泰康5亿元接手华侨城上海闵行地块50%股权,财经网
33,2021-12-24,泰康人寿5亿元接手华侨城旗下上海市闵行区一地块50%股权,澎湃新闻
34,2021-12-24,泰康5.1亿元接手华侨城旗下上海市闵行区地块50%股权,澎湃新闻
35,2021-12-22,华侨城董事会秘书关山减持公司7.7万股股份 减持股份,观点地产网
36,2021-12-22,华侨城A:公司董秘因个人财务安排减持7.7万股 减持股份,金融界
37,2021-12-22,华侨城：关山减持总股本0.0009%股份 减持股份,乐居财经
38,2021-12-22,华侨城A：关山减持7.74万股股份 减持均价6.52元/股 减持股份,中国网
39,2021-12-22,华侨城A：董事会秘书关山累计减持7.74万股 减持股份,Wind
40,2021-12-22,A股快报 | 地产板块收跌1.77% 蓝光发展下跌7.77%,观点地产网
41,2021-12-22,华侨城：断崖式考核与跨越式发展、市场化薪酬是公司考核机制,Wind
42,2021-12-22,华侨城Ａ：公司销售端从10月底开始下滑的趋势有所放缓 盈利能力下降,每日经济新闻
43,2021-12-22,文旅集团20强的“多元化”野心,36氪
44,2021-12-21,解盘：人气再度回暖，地产、基建、教育、数字货币领涨,Wind
45,2021-12-21,康金健康法人代表由冯军变更为郝东旭,乐居财经
46,2021-12-21,【行情】地产股早盘掀涨停潮，嘉凯城、大龙地产、新黄浦、中交地产等近20股封板，泰禾集团、金地集团、华侨城A、万科A等集体冲高,金十数据
47,2021-12-21,“拆雷”政策密集出台，房地产行业或迎项目并购潮,Wind
48,2021-12-21,华侨城A：Lazard Asset Management Group、安信基金等12家机构于12月16日调研我司,证券之星
49,2021-12-20,央企华侨城、招商蛇口试水并购债 募集资金均未投向出险企业项目,财联社
50,2021-12-20,华侨城A接受10家机构调研！短期主力资金净流入，市场资金或早已察觉,每日经济新闻
51,2021-12-20,重庆财经丨5A级景区创建提速？重庆统景温泉公开抛“橄榄枝”拟增资不低于3.5亿元,上游新闻
52,2021-12-20,【招商房地产】按揭改善，22年Q2前全局房价或仍有下行压力—房地产行业最新观点及1-11月数据深度解读？,降噪房地产
53,2021-12-17,《2021第一财经中国房地产荣耀榜》获奖企业：融创中国、正荣地产、合生创展等上榜,第一财经
54,2021-12-16,华侨城Ａ：公司持有上海欢乐谷股权比例为100%,每日经济新闻
