111,2021-12-21,工行票据营业部郑州分部以实招硬招助力制造业实体发展,陆家嘴金融网
112,2021-12-21,个人贷款业务管理不到位 工行苏州长三角一体化示范区分行被罚40万元 金融监管处罚,中国网
113,2021-12-21,工商银行稳步推进新一代票据业务系统对接工程,陆家嘴金融网
114,2021-12-21,工商银行实施灵活利率管理 推动票据贴现支持制造强国战略,陆家嘴金融网
115,2021-12-21,工商银行重庆分行试点商业价值信用贷款破解中小微企业融资难,经济日报
116,2021-12-21,就这类业务 建设银行、工商银行、农业银行年底发布重要公告,中投网
117,2021-12-21,因个贷业务管理不到位，工商银行苏州长三角示范区分行被罚40万 金融监管处罚,中华网
118,2021-12-21,银行周榜｜建行、工行“华山论剑”，兴业银行连遇强敌,中国银行保险报
119,2021-12-21,监管收紧下多银行暂停智能投顾业务 少数银行能正常提供服务或涉“无证驾驶” 其他违规处罚,搜狐
120,2021-12-21,上市公司周报(12.13日-12.19日)：商汤重启公开招股 预期12月30日挂牌；浑水称正在做空贝壳,零壹财经
121,2021-12-21,工行广州分行让企业上市之路行稳致远,南都报
122,2021-12-20,银行财眼 | 工商银行一分行一支行合计被罚65万元：严重违反审慎经营规则 金融监管处罚,凤凰网
123,2021-12-20,工行金融市场：外币利率市场每日概览,理财18
124,2021-12-20,因现金管理不审慎等，工商银行抚松支行被罚25万 金融监管处罚,中华网
125,2021-12-20,大连日报：工商银行大连市分行成功取得大连商品交易所首批场外平台仓单质押贷款机构资质并落地首笔标准仓单质押业务,大商所
126,2021-12-20,天奇股份为天奇重工提供不超3600万元担保 大额借贷担保,乐居财经
127,2021-12-20,工行陕西省分行：用足用活信贷政策保障民生供给,中国金融新闻网
128,2021-12-20,工行手机银行APP与微信支付实现二维码互联互通,零壹财经
129,2021-12-20,智能投顾业务迎来大调整 多家银行宣布暂停智能投顾产品申购功能,中国金融新闻网
130,2021-12-20,26亿元“包袱”年末集中甩，银行个贷不良转让试点渐入正轨,Wind
131,2021-12-19,大涨8倍后两大股东持股将被拍卖，*ST澄星被疑蓄谋变相减持 司法拍卖,第一财经
132,2021-12-19,【天风非银】财富管理周报：私募股权基金行业再迎利好，险资投资PE/VC门槛大大降低,新锐视角看金融
133,2021-12-19,丽水工行：打造敬老专属服务 传递金融温度,中国金融新闻网
134,2021-12-19,视频｜工行北京通州分行副行长柳春光：双碳目标为金融发展提供广阔蓝海,北京商报
135,2021-12-18,年末银行为资本狂 花式“补血”轮番上阵,中国经营报
136,2021-12-18,金融服务乡村振兴，广东银行同业公会于肇庆开展主题调研,新快报
137,2021-12-18,多家银行按下暂停键 智能投顾整改在即,中国经营报
138,2021-12-18,备战信贷“开门红”，银行开辟“专精特新”战场,Wind
139,2021-12-17,【银华基金】交易日报 2021-12-17,新浪
140,2021-12-17,A股共发生144宗大宗交易成交57.17亿元（12月17日）,Wind
141,2021-12-17,蓝象智联创始人童玲：新赛道崛起，隐私计算“三浪叠加”,砍柴网
