,2021-12-31,中国建筑：公司目前未参与阿富汗重建相关工程,Wind
111,2021-11-24,中国建筑近期获得9个重大项目，金额合计345.7亿元,乐居财经
112,2021-11-24,中国建筑：近期中标345.7亿元重大项目,财联社
113,2021-11-23,中国建筑今日大宗交易成交260万股，成交价4.4元折价6.18%,Wind
114,2021-11-23,中国建筑拟发行25亿元中期票据，申购区间3.20%-4.20%,乐居财经
115,2021-11-23,改革任务如期推进 “清单式”督办 70%任务目标完成向好,新华网
116,2021-11-22,西部建设底价259.7万元转让西建建材70%股权,乐居财经
117,2021-11-22,华泰证券：维持中国建筑(601668.SH)“买入”评级 目标价6.48元,智通财经
118,2021-11-22,基础材料行业周报(第四十六周)：10月地产投资承压但政策边际改善 22年建议关注三主线,新浪
119,2021-11-22,中国建筑中标莫桑比克大型房建项目,微信
120,2021-11-22,改革任务如期推进，年内51家国企A股上市,Wind
121,2021-11-22,改革任务如期推进 年内51家国企A股上市,经济参考报
122,2021-11-21,【安信建筑】行业周报1121：10月单月基建增速改善，专项债发行提速助力投资增长,勇往直前
123,2021-11-19,中国建筑：2021年前三季度，公司房建业务实现营业收入8099亿元，同比增长19.7%,每日经济新闻
124,2021-11-19,核电归来丨行业景气度上行，中国核建业绩回暖,财华社
125,2021-11-19,中国建筑中标传音孟加拉国工厂项目,微信
126,2021-11-18,晚间重要公告2021年11月18日星期四,Wind
127,2021-11-18,中国建筑前10个月地产业务合约销售额3326亿元,贝壳财经
128,2021-11-18,中国建筑：前10月新签合同总额26604亿元 同比增长7.5%,中国网
129,2021-11-18,中国建筑前10月地产业务合约销售额为3326亿元 同比增长3%,观点地产网
130,2021-11-18,中国建筑：1-10月新签合同总额同比增长7.5%,e公司
131,2021-11-18,中国建筑前10月新签合同总额2.66万亿元，同比增7.5%,乐居财经
132,2021-11-18,中国建筑：1-10月新签合同总额2.66万亿元 同比增长7.5%,财联社
133,2021-11-18,中国建筑(601668.SH)前10个月新签合同总额同比增长7.5%至26604亿元,智通财经
134,2021-11-18,中国建筑(601668.SH)：1-10月新签合同总额26604亿元 同比增长7.5%,格隆汇
