293,2021-09-17,韵达股份：8月快递服务业务收入同比增长15.34%,Wind
294,2021-09-17,韵达股份驰援四川泸县灾区,证券日报网
295,2021-09-17,韵达的新服务“大票速派”为客户即到即派,中国网
296,2021-09-14,交运中小盘行业周报：单价迎向上拐点 推荐龙头快递,新浪
297,2021-09-14,韵达股份今日大宗交易成交70万股，成交价17.27元折价7.75%,Wind
298,2021-09-14,交通运输物流周报：关注车货匹配、大宗供应链龙头企业,新浪
299,2021-09-14,交通运输行业周报：民航扭亏确定性强 盐田港吞吐量恢复常态,新浪
300,2021-09-13,交通运输行业周报：大宗供应链高增长 低估值龙头受青睐,新浪
301,2021-09-13,韵达股份：控股股东的一致行动人减持公司股份比例达到1% 减持股份,每日经济新闻
302,2021-09-13,交运物流每周专题报告：中秋、国庆双节将至 静待航空触底反弹,新浪
303,2021-09-10,韵达股份(002120.SZ)控股股东的一致行动人减持合计490万股 减持股份,智通财经
304,2021-09-10,北向资金连续三周加仓累计净买入600亿，中远海控获大幅净买入近10亿元,Wind
305,2021-09-10,投资组合报告：2021年九月策略金股报告,新浪
306,2021-09-10,韵达股份(002120)：21Q2毛利同比高增12% 竞争改善已向业绩传导,新浪
307,2021-09-08,交通运输行业2021中报综述：货运客运冰火两重天 行业在曲折中复苏,广发证券
308,2021-09-06,华创证券：维持韵达股份(002120.SZ)“推荐”评级 目标价19.3元,智通财经
