,2021-12-31,中国交建：截至目前公司与福田汽车没有具体的业务合作,每日经济新闻
2144,2020-02-26,安信策略：建筑行业稳增长预期强烈推荐9只低位股,金融界
2145,2020-02-26,主力动向：2月26日特大单净流出524.91亿元,证券时报网
2146,2020-02-26,国泰君安：基建春天来临，钢结构弹性最大，基建央企稳健,证券时报网
2147,2020-02-26,趋势巡航：市场有两个不好的现象,金融界
2148,2020-02-26,外围连续大跌A股巨震百股跌停科技股重挫创指放量跌近5% 连续下跌,财华社
2149,2020-02-26,2月26日主力资金净流出472亿元,证券时报网
2150,2020-02-26,万亿投资计划出炉！以基建为重点，拉动经济增长，A股已沸腾,Wind
2151,2020-02-26,A股市场主力资金净流出471.69亿元 紫晶存储净流入额居首,中证网
2152,2020-02-26,A股市场破净股一览（2月26日）,Wind
2153,2020-02-26,今日受外围市场暴跌恐慌情绪蔓延影响 早盘三大指数均低开,中投网
2154,2020-02-26,收评：沪指跌0.83%创业板指重挫4.66%基建股爆发科技股大跌,金融界
2155,2020-02-26,巨丰资金流向：获利盘了结引发市场大跌 788亿主力资金呈现净流出！,巨丰财经
2156,2020-02-26,26日新华500指数（989001）下跌1.54%,新华网
2157,2020-02-26,上证指数收盘跌0.8%，创业板指跌超4%,Wind
2158,2020-02-26,逆周期政策预期推升中字头基建股 券商预估3月份相关股股价回暖概率大,证券日报
2159,2020-02-26,[国君建筑韩其成]基建春天来临，钢结构弹性最大，基建央企稳健_国君建筑韩其成/陈笑,乐建其成
2160,2020-02-26,建筑装饰午后掀涨停潮 逾10股涨停,中国经济网
2161,2020-02-26,大基建板块午后持续拉升，中国中冶、葛洲坝相继封板,Wind
2162,2020-02-26,早盘复盘：沪指涨0.3%恒指跌0.49%，传统板块纸业股、基建股热度骤升,格隆汇
2163,2020-02-26,解盘：科技股集体回调，大基建、广电系、乡村振兴、一带一路领涨,Wind
2164,2020-02-26,2月26日早盘两市机构大单抢筹40股(名单),金融界
2165,2020-02-26,基建股持续走强,证券之星
2166,2020-02-26,建筑工程板块拉升 交建股份等多股涨停,e公司
2167,2020-02-26,中字头股票异动拉升 中工国际涨停,金融界
2168,2020-02-26,快讯：大基建板块盘中走强 中国交建大涨逾8%,新浪
2169,2020-02-25,A股市场破净股一览（2月25日）,Wind
2170,2020-02-25,365只股破净银行板块破净率最高,证券时报网
2171,2020-02-25,深圳空管全力保障复工复产包机抵深,民航资源网
2172,2020-02-24,348只股破净房地产公用事业最为集中,证券时报网
2173,2020-02-24,A股市场破净股一览（2月24日）,Wind
2174,2020-02-24,中国交建：CCCI Treasure Limited发行15亿美元次级永续证券,中国网
2175,2020-02-23,国盛策略：宽货币持续 科技成长仍是阶段性主线,金融界
2176,2020-02-21,中国交建(01800.HK)15亿美元次级担保永续证券2月24日上市,格隆汇
2177,2020-02-21,中国交建(601800.SH)：不超15亿美元次级永续证券的发行工作已完成,格隆汇
2178,2020-02-21,两市破净股数量达348只（附股）,证券时报网
2179,2020-02-21,A股市场破净股一览（2月21日）,Wind
2180,2020-02-20,战“疫”在行动！交银国际持续加强金融服务支持保障力度,证券时报网
2181,2020-02-20,央企复工者联盟：打赢疫情防控阻击战和经济保卫战,中证网
2182,2020-02-20,A股市场破净股一览（2月20日）,Wind
2183,2020-02-19,截至2月19日AH股共计1只股票股价倒挂,Wind
2184,2020-02-19,A股市场破净股一览（2月19日）,Wind
2185,2020-02-19,[互动]中国交建：海外项目大部分处于施工状态,全景网
2186,2020-02-19,【建筑】行业业绩预告汇总分析--即将到来的年报披露季我们怎么看？,天风研究
2187,2020-02-18,A股市场破净股一览（2月18日）,Wind
2188,2020-02-18,371只股破净12股股价不足每股净资产一半,证券时报网
2189,2020-02-18,又一个工程局总经理调整，近期五大央企百人变动！,一带一路高参
2190,2020-02-17,中国交建成功发行15亿美元次级永续债券,中国交建
2191,2020-02-17,22.6亿元！中国交建联合体中标寿光水域治理PPP项目,中国交建
2192,2020-02-17,截至2月17日AH股共计1只股票股价倒挂,Wind
2193,2020-02-17,中菲企业联袂拿下菲2085亿机场合同,民航资源网
2194,2020-02-17,中交二航局发行全国首单疫情防控资产支持证券帮扶小微企业有序投入生产 --中国水运报数字报·中国水运网,中国水运网
2195,2020-02-16,国盛策略：再融资加速松绑 哪些行业板块最受益？,金融界
2196,2020-02-14,中信证券助力中交二航局成功簿记发行交易所市场首单疫情防控资产支持证券,中证网
2197,2020-02-14,中交二航局在上交所发行全国首单疫情防控ABS,证券时报
2198,2020-02-14,中国交建(01800.HK)附属拟发行不超15亿美元债完成定价,格隆汇
2199,2020-02-14,中国交建(601800.SH)：拟发行不超15亿美元次级永续证券 已完成定价工作,格隆汇
2200,2020-02-14,截至2月14日AH股共计1只股票股价倒挂,Wind
2201,2020-02-14,A股市场破净股一览（2月14日）,Wind
2202,2020-02-14,两市破净股数量达415只（附股）,证券时报网
2203,2020-02-13,中国交建电话会议纪要,笑谈建筑
