153,2021-10-30,北京动力源科技股份有限公司 2021年第三季度报告,证券日报
154,2021-10-30,北京银行资产规模领跑城商行,上证报
155,2021-10-30,北京银行公布三季报 前三季净利增加9.73%,新浪
156,2021-10-29,北京银行前三季度归母净利润同比增长9.73%,上证报
157,2021-10-29,贯彻新发展理念加快数字化转型 北京银行高质量发展取得新成效,环球老虎财经
158,2021-10-29,北京银行践行社会责任助力首都发展 全部完成北京115个重点项目对接,华夏时报
159,2021-10-29,北京银行前三季净利181亿增10.7%，不良率1.44%,澎湃新闻
160,2021-10-29,“聪明钱”单月狂买近60亿！万亿“宁王”彻底火了,Wind
161,2021-10-29,加快数字化转型 高质量发展取得新成效 北京银行发布2021年三季报,中国金融新闻网
162,2021-10-29,北京银行：前三季度实现归母净利润182亿元 同比增长9.73%,中证网
163,2021-10-29,北京银行：2021年第三季度净利润56亿元，同比增长10.74%,每日经济新闻
164,2021-10-29,神州信息(000555)：业绩稳中有进 金融科技战略成效明显,新浪
165,2021-10-29,北京银行：前三季度实现净利润182亿元 零售业务利润贡献同比提升6个百分点,财联社
166,2021-10-29,快讯｜北京银行：前三季度实现归母净利润181.83亿元，同比增长9.73%,财经网
167,2021-10-29,北京银行：前三季度净利润同比增长9.73%,Wind
168,2021-10-29,北京银行：前三季度实现净利润181.83亿元,资本邦
169,2021-10-29,金融助力乡村振兴，超1万家乡村小院将享普惠贷款,北京日报
170,2021-10-29,推出“万院计划” 北京银行助力乡村振兴再升级,中国金融新闻网
171,2021-10-29,绿色金融发展进入快速通道，头部金融机构积极跟进,和讯
172,2021-10-28,再收罚单！北京银行业绩增速放缓 城商行“领头羊”何去何从 金融监管处罚,新浪
173,2021-10-28,神州信息(000555)：项目收款延迟带来短期扰动 公司业务结构持续优化,新浪
174,2021-10-27,QFII最新动向！这只“新宠”大牛股，年内涨超两倍,Wind
175,2021-10-27,标普信评：个别房地产商流动性困难对银行业信用质量影响有限,微信
176,2021-10-27,北京银行党委书记、董事长张东宁：夯实企业文化底蕴 全力打造百年银行,中国网
177,2021-10-27,发改委产业发展司召开金融机构座谈会调研产业结构调整工作,Wind
178,2021-10-25,北京银行资产超3万亿，领跑城商行！六成网点在外 考验异地业务风控,时代周报
179,2021-10-25,城商行巷战26年：资产总额超40万亿，在大银行夹缝中“抢饭吃”,搜狐
180,2021-10-25,流量见顶压力开始迫近！多家银行主动出击，调整App布局,Wind
181,2021-10-25,流量见顶压力开始迫近！多家银行主动出击 调整公众号、App布局,证券之星
182,2021-10-25,流量见顶压力迫近 银行大举调整线上服务,全景网
183,2021-10-23,北京银行绿色金融中心负责人谢珣：构建绿色贷款、绿色债券、绿色供应链、绿色金融服务平台相结合的立体化服务体系,每日经济新闻
184,2021-10-22,北京银行党委副书记、行长杨书剑：把握北交所设立机遇 升级科创金融服务模式,北京银行
185,2021-10-22,北京银行绿色金融中心负责人谢珣：依托碳资产探索更加灵活的质押模式,每日经济新闻
186,2021-10-22,北京银行：坚持金融向善，做更有担当、更有温度的价值创造型银行,投资时报
187,2021-10-22,A股早报2021年10月22日星期五,Wind
