149,2021-09-26,【国金电新&汽车】能源领域深化“放管服”改革，继续积极看多光伏，乘用车金九银十仍可期，积极布局相关产业链,新兴产业观察者
150,2021-09-26,上海临港首个区块链技术安全服务站揭牌，区块链团体标准专家联合体成立,证券时报
151,2021-09-23,上海临港：到2025年年氢气自给率不低于当年需求量的30%,财联社
152,2021-09-22,上海临港发放氢能政策“大礼包” 氢燃料电池概念股有哪些（名单）,证券之星
153,2021-09-22,上海临港的氢能产业要发力了！重点发展以燃料电池为核心的科创产业,中国证券网
154,2021-09-22,1500辆氢燃料电池车、14座加氢站......上海临港发重磅规划，这些A股公司已布局,中证报
155,2021-09-22,加速奔向数字未来，通联支付携手上海临港打造“智慧园区”,中国网
156,2021-09-22,上海临港：到2025年完成1500辆氢燃料电池车辆应用,中证网
157,2021-09-22,上海临港：到2025年把临港新片区打造成为上海氢能发展先行先试区、综合示范区和产业引领区,财联社
158,2021-09-22,晶雪节能：冷链物流是公司产品的重要应用领域之一,Wind
159,2021-09-19,上海临港新片区生物医药产业十四五规划出炉！促进“优等生”实现境内外上市挂牌,中证报
160,2021-09-18,上海临港：推进新片区生物医药产业覆盖面快速扩大,中证网
161,2021-09-18,上海临港：着力解决临港新片区生物医药企业融资难问题,中证网
162,2021-09-18,上海临港：2025年末临港新片区生物医药产业规模突破500亿元,中证网
163,2021-09-17,上海临港完成发行10亿元公司债券，利率最高3.23%,乐居财经
164,2021-09-17,A股早报2021年9月17日星期五,Wind
165,2021-09-16,芯源微(688037)：定增申请获得受理 前道设备研发及扩产加速,新浪
166,2021-09-14,上海临港确定第二期公司债券票面利率最高为3.23%,乐居财经
167,2021-09-14,经参头版：“跨境理财通”推动金融市场互联互通机制再深化,Wind
168,2021-09-13,思朗科技处理器及超算芯片研发中心项目今日正式签约落地上海临港新片区,证券时报网
169,2021-09-13,上海临港拟发行不超过10亿元第二期公司债,观点地产网
170,2021-09-13,上海临港拟发行10亿元债券，用于偿还贷款及补充流动资金,乐居财经
171,2021-09-11,闻泰科技(600745)：产能产品双升级 ODM迎拐点,新浪
172,2021-09-10,闻泰科技(600745)：多业务协同发展 构建半导体为核心的大生态,新浪
173,2021-09-10,国家（上海）新型互联网交换中心试点正式获批落地临港,Wind
174,2021-09-07,缺芯潮何时结束？科技巨头加码布局自研芯片,Wind
175,2021-09-07,中芯国际(688981)重大事件快评：临港项目签框架协议 12寸成熟制程产能再加重磅,新浪
176,2021-09-06,上海临港：子公司拟参与投资上海弘盛益德基金,智通财经
177,2021-09-06,上海临港：拟合计出资1亿元投资上海弘盛益德基金 其聚焦医疗服务产业,财联社
178,2021-09-06,每日理财观察：公募酝酿创新普通混合型产品,Wind
179,2021-09-03,中芯国际暴力拉升，狂砸570亿干这事！4000亿巨头险些破发,Wind
180,2021-09-03,“芯片一哥”狂砸570亿元干大事，股价瞬间暴拉3%,Wind
181,2021-09-03,中芯国际：将在上海临港建28纳米芯片产线，总投资88亿美元,澎湃新闻
182,2021-09-03,中芯国际：有意在临港成立合资公司，规划建设产能10万片/月12英寸晶圆代工生产线,Wind
183,2021-09-03,中芯国际：根据合作框架协议，本公司和上海自贸试验区临港新片区管委会有意在上海临港自由贸易试验区共同成立合资公司，该合资公司将规划建设产能为10万片/月的12英寸晶圆代工生产线项目，聚焦于提供28纳米及,金十数据
184,2021-09-02,上海临港新片区印发绿色建筑创建行动实施方案（试行）,上证报
