,2021-12-31,中国电信携手中国信通院 深耕城市发展、产业升级和网信安全领域,--
1074,2021-08-31,距破发仅一步之遥 “绿鞋”能拯救中国电信吗？,金融投资报
1075,2021-08-30,紫光股份(000938)2021年中报点评：ICT业务稳健增长 强化芯云板块布局,新浪
1076,2021-08-30,中兴通讯(000063)2021年中报点评-运营商业务毛利率反弹 业绩高速增长,新浪
1077,2021-08-30,中国电信“智”取5G 发力工业互联网深耕智慧城市,C114通信网
1078,2021-08-30,分析称中国电信破发概率低，因此前绿鞋机制未现破发情况,阿尔法工场
1079,2021-08-30,【龙虎榜解盘】佛山系、方新侠、徐留胜跌停板买入中国电信,阿尔法工场
1080,2021-08-30,中国电信挺住了：没破发 市值重回4238亿,快科技
1081,2021-08-30,中国电信 High 卡重出江湖： 月租 69 元含 60G 流量 + 60G 云盘,IT之家
1082,2021-08-30,“绿鞋”要启动了？中国电信距离破发只差 0.06 元 市值跌破 4200 亿大关,ZAKER
1083,2021-08-30,计算机行业点评：国资云或改变云市场格局 带动产业链建设需求,新浪
1084,2021-08-30,安信证券首予中国电信买入评级：深耕云网融合业务全面转型，5G网络建设效果显着盈利能力有望持续改善，目标价5.97元,每日经济新闻
1085,2021-08-30,中国电信一代经典神卡重出江湖：60G流量,快科技
1086,2021-08-30,“绿鞋”要启动了？中国电信濒临破发：只差0.06元,和讯
1087,2021-08-30,安信证券：首予中国电信(601728.SH)“买入-A”评级 目标价5.97元,智通财经
1088,2021-08-30,破发只差8分钱，若中国电信破发，会影响大盘股IPO发行节奏吗？,搜狐
1089,2021-08-29,中国移动固网宽带不再免费，收入已与中国电信相当,Ofweek
1090,2021-08-28,中国电信距破发只差8分钱 市值蒸发超1700亿“绿鞋机制”待考,经济观察报
1091,2021-08-28,市值暴跌千亿又“阴跌”不止 中国电信还能涨回去吗？机构发话,快科技
1092,2021-08-28,一周损失1300亿市值 中国电信为何坑了A股股民？专家揭秘,快科技
1093,2021-08-28,中国电信濒启“绿鞋”破发未必不是一件好事,搜狐
1094,2021-08-27,通信行业：运营商中报靓丽 经营持续改善,新浪
1095,2021-08-27,中国电信(601728)：基本面改善的产业数字化资产重估,新浪
1096,2021-08-27,中国电信：发行价根据多因素综合确定,Wind
1097,2021-08-27,追高买进损失惨重 中国电信距离 4.53 元的发行价只差 0.1 元,ZAKER
1098,2021-08-27,追高买进损失惨重 中国电信“阴跌”：会破发吗？,快科技
1099,2021-08-27,东方电热：公司5G用通信钢（铝）复合材料的终端客户是中国移动、中国联通、中国电信,Wind
1100,2021-08-26,五天跌没1200亿市值 谁在操控中国电信股价？散户嫌隙更大,快科技
1101,2021-08-26,“绿鞋”要启动了？中国电信A股继续下跌：距离破发只差0.1元,快科技
1102,2021-08-26,市值蒸发超千亿，“绿鞋机制”能保中国电信多久？,通信世界网
1103,2021-08-26,每经热评丨中国电信“虚惊一场” A/H比价还有无参考意义,每经头条
1104,2021-08-25,别忙抄底中国电信,北京商报
1105,2021-08-25,中国电信龙虎榜数据（8月25日）,Wind
1106,2021-08-25,A股盘面说丨中国电信修正溢价 兴业证券配股打击券商板块热度,搜狐
1107,2021-08-25,中国电信接连两天一字跌停，龙虎榜公布：今日散户大战,证券之星
1108,2021-08-25,中国电信：共建共享基站每年节电 117 亿度以上,IT之家
1109,2021-08-25,中国电信：“十四五”新建5G基站节电不低于20%,财联社
1110,2021-08-25,中国电信A股今日收跌2.4%，上海游资炒作活跃,Wind
1111,2021-08-25,“绿鞋”机制回应起效 中国电信收盘微跌2.42% ：收4.83元 市值4411亿,快科技
1112,2021-08-25,两天蒸发千亿市值！中国电信发布双碳计划：给基站开“省电模式”,快科技
1113,2021-08-25,中国电信发布碳达峰、碳中和行动计划,TechWeb
1114,2021-08-25,中国电信(601728)深度研究报告：5G渗透加速+云改数转战略推进 运营商实现全面升级,新浪
1115,2021-08-25,中国电信以政企OTN精品光网，巩固政企市场地位,凤凰网
1116,2021-08-25,中国电信发布双碳行动计划 “十四五”末能耗碳排放下降23%以上,新浪
1117,2021-08-25,vivo携手中国电信共建“爱心翼站” 助力用户畅享信息时代新生活,砍柴网
1118,2021-08-25,市场要闻丨市值蒸发超900亿，中国电信缘何连续暴涨暴跌？,36氪
1119,2021-08-25,中国电信“绿鞋”回应起作用了：打破一字跌停、市值4448亿,快科技
1120,2021-08-25,四机构近2亿买入怡球资源 游资抱团抄底中国电信|龙虎榜,第一财经
1121,2021-08-25,股东户均亏超3万 中国电信股价走势引热议 亏损,北京商报
1122,2021-08-25,连续一字跌停，中国电信能借“绿鞋机制”力挽狂澜？丨一大板块,第一财经
1123,2021-08-25,亨通光电(600487)：通信与能源业务并举 关注2H21光纤涨价预期,新浪
1124,2021-08-25,不再一字跌停 中国电信股价稳住了：散户松口气,快科技
1125,2021-08-25,市值蒸发超千亿，中国电信绿鞋机制将启动？,证券之星
1126,2021-08-25,沪指开盘涨0.1% 中国电信平开,中新经纬
1127,2021-08-25,【行情】中国电信A股盘初快速走高，涨幅2.83%,金十数据
1128,2021-08-25,【行情】中国电信A股平开，此前连续两日一字跌停,金十数据
1129,2021-08-25,中国电信再跌停 千亿市值蒸发,深圳商报
1130,2021-08-25,中国电信股价连续两日“一字”跌停 连续下跌,大众证券报
1131,2021-08-25,股价连续2日“一字”跌停 中国电信回应称破发会有“接盘” 连续下跌,财富动力网
1132,2021-08-25,机构信心不足高位出逃 佛山游资重仓博弈中国电信,财富动力网
1133,2021-08-25,首飞成功！中国电信助力开启高空数字化航旅－国务院国有资产监督管理委员会,国资委
1134,2021-08-25,中国电信回应两跌停,北京青年报
1135,2021-08-24,上市三日两跌停 中国电信表示再跌就“接盘”,全景网
1136,2021-08-24,中国电信A股连续两天跌停 公司紧急回应：无应披露而未披露事项一旦破发会有行动 连续下跌,第一财经
1137,2021-08-24,上市三天两个跌停，中国电信：没大事，若破发用“绿鞋”应对,澎湃新闻
1138,2021-08-24,通信行业中期报告：通信硬科技 双碳新机遇,新浪
1139,2021-08-24,5G天线国产化加快 MIMO技术带动行业价值 5G基站建设将提速,财联社
1140,2021-08-24,连续两天“一”字跌停 股东户均亏超3万 中国电信明天会破发吗 连续下跌,北京商报
1141,2021-08-24,中国电信再度跌停 光大证券佛山绿景路、长江证券武汉武珞路均买入1亿元,金融界
1142,2021-08-24,连跌两日！千亿市值蒸发！ 中国电信还有三四个跌停！？,证券之星
1143,2021-08-24,犀牛财经晚报：163家药企半年报“张榜” 南北马自达合并在即,GPLP犀牛财经
1144,2021-08-24,中国电信连续2日跌停濒临破发，市值蒸发超千亿！运营商回A会发生变数吗？ 连续下跌,经济观察报
1145,2021-08-24,中国电信(00728.HK)A股异动 不存在未披露重大信息,格隆汇
1146,2021-08-24,中国电信(00728)A股股票交易异常波动 不存在未披露重大信息,智通财经
1147,2021-08-24,中国电信连续2日跌停，市值蒸发超1000亿！回应称：若破发将启动“绿鞋机制” 连续下跌,经济观察网
1148,2021-08-24,A股最靓的崽！中国电信连续两日一字跌停，距离破发还有多远？ 连续下跌,金融界
1149,2021-08-24,沪农商行三日破发：沪深新股表现两极分化 打新股还能稳赚不赔吗？,华夏时报
1150,2021-08-24,佛山系尾盘2亿偷袭中国电信，明天看来有想法？丨8.24龙虎榜,第一财经
1151,2021-08-24,谁在刀口舔血？中国电信连续两日跌停，佛山系游资大买逾1亿 连续下跌,第一财经
1152,2021-08-24,中国电信连续两日一字跌停 还有三至四个跌停？官方回应 连续下跌,财联社
1153,2021-08-24,中国电信连续跌停 龙虎榜数据公布：散户出逃游资抄底 连续下跌,证券之星
1154,2021-08-24,通鼎互联(002491.SZ)预中标中国电信馈线及配件产品集采项目,智通财经
1155,2021-08-24,中国电信龙虎榜数据（8月24日）,Wind
1156,2021-08-24,中国电信连续两日一字跌停！官方：不存在应披露而未披露的重大信息,快科技
1157,2021-08-24,金融街下午茶2021年8月24日星期二,Wind
1158,2021-08-24,中国电信2跌停！佛山系游资大买1亿 刀口舔血？,凤凰网
1159,2021-08-24,中国电信连续两日跌停，游资净买入2.15亿元，机构和北向资金抢筹多氟多等3股（名单） 连续下跌,21世纪经济报道
1160,2021-08-24,连续两日一字跌停！中国电信紧急澄清：我是清白的 连续下跌,快科技
1161,2021-08-24,A股市场最大的“骗局”竟然是它,证券之星
1162,2021-08-24,（更新2）【龙虎榜解盘】佛山系、方新侠、徐留胜跌停板买入中国电信,阿尔法工场
1163,2021-08-24,大涨追着买，跌停抢着卖！中国电信被“散户”玩坏了？,财联社
1164,2021-08-24,龙虎榜：中国电信连续两跌停 光大证券佛山绿景路营业部买入逾1亿元,e公司
1165,2021-08-24,中国电信：经公司自查并书面询证公司控股股东中国电信集团有限公司，截至本公告披露日，不存在应披露而未披露的重大信息,金十数据
1166,2021-08-24,中国电信A股：连续跌停、股价异动，无应披露而未披露事项,Wind
1167,2021-08-24,当前最大压力表面是技术，实质是信心！,中金在线
1168,2021-08-24,股市动态 | 三线收红！有色金属收获大涨，中国电信再吃跌停，38亿资金继续挣扎,财经网
1169,2021-08-24,中国电信A股上市，股价大反转连续三日跌停，市值缩水超千亿 连续下跌,奥一网
1170,2021-08-24,沪指站上3500点，医药股也反弹！恒生科技暴涨7%，腾讯快手美团涨疯了,中国基金报
1171,2021-08-24,中国电信A股再度跌停，两券商营业部均买入超亿元,Wind
1172,2021-08-24,市场综述：京东快手美团涨疯了！法拉第未来“秀肌肉”,老虎证券
1173,2021-08-24,中国电信两日跌停 损失900亿 散户追高被套：大骂“电信诈骗”,快科技
1174,2021-08-24,"""电信诈骗""刷屏，300万股民傻眼了，两天户均亏3万",Wind
1175,2021-08-24,"蒸发千亿！""电信诈骗""刷屏，300万股民傻眼了，两天户均亏3万！港股彻底沸腾，恒生科技暴涨7%，腾讯快手美团涨疯了 亏损",中国基金报
1176,2021-08-24,8月24日两市散户抢筹的50只个股,证券之星
1177,2021-08-24,收评：A股三大股指全线收涨 白酒、CRO回暖,证券之星
1178,2021-08-24,连续两天一字跌停 网友直呼“诈骗”！中国电信表示再跌就“接盘” 连续下跌,财联社
1179,2021-08-24,A股5000多亿巨头上市3天2跌停，市值蒸发900亿！回应：有绿鞋机制,前瞻网
1180,2021-08-24,5000亿中国电信连续2日一字跌停！市值蒸发1059亿，网友：中了个签，天天跌停，中了个寂寞 连续下跌,经济网
1181,2021-08-24,刚刚，中国电信再度一字跌停，1000亿市值蒸发，300万股民懵了，公司紧急回应：一旦破发会有行动,每日经济新闻
1182,2021-08-24,国盛证券：首予中国电信(601728.SH)“买入”评级 回A上市上调股息 估值空间有望打开,智通财经
1183,2021-08-24,【国君通信|2021半年报点评】天孚通信：海外增长迅猛，外延拓宽新领域,微信
1184,2021-08-24,分析称中国电信破发概率低，因此前绿鞋机制未现破发情况,阿尔法工场
1185,2021-08-24,3天2跌停！巨无霸暴跌900亿 1000万手卖单排队逃跑,e公司
1186,2021-08-24,刚刚！5000亿中国电信又跌停，公司紧急回应…酿酒、新能源、医药集体爆发，沪指重上“牛熊分界线”,证券时报
1187,2021-08-24,【财联社午报】两市指数持续反弹！天然气概念股上演涨停潮 军工股集体调整,财联社
1188,2021-08-24,超级巨无霸暴跌900亿，近1000万手卖单排队逃跑！上市3天2跌停，公司回应,证券时报
1189,2021-08-24,上市3天2跌停，中国电信回应：跌破发行价要采取行动,e公司
1190,2021-08-24,中国电信A股连续两日一字跌停 回应称若破发将采用“绿鞋机制” 连续下跌,中国经济网
1191,2021-08-24,就在刚才，中国电信表示再跌就“接盘”，电信“诈骗”要结束了？,财联社
1192,2021-08-24,A 股午评：指数早盘高位震荡 燃气水务板块涨幅居前,ZAKER
1193,2021-08-24,上市第二日再次跌停，中国电信回应：或准备出手！,证券之星
1194,2021-08-24,中国电信回应股价波动：理性看待，若破发将采用“绿鞋机制”,C114通信网
1195,2021-08-24,8月24日午盘主力巨资抢筹四大板块(附股),金融界
1196,2021-08-24,一期送电 三期封顶 5万机架的中国电信京津冀大数据基地新进展,中国IDC圈
1197,2021-08-24,300万股东泪目！5000亿“巨无霸”中国电信连续2日一字跌停，市值蒸发1059亿 连续下跌,和讯
1198,2021-08-24,财报背后的3巨头：没有诗和远方，唯有硬战一场,36氪
1199,2021-08-24,国盛证券首予中国电信买入评级：乘5G东风，世界一流运营商再启高速增长,每日经济新闻
1200,2021-08-24,"中国电信回应连吃跌停：理性看待，若破发将采用""绿鞋机制""。 连续下跌",财联社
1201,2021-08-24,inNews：韩国化妆品店去年倒闭近三成 LVMH全品牌正式直播,联商网
1202,2021-08-24,5000亿“巨无霸”连续2日一字跌停，市值蒸发1059亿，300万股东泪目！啥情况？ 连续下跌,每日经济新闻
1203,2021-08-24,中国电信A股连续第二个交易日一字跌停 连续下跌,中国财富网
1204,2021-08-24,【异动股】电信运营板块下挫，中国电信(601728.CN)跌10.0%,财华社
1205,2021-08-24,日媒称缺芯使中国5G建设放缓 真的吗？,观察者网
1206,2021-08-24,8月24日早盘主力巨资抢筹四大板块(附股),金融界
1207,2021-08-24,一带一路合作稳步推进,中国贸易报
1208,2021-08-24,奈雪的茶深夜回复市监总局通报！中国电信跌上热搜！,搜狐
1209,2021-08-24,中国电信连续两日一字跌停，总市值蒸发逾1000亿，当前封单超950万手 连续下跌,金融界
1210,2021-08-24,冰火两重天！A股高开超千股上涨，中国电信再跌停！卖单超800万手,中新经纬
1211,2021-08-24,中国电信连续两日一字跌停，市值蒸发超 900 亿元 连续下跌,ZAKER
1212,2021-08-24,【招商通信余俊团队】天孚通信（300394.SZ）业绩符合预期，高强度研发剑指未来新市场,俊Sir通信研究
1213,2021-08-24,中国电信再度跌停开盘,金融界
1214,2021-08-24,每经10点丨中国电信连续第二日跌停，工业母机概念多股涨停；传恒大与越秀洽谈出售恒大香港总部，越秀地产回应,每日经济新闻
1215,2021-08-24,中国电信二连跌停，股价何时企稳？,证券之星
1216,2021-08-24,中国电信：上半年资本开支减少主要还是为了把控投资进度,财联社
1217,2021-08-24,中国电信二连板 离破发只差一个跌停,第一财经
1218,2021-08-24,中国电信连续两日一字跌停，封单仍有近600万手,Wind
1219,2021-08-24,三大运营商持续推进5G建设脚步，资本开支集中于下半年,C114通信网
1220,2021-08-24,中国电信上市次日一字跌停，一天蒸发550亿，破发概率有多大？,腾讯网
1221,2021-08-24,财经早报：央行释放重要信号加大信贷支持力度 1新股今日申购,新浪
1222,2021-08-24,中国电信会否“上市即巅峰”,金融投资报
1223,2021-08-24,用友网络(600588)：云转型取得丰硕成果,新浪
1224,2021-08-24,仅上市两日的中国电信“大起大落”：1000万手封单跌停板 55亿资金被困,券商中国
1225,2021-08-24,中国电信为啥“一”字跌停,北京商报
1226,2021-08-24,玩的就是心跳？1000万手封单跌停板，中国电信跌上热搜！55亿资金被困，百万股东瑟瑟发抖？,券商中国
1227,2021-08-23,一字跌停，55亿元封单额，中国电信合理价位在哪？,上游新闻
1228,2021-08-23,首日涨停、次日跌停，但股价不影响中国电信基本面,搜狐
1229,2021-08-23,上市第二日跌停! 超1000万手封单牢牢封住，中国电信会不会破发？,金融界
1230,2021-08-23,中国电信上市次日跌停 散户被坑：人均亏损1.8万 亏损,快科技
1231,2021-08-23,“血崩”1.3万亿：茅台半年跌掉一个招行 千亿顶流基金业绩竟垫底,第一财经
1232,2021-08-23,中国电信逆势跌停上热搜！封单罕见千万手，A股价格远高于港股,华夏时报
1233,2021-08-23,共建网上丝绸之路 发展数字新基建 中国电信揭牌两个中心、发布两大平台,C114通信网
1234,2021-08-23,中国电信刘桂清：发挥云网融合优势推进“东数西算”工程,C114通信网
1235,2021-08-23,中国电信上市次日一字跌停 大波散户入坑 拟募560亿的中国移动瑟瑟发抖,金融投资报
1236,2021-08-23,“玩的就是心跳？”中国电信回A次日便跌停，市值蒸发超550亿！,国际金融报
1237,2021-08-23,中国电信市值一天缩水500亿元 专家称短期破发可能性不大,证券日报网
1238,2021-08-23,2分钟读财报 | 中国移动拟募560亿超中国电信，三大运营商会师A股影响几何？,新浪
1239,2021-08-23,【热点零距离】中国电信（601728.SH）A股一字板跌停！封单金额高达55亿元,财华社
1240,2021-08-23,中国电信“回A”次日一字跌停，主力资金大幅抛售超6.5亿元,第一财经
1241,2021-08-23,中国电信大涨大跌点燃股吧，明天能否抄底买点呢？,上游新闻
1242,2021-08-23,股指观点：TAPER如果没有政策对冲，A股难以改变结构性熊市,天风期货研究所
1243,2021-08-23,数字乡村绘新颜：天翼数字生活公司用科技打造乡镇治理“智慧之路”,砍柴网
1244,2021-08-23,股市动态 | 高端制造定调成新方向，55亿资金被困中国电信,财经网
1245,2021-08-23,割肉都没机会！5000亿巨头开盘就跌停，户均亏损近2万！逾800万手卖单排队“出逃”，股民：又是出道即巅峰？,雪球
1246,2021-08-23,电信推全新品牌：1000M宽带、一人办卡全家用,快科技
1247,2021-08-23,中国电信上市次日一字跌停，市值缩水超550亿，户均亏损1.8万,AI财经社
1248,2021-08-23,中国电信A股一字跌停，上市首日收涨34.88%,搜狐
1249,2021-08-23,从“旱地拔葱”到一字跌停 谁在操纵中国电信股价？,新浪
1250,2021-08-23,【AH互动】中国电信H股(00728)跌3.23% A股上市翌日跌停,和讯
1251,2021-08-23,上市次日，中国电信缩水超550亿元，16.7亿资金排队出逃，投资者户均亏损近2万！,新浪
1252,2021-08-23,三大运营商支出下滑 中国5G建设放缓了吗？,观察者网
1253,2021-08-23,近千万手封单压盘，中国电信一字跌停,阿尔法工场
1254,2021-08-23,万万没想到！800多万手封单，45亿资金排队出逃，通讯巨头开盘突然跌停！,中证报
1255,2021-08-23,互联网行业简评报告：用户增长迅猛 社区生态繁荣 广告单季收入突破十亿大关,新浪
1256,2021-08-23,暴力反弹 创业板大涨2% 3000亿医药茅却创两年新低,证券时报
1257,2021-08-23,暴力反弹！创业板大涨2%，双创50爆发，3000亿“医药茅”却创两年新低，新股破发也来！后市咋看？,证券时报
1258,2021-08-23,通讯巨头突然跌停，户均亏损近2万！筹码连续集中股来了，12股业绩持续高增长,e公司
1259,2021-08-23,【异动股】中国电信(00728.HK)跌3.23%,财华社
1260,2021-08-23,时代投研IPO市场周报第42期 | 三大运营商将齐聚A股，5G通信板块引关注,时代在线
1261,2021-08-23,传媒行业一周观点：头部公司业绩符合预期 股价承压受监管及情绪影响,新浪
1262,2021-08-23,600万手封单！5000亿中国电信跌停，近200亿资金被埋,搜狐
1263,2021-08-23,天翼云携手中阿博览会为数字经济注入新活力,凤凰网
1264,2021-08-23,上市次日，中国电信 A 股跌停,IT之家
1265,2021-08-23,华泰联合证券助力运营商龙头中国电信回归A股，打造近十年规模最大IPO,华泰联合证券
1266,2021-08-23,中国电信A股开盘跌停 16.66亿资金排队出逃,每日经济新闻
1267,2021-08-23,运营商2021半年报：量质齐增 集体回暖,中国IDC圈
1268,2021-08-23,又一巨无霸启动回A，中国移动拟募560亿超中国电信，三大运营商有何优劣？,财联社
1269,2021-08-23,电信一字跌停，散户们又成“接盘侠”？,证券之星
1270,2021-08-23,三大运营商成功会师A股，如何把握港股回A投资机会？,新浪
1271,2021-08-23,超200万手卖单封板 中国电信开盘跌停,第一财经
1272,2021-08-23,中国电信一字跌停首日上涨34.88% 华北制药一度跌停,证券时报网
1273,2021-08-23,通信行业周报：亿联网络新增长曲线兑现 中瓷电子认可度显着提升,新浪
1274,2021-08-23,【异动股】电信运营板块低开，中国电信(601728.CN)跌9.98%,财华社
1275,2021-08-23,中国电信开盘跌停 公司上周五上市首日涨超34%,新浪
1276,2021-08-23,开盘：A股三大股指集体高开沪指涨0.28%，中国电信跌停,金融界
1277,2021-08-23,快讯：中国电信竞价跌停,财联社
1278,2021-08-23,普冉股份今日科创板首秀有望挑战“一签十万”，400岁张小泉、“中国黄金第一家”和“油条第一股”本周申购,21世纪经济报道
1279,2021-08-23,三大运营商7月份运营数据：5G成增长“动力担当”用户规模破5亿,C114通信网
1280,2021-08-23,买5G手机不开5G？运营商说：不行！,新浪
1281,2021-08-23,08.23股市早8点丨至暗时刻亦是见底光景,中金在线
1282,2021-08-23,通信本周专题：从派息率和子公司独立分拆上市重新审视运营商投资价值,新浪
1283,2021-08-23,中国电信上市，三大运营商将会师A股,新浪
1284,2021-08-23,电信三巨头“会师”A股,国际金融报
1285,2021-08-23,智通A股龙虎榜统计|8月20日,智通财经
1286,2021-08-23,压制因素暂多,每日经济新闻
1287,2021-08-22,浙商张建民||运营商:1-7月增长8.7%，继续推荐,微信
1288,2021-08-22,【华西通信|周专题】运营商半年报总结：积极把握5G升级趋势，加速推进行业价值链下沉，边界外延,香农圆桌沙龙
1289,2021-08-22,股民狂欢！下周A股将有10只新股申购，这只半导体“肉签”6万市值顶格申购，400年中华老字号也要上市了,每日经济新闻
1290,2021-08-22,【招商通信余俊团队】详解三大运营商半年报：基本面持续向好，下半年Capex有望加速推进——招商通信周周谈（2021年第34周）,俊Sir通信研究
1291,2021-08-22,我国三大电信运营商业绩半年报出炉 收入增速创新高,央视
1292,2021-08-22,三大运营商公布最新财报：5G用户数近5亿,中关村在线
1293,2021-08-22,IPO参考周报|中国电信A股上市 第四范式冲刺港交所,GPLP犀牛财经
1294,2021-08-22,三大运营商将齐聚A股，5G成投资重点,TechWeb
1295,2021-08-22,【国君通信|2021半年报点评】数据港：业绩基本符合预期，完善首都经济圈布局,微信
1296,2021-08-22,中国电信国家一体化大数据中心（宁夏?中卫）节点揭牌,IT之家
1297,2021-08-21,招商证券助力中国电信回归登陆A股 成就近十年A股市场最大规模IPO,微信
1298,2021-08-21,中国联通(600050)：全面数字化转型 营收利润提速增长,新浪
1299,2021-08-21,中国电信登陆A股首日大涨,羊城晚报
1300,2021-08-21,A股电信运营商添新丁 中国电信首秀股价险破发,大众证券报
1301,2021-08-21,运营商云业务增速“破百” 公有云“座次争夺战”升级,新浪
1302,2021-08-21,【IPO】中国电信今日在上交所上市：三大电信运营商齐聚A股,上证报
1303,2021-08-21,近十年A股最大IPO 中国电信回A首日收涨34.88%,证券日报
1304,2021-08-20,中国电信回A首秀：破发边缘拉涨34.88％ 绿鞋机制或起到一定效果,第一财经
1305,2021-08-20,区域金融要参丨中国电信首日上市收涨34%，有银行却在上市次日跌停,21世纪经济报道
1306,2021-08-20,中国电信上市首日股价大涨34.88% 三大运营商将齐聚A股,中国商报
1307,2021-08-20,首飞成功！机上高速上网时代来临 中国电信携手中国东航开启数字化航旅,证券日报网
1308,2021-08-20,沪深A股联袂走低 大盘新股“抽血”效应显现 中报密集披露期谨防个股“见光死”,大众证券报
1309,2021-08-20,飞机上高速上网不是梦 空中Wi-Fi速率可达220Mbps,快科技
1310,2021-08-20,中国电信上市涨35% 卖出前5名营业部里4家为机构席位,中国经济网
1311,2021-08-20,侃财丨人心散了，队伍就不好带了,证券时报
1312,2021-08-20,高速网络航班首飞网速近似地面 电信空地云专网三季度完成,新浪
1313,2021-08-20,驱动晚报：中国电信A股上市首日大涨34.88% 总市值超五千亿人民币,驱动中国
1314,2021-08-20,酒药“双雄”变“双熊”！茅台市值跌破2万亿，恒瑞医药股价腰斩，外资为何奔逃？,华夏时报
1315,2021-08-20,近10年A股最大IPO，中国电信（601728.SH）上市首日暴涨近35%成交破200亿元,财华社
1316,2021-08-20,医疗白酒集体重挫，创业板大跌2.61%北向资金流出逾百亿,财华社
1317,2021-08-20,三大运营商齐聚A股 中国电信要唱几场“大戏”？,新浪
1318,2021-08-20,中国移动即将“回A”，值不值得买？,36氪
1319,2021-08-20,水皮：【谈股论金】酒是用来喝的，不是用来炒的,华夏时报
1320,2021-08-20,【主力资金】主力逆市买入这些股，通讯巨头获超49亿资金杀入,证券时报网
1321,2021-08-20,龙虎榜丨上市首日涨超34%！近8亿资金抢筹中国电信，抛售这些个股（名单）,21世纪经济报道
1322,2021-08-20,中国电信“玩心跳”：“散户军团”踊跃接盘 4机构净卖出超4亿,财联社
1323,2021-08-20,中国电信龙虎榜数据（8月20日）,Wind
1324,2021-08-20,上市首日拉萨军团爆买，机构却清一色狂卖，巨头也被看空？,证券之星
1325,2021-08-20,中国电信A股上市 市值突破5000亿 拥有数据中心超700个,中国IDC圈
1326,2021-08-20,中国电信A股上市收涨超34% 白酒、医药概念股遭重挫,中新网
1327,2021-08-20,犀牛财经晚报：中国电信亮相A股 恒瑞医药回应“裁员”传闻,GPLP犀牛财经
1328,2021-08-20,【奥一读股市】狂涨34.88%！穿着“绿鞋”滑进A股舞场，超级巨无霸中国电信身轻如燕赢得满堂彩,奥一网
1329,2021-08-20,港交所：由9月3日起，上海证券交易所上市的中国电信将加入中华通证券名单,Wind
1330,2021-08-20,白酒大跌上热搜 股民：请珍惜1500元的茅台,中证报
1331,2021-08-20,中国电信今日A股上市 拥有数据中心超700个,搜狐
1332,2021-08-20,午盘解读：A股三大指数走势分化 电信运营板块涨幅居前,新浪
1333,2021-08-20,中国电信A股首秀即坐过山车：从濒临破发到涨停，弃购投资者“哭晕在厕所”,21世纪经济报道
1334,2021-08-20,港交所：2021年9月3日起，上海证券交易所上市的中国电信将加入中华通证券名单，中华通证券名单的总数将会是588只,金十数据
1335,2021-08-20,中国电信回A股首日收涨34.88% 总市值超4000亿元,新快报
1336,2021-08-20,5500亿“巨无霸”今日首秀大涨35%，四机构卖出4.69亿元！中一签可赚1580元，你买了吗？,每日经济新闻
1337,2021-08-20,11年来A股最大IPO，中国电信挂牌上市，一度涨超40%,搜狐
1338,2021-08-20,中国电信收涨34.88%，四机构合计卖出4.69亿元，招商证券一营业部买入4.25亿元,上游新闻
1339,2021-08-20,中国电信：7月公司5G套餐用户数净增706万户、移动用户数净增213万户,Wind
1340,2021-08-20,中国电信回A首日大涨近35%，四机构卖出4.7亿元，一游资大举买入,第一财经
1341,2021-08-20,全球股市恐慌下跌 市场在担心什么？下周怎么走？,中金在线
1342,2021-08-20,五粮液今日大跌7.31%，盘中市值跌破8000亿，已被比亚迪超过,资本邦
1343,2021-08-20,电信上市大涨，各大指数纷纷跳水，怎么看？,中金在线
1344,2021-08-20,中国电信收涨近35% 四机构卖出4.69亿元,第一财经
1345,2021-08-20,中国电信A股上市首日大涨34.88%：市值暴增超1000亿元,快科技
1346,2021-08-20,中国电信(00728.HK)7月5G套餐用户净增706万户,格隆汇
1347,2021-08-20,全球恐慌下跌：利空共振A股重挫 下周还有大风暴？,新浪
1348,2021-08-20,中国电信首日涨35% IPO募470.9亿六券商赚3.15亿,中国经济网
1349,2021-08-20,中国电信A股正式挂牌上市，盘中涨超16%，市值超4800亿元,36氪
1350,2021-08-20,龙虎榜|中国电信收涨34.88% 四机构卖出4.69亿元,财联社
1351,2021-08-20,“巨无霸”上市首日暴涨！“喝酒吃药”惨跌：3000亿医药白马跌停，千亿级基金经理一日浮亏近6亿，发生了什么？,每日经济新闻
1352,2021-08-20,中国电信A股首秀收涨34.88%，四机构卖出4.69亿元,Wind
1353,2021-08-20,破发？没门！中国电信上市首日一度涨停,格隆汇
1354,2021-08-20,收评：N电信收涨34.88%盘中触及涨停 全日成交额居A股之首,中华网
1355,2021-08-20,中国电信(601728.SH)7月5G套餐用户数净增706万户,智通财经
1356,2021-08-20,机构跌哭了！两则大消息引发惨案：白酒崩了，医药也崩了，外资两天出逃200亿！股民：哪有什么赛道股，无非是哪个先被揍！无效上班火了,中国基金报
1357,2021-08-20,中国电信上市首日大涨近35% 巨无霸中国移动也要来了,证券之星
1358,2021-08-20,中国电信：7月5G套餐用户数为13821万户,e公司
1359,2021-08-20,破发？没门！中国电信上市首日一度飙涨40%,格隆汇
1360,2021-08-20,中国电信上交所主板上市 首日收涨34.88%,中证网
1361,2021-08-20,【每日收评】北向资金连续两日净流出逾百亿！两市指数皆跌超1% 大消费板块成重灾区,财联社
1362,2021-08-20,中国电信股价首日上涨34.88% 成交额超200亿元,C114通信网
1363,2021-08-20,中国电信完成542亿人民币IPO上市融资,亿邦动力
