94,2021-10-31,券商资管公募业务分化加剧：最高规模2500多亿元，最低的不足1亿元！两只领跑产品均押注新能源赛道！,每日经济新闻
95,2021-10-31,主力究竟爱谁？这些个股筹码正在快速集中,Wind
96,2021-10-30,又见券商回购自家股份，“牛市旗手”布局机会到了？,Wind
97,2021-10-30,赚翻了！40家券商盈利排名来了,Wind
98,2021-10-29,中银证券第三季度净利润增长18.04%至3.28亿,资本邦
99,2021-10-29,A股共发生170宗大宗交易成交31.21亿元（10月29日）,Wind
100,2021-10-29,"中银证券现4笔大宗交易 共成交1,132.88万元",新浪
101,2021-10-29,中银证券今日大宗交易成交98万股，成交价11.56元折价12.95%,Wind
102,2021-10-29,光伏大跳水，2300亿白马重挫11%！消费股大反攻,Wind
103,2021-10-29,快讯：中银证券涨停 报于13.82元,金融界
104,2021-10-29,中银证券首板，第三季度净利润同比增长18.04%,Wind
105,2021-10-29,券商板块快速反弹，中银证券、中信证券涨超5%,36氪
106,2021-10-29,券商板块表现抢眼 中银证券拉升涨超7%,上证报
107,2021-10-29,快讯：券商股快速反弹 中银证券拉升涨超7%,新浪
108,2021-10-29,瑞丰新材：中欧基金管理有限公司、中银国际证券股份有限公司等27家机构于10月26日调研我司,证券之星
109,2021-10-29,利和兴：中信建投证券、中银证券等4家机构于10月26日调研我司,证券之星
110,2021-10-28,中银证券第三季度业绩“报喜” 能否挽救股价颓势？,中新经纬
111,2021-10-28,中银证券公布三季报 前三季净利增加11.21%,新浪
112,2021-10-28,中银证券第三季度净利润增长18%,上证报
113,2021-10-28,图解中银证券三季报：第三季度单季净利润同比增18.04%,证券之星
114,2021-10-28,交卷！中银证券：2021年第三季度净利润约3.28亿元，同比增长18.04%,每日经济新闻
115,2021-10-28,中银证券：前三季度净利润同比增长11.21%,Wind
116,2021-10-28,中银证券资管斩获四项君鼎大奖,凤凰网
117,2021-10-28,"中银证券现1笔大宗交易 共成交15,547.91万元",新浪
118,2021-10-28,中银证券今日大宗交易成交1333.44万股，成交价11.66元折价7.17%,Wind
119,2021-10-28,中银国际证券股份有限公司,资本邦
120,2021-10-28,中银国际证券股份有限公司 关于延长中银证券内需增长混合型证券 投资基金募集期的公告,证券日报
121,2021-10-28,傍大款谋发展：中小券商使出浑身解数应对融资难,Wind
