,2021-12-31,东方雨虹：公司会根据战略发展规划、市场需求及现有产能布局等因素合理安排产能投放计划,每日经济新闻
1974,2021-01-08,北向资金动向盘点：不追逐热点，不逢高减磅,Wind
1975,2021-01-08,北向资金继续抛售白酒股，净卖出五粮液8.35亿元，增持电子元件（附股）,21世纪经济报道
1976,2021-01-07,总市值突破1000亿 东方雨虹在2021伊始站在了历史的新起点,乐居财经
1977,2021-01-07,建材行业近期市场点评：定价权带来高溢价 继续推荐细分龙头,新浪
1978,2021-01-07,千亿迎开门红！东方雨虹正式迈入千亿市值俱乐部,搜狐
1979,2021-01-06,千亿市值东方雨虹陷“伪造”风波 欺诈造假,乐居财经
1980,2021-01-06,过千亿市值的东方雨虹造假获奖？ 组委会回应只上榜、未申奖 欺诈造假,Wind
1981,2021-01-06,海螺水泥涨近8%，建材板块继续走升,Wind
1982,2021-01-06,东方雨虹持续走强 股价创历史新高,证券时报网
1983,2021-01-05,千亿防水材料龙头大瓜！东方雨虹被指伪造“2020年中国百强企业奖”获奖证明 欺诈造假,和讯
1984,2021-01-05,建材、建筑行业定期报告：传统建材库存去化明显，继续推荐消费建材龙头，维持“推荐”评级,招商证券
1985,2021-01-05,建筑材料行业周报：玻璃超预期涨价 玻璃玻纤消费建材有望“春季躁动”,广发证券
1986,2021-01-04,【天风新材料20210104】璞泰来投资5亿元成立四川紫宸，加码锂电负极材料,煤炭鑫观点
1987,2021-01-04,东方雨虹(002271.SZ)：拟在南昌市新建区设子公司及建江西生产基地项目,格隆汇
1988,2021-01-04,东方雨虹(002271.SZ)：拟投资9亿元建山东区域总部项目及绿色建材生产基地项目,格隆汇
1989,2021-01-04,建材行业周观点：政策进一步优化水泥格局 玻纤玻璃库存低位支撑价格高位,新浪
1990,2021-01-04,建材行业周报：逐步进入淡季 布局顺周期,新浪
1991,2021-01-04,建材Ⅲ周观点：年末估值切换 关注低估值绩优股,新浪
1992,2021-01-04,建筑材料行业：玻璃玻纤库存探底 21年供给新增有限,新浪
1993,2020-12-31,12月31日午间重要公告集锦,上证报
1994,2020-12-31,北京东方雨虹防水拟投资10亿在郑州建设绿色建筑新材料生产基地,机电之家
1995,2020-12-31,东方雨虹拟10亿元投建郑州生产基地 优化产能分布,上证报
1996,2020-12-31,东方雨虹：拟投资10亿元建设东方雨虹绿色建筑新材料生产基地,中证网
1997,2020-12-31,[快讯]东方雨虹获“景show前程”活动“最佳企业形象短片”奖,全景网
1998,2020-12-31,午间公告2020年12月31日星期四,Wind
1999,2020-12-30,北新建材（000786.SZ）的调整结束了？,格隆汇
2000,2020-12-29,建材行业周报：如何看待玻璃深加工企业提前放假,新浪
2001,2020-12-29,十四五规划系列之一：需求侧改革：消费循环的堵点与短板在哪？,新浪
2002,2020-12-28,建筑材料行业周报：重点提示竣工链的投资机会,新浪
2003,2020-12-28,东方雨虹荣获绿地香港供应商“2020年度最佳战略合作奖”,新浪
2004,2020-12-28,广东东方雨虹、孚达保温在广州花都隆重举行工程奠基仪式,新浪
2005,2020-12-28,长城建材-建材行业周观点：2020年房地产产业链战略供应商研究报告发布,高材疾足
2006,2020-12-27,【方正制造α研究团队】核心资产周观察（第四十一期）,方正证券
2007,2020-12-25,东方雨虹(002271.SZ)回购注销限制性股票551.26万股,智通财经
2008,2020-12-25,东方雨虹与湖南邵阳经开区签订7亿元新材料生产项目,乐居财经
2009,2020-12-25,东方雨虹：拟投资7亿元建设东方雨虹新材料生产项目,中证网
2010,2020-12-25,午间公告2020年12月25日星期五,Wind
2011,2020-12-25,午间公告：华工科技实控人将变更为武汉市国资委；东方雨虹拟7亿元投建新材料生产项目,e公司
2012,2020-12-25,东方雨虹(002271.SZ)：拟斥7亿元在邵阳经开区投建新材料生产项目,格隆汇
2013,2020-12-25,东方雨虹(ORIENTAL YUHONG)两大盛事，圆满落幕,新浪
2014,2020-12-24,东方雨虹(ORIENTAL YUHONG)与巴斯夫开展技术交流活动,新浪
2015,2020-12-24,东方雨虹半年内累计投资高达161.5亿元,中国房地产网
2016,2020-12-24,建材行业周报：限电不改水泥淡旺季交接趋势,新浪
2017,2020-12-23,东方雨虹(002271.SZ)：实控人李卫国解除质押134.7417万股,格隆汇
2018,2020-12-23,东方雨虹与济南天桥区人民政府举行《合作框架协议》签约仪式,新浪
2019,2020-12-22,建材周报：真空绝热板2项国家标准批准发布 规范行业发展,新浪
2020,2020-12-22,2020匠心品牌评选结果发布，东方雨虹入选并被收录系统,新浪
2021,2020-12-22,普陀区人民政府、临港集团与东方雨虹集团战略合作签约仪式,新浪
2022,2020-12-22,东方雨虹获评首批品牌评价国际/国家标准应用示范单位,新浪
2023,2020-12-22,中建八局华北公司与东方雨虹(ORIENTAL YUHONG)达成品牌战略合作,新浪
2024,2020-12-22,东方雨虹拟20亿投建江西生产基地项目 多股有望持续上涨,巨丰财经
2025,2020-12-22,建材Ⅲ周观点：玻璃产能置换边际放松 玻纤整合失败不改趋势向上,新浪
2026,2020-12-21,建材行业周观点：库存大幅下降 政策不改2021年偏紧格局,新浪
2027,2020-12-21,晚间重要公告2020年12月21日星期一,Wind
2028,2020-12-21,晚间公告｜12月21日这些公告有看头,第一财经
2029,2020-12-21,东方雨虹(002271.SZ)拟斥9亿元投建山东区域总部及绿色建材生产基地项目,智通财经
2030,2020-12-21,东方雨虹：拟投资9亿元建设山东区域总部及绿色建材生产基地项目,Wind
2031,2020-12-18,东方雨虹(002271.SZ)收到证监会行政许可申请受理单,智通财经
2032,2020-12-18,中国生态环境部副部长赵英民一行调研咸阳东方雨虹,新浪
2033,2020-12-18,建筑材料行业研究：施工景气进一步支持竣工回升,新浪
2034,2020-12-17,“狙击手”交银施罗德王崇,证券之星
2035,2020-12-17,东方雨虹“建筑e院”入编“工业APP和信息消费大赛”优秀项目集,新浪
2036,2020-12-17,东方雨虹(ORIENTAL YUHONG)&瓦克化学举办第七届“创新日”活动,新浪
2037,2020-12-16,非金属建材行业12月投资策略：淡季运行无忧 玻璃高景气有望延续,新浪
2038,2020-12-16,东方雨虹协办2020年防水材料检测与质量提升交流会,新浪
2039,2020-12-16,东方雨虹(ORIENTAL YUHONG)荣获“2019-2020年度受尊敬企业”称号,新浪
2040,2020-12-15,2021年建材行业年度策略：新结构 新机遇,新浪
2041,2020-12-15,建材周报：明年玻纤行业需求全球增速水平有望在5%-6% 中国预计继续维持10%以上增速,新浪
2042,2020-12-15,建筑材料行业周报：玻璃持续涨价 南方旺季延续,新浪
2043,2020-12-14,建筑材料行业跟踪周报：制造业链条修复趋势明显 玻璃持续走强,新浪
2044,2020-12-14,建筑材料行业周报：关注顺周期玻纤板块和出口链条相关品类,新浪
2045,2020-12-11,21年年度建材／建筑投资策略：强周期继续高景气 关注B端建材经营质量,新浪
2046,2020-12-11,中国建筑防水协会青年企业家走进芜湖东方雨虹参观交流,新浪
2047,2020-12-11,东方雨虹亮相2020美好生活新消费高峰论坛 斩获两项荣誉,新浪
2048,2020-12-11,东方雨虹亮相首届全国职业技能大赛,新浪
2049,2020-12-10,上海市金山区副区长何冬宾一行调研上海东方雨虹,新浪
2050,2020-12-09,为来年谋篇布局，机构重新聚焦成长板块,Wind
2051,2020-12-08,建筑材料行业2021年投资策略报告：拥抱顺周期 寻找Α机会,新浪
2052,2020-12-08,锦州东方雨虹(ORIENTAL YUHONG)年产4万吨沥青涂料生产线试机成功,新浪
2053,2020-12-08,中信建投2021年建材投资策略展望：拥抱顺周期，寻找α机会,中信建投证券研究
2054,2020-12-07,东方雨虹(002271.SZ)及子公司上海技术拟对外提供不超6000万元担保 大额借贷担保,智通财经
2055,2020-12-07,建筑材料行业跟踪周报：制造业趋势良好 继续看好玻纤玻璃,新浪
2056,2020-12-07,中泰周期·大宗指南第26期：周期品周度运行变化,新浪
2057,2020-12-07,太平洋证券：经济继续恢复 玻纤整合进入实质性进展阶段（附股）,证券时报网
2058,2020-12-07,建筑材料行业周报：继续推荐关注消费建材优质成长细分龙头,新浪
2059,2020-12-07,东方雨虹、卧牛山获评“产业办公生态合作伙伴”,新浪
2060,2020-12-07,建材行业2021年投资策略：经济复苏期的顺周期弹性,广发证券
2061,2020-12-03,海螺水泥日均净赚1亿，基建行业的好日子还能持续10年,时代在线
2062,2020-12-03,深度*公司*东方雨虹(002271)：防水行业绝对龙头 多品类扩张构筑综合平台,新浪
2063,2020-12-02,东方雨虹与徐州工业职业技术学院携手共建产业学院,新浪
2064,2020-12-02,东方雨虹参建北京新机场项目入中国建设工程鲁班奖(国家优质工程),新浪
2065,2020-12-02,A股12月定律被发现！跨年行情布局中，机构再次聚焦一个方向,Wind
2066,2020-12-01,重新聚焦科技成长，热门板块机构2021策略前瞻,Wind
2067,2020-12-01,芜湖东方雨虹（ORIENTAL YUHONG）获“安徽省优秀民营企业”称号,新浪
2068,2020-12-01,建筑材料行业周报：建材出口关注人造草坪与PVC地板行业,新浪
2069,2020-12-01,建材行业周观点：四条主线布局明年核心资产,新浪
2070,2020-12-01,机构重仓股跟踪月报,新浪
2071,2020-11-30,中泰周期·大宗指南第25期：周期品周度运行变化,新浪
2072,2020-11-30,建筑材料行业周报：消费建材龙头集中趋势未变 建议关注优质成长细分龙头,新浪
2073,2020-11-30,建材行业周观点：顺周期品种价格持续上涨 后续表现仍可期,新浪
2074,2020-11-30,建筑材料行业报告：华东华南水泥价格持续升温 拥抱产业链生态圈,新浪
2075,2020-11-30,建材行业：经济复苏预期 价格与盈利弹性优先,新浪
2076,2020-11-27,东方雨虹(ORIENTAL YUHONG)上榜“2020胡润中国500强民营企业”,新浪
2077,2020-11-26,A股共发生78宗大宗交易成交18.41亿元（11月26日）,Wind
2078,2020-11-26,"东方雨虹现1笔大宗交易 共成交1,331.71万元",新浪
2079,2020-11-26,东方雨虹今日大宗交易成交38.40万股，成交价34.68元溢价0.0%,Wind
2080,2020-11-26,内蒙古通辽市委常委、副市长陈广利一行考察芜湖东方雨虹,新浪
2081,2020-11-25,2021建材行业年度投资策略：穿越周期 找寻成长,华安证券
2082,2020-11-24,东方雨虹(ORIENTAL YUHONG)荣获第22届上市公司金牛奖社会责任奖,新浪
2083,2020-11-24,东方雨虹：融资扩张猛烈，市占率能否持续提升？,新浪
2084,2020-11-23,“金十为开”，铸就未来,新浪
2085,2020-11-23,中泰周期大宗指南：周期品周度运行变化,新浪
2086,2020-11-23,建材行业周观点：复苏预期强化下 建材顺周期板块持续增配,新浪
2087,2020-11-23,建筑材料行业周报：继续推荐低估值水泥板块和顺周期玻纤板块,新浪
2088,2020-11-20,凯伦股份高估值的底气在哪？,格隆汇
2089,2020-11-20,东方雨虹(002271.SZ)：拟发行不超20亿元应收账款资产支持证券,格隆汇
2090,2020-11-20,东方雨虹四项工程入选《优质工程防水材料与技术白皮书(2020版)》,新浪
2091,2020-11-19,东方雨虹(002271.SZ)实控人李卫国质押3000万股及解质4800万股,智通财经
2092,2020-11-19,东方雨虹(002271.SZ)：实控人李卫国解押4800万股及质押3000万股,格隆汇
2093,2020-11-19,礼包｜中信建投证券三季报解读系列之二,中信建投证券研究
2094,2020-11-18,芜湖东方雨虹获2020年度芜湖市“专精特新”中小企业资质认定,新浪
2095,2020-11-18,领略大将风采，东方雨虹(ORIENTAL YUHONG)再获“金禹奖”金奖,新浪
2096,2020-11-18,郑州市上街区副区长张超一行考察唐山东方雨虹(ORIENTAL YUHONG),新浪
2097,2020-11-18,中信建投高端制造团队最新研究观点,中信建投证券研究
2098,2020-11-17,唐山东方雨虹通过市重污染天气重点行业绩效A级评定,新浪
2099,2020-11-17,A股早报2020年11月17日星期二,Wind
2100,2020-11-16,建材行业2021年度投资策略：龙头核心资产化 周期演绎再平衡,新浪
2101,2020-11-16,建材Ⅲ周观点：进入年前赶工期 优选配置顺周期+低估值龙头,新浪
2102,2020-11-16,"东方雨虹现2笔大宗交易 共成交29,488.00万元",新浪
2103,2020-11-16,建材行业：疫苗提升经济复苏预期,新浪
2104,2020-11-16,建筑材料行业周报：建材超跌品种提示关注,新浪
2105,2020-11-13,106家公司获机构调研（附名单）,证券时报网
2106,2020-11-11,2021年建材年度投资策略：集采和精装趋势未变 龙头春天延续,新浪
2107,2020-11-11,东方雨虹：拟投资4.5亿元绿色建材生产基地项目及辽宁区域总部项目,乐居财经
2108,2020-11-11,建材周报：保立佳IPO过会 主营建筑乳液、防水乳液,新浪
2109,2020-11-11,浮盈近万亿创纪录！北上资金加仓榜解密赚钱秘诀,证券时报网
2110,2020-11-11,145家公司获机构调研（附名单）,证券时报网
2111,2020-11-11,建筑材料行业2020Q3总结：顺周期白马继续进击,广发证券
2112,2020-11-10,东方雨虹(002271.SZ)：拟在沈阳沈北新区建绿色建材生产基地项目及辽宁区域总部项目,格隆汇
2113,2020-11-10,长城建材-建材行业周观点：涂料、防水、C端建材Q3业绩表现优异，玻璃、玻纤板块Q4维持景气,高材疾足
2114,2020-11-10,东方雨虹&诺贝尔瓷砖技术交流及合作展望研讨会召开,新浪
2115,2020-11-10,A股早报2020年11月10日星期二,Wind
2116,2020-11-10,181家公司获机构调研（附名单）,证券时报网
2117,2020-11-09,定增有望开启新一轮成长 东方雨虹业绩稳健成长性加速兑现,红周刊
2118,2020-11-09,"东方雨虹现3笔大宗交易 共成交47,273.00万元",新浪
2119,2020-11-09,[公司]东方雨虹：预计未来研发人员规模将继续扩大,全景网
2120,2020-11-09,[公司]东方雨虹：未来公司将加速改善现金流情况,全景网
2121,2020-11-09,东方雨虹：近年来公司产品均处于供不应求状态，未来消化定增新增产能没问题,Wind
2122,2020-11-06,南北互联互通月报：北上余额先升后降 南下持续买入,新浪
2123,2020-11-06,东方雨虹盖世涂GES-300入选2020创研优采黑科技年度大奖,新浪
2124,2020-11-06,长城建材-建材行业周观点：基金三季度建材持仓占比略上升至1.2%，标配比例为1.4%,高材疾足
2125,2020-11-05,东方雨虹80亿元定增的高位收割 “巨无霸”式定增疑点重重,证券市场周刊
2126,2020-11-05,建筑材料行业周报：季报集采建材和顺周期景气 低位布局Q4良机,新浪
2127,2020-11-04,建材行业周观点：三季报龙头经营稳健 竞争优势持续体现,新浪
2128,2020-11-04,北京和众汇富：我们一起来看下建材行业,和讯
2129,2020-11-04,东方雨虹上榜2020抗“疫”民营企业最佳雇主百强榜,新浪
2130,2020-11-02,2020三季度建材持仓分析——机构配置提升，更集中于核心资产,鲍大侠之建材
2131,2020-11-02,东方雨虹大举募资扩产 应收账款持续高企,中国经营网
2132,2020-11-02,建筑材料行业：从三季报看建材行业后续投资线索,广发证券
2133,2020-11-02,机构重仓股跟踪周报,新浪
2134,2020-11-02,东方雨虹出席驻马店、信阳两地防水质量提升培训会,新浪
2135,2020-11-02,北上资金调仓！抢筹回购王，连续八个月加仓3股,证券时报网
2136,2020-11-01,格隆汇研究院月度金股|11月,格隆汇
2137,2020-11-01,Q3维持标配，竣工和顺周期龙头获青睐【华西建材建筑戚舒扬团队】20201101,华西工匠
2138,2020-11-01,北新建材(000786)：Q3业绩超市场预期 防水业务将实现跨越式发展,新浪
2139,2020-10-31,不到一年涨两倍！这家公司获公募“一哥”顶格重仓,中证报
2140,2020-10-30,国泰君安晨报,新浪
2141,2020-10-29,东方雨虹信用减值损失增90%现金流趋紧拟定增80亿元缓解,GPLP犀牛财经
2142,2020-10-29,睿远三季度傅鹏博、赵枫动向曝光，积极配置调仓，新进多只个股,格隆汇
2143,2020-10-29,项城党政考察团、防水协会与东方雨虹(ORIENTAL YUHONG)开展交流,新浪
2144,2020-10-29,咸阳市委副书记吕来升调研咸阳东方雨虹(ORIENTAL YUHONG),新浪
2145,2020-10-29,揭牌！东方雨虹(ORIENTAL YUHONG)&燕山石化联合实验室成立,新浪
2146,2020-10-29,明星基金经理青睐白酒、地产等板块，港股持仓明显增加,Wind
2147,2020-10-28,东方雨虹(002271)2020年三季报点评：业绩持续加速 定增开启新一轮扩张,西南证券
2148,2020-10-28,东方雨虹(002271)：Q3业绩提速 继续保持高质量增长,新浪
2149,2020-10-28,东方雨虹(002271)：盈利能力提升 致力转型建筑建材系统服务商,新浪
2150,2020-10-28,点评|东方雨虹(002271)：符合预期，业绩靓丽，量质双升增长延续【华西建材建筑戚舒扬团队】20201028,华西工匠
2151,2020-10-28,明星基金经理最新持仓大曝光！,Wind
2152,2020-10-28,白马闪崩、妖债横行，下阶段资金将如何配置？,第一财经
2153,2020-10-28,建材行业周报：南方出货率回升 华东价格继续上行,新浪
2154,2020-10-27,东方雨虹(002271):“质、量”的加速提升，变革行业的趋势(国君建材 鲍雁辛 黄涛)20201027,鲍大侠之建材
2155,2020-10-27,地产板块今日跌幅垫底 京汉股份“更名+扭亏”逆市领涨 | 房资快报,金融界
2156,2020-10-27,白马股接连闪崩！多次闪崩的大牛股却拉涨停，出逃资金在怎么布局？,中证报
2157,2020-10-27,A股收盘综述：上证指数缩量收涨0.1%，医药、半导体、锂电池、建材板块复苏,Wind
2158,2020-10-27,A股午盘综述：上证指数半日下滑0.37%，充电桩、风电、特高压等概念板块领跌,Wind
2159,2020-10-27,【华创建筑建材】东方雨虹2020年三季报点评：Q3业绩创新高，80亿定增助力业务扩张,华创建筑建材研究
2160,2020-10-27,东方雨虹：前三季度业绩持续向好 产能扩张全国性布局持续完善,红周刊
2161,2020-10-27,据业内消息人士透露，东方雨虹正在接触晨阳水漆，目前正处于尽调洽谈中。,中国房地产网
2162,2020-10-27,东方雨虹获“2020-2021年度山东省重大工程推荐品牌奖”,新浪
2163,2020-10-27,东方雨虹持续服务下沉，2020前三季度实现营收149.78亿,第一财经
2164,2020-10-27,东方雨虹(002271)2020年三季报点评报告：毛利率显着提升 净利同比增长43%,新浪
2165,2020-10-26,中泰周期大宗指南第20期：周期品周度运行变化,新浪
2166,2020-10-26,东方雨虹(002271.SZ)第三季度归母净利润同比增长58.96%至10.33亿元,智通财经
2167,2020-10-26,晚间重要公告2020年10月26日星期一,Wind
2168,2020-10-26,东方雨虹：前三季净利同比增长43.35%,Wind
2169,2020-10-26,东方雨虹：前三季度净利润同比增长43.35%,Wind
2170,2020-10-26,东方雨虹: 前三季度营收149.78亿元 同比增长16.15%,乐居财经
2171,2020-10-26,东方雨虹：前三季度净利润同比增长43.35%,格隆汇
2172,2020-10-26,东方雨虹(002271.SZ)：前三季度净利升43.35%至21.30亿元,格隆汇
2173,2020-10-26,【研报掘金】建材行业调整带来新的布局良机 短期关注季报行情中期看好两条主线,证券时报网
2174,2020-10-26,成都城投与东方雨虹(ORIENTALYUHONG)签协议开启绿色材料领域合作,新浪
2175,2020-10-26,周报|市场大幅调整，首推玻璃玻纤防水外加剂，看好水泥超跌反弹【华西建材建筑戚舒扬团队】20201026,华西工匠
2176,2020-10-26,东方雨虹昆明研发生产物流基地沥青涂料车间试机成功,新浪
2177,2020-10-26,非金属新材料行业周报：持续推荐玻纤板块 关注超跌防水、瓷砖,新浪
2178,2020-10-26,东方雨虹总资产增长67倍累盈91亿 募资38亿扩产全部达到预期,长江商报
2179,2020-10-23,高质量 大提速 东方雨虹与交通强国的3.6万公里,新浪
2180,2020-10-23,东方雨虹应收账款逾70亿再推定增扩产 高管套现又逢批量解禁 减持股份,投资者网
2181,2020-10-23,13名高管纷纷套现又逢批量解禁东方雨虹应收账款逾70亿再推定增扩产 解禁,投资者网
2182,2020-10-23,东方雨虹股价高位拟80亿定增，行业格局是否生变？,新浪
2183,2020-10-22,龙头扩产引恐慌，行业第二公司跌出黄金坑？,格隆汇
2184,2020-10-22,79股获券商买入评级，招商积余目标涨幅达72.83%,Wind
2185,2020-10-22,【东北晨会1022】银行行业周报/东方雨虹、中联重科、华润微/复盘笔记,东北证券研究所
2186,2020-10-22,东方雨虹遭东城区住建委处罚 违反安全事故隐患条款 安全事故,中国经济网
2187,2020-10-21,东方雨虹(002271)：定增促打通上下游 产业协同或进一步提升公司行业领导力,新浪
2188,2020-10-21,东方雨虹与徐州工业职业技术学院共建东方雨虹大师工作室,新浪
2189,2020-10-21,凯伦股份拓展地产客户业绩加速增长 全年净利预计超2.7亿连续两年翻倍,长江商报
2190,2020-10-21,A股各板块中的“茅台”名单，持续高成长股仅13只,证券时报
2191,2020-10-20,定增市场周报：东方雨虹拟募资80亿扩产 科顺股份募资额下调逾两成,新浪
2192,2020-10-20,唐山东方雨虹一厂五期项目开工奠基,新浪
2193,2020-10-20,"""四个一百""进唐山优秀企业家考察唐山东方雨虹(ORIENTAI YUHONG)",新浪
2194,2020-10-19,长城建材-建材行业周观点：三道红线抑制房地产有息负债增速，中长期有望提升相关建材板块集中度,高材疾足
2195,2020-10-19,建材行业周报：玻璃厂库下降 价格继续上行,新浪
2196,2020-10-18,比故事更精彩！同为今年大牛股，一家融资导致另两家闪崩，这逻辑你懂了吗？,每日经济新闻
2197,2020-10-18,中泰金工定向增发跟踪周报(1018),ZTQuant
2198,2020-10-17,"""懒人装修""火了！撑起业绩半边天 有公司股价涨超95%",央视财经
2199,2020-10-16,59股今日获机构买入评级,证券时报网
2200,2020-10-16,东方雨虹(002271)：非公开发行公告点评-再造雨虹,新浪
2201,2020-10-16,陕西省政协研究室刘德力一行调研咸阳东方雨虹(ORIENTAI YUHONG),新浪
2202,2020-10-15,业绩股价双增下东方雨虹谋扩产 拟募资80亿投入13大项目,每日经济新闻
2203,2020-10-15,拟定增募资不超80亿元 东方雨虹加快布局全国市场,e公司
2204,2020-10-15,东方雨虹(002271)首次覆盖报告：发力防水材料基建工程渠道 打造建筑涂料新业务,新浪
2205,2020-10-15,东方雨虹(002271.SZ)拟非公开发行不超过4.71亿股募集不超80亿元,智通财经
2206,2020-10-15,东方雨虹：拟定增募资不超过80亿元,Wind
2207,2020-10-15,东方雨虹：拟定增募资不超过80亿元,e公司
2208,2020-10-15,东方雨虹(002271.SZ)拟定增募资不超80亿元24亿元用于补充流动资金,格隆汇
2209,2020-10-14,东方雨虹(002271.SZ)拟每10股转增5股,智通财经
2210,2020-10-14,东方雨虹(002271.SZ)半年度权益分派10转5股权登记日为10月21日,格隆汇
2211,2020-10-14,【东北建筑建材王小勇/阚磊】东方雨虹（002271）深度报告：防水行业龙头，步入优质发展阶段,东北证券研究所
2212,2020-10-12,建材行业2020年三季报前瞻：消费建材和玻璃表现突出 四季度配置参考18年,新浪
2213,2020-10-12,东方雨虹(ORIENTAL YUHONG)上榜“2020北京民营企业百强”第23位,新浪
2214,2020-10-12,建筑材料行业周报：赶工大幕拉开 建材金十开启,新浪
2215,2020-10-12,建材行业周报(第四十一周),新浪
2216,2020-10-12,建筑材料行业研究周报：旺季效应+三季报行情 板块有望迎来修复,新浪
2217,2020-10-12,外资助力A股10月开门红，金秋行情开启？,上证报
2218,2020-10-12,周报|关注旺季涨价，回调提供良好布局机会【华西建材建筑戚舒扬团队】20201012,华西工匠
2219,2020-09-30,股权激励解禁下的担忧 东方雨虹没有护城河,新浪
2220,2020-09-30,东方雨虹(ORIENTAL YUHONG)出席绿色产品认证获证企业授牌仪式,新浪
2221,2020-09-30,咸阳东方雨虹(ORIENTAL YUHONG)通过企业大气污染防治A级评定,新浪
2222,2020-09-30,山东赫达(002810)：纤维素醚应用不断拓展 植物胶囊快速增长,国金证券股份有限公司
2223,2020-09-30,A股早报2020年9月30日星期三,Wind
2224,2020-09-29,东方雨虹(ORIENTAL YUHONG)上榜2020中国制造业企业500强,新浪
2225,2020-09-29,上海东方雨虹斩获金山第二工业区劳动和技能竞赛数项荣誉,新浪
2226,2020-09-28,建材行业周报：华东局部开启第四轮涨价,新浪
2227,2020-09-28,东方雨虹：2073万股限售股9月30日上市流通 解禁,Wind
2228,2020-09-28,东方雨虹(002271.SZ)：2073.116万股限售股9月30日解禁 解禁,格隆汇
2229,2020-09-28,建材点评报告：地产资金链对建材行业影响几何？,新浪
2230,2020-09-28,东方雨虹获评“2020年房地产工程采购推荐使用品牌”,新浪
2231,2020-09-28,广东东方雨虹出席空港住建系统“质量月”观摩会,新浪
2232,2020-09-28,建筑材料行业周报：后周期建材板块有所调整 持续看好细分龙头份额提升趋势,新浪
2233,2020-09-28,建筑材料行业周报：“扬长避短” 精选龙头 基业长青,新浪
2234,2020-09-27,大宗指南：周期品周度运行变化,新浪
2235,2020-09-27,建筑材料行业周报：调整中积极布局优质品牌建材企业 持续推荐玻纤,新浪
2236,2020-09-27,"东方雨虹获准开展""防水工""等14个工种的企业职业技能等级认定工作",新浪
2237,2020-09-25,深港通十大成交活跃股排名（9月25日）,Wind
2238,2020-09-25,老板电器、金螳螂、志邦家居、东方雨虹、坚朗五金等集体大幅下挫,Wind
2239,2020-09-25,北向资金再度出逃超百亿，增持黄金股，减持医药股（名单） 减持股份,21世纪经济报道
2240,2020-09-25,北向资金动向盘点：“大消费”退潮时,Wind
2241,2020-09-23,9月23日晚间上市公司十大重磅公告,巨丰财经
2242,2020-09-23,东方雨虹建设常德天鼎丰非织造布生产基地项目,纺织网
2243,2020-09-23,东方雨虹(002271.SZ)：拟在长春九台区设子公司及建绿色建材生产基地项目、区域总部项目,格隆汇
2244,2020-09-23,最新公告透露利好 13只个股有望爆发（09.23）,中金在线
2245,2020-09-23,A股早报2020年9月23日星期三,Wind
2246,2020-09-23,股海导航 9月23日沪深股市公告提示,新浪
2247,2020-09-22,晚间重要公告2020年9月22日星期二,Wind
2248,2020-09-22,东方雨虹：拟18亿元投建绿色建材生产基地项目,Wind
2249,2020-09-22,陕西省发展和改革委员会主任张晓光考察咸阳东方雨虹,新浪
2250,2020-09-22,建筑材料行业周报：Q4工程或加速释放 早周期继续推荐,新浪
2251,2020-09-22,建材行业周报：水泥行业产能置换比例或将提高至2：1和1.5：1,新浪
2252,2020-09-22,23股获券商买入评级，蓝帆医疗目标涨幅达108.93%,Wind
2253,2020-09-21,【华西非金属建材戚舒扬团队】回顾过去一年和未来方向,华西工匠
2254,2020-09-21,东方雨虹(002271)深度研究报告：集中度提升+多品类扩张 兼具成长与稳健的优质龙头,新浪
2255,2020-09-21,建材行业周观点：水泥价格弹性有望逐步显现,新浪
2256,2020-09-21,建材Ⅲ周观点：旺季成色十足 继续看好板块修复行情,新浪
2257,2020-09-21,晚间重要公告2020年9月21日星期一,Wind
2258,2020-09-21,东方雨虹亮相第九届中国（厦门）国际绿色建筑建材产业博览会,新浪
2259,2020-09-21,国金国联两大券商确认合并 多股望走上涨行情,巨丰财经
2260,2020-09-21,建材行业周报：8月水泥需求快速抬升,新浪
2261,2020-09-21,时代点金（0921）：南国置业确认28.26亿业绩承诺,时代在线
2262,2020-09-20,【安信环保公用建材邵琳琳团队】建材周报0920:8月社融数据超预期，玻璃玻纤趋势向好,安信证券环保公用研究
2263,2020-09-20,建筑材料行业周报：持续推荐玻纤龙头巨石和中材 石膏板龙头北新,新浪
2264,2020-09-20,建筑材料行业研究周报：水泥价格持续提升 保碧基金参与上海天洋子公司增资扩股,新浪
2265,2020-09-19,上市公司正负面新闻2020年9月19日星期六,Wind
2266,2020-09-18,晚间重要公告2020年9月18日星期五,Wind
2267,2020-09-18,东方雨虹获“2019上海国际城市与建筑博览会优秀展览展示奖”,新浪
2268,2020-09-18,东方雨虹：拟投资约16亿元建设常德天鼎丰非织造布项目,Wind
2269,2020-09-18,东方雨虹：拟投建非织造布项目和烘干砂生产基地,e公司
2270,2020-09-18,东方雨虹：拟投资约16亿元建设常德天鼎丰非织造布项目,格隆汇
2271,2020-09-18,东方雨虹(002271.SZ)签订框架协议拟2亿元建设200万吨精制烘干砂生产基地项目,格隆汇
2272,2020-09-18,东方雨虹：拟2亿元投建200万吨精制烘干砂生产基地项目,Wind
2273,2020-09-18,北向资金两年增持超亿股，东方雨虹的长期性逻辑,第一财经
2274,2020-09-17,东方雨虹(002271.SZ)：2073.116万股限制性股票解锁条件成就,格隆汇
2275,2020-09-16,傅鹏博的投资三板斧,格隆汇
