,2021-12-31,消息称立讯精密将成苹果顶级供应商：逐步取代富士康,快科技
2802,2019-09-10,工业富联董事长李军旗：“8K+5G”时代即将到来,第一财经
2803,2019-09-10,苹果(AAPL.US)回应违法中国劳动法：大部分指控不属实，正与富士康合作解决 其他违规处罚,智通财经
2804,2019-09-09,富士康回应涉嫌“临时工违法”：派遣工与正式工同等待遇 其他违规处罚,新京报
2805,2019-09-09,富士康李军旗：工业互联网是持久战 现在才刚开始,新浪
2806,2019-09-09,发布会召开在即，苹果与富士康被指剥削劳工，回应称：确实存在大量临时工,证券时报网
2807,2019-09-09,苹果、富士康承认iPhone工厂用工违反我国劳动法 其他违规处罚,中国商报
2808,2019-09-09,富士康郑州iPhone工厂被指违反劳动法雇佣过多临时工 其他违规处罚,新浪
2809,2019-09-04,工业富联副董李杰因调动请辞 四个月税前收入近23万,新京报
2810,2019-09-03,工业富联：公司副董事长辞职 董监高成员变化,Wind
2811,2019-09-03,工业富联(601138.SH)：副董事长及董事李杰辞职 董监高成员变化,格隆汇
2812,2019-09-01,证金、汇金、QFII最新持股曝光 他们最爱哪些股？,重庆商报
2813,2019-08-30,富士康计划在印度新建两个组装厂 并扩建现有组装厂,钛媒体
2814,2019-08-30,富士康希望未来在印度生产显示屏和印刷电路板,维库电子市场
2815,2019-08-30,外资最爱哪些股票？QFII最新重仓股来了！（附增减持排行榜）,21世纪经济报道
2816,2019-08-26,“十大双跨这一年”之工业富联：在逆势中扩张和增长,砍柴网
2817,2019-08-26,工业富联快速走低 目前跌近6%,证券时报网
2818,2019-08-26,国家队二季度持仓曝光：10大重仓市值近3000亿，最爱金融， 计算机行业成新宠,21世纪经济报道
2819,2019-08-24,华为中兴领衔 深圳5G产业快马插双翼,中证网
2820,2019-08-23,[快讯]微埃智能：公司产品已经在天津富士康工厂运行,全景网
2821,2019-08-21,机构口是心非？科技公司转一圈回头还是买消费,Wind
2822,2019-08-19,北上资金上周净买入9亿元 15股连续七周获加仓,证券时报
2823,2019-08-19,196股获券商买入评级 工业富联目标涨幅达101.95%,Wind
2824,2019-08-19,受调研公司家数增多 机构调研关注公司中期业绩,中证网
2825,2019-08-18,百亿私募盯上2家公司：一家做手机，一家卖电池！他们的产品，你可能用过！,21世纪经济报道
2826,2019-08-17,恒生系列指数“大换血”，渣打集团、招商证券等个股遭剔除,格隆汇
2827,2019-08-17,中西部外贸强增长背后：18省合计占广东2/3，“富士康们”支撑多,第一财经
2828,2019-08-17,二季度QFII新进增持29只个股 电子等四行业成最爱,金融界
2829,2019-08-16,A股658份中报曝光聪明钱布局密码：QFII、社保新进这些股！,21世纪经济报道
2830,2019-08-16,巨丰数据赢 | 百家机构“疯狂调研” 三大行业 百亿级私募看上这些股,巨丰财经
2831,2019-08-16,又一代工厂巨头“崛起”，富士康进退两难，郭台铭扬言：奉陪到底,维库电子市场
2832,2019-08-16,富士康员工大爆料，新款 iPhone 将推出墨绿配色,IT168
2833,2019-08-15,机构调研：148机构访工业富联 兴全淡水泉探超图软件,新浪
2834,2019-08-15,沪港通十大成交活跃股排名（8月15日）,Wind
2835,2019-08-15,上市一年多，富士康的工业互联网做得如何？,雷锋网
2836,2019-08-15,【可来研选】股价长期破发！市值腰斩后，工业富联还能涨回来吗？ 连续下跌,云掌财经
2837,2019-08-15,19公司获得推荐评级-更新中,中财网
2838,2019-08-15,融资客青睐23股，莫高股份买入占比高达46.19%,Wind
2839,2019-08-15,券商首次关注7股并给予买入评级（8月15日）,Wind
2840,2019-08-15,工业富联：云服务设备稳健增长、内部效率提高明显,证券时报网
2841,2019-08-15,"工业富联:持续加码5G、精密工具等技术研发,工业互联网内部赋能",平安证券
2842,2019-08-14,iPhone 新增墨绿色？磨砂质感，富士康员工爆料汇总,和讯
2843,2019-08-14,178亿！“独角兽”解禁来势汹汹 吓呆股民 A股的韭菜们还够用吗？ 解禁,金融投资报
2844,2019-08-14,工业富联：上半年净利润同比微增 经营性现金流暴降 盈利能力下降,经济观察网
2845,2019-08-14,工业富联发布半年报：扣非净利润下降6.27%，研发费用大涨18.66% 盈利能力下降,经济网
2846,2019-08-14,工业富联上半年营收1705亿元 股价接近发行价,每日经济新闻
2847,2019-08-14,富士康员工曝新iPhone细节：有墨绿色版本 依旧5V1A,IT之家
2848,2019-08-14,【异动股】富士康板块拉升，光莆股份(300632-CN)涨停,财华社
2849,2019-08-14,工业富联上半年实现营收1705亿元 云服务设备营收同比增15%,TechWeb
2850,2019-08-14,工业富联上半年营收1705亿元 净利润54.78亿元,TechWeb
2851,2019-08-14,14日科技要闻|阿里将收购网易考拉 华为手机受挫欧洲市场,中国网
2852,2019-08-14,工业富联上半年净利超50亿 完成5G初期关键技术开发,新京报
2853,2019-08-14,工业富联上半年营收超1700亿元,中证报
2854,2019-08-13,工业富联2019年上半年净利54.78亿 工业机器人业务营业收入同比增长,挖贝网
2855,2019-08-13,工业富联上半年净赚55亿元 汇金新进第三大流通股东,大众证券报
2856,2019-08-13,工业富联上半年净利润54.8亿元 研发投入37.8亿加速布局5G,e公司
2857,2019-08-13,工业富联半年报： 归母净利润54.78亿元 5G产品已出货,21世纪经济报道
2858,2019-08-13,工业富联上半年净利54.78亿，5G产品陆续出货,第一财经
2859,2019-08-13,工业富联加速布局5G领域，上半年净利润54.78亿元,第一财经
2860,2019-08-13,工业富联：上半年实现净利润54.78亿元，同比增长0.62%,第一财经
2861,2019-08-13,工业富联：上半年净利54.78亿元 同比增0.62%,e公司
2862,2019-08-13,工业富联中报：上半年净利润54.78亿元，同比增长0.62%,Wind
2863,2019-08-13,传富士康欲售投资610亿LCD面板厂行业产能过剩何解?,新浪
2864,2019-08-13,伟创力被踢出供应链后，富士康比亚迪“摘挑”华为订单,第一财经
2865,2019-08-12,伟创力被踢出供应链后，富士康、比亚迪“摘桃”华为订单,第一财经
2866,2019-08-12,66股获券商买入评级 长城汽车目标涨幅达67.55%,Wind
2867,2019-08-09,富士康再遭血汗工厂指控：实习生挨打受骂被强迫加班 诉讼纠纷,新浪
2868,2019-08-08,工业富联用“专业云”描摹新制造：范式迭代、跨越鸿沟、重构实力,砍柴网
2869,2019-08-08,走势完爆99%股票，年内最牛股在这里！6股逆市创新高,证券时报
2870,2019-08-08,理性看待伊利的股权激励 | 砺石,和讯
2871,2019-08-07,富士康建厂计划一变再变 威斯康星州要求重新评估其所带收益,钛媒体
2872,2019-08-02,考虑出售广州10.5代面板厂？富士康母公司回应：公司并未拥有面板厂,中证网
2873,2019-08-02,富士康出售广州面板厂？鸿海回应：公司并未拥有面板厂,Wind
2874,2019-08-02,【异动股】富士康板块低开，科创新源(300731-CN)跌9.6%,财华社
2875,2019-08-02,54股月线阳吞阴，10股低估值业绩高增长,Wind
2876,2019-08-01,重构制造技术传承价值 工业富联打造“器匠”新路径,砍柴网
2877,2019-07-31,海尔美的富士康角力工业互联网，掘金“中国智造”,第一财经
2878,2019-07-31,富士康旗下超视堺第10.5代65寸产品点亮，9月份量产,猎云网
2879,2019-07-31,富士康广州10.5代线点亮 610亿投资9月或量产,新京报
2880,2019-07-31,富士康广州8K项目今日点亮 预计9月量产,每日经济新闻
2881,2019-07-31,广州富士康10.5代生产线点亮,e公司
2882,2019-07-31,富士康开始疯狂招人：为生产新iPhone,驱动之家
2883,2019-07-30,为了生产苹果新iPhone 富士康开始大规模招人,亿欧网
2884,2019-07-30,推动制造业向智能化转型——工业富联发布制造专业领域云服务解决方案,经济日报
2885,2019-07-30,为iPhone 11做准备，富士康正招募数千名组装工人,IT之家
2886,2019-07-29,富士康概念异动走强！新纶科技、宇环数控、智动力等4股涨停,腾讯网
2887,2019-07-29,富士康概念股走强 宇环数控、东尼电子涨停,中证网
2888,2019-07-29,富士康概念早盘异动 新纶科技等3股涨停,中国经济网
2889,2019-07-29,快讯：富士康概念股异动拉升 新纶科技等多股涨停,新浪
2890,2019-07-27,传富士康获华为手机加单，伟创力已被踢出供应链,证券时报
2891,2019-07-27,恒指震荡微升 富士康概念大涨,南方财经网
2892,2019-07-26,软银将组建第二只愿景基金，筹资1080亿美元,Wind
2893,2019-07-25,医疗、半导体引领港股走高 富士康概念集体上涨,中证网
2894,2019-07-25,富士康为华为扩大生产，鸿海系暴涨,富途证券
2895,2019-07-25,【异动股】传华为向富士康(02038-HK)加大订单量曾急涨19.8%,财华社
2896,2019-07-25,苹果供应商据悉为新iPhone零部件做生产准备，预计今年需求企稳,Wind
2897,2019-07-25,富智康(2038.HK)一度放量暴涨31.4% 传富士康承接了伟创力的部分产能,格隆汇
2898,2019-07-23,2019《财富》500强排名再前进一位，“制造之王”富士康地位无法撼动,证券之星
2899,2019-07-23,华为代工厂剔除美国伟创力 富士康赚到了：订单大增,驱动之家
2900,2019-07-23,华为加单 富士康扩线,e公司
2901,2019-07-23,富士康龙华、观澜园区二季度总体产值同比增长达12%,第一财经
2902,2019-07-19,富士康5G研究所所长罗为：5G NR将在工业互联网中起到重要作用,和讯
2903,2019-07-18,"电子行业2019中报前瞻:业绩持续分化,唯指纹识别与工业PCB高景气 盈利能力下降",申万宏源
2904,2019-07-16,张平：创新生态整体转型是高质量转型的根本（全文）,新浪
2905,2019-07-16,被按在地上摩擦的大族激光,和讯
2906,2019-07-12,日本屏幕厂商终究败了！夏普被富士康收购，JDI靠中国企业救济,搜狐
2907,2019-07-12,富士康在印度生产的iPhone XR/XS于8月在该国销售,Wind
2908,2019-07-12,富士康威斯康星工厂2020年投产，计划仅雇1500名员工,Wind
2909,2019-07-11,47股获券商买入评级 天邦股份目标涨幅达74.83%,Wind
2910,2019-07-10,富士康概念午后异动走强 新亚制程等涨停,中国经济网
2911,2019-07-10,富士康转战印度再受重挫？员工加班就辞职，豪掷50亿建厂打水漂？ 连续下跌,搜狐
2912,2019-07-10,40亿美元补贴没戏？美州长:富士康难实现就业目标,网易
2913,2019-07-09,狂砸50亿美元，富士康将在印度组装iPhone，但月产能仅25万部,搜狐
2914,2019-07-09,华为生产线或将启动，多家代工厂巨头“联盟”，富士康难受了,搜狐
2915,2019-07-07,富士康一心追随苹果，却把“金主”得罪了，网友：郭台铭该后悔了,搜狐
2916,2019-07-07,比亚迪有多狂？不仅跟特斯拉对着干，还抢了富士康饭碗,搜狐
2917,2019-07-06,"专家:中国房地产创造了极大信用,没有房地产,华为富士康都胡扯",搜狐
2918,2019-07-06,“舔美”不成富士康，遭国内手机巨头拒绝合作，郭台铭悔不当初,搜狐
2919,2019-07-05,市值蒸发2500亿，国家队“挨套”，复盘工业富联这一年 连续下跌,凤凰网
2920,2019-07-05,互联网建设是场持久战 工业富联董事长回应股价破发 连续下跌,证券日报
2921,2019-07-04,工业富联董事长回应股价破发 称互联网建设是场持久战 连续下跌,证券日报
2922,2019-07-04,富士康三部曲：上市一年仍破发 工业富联的“虚与实” 连续下跌,新京报
2923,2019-07-04,富士康的A股棋,新京报
2924,2019-07-03,"中国""科""公司之海康威视VS工业富联:谁""含科量""更高",新浪
2925,2019-07-03,鼎捷软件&工业富联生态携手 赋能新制造数字转型,飞象网
2926,2019-07-03,华为、腾讯、富士康、联通发起成立深圳工业互联网联盟,经济观察网
2927,2019-07-03,工业富联5G产品已卖几十万台， 董事长称股价受多因素影响,澎湃新闻
2928,2019-07-03,机构青睐破发股工业富联 游资审慎接盘恒银金融 连续下跌,南方财经网
2929,2019-07-02,工业富联副董事长李杰：5G全面商用将是长期过程,中国网
2930,2019-07-02,工业富联称转型需要时间 未来三年5G或将带动业务,新浪
2931,2019-07-02,龙虎榜：机构大手笔买入工业富联，游资热炒迪普科技,第一财经
2932,2019-07-02,华为概念股全线走强，大潮之下尚需分辨,和讯
2933,2019-07-02,2019年IPO市场半年度报告： 警惕“堰塞湖”重现的新挑战,21世纪经济报道
2934,2019-07-01,紧盯主力 | 炸了，主力资金狂抢电子概念股！游资高位抛售1只黄金股,每日经济新闻
2935,2019-07-01,7月1日A股龙虎榜揭秘，机构最青睐两股,Wind
2936,2019-07-01,工业富联：转型需要时间， 5G产品将陆续出货,第一财经
2937,2019-07-01,工业富联龙虎榜数据（7月1日）,Wind
2938,2019-07-01,工业富联涨停全天成交超15亿元，实力游资和机构大幅买入,第一财经
2939,2019-07-01,龙虎榜：工业富联涨停 上海游资买入2.58亿元,e公司
2940,2019-07-01,工业富联今日放量涨停，一机构席位买入6259万元,Wind
2941,2019-07-01,工业富联强势涨停，一日增加市值近240亿,上游新闻
2942,2019-07-01,工业富联涨停 成交逾14亿元,证券时报网
2943,2019-07-01,工业富联午后触及涨停,e公司
2944,2019-06-29,邮储银行IPO来了，募资额或名列A股前10！历史数据告诉你：不用慌,每日经济新闻
2945,2019-06-29,工业富联董事长李军旗回应破发：专注核心能力建设,Wind
2946,2019-06-29,工业富联董事长李军旗：公司未来将由制造商转向平台提供者,每日经济新闻
2947,2019-06-27,A股31家不差钱的土豪！能否复制茅台一样的强势？,Wind
2948,2019-06-27,富士康辟谣：没有抛弃华为 撤离大陆是无稽之谈,中新经纬
2949,2019-06-26,富士康辟谣“大陆大规模裁员”：公司没有大规模裁员,Wind
2950,2019-06-26,工业富联A股上市周年庆高峰论坛即将举行，定位新制造发展方向,砍柴网
2951,2019-06-25,"中国""科""公司评选之电子行业技术人员最多:工业富联",新浪
2952,2019-06-23,富士康停止为华为手机代工？华为这两个动作，却让郭台铭始料不及,搜狐
2953,2019-06-22,皮海洲:工业富联股价跌幅过半隐含两个警示,中财网
2954,2019-06-21,执掌鸿海45年，郭台铭将正式卸任董事长！“九人小组”组成新管理团队,e公司
2955,2019-06-21,富士康“换帅”刘扬伟接替郭台铭任董事长 董监高成员变化,中国经营网
2956,2019-06-21,外媒：富士康已任命芯片业务负责人刘扬伟为新一任董事长 接替郭台铭,TechWeb
2957,2019-06-21,郭台铭正式卸任鸿海董事长，公司营运交由九人小组,Wind
2958,2019-06-21,鸿海集团董事会选举刘扬接替郭台铭为新任董事长,Wind
2959,2019-06-20,富士康美国工厂获得当地批准 将成北美首家LCD显示屏加工厂,新浪
2960,2019-06-20,抓住风口挺立潮头，高峰论坛探索工业富联的秘密,砍柴网
2961,2019-06-20,彭博社：富士康创始人郭台铭最早可能本周五离职 董监高成员变化,TechWeb
2962,2019-06-18,A股总成交创4个多月新低，这些股却被悄悄吸筹,Wind
2963,2019-06-18,又一中国代工巨头崛起，规模不亚于富士康！制造业黑马,搜狐
2964,2019-06-18,富士康否认撤离内地,北京商报网
2965,2019-06-17,博云新材(002297.SZ)：博云东方拟参股产业创新中心 工业富联目前为其唯一出资方,格隆汇
2966,2019-06-17,博云新材：子公司拟参股工业富联下属产业创新中心,e公司
2967,2019-06-17,工业富联上市周年庆高峰论坛来了，掀起工业互联网新浪潮,砍柴网
2968,2019-06-17,“富士康老对手”正在崛起，郭台铭若一意孤行，未来或将追悔莫及,搜狐
2969,2019-06-17,它竟是国产代加工新巨头，或将顶替富士康位置，郭台铭坐不住了？,搜狐
2970,2019-06-16,一旦苹果退出中国市场，会有哪些恶果？富士康老总这一回答很现实 经营问题,搜狐
2971,2019-06-16,皮海洲：工业富联股价跌幅过半 隐含两个警示,国际金融报
2972,2019-06-16,太平洋电子|老板和你分蛋糕，你和老板都满意吗？,刘翔电子研究
2973,2019-06-13,工业富联(601138.SH)拟每10股派1.29元 股权登记日为6月19日,格隆汇
2974,2019-06-13,富士康：美国工厂不止生产液晶面板 还有更多产品,中财网
2975,2019-06-13,解禁日=砸盘日？这126家公司解禁盘占总股本超50%,Wind
2976,2019-06-13,港股异动 | 富智康涨逾3% 富士康在美国的工厂将扩大生产领域,格隆汇
2977,2019-06-13,鼎捷领衔数字化转型盛会 共绘工业互联网赋能路径,飞象网
2978,2019-06-13,工业富联限售股解禁，超两百只基金没赚到钱 解禁,Wind
2979,2019-06-12,郭台铭接班人浮出水面！两高管或执掌富士康,新京报
2980,2019-06-12,工业富联今日大宗交易成交726.22万股，成交价11.97元折价-0.5%,Wind资讯
2981,2019-06-12,减持压顶：6天188笔套现，年内第2大解禁潮测压A股,21世纪经济报道
2982,2019-06-11,巨量解禁股来袭 工业富联跌停隐含多重警示,新浪
2983,2019-06-11,千亿解禁潮来袭 宁德时代（300750.SZ）解禁逾662亿,格隆汇
2984,2019-06-11,本周A股迎千亿规模限售股解禁 6月是解禁大月,金证券
2985,2019-06-11,杜坤维：独角兽工业富联盘中跌停再度破发的冷思考,中财网
2986,2019-06-11,融资客青睐14股，创元科技买入占比高达41.46%,Wind
2987,2019-06-11,郭施亮:巨额解禁致工业富联大跌，怎样读懂限售股解禁对上市公司的影响？,中财网
2988,2019-06-11,工业富联破发知名机构浮亏 代工大王上市一年毛利率走低 连续下跌,投资快报
2989,2019-06-11,工业富联解禁首日股价重挫冷思考,北京商报
2990,2019-06-10,同为独角兽：工业富联套牢战投 宁德时代股东浮盈55%,21世纪经济报道
2991,2019-06-10,同为独角兽！工业富联破发套牢14名战投 宁德时代股东至少浮盈55%,21经济网
2992,2019-06-10,独角兽解禁潮第二波：宁德时代9.8亿限售股明日压顶， 45名股东豪赚超410亿,每日经济新闻
2993,2019-06-10,盘中跌停！2000亿市值龙头遭遇解禁冲击波，接下来这些公司解禁规模也不小（名单）,证券时报网
2994,2019-06-10,63亿解禁砸掉独角兽近300亿市值！本周你要注意规避这些“坑” 解禁,上游新闻
2995,2019-06-10,快讯：富士康概念股尾盘快速拉升 安彩高科涨超6%,新浪
2996,2019-06-10,"开盘跌停！2000亿独角兽又破发了：去年疯抢,如今全被套，腾讯阿里也不例外",中国基金报
2997,2019-06-10,每经14点丨开盘跌停！工业富联解禁股破发；卫健委称尽快把安宁疗护在全国全面推开,每经网
2998,2019-06-10,半日66亿！北上资金继续买买买，这只创业板白马股最受青睐,e公司
2999,2019-06-10,还记得宁德时代和工业富联吗？沉寂之后，本周迎来解禁大潮,全景网
3000,2019-06-10,开盘跌停！2000亿独角兽又破发了：去年疯抢 如今全被套,中国基金报
3001,2019-06-10,工业富联早盘封跌停 成交额5.83亿元封单12.5万手,腾讯网
3002,2019-06-10,工业富联4.91亿股限售股今解禁，逾10万手卖单封跌停 解禁,第一财经
3003,2019-06-10,工业富联开盘跌停，今起将有4.9亿股限售股上市流通,Wind
3004,2019-06-10,1000亿解禁潮要来A股了！两大独角兽能否经受住考验？,证券时报
3005,2019-06-07,5G牌照落地：移动物联时代产业链蓄势待发,21世纪经济报道
3006,2019-06-05,外媒：富士康已将155个就业岗位从美国转移至墨西哥,TechWeb
3007,2019-06-05,富士康已将超过150个就业岗位由美国转至墨西哥,Wind
3008,2019-06-04,工业富联4.9亿股首发股将解禁 对于股价是一次考验,北京商报
3009,2019-06-03,[快讯]工业富联49088万限售股6月10日解禁 解禁,中财网
3010,2019-06-03,工业富联：4.91亿股限售股6月10日起上市流通,证券时报网
3011,2019-06-03,工业富联：6月10日起将有4.9亿股限售股上市流通,金融界
3012,2019-06-03,上交所三大指数样本股调整,全景网
3013,2019-05-30,原料紧缺行业盈利拐点显现 4股即将迎良机,证券之星
3014,2019-05-29,头号研报：5G时代！华为产业链迎黄金投资机会,巨丰财经
3015,2019-05-29,杭州加速打造5G产业集群 工业富联进驻,浙江日报
3016,2019-05-28,工业富联：与杭州未来科技城管委会签署备忘录 拟设立华东运营总部,e公司
3017,2019-05-28,iPhone需求下滑导致富士康净利大降 盈利能力下降,维库电子市场
3018,2019-05-28,富士康：苹果需求下滑对公司影响有限,TechWeb
3019,2019-05-28,富士康：iPhone需求下滑对公司业绩影响不大,Wind
3020,2019-05-28,富士康：部分客户调整订单 整体考虑对公司业绩影响有限,TechWeb
3021,2019-05-27,富士康回复苹果订单调整对公司业务影响：公告信息为准,新京报
3022,2019-05-23,富士康再上头条：这一次不是N跳，而是“人去楼空”！,搜狐
3023,2019-05-22,富士康员工宿舍“人去楼空”？内部人士：为派遣工公寓，淡季处于空置,每日经济新闻
3024,2019-05-22,拥千余项专利 博众精工冲刺科创板,中证网
3025,2019-05-19,工业富联：2018年年度股东大会决议公告,上交所
3026,2019-05-13,工业富联(601138.SH)完成激励计划的首次授予登记工作,格隆汇
3027,2019-05-13,鸿海回应董事长变动传闻：若有信息将依规办理,Wind
3028,2019-05-13,消息称富士康芯片业务负责人或继任郭台铭成下任集团主席,Wind
3029,2019-05-11,iPhone销量下滑，苹果受影响，富士康受影响，郑州都受影响！ 盈利能力下降,维库电子市场
3030,2019-05-10,富士康高层造访西陇科学 讨论多项合作事宜,e公司
3031,2019-05-05,博众精工先分红3亿再借5亿 现在又要来科创板IPO,新浪
3032,2019-05-05,郭台铭拟赴白宫会谈 事关美国液晶项目,维库电子市场
3033,2019-05-04,工业富联一季度净利28.7亿元同比增长8% 现金流量净额为38.2亿元,挖贝网
3034,2019-05-02,【中金电子与通信】工业富联（601138.SH）：持续投入研发，深耕工业互联网，助力转型升级,乐平科技视角
3035,2019-04-30,工业富联(601138.SH)一季度净利润升8.31%至28.74亿元,格隆汇
3036,2019-04-30,工业富联Q1总资产缩15 新章程调整收购公司股份条款,新京报
3037,2019-04-30,工业富联：一季度净利润28.74亿元，同比增8.31%,Wind
3038,2019-04-30,工业富联：一季度净利润同比增8.31%,Wind
3039,2019-04-29,工业富联：第一季度营收801亿元 净利润28.7亿元,新浪
3040,2019-04-29,工业富联2019年第一季度净利润28.7亿元,金融界
3041,2019-04-27,机构+大单合力布局云计算 10只概念股股价实现连续上涨,证券日报
3042,2019-04-26,富士康智能穿戴项目落户成都 预计9月投产,e公司
3043,2019-04-26,房企联手制造业探索产城融合新路,南方日报
3044,2019-04-22,爱康科技去年净利1.25亿 布局越南要做光伏行业“富士康”,e公司
3045,2019-04-22,融资客青睐52股，卧龙电驱买入占比高达49.41%,Wind
3046,2019-04-22,格力电器控股权大变局 董明珠面临着怎样的抉择,投资者报
3047,2019-04-19,杠杆资金又现连续增仓，21股加仓比例超20% 两融余额重上万亿可期,证券时报
3048,2019-04-19,工业富联低开低走 跌逾8%,e公司
3049,2019-04-19,工业富联低开超5%，公司股价异动无应披露事项,Wind
3050,2019-04-19,工业富联开盘下跌5.51%,e公司
3051,2019-04-18,公告精选：视觉中国遭天津网信办罚款30万元；中国人寿一季度净利增逾八成；两公司大幅下修年报业绩预期,每日经济新闻
3052,2019-04-18,工业富联：目前生产经营活动正常，不存在应披露而未披露重大信息,Wind
3053,2019-04-18,工业富联：股价异动 无应披露事项,e公司
3054,2019-04-18,工业富联目前生产经营活动正常 日常经营情况未发生重大变化,金融界
3055,2019-04-18,工业富联龙虎榜数据(4月18日）,Wind
3056,2019-04-18,工业富联近三日大涨26.5% 沪股通净买入1.2亿元,新浪
3057,2019-04-18,工业富联近日大涨 沪股通净买入1.19亿元 知名游资抢筹,每日经济新闻
3058,2019-04-18,工业富联龙虎榜：近三日沪股通买入3.1亿元并卖出1.9亿元 知名游资抢筹,e公司
3059,2019-04-18,工业富联近三日大涨26.5%，沪股通买入3.1亿元并卖出1.9亿元,Wind
3060,2019-04-18,4月18日异动股点评：工业富联“炸板”背后 盘点四牛与四熊,山东神光
3061,2019-04-18,恒指收盘跌0.54% 富士康概念股冲高回落,证券时报网
3062,2019-04-18,涨停板复盘:两市震荡收跌沪指跌0.4% 富士康概念领涨,新浪
3063,2019-04-18,789亿资金争夺20股：主力资金重点出击10股(名单),新浪
3064,2019-04-18,午评：两市窄幅震荡 富士康概念股集体大涨,每日经济新闻
3065,2019-04-18,两市持续震荡沪指跌0.06%，富士康概念表现抢眼,21世纪经济报道
3066,2019-04-18,"工业富联:受益5g、云及边缘计算发展,工业互联网平台起航",正点财经
3067,2019-04-18,郭台铭参选鸿海系三地接力狂欢：工业富联盘中涨停，富智康股价几近翻番,21世纪经济报道
3068,2019-04-18,工业富联触及涨停,证券时报网
3069,2019-04-18,工业富联再度涨停,e公司
3070,2019-04-18,福建自贸区、富士康概念股集体高开，安彩高科等涨停开盘,腾讯网
3071,2019-04-18,郭台铭概念股集体暴涨，市场或续追捧他的能源版图相关股,格隆汇
3072,2019-04-18,年报透露73只券商重仓股 海通证券押中工业富联,证券日报
3073,2019-04-18,A股早报2019年4月18日星期四,Wind
3074,2019-04-17,数据复盘|主力资金大举加仓47股 工业富联获超10亿资金抢筹,证券时报网
3075,2019-04-17,中国A股连日上涨 工业富联强势涨停,中新网
3076,2019-04-17,大事件！郭台铭宣布参选！工业富联涨停，市值曾4个月蒸发2000亿 连续下跌,21财闻汇
3077,2019-04-17,[快讯]13:45工业富联、天和防务封涨停,中财网
3078,2019-04-17,工业富联午后封涨停 成交额26.33亿元封单34.94万手,腾讯网
3079,2019-04-17,工业富联午后涨停，股价创去年7月以来新高,Wind
3080,2019-04-17,快讯：工业富联午后放量大涨超8% 成交额超16亿元,新浪
3081,2019-04-17,富士康概念股午后突击上攻，新亚制程涨停,Wind
3082,2019-04-17,工业富联午后直线拉升,e公司
3083,2019-04-17,郭台铭的战略转移：印度将代替中国成为IPhone主要生产基地,极客网
3084,2019-04-17,【中金电子与通信】工业富联 （601138.SH）：从“代工”走向“带工”，工业互联网赋能智能制造的核心标的,乐平科技视角
3085,2019-04-16,富士康称郭台铭将留任董事长,猎云网
3086,2019-04-16,大股东400亿“变卖”格力电器，董明珠去向如何？,云掌财经
3087,2019-04-16,4月上半月公募基金“摸底”53股 偏爱调研“TMT”行业,投资快报
3088,2019-04-16,郭台铭：预备于今年年内将iPhone的生产转移至印度,Wind
3089,2019-04-15,郭台铭：富士康今年开始在印度大规模生产iPhone,TechWeb
3090,2019-04-15,富士康：郭台铭未来数月内不会辞任董事长，会淡化个人色彩,澎湃新闻
3091,2019-04-13,千亿市值白马格力：谁的“混改标杆”期许？,21世纪经济报道
3092,2019-04-12,富士康退出 小鹏汽车或加速上市步伐,盖世汽车
3093,2019-04-11,富士康与台积电等44家供应商加入苹果清洁能源计划,Wind
3094,2019-04-11,苹果与高通下周一迎来关键诉讼 富士康、三星等将出庭作证,e公司
3095,2019-04-10,【投中·24H】传京东正在进行新一轮大规模裁员；富士康回应接盘格力电器股份 员工变动,投中网
3096,2019-04-09,富士康珠海大有故事 可能接盘格力电器5%股份？,21世纪经济报道
3097,2019-04-09,格力电器转让15%股份 董明珠或富士康将是大股东人选,新京报
3098,2019-04-09,富士康接盘格力股份？官方:不评论 曾在珠海建芯片厂,新京报
3099,2019-04-09,富士康回应接盘格力电器股份：不评论媒体及市场流言,中证网
3100,2019-04-07,两家百亿明星私募共同看上了这只股票，四天涨幅超16%,21世纪经济报道
3101,2019-04-07,一周机构去哪儿？南方基金、星石投资等调研了这些个股（名单）,证券时报网
3102,2019-04-05,11点聊电商：富士康投资了一个制造业的“亚马逊”,亿邦动力
3103,2019-04-04,脚踏实地才是王道 这六股有戏,中财网
3104,2019-04-04,手机供应链厂商探索“新思路”？富士康子公司被曝转道智能网联车,中财网
3105,2019-04-04,工业富联：2018营收增速超行业水平 智能工厂树立全球标杆,申万宏源
3106,2019-04-04,连续第二年亏损后，富士康旗下公司正缩减智能手机业务转做汽车电子 亏损,每日经济新闻
3107,2019-04-03,天准科技冲击科创板 客户包括苹果、三星、富士康,新京报
3108,2019-04-02,消息人士透露富士康未来几周将在印度试产最新款iPhone,TechWeb
3109,2019-04-02,彭博：富士康称最新iPhone将在印度试产,新浪
3110,2019-04-02,工业互联网，制造业的春天？,投资界
3111,2019-04-02,2日公司新闻聚焦：一汽夏利三连板停牌核查,证券时报网
3112,2019-04-02,工业富联瞄准工业互联网龙头地位 5G有望今年出货,证券日报
3113,2019-04-01,2018智能手机组装厂TOP5排名：富士康第二 三四名意外,驱动之家
3114,2019-04-01,2018年智能手机代工哪家强：三星第一、富士康第二,IT之家
3115,2019-04-01,营收破4千亿 布局5G网络 工业富联盘中大涨逾6%,第一财经
3116,2019-04-01,工业富联称5G设备今年出货 董事长回应毛利率下滑 盈利能力下降,新浪
