179,2021-05-25,天津区域股市周报：总市值涨517亿 1422万融资买入中科曙光,每日经济新闻
180,2021-05-25,青岛国际创新园：省级示范数字经济园区“数”写创新密码,科技日报
181,2021-05-24,中科曙光注册资本增加至14.51亿，增幅11.42％,腾讯网
182,2021-05-24,芯片板块午后再度拉升，北京君正涨近15%,Wind
183,2021-05-19,[路演]中科曙光：存储产品将迎来更加广阔市场与发展机遇,全景网
184,2021-05-18,国元证券--信创行业专题报告：聚力突破核心技术，信创产业扬帆起航【行业研究】,金融界股吧
185,2021-05-18,国产软件板块异动攀升，中国长城涨停,Wind
186,2021-05-17,中科曙光(603019.SH)：2020年度权益分派每股派0.14元股权登记日为2021年5月20日,格隆汇
187,2021-05-17,计算机行业周观点：底部寻找高景气赛道 关注云计算板块,新浪
188,2021-05-16,中科曙光(603019.SH)将于5月21日发放2020年现金红利 每股派0.14元,智通财经
189,2021-05-14,计算机行业点评报告：从阿里云财报中解读出的2个信号！,新浪
190,2021-05-14,中科院过程工程所与中科曙光签署科技合作协议,e公司
191,2021-05-12,万和证券--2020年年报及2021年一季报综述：业绩持续修复，把握高景气赛道【行业研究】,金融界股吧
192,2021-05-11,晚间资讯｜华民股份实控人被执行逮捕；上海医药拟定增引入云南白药为战投,证券时报网
193,2021-05-10,中科曙光(603019.SH)向524名激励对象首次授予1275万股限制性股票,格隆汇
194,2021-05-10,计算机周观点：工业互联网持续受重视 抓住产业趋势,新浪
195,2021-05-08,天津区域股市周报：总市值涨325亿中远海控涨17.86%排第一,每日经济新闻
196,2021-05-07,中科曙光(603019.SH)：公司2021年限制性股票激励计划获得中国科学院计算技术研究所批复,格隆汇
197,2021-05-07,定增市场周报：竞价募足率降至低于七成 募资额环比提升逾两倍,新浪
198,2021-05-07,计算机行业深度报告：板块已回归正常增长轨道,新浪
199,2021-05-06,定增解禁第一天就放量大跌，外资和冯柳都在砸盘？ 解禁,Wind
200,2021-05-06,5月6日晚间重要行业研究汇总(附股),中金在线
201,2021-05-06,A股早报2021年5月6日星期四,Wind
202,2021-05-05,劳动节假期要闻汇总（5月1日-5日）,Wind
203,2021-05-02,下周操盘攻略：科创板、创业板资产重组面临重大改革,Wind
204,2021-04-30,下周317亿市值限售股解禁，节后首个交易日迎解禁高峰 解禁,Wind
205,2021-04-28,中科曙光：约1.49亿股限售股5月6日解禁，占比10.25% 解禁,每日经济新闻
206,2021-04-28,95股今日获机构买入评级,证券时报网
207,2021-04-28,248股获券商买入评级，王府井目标涨幅达112.90%,Wind
208,2021-04-27,中科曙光(603019.SH)：约1.4868亿股限售股将解禁 解禁,格隆汇
209,2021-04-27,中科曙光：1.49亿股非公开发行限售股5月6日上市流通 解禁,Wind
210,2021-04-27,A股异动 | 中科曙光(603019.SH)创逾一年新低 连续5日遭北上资金净卖出 连续下跌,格隆汇
211,2021-04-23,中科曙光(603019.SH)：一季度净利升38.48%至8143.34万元,格隆汇
212,2021-04-23,中科曙光：一季度净利润同比增长38.48%,Wind
213,2021-04-21,安信证券--计算机：计算机行业能为碳中和做什么贡献【行业研究】,金融界股吧
214,2021-04-19,4月19日晚间重要行业研究汇总(附股),中金在线
215,2021-04-19,融资客青睐2股，三星医疗买入占比高达44.98%,Wind
216,2021-04-18,中科曙光(603019.SH)拟推1450万股的2021年限制性股票激励计划,格隆汇
217,2021-04-18,中科曙光(603019.SH)拟推2021年限制股激励计划 授予价为14.65元/股,智通财经
218,2021-04-16,中泰证券--中科曙光：业绩符合预期，海光收入大幅增长【公司研究】,金融界股吧
219,2021-04-14,光大证券--中科曙光：业绩增速符合预期，子公司海光业务加速推进【公司研究】,金融界股吧
220,2021-04-14,浙大城市学院与中科曙光、数字经济研究院达成战略合作,飞象网
221,2021-04-13,光大证券：中科曙光（603019.SH）业绩增速符合预期，维持“增持”评级,智通财经
222,2021-04-13,西南证券--中科曙光:盈利水平持续提升，信创核心战略加速行进【公司研究】,金融界股吧
