85,2021-11-08,方正证券：系统无忧结构扰动 本周大盘先抑后扬,金融界
86,2021-11-05,关于同意方正证券股份有限公司为国泰中证影视主题交易型开放式指数证券投资基金提供主做市服务的公告,上交所
87,2021-11-05,维信诺：方正证券、天风资管等6家机构于10月30日调研我司,证券之星
88,2021-11-04,翰宇药业：方正证券、方正证券等2家机构于10月29日调研我司,证券之星
89,2021-11-03,方正证券：市场并无系统性风险 更多的需关注结构性机会,新浪
90,2021-11-02,方正证券：慢牛基础并未改 跨年攻势仍存在,新浪
91,2021-11-02,开户引流考核指标不规范，有券商上海分支机构遭罚，开户引流绩效考核与激励早有监管要求 金融监管处罚,财联社
92,2021-11-02,方正证券第三季净利降25% 业绩发布后股价依旧萎靡 盈利能力下降,中国经济网
93,2021-11-02,券商金股来了！重点布局消费、新能源赛道，一批个股已率先上涨,Wind
94,2021-11-01,图解方正证券三季报：第三季度单季净利润同比减25.34% 盈利能力下降,证券之星
95,2021-10-31,方正证券：轻指数、重个股 回避“三高”股及传统奢侈品消费高价股,新浪
96,2021-10-31,犀牛财经早讯：证监会公布北交所基础制度 方正证券前三季度净利19.28亿,GPLP犀牛财经
97,2021-10-30,方正证券前三季度净利润同比增长30%,中证网
98,2021-10-30,券商代销江湖热战，异军突起各打什么牌？中信中金强在私募销售，广发东方兴业具资产端优势,财联社
99,2021-10-30,赚翻了！40家券商盈利排名来了,Wind
100,2021-10-29,方正证券(601901.SH)前三季度计提各项信用减值损失共计2.23亿元,智通财经
101,2021-10-29,方正证券(601901.SH)：第三季度净利降25.34%至6.28亿元 盈利能力下降,格隆汇
102,2021-10-29,方正证券：前三季度净利润同比增长30.08%,Wind
103,2021-10-29,方正证券公布三季报 前三季净利增加30.08%,新浪
104,2021-10-29,方正证券：前三季度实现归母净利润19.28亿元 同比增长30.08%,中证网
105,2021-10-29,方正证券：2021年第三季度净利润约6.28亿元，同比下降25.34% 盈利能力下降,每日经济新闻
106,2021-10-29,谱尼测试：方正证券、长江证券等85家机构于10月26日调研我司,证券之星
107,2021-10-29,天马轴承集团股份有限公司 2021年第三季度报告,证券日报
108,2021-10-27,对香港子公司管控方面存重大缺陷，方正证券和主要负责人均被处罚，公司这么解释 关联方问题,每日经济新闻
109,2021-10-27,缺人！券商秋招大门敞开，重点需要这几方面人才,Wind
110,2021-10-27,金徽酒：海通证券、方正证券等48家机构于10月25日调研我司,证券之星
111,2021-10-26,未依法履行对子公司的管理责任、有效监督等 方正证券遭罚 关联方问题,北京商报
112,2021-10-26,非银金融周报：人身险渠道产品再迎新规 券商三季报整体预增,新浪
113,2021-10-26,上市券商前三季度业绩前瞻：券商股价与业绩均现分化 争抢财富管理赛道 盈利能力下降,证券日报
114,2021-10-25,发生了什么？又有千亿券商3季度净利润下滑 盈利能力下降,Wind
115,2021-10-25,咋回事？这家券商业绩“爆冷”，股价一度逼近跌停！最新回应,中国基金报
116,2021-10-23,券商三季度业绩分化加剧，华林证券净利大降8成，受累投资浮亏 盈利能力下降,AI财经社
117,2021-10-23,周报丨多位银保监大员发声保险；互联网寿险细则出台,和讯
118,2021-10-23,一个月股价暴涨173% 新元科技收关注函 此前公司曾两次接待特定对象调研 关注函,大众证券报
119,2021-10-23,方正证券新控股股东落定，投研部门员工出走受关注,Wind
120,2021-10-23,三家券商前三季度业绩预喜,Wind
121,2021-10-22,爆冷！首份上市券商三季报出炉，净利润大降27%，两大业务收入缩水 盈利能力下降,中证报
122,2021-10-22,财鑫闻｜方正集团重整完毕 平安人寿和珠海国资代表分别持股66.5%和28.5%,大众网
123,2021-10-22,重组新进展！新方正集团成立，掌门人来自中国平安，方正证券迎新控股股东,21世纪经济报道
124,2021-10-22,新方正集团完成设立 方正证券控股权即将转移,中国经营报
125,2021-10-22,新方正集团成立 张心朔：重整是经济转型中常见现象,第一财经
126,2021-10-22,方正证券前三季度居湖南证券投诉量首位,中国经济网
127,2021-10-22,重组进展不断，新方正集团正式设立，方正证券迎新控股股东,新京报
