110,2021-12-10,外资单日抢筹A股超200亿，跨年行情开启？人民币汇率隔夜逆转,Wind
111,2021-12-10,A股头条：央行上调金融机构外汇存款准备金率；锂电牛股遭调查；伊利股份披露定增结果 其他违规处罚,金融界
112,2021-12-10,历史次高！ 北向资金单日净买入216亿元，人民币升值或是主要推手,Wind
113,2021-12-10,53家机构争抢伊利股份定增 高瓴高盛入围,全景网
114,2021-12-10,2500亿巨头120亿定增，高毅、高瓴都来了！,Wind
115,2021-12-10,抢疯了！2500亿巨头120亿定增，高毅、高瓴都来了！“公募一哥”也坚定持有,中国基金报
116,2021-12-09,募集资金超120亿元 伊利股份完成A股消费行业最大定增,凤凰网
117,2021-12-09,伊利120亿定增新进展：高盛获配14亿 高毅获配近4亿,华尔街见闻
118,2021-12-09,12月10日上市公司重要公告集锦：贵州茅台拟投资78.33亿元实施包装物流园项目一期工程,证券日报之声
119,2021-12-09,伊利股份120亿定增落地 获得超额认购3.4倍,上证报
120,2021-12-09,公告精选丨伊利股份披露120亿定增结果；江特电机遭证监会立案,21世纪经济报道
121,2021-12-09,伊利股份定增募资120亿元 加码布局高品质液奶、婴配粉提升国际竞争力,财经网
122,2021-12-09,【晚间公告抢先看】贵州茅台投资78.33亿元实施包装物流园项目一期工程；伊利股份定增 高毅资产获批近4亿元,金融界
123,2021-12-09,伊利股份定增结果出炉：53家重量级机构抢筹 高瓴资本、高毅资产等入围,e公司
124,2021-12-09,伊利股份披露120亿定增结果：巴克莱和高盛均获配超14亿元,澎湃新闻网
125,2021-12-09,伊利股份定增落地：为A股消费行业最大规模 外资占比约42%,中华网
126,2021-12-09,伊利股份非公开发行超3亿股，A股消费行业最大定增融资落地,贝壳财经
127,2021-12-09,伊利股份披露定增结果：高盛、高毅等知名机构获配,上证报
128,2021-12-09,A股消费行业最大定增落地：53家重量级机构抢筹，3.4倍超额认购,Wind
129,2021-12-09,全面回暖！外资单日抢筹A股超200亿，跨年行情开启？,Wind
130,2021-12-09,北向资金狂买A股超200亿净买入额创历史次高，继续大幅抢筹白酒股,Wind
131,2021-12-09,伊利股份披露定增结果：巴克莱银行获配14.88亿元，高盛获配14.14亿元,金融界
132,2021-12-09,A股消费行业最大定增落地：53家重量级机构抢筹 3.4倍超额认购,财经网
133,2021-12-09,快讯 | 伊利股份120亿定增结果公布：巴克莱、高盛、高毅、易方达等参与,财经网
134,2021-12-09,伊利股份披露定增结果：高毅获配近4亿元,证券之星
