3836,2018-08-30,【中信电子】每日动态及海外观点（2018-08-30）,CITICS电子研究
3837,2018-08-30,零跑汽车开启“对赌式”预订：转买蔚来威马小鹏送699元,Ofweek
3838,2018-08-30,30日早间两市重要公司新闻速递,证券时报网
3839,2018-08-29,大华股份与滕州交警战略合作 推动智慧交通建设,e公司
3840,2018-08-29,资金流:雄安2股网络安全2股获关注 两市净流出199亿,金融界
3841,2018-08-29,312亿资金争夺20股：主力资金重点出击3股(名单),新浪
3842,2018-08-28,A股共发生34宗大宗交易成交8.05亿元（8月28日）,Wind
3843,2018-08-28,大华股份现折价大宗交易 机构买入3198万元,e公司
3844,2018-08-28,大华股份今日大宗交易成交200万股，成交价15.99元折价2.26%,Wind资讯
3845,2018-08-28,第四范式陈雨强：AI企业如何证明价值？,中研网
3846,2018-08-28,产业发展获助力 连连支付等46家企业获评国家级重点软件企业,经济网
3847,2018-08-28,工信部推动人工智能发展，龙头打开市场空间,腾讯网
3848,2018-08-28,8月28日早间行业热点聚焦,中证网
3849,2018-08-28,透视安防三巨头中报：仍处高增长通道 AI成战略高地,C114通信网
3850,2018-08-28,巨丰早评：A股反弹将延续,巨丰财经
3851,2018-08-28,100只成长股研发投入比例走高 投资者更偏爱谁？,证券日报
3852,2018-08-28,[快讯]兴全合润基金公布半年报 收益为-11.00%,中财网
3853,2018-08-27,今日解析：今为何飙涨 操作指南,中财网
3854,2018-08-27,市场展开报复性反弹,中财网
3855,2018-08-27,大华股份高开高走拉升5.22%报15.73元 成交4.04亿元,腾讯网
3856,2018-08-27,四十不惑，希捷的变与不变,雷锋网
3857,2018-08-26,大华股份：安防产品上半年国内各个行业线都有不错增长,Wind
3858,2018-08-25,解锁楼宇“黑科技” 大华股份发布10寸白光人脸单元门口机,C114通信网
3859,2018-08-24,大华股份：与奉化交警签订战略合作协议,e公司
3860,2018-08-24,大华股份(002236)--业绩增长符合预期，持续加大渠道建设,--
3861,2018-08-24,[买入-A评级]苏州科达(603660)中报点评：业绩高增长 规模效应开始显现,中财网
3862,2018-08-24,中国国际智能产业博览会开幕六股掘金机会,中财网
3863,2018-08-24,中国国际智能产业博览会开幕 机构交叉持仓两只个股存“升”机,证券日报
3864,2018-08-23,龙头股仍受青睐 多只个股回调获加仓,金融投资报
3865,2018-08-23,戳穿刻舟求剑价值投资的美丽谎言,中财网
3866,2018-08-23,【中金深度】AI+物流：降本增效的有效途径,乐平科技视角
3867,2018-08-23,AI人工智能系列：物流行业,中金点睛
3868,2018-08-23,205股获券商买入评级 万科A目标涨幅达134.53%,Wind
3869,2018-08-23,【人工智能系列】AI+物流：降本增效的有效途径,中财网
3870,2018-08-23,【华泰证券研究所】每日晨会启明星20180823,华泰证券研究所
3871,2018-08-22,近400股年内高点以来跌超50% 12股低估值业绩高增长,证券时报
3872,2018-08-22,【中信电子】每日动态及海外观点（2018-08-22）,CITICS电子研究
3873,2018-08-22,财融汇·早间必读 | 20180822,财通证券融资融券部
3874,2018-08-22,【电子丨段迎晟】大华股份(002236)：营运能力逐渐提升，海外业务影响整体业绩,方正证券研究
3875,2018-08-21,明星私募调研出现新动向 放弃部分消费股转向科技股,每日经济新闻
3876,2018-08-21,[推荐评级]大华股份(002236)1H18业绩点评：海外毛利率下滑 拖累盈利增长,中财网
3877,2018-08-21,半导体行业周观点：半导体板块回调迎配置良机,中财网
3878,2018-08-21,【中信电子】每日动态及海外观点（2018-08-21）,CITICS电子研究
3879,2018-08-21,375亿资金争夺20股：主力资金重点出击15股(名单),新浪
3880,2018-08-21,A股市场资金变动一览（8月21日）,Wind
3881,2018-08-21,[强推评级]大华股份(002236)中报点评：业绩符合预期 看好公司长期成长逻辑,中财网
3882,2018-08-21,私募基金 调研热情不减,新浪
3883,2018-08-21,申万宏源计算机行业日报：大华股份、同花顺等发布半年报 中科曙光发行可转债,中财网
3884,2018-08-21,【中金电子与通信】大华股份(002236.SZ)：1H18海外毛利率下滑，拖累盈利增长,乐平科技视角
3885,2018-08-21,白马股大华股份放量跌超9% 半年度净利增长10%,e公司
3886,2018-08-21,大华股份低开低走跳水5.45%报14.92元成交1.73亿元振幅5.20%,腾讯网
3887,2018-08-21,[买入-A评级]大华股份(002236)公司动态分析：海外业务拉低整体毛利率 解决方案占比进一步提升,中财网
3888,2018-08-21,152股获券商买入评级 联创电子目标涨幅达103.33%,Wind
3889,2018-08-20,【华金证券晚间资讯（20180820）】,华金研究
3890,2018-08-20,太平洋电子|每日公告20180820,刘翔电子研究
3891,2018-08-20,申万宏源电子|每日资讯公告,申万宏源电子研究
3892,2018-08-20,【见解】时代浪潮下的智能家居如何才能杀出红海？,IT时代网
3893,2018-08-20,宏达集团获评“2018杰出品牌形象奖”,财经网
3894,2018-08-20,大华股份：上半年净利10.82亿元 同比增长10%,e公司
3895,2018-08-20,大华股份：上半年净利润同比增10.06%,Wind
3896,2018-08-20,[中性评级]计算机行业周报：信号明显!普惠金融政策传导接近落地阶段,中财网
3897,2018-08-20,三季度以来私募调研215只个股 千合资本关注涉房企业,证券日报
3898,2018-08-17,超7成企业营利双增 机构投资者钟情绩优股,红周刊
3899,2018-08-17,看好中国｜数字中国——五天3大利好来袭 相关股票蠢蠢欲动,巨丰财经
3900,2018-08-17,“国家队”持仓稳健 社保基金积极调仓,中证报
3901,2018-08-15,333亿资金恐慌逃离 五类股遭主力机构抛,证券之星
3902,2018-08-15,半导体行业报告简版：信息消费升级、硅含量提升,中财网
3903,2018-08-15,三大数据解密外资新动向 QFII二季度增仓21只个股,证券日报
3904,2018-08-14,大华股份：子公司与北京公科飞达战略合作 深化高速公路信息化发展,e公司
3905,2018-08-14,【中信电子】每日动态及海外观点（2018-08-14）,CITICS电子研究
3906,2018-08-13,应急产业崛起 安防企业加油添力,Ofweek
3907,2018-08-13,[中性评级]计算机行业周报：企业上云的背后 技术裂变下的大国追赶,中财网
3908,2018-08-13,【新时代计算机田杰华团队周观点0812】信息消费升级、企业上云、科技领导小组成立三大政策利好，继续重点看好云计算、人工智能,新时代计算机田杰华团队
3909,2018-08-11,汇添富新兴消费8月领跌，大批投资者被动买单,中金在线
3910,2018-08-11,北上资金启动抄底模式 单周净买入近130亿元,证券时报
3911,2018-08-10,国产软硬件概念股近三日最受主力资金青睐,证券时报网
3912,2018-08-10,[买入评级]安防监控行业系列研究之一：上游视角看行业发展 智能化带来新机遇,中财网
3913,2018-08-10,广发证券：安防监控行业新一轮智能化大变革开启 关注3股,证券时报网
3914,2018-08-10,大华股份创新推出睿智NVR系列 重构边缘价值,千家网
3915,2018-08-10,北上资金抢筹58只个股 其中56只个股被券商看好,证券日报
3916,2018-08-10,人工智能基本面长期向好 4只龙头股获机构扎堆推荐,证券日报
3917,2018-08-09,中证数据：两市资金净流入前20股（8月9日）,中证网
3918,2018-08-09,A股再演绝地反击：创业板盘中涨逾4%，计算机板块掀涨停潮,澎湃新闻
3919,2018-08-09,1569只股短线走稳 站上五日均线,证券时报网
3920,2018-08-09,今日1669只个股突破五日均线,证券时报
3921,2018-08-09,大华股份涨停，报16.86元,腾讯网
3922,2018-08-09,科技股强势走高引领A股反弹，创业板指涨逾3%,第一财经
