94,2021-12-10,长江电力(600900.SH)：拟购买云川公司100%股权 公司控股总装机容量将增长57.46%、12月13日起复牌,格隆汇
95,2021-12-10,长江电力(600900.SH)拟增发收购两座水电站资产 12月13日复牌,智通财经
96,2021-12-10,长江电力最新公告：拟购买云川公司100%股权 12月13日起复牌,证券之星
97,2021-12-10,长江电力：公司股票将于2021年12月13日上午开市起复牌,每日经济新闻
98,2021-12-10,长江电力：拟购买云川公司100%股权,财联社
99,2021-12-10,长江电力：拟收购云川公司100%股权，股票复牌,Wind
100,2021-12-10,绿电之王再扩容,国际电力网
101,2021-12-09,长江电力：签订数份购售电合同,Wind
102,2021-12-09,长江电力：永善溪洛渡电厂签订2021-2025年度溪洛渡左岸电站购售电合同,财联社
103,2021-12-09,长江电力(600900.SH)：签订了2021-2025年度三峡水电站购售电合同,格隆汇
104,2021-12-09,长江电力(600900.SH)：宜宾向家坝电厂签订2021-2025年度向家坝水电站购售电合同,格隆汇
105,2021-12-09,长江电力(600900.SH)签订数份购售电合同,智通财经
106,2021-12-09,长江电力(600900.SH)：与南方电网、国家电网签订2021-2025年度三峡水电站购售电及输电合同,格隆汇
107,2021-12-08,公用事业行业简评报告：多地发布电力中长期交易规则征求意见稿,新浪
108,2021-12-07,A股融资融券日报：两融余额减少24.72亿元（12月6日）,Wind
109,2021-12-06,首席周观点：周期股会来第二春吗？,新浪
110,2021-12-06,长江电力：筹划重大资产重组停牌进展 重大事项停牌,Wind
111,2021-12-06,电力：山东印发高耗能企业碳管理办法 火电长协煤政策靴子落地,新浪
112,2021-12-06,公用环保行业周报：2022年电煤长协征求意见稿发布有利于保障煤电资产现金流,新浪
113,2021-12-06,环保与公用事业行业周报(2021年第46期)：工业和信息化部印发工业绿色发展规划 加快能源消费低碳化转型,新浪
114,2021-12-06,A股融资融券日报：两融余额减少18.05亿元（12月3日）,Wind
115,2021-12-06,绿色电力政策密集出台，行业发展步入快车道,Wind
116,2021-12-05,公用事业周观点：煤价中枢提高，绿电优势凸显【国君公用事业】,煤市乾坤
117,2021-12-05,公用周报：江苏首批平价海风项目启动竞争性配置 第二批内陆风电光伏大基地项目开始上报,新浪
