780,2021-05-19,银河电子周观点：功率半导体景气度向上 国内厂商扩产趋势明显,新浪
781,2021-05-19,蓝思、立讯、领益进军手机代工 闻泰科技龙头地位难保？,新浪
782,2021-05-19,福布斯全球上市公司2000强发布 闻泰科技跃升至1264位,上证报
783,2021-05-19,芯片未来将在材料和封装上创新，关注五个投资方向,方正证券
784,2021-05-18,市值4500亿的比亚迪，王传福野心不断，既要造车也要造半导体,财经无忌
785,2021-05-18,湖北区域股市周报：1家湖北公司被调研 1.94亿融资净买入湖北股票,每日经济新闻
786,2021-05-18,银河证券：5G终端及汽车电动化需求旺盛，电子行业盈利端将加速增长,证券时报网
787,2021-05-17,第三代半导体又火了！龙头股遭主力资金抢筹机构最高预估还有78%上涨空间,第一财经
788,2021-05-17,5月17日晚间重要行业研究汇总(附股),中金在线
789,2021-05-17,11股获券商买入评级 明阳智能目标涨幅达96.23%,Wind
790,2021-05-14,【中信建投电子|刘双锋&雷鸣团队】闻泰科技(600745)：半导体业务高景气，ODM盈利能力逐步恢复,中信建投电子研究
791,2021-05-13,半导体年报&Q1总结：中短期看量价齐升 中长期看需求和格局,新浪
792,2021-05-13,25股获券商买入评级 中兴通讯目标涨幅达51.85%,Wind
793,2021-05-12,闻泰科技(600745)：ODM转型客户结构优化 高景气下安世延续高增长,新浪
794,2021-05-12,新时代证券维持闻泰科技强烈推荐评级，2020年报&2021一季报业绩点评：ODM 转型客户结构优化，高景气下安世延续高增长,每日经济新闻
795,2021-05-12,电子行业4月动态报告：半导体景气度向上 华为引领汽车智能化,新浪
796,2021-05-12,新时代证券：闻泰科技(600745.SH)ODM转型客户结构优化，维持“强烈推荐”评级,智通财经
797,2021-05-12,千亿白马腰斩，“果链”新晋玩家闻泰科技差在哪里?,财富动力网
798,2021-05-11,闻泰科技危机时刻：股价腰斩、高毅套牢 还被减持9000万股 减持股份,新浪
799,2021-05-11,闻泰科技：康旅集团、云南融智和云南工投合计减持4.88%股份 减持股份,资本邦
800,2021-05-11,被苹果踢出欧菲光与闻泰完成交割：或再次打入“果链”,快科技
801,2021-05-11,闻泰科技与欧菲光完成资产交割 或打入苹果供应链,C114通信网
802,2021-05-11,今天股市行情最新消息 今日股市新闻（5月11日）,至诚财经
803,2021-05-11,银河证券：2021年电子行业盈利端将加速增长，维持行业“推荐”评级,证券时报网
804,2021-05-11,砺石商业评论：闻泰科技的进击之路,新浪
805,2021-05-11,5月11日操盘必读：影响股市利好与利空消息,新浪
806,2021-05-11,股海导航 5月11日沪深股市公告提示,新浪
807,2021-05-11,15万多股民哭了！大股东疯狂减持，近1年股价腰斩，市值蒸发1000多亿！ 减持股份,中国基金报
808,2021-05-10,资产交割完成，闻泰科技正式接手广州得尔塔,搜狐
809,2021-05-10,公告精选：多只周期股回应股价大涨；小康股份4月份新能源汽车销量同比增长84%,e公司
810,2021-05-10,晚间重要公告2021年5月10日星期一,Wind
811,2021-05-10,闻泰科技股东累计减持公司4.88%股权 减持股份,上证报
812,2021-05-10,云南系资本连续减持公司股份，抛压下闻泰科技股价创新低！ 减持股份,环球老虎财经
813,2021-05-10,闻泰科技正式接手广州得尔塔 资产交割完成并揭幕,中证网
814,2021-05-10,晚间公告｜5月10日这些公告有看头,第一财经
815,2021-05-10,闻泰科技：股东昆明产投质押1245万股,每日经济新闻
816,2021-05-10,闻泰科技(600745.SH)股东康旅集团及一致行动人减持比例达4.88% 减持股份,智通财经
817,2021-05-10,闻泰科技：康旅集团等股东合计减持6073.6万股 减持股份,36氪
818,2021-05-10,闻泰科技：康旅集团、云南融智、云南工投累计减持公司4.87%股权 减持股份,e公司
819,2021-05-10,闻泰科技：康旅集团、云南融智等合计减持4.8781%公司股份 减持股份,Wind
820,2021-05-10,电子行业周报：21Q1业绩向好 行业景气度持续旺盛,新浪
821,2021-05-10,欧菲光：闻泰科技子公司已取得广州得尔塔100%股权,36氪
822,2021-05-10,电子行业周报：手机需求放缓 再谈半导体投资逻辑,新浪
823,2021-05-10,通信运营商盈利逐步改善，关注五个投资方向,中泰证券
824,2021-05-09,电子行业周报：缺货涨价现象依旧,新浪
825,2021-05-08,半导体业绩总结,半导体风向标
826,2021-05-08,5月机会：赚钱效应逐渐回升三大行业被集体看好！,金融投资报
827,2021-05-07,5月6日332只个股获券商关注，闻泰科技目标涨幅达85.16%,每日经济新闻
828,2021-05-06,五年砸下超3000亿元：7起超级并购案，汽车芯片为何这么火？,36氪
829,2021-05-06,收购安世协同效应凸显 闻泰科技2020年净利增长93%,上证报
830,2021-05-06,中国银河--电子行业4月动态报告：半导体景气度向上，华为引领汽车智能化【行业研究】,金融界股吧
831,2021-05-06,归母扣非净利润6.7亿元！闻泰科技Q1稳健增长，投资28亿元布局未来,中金在线
832,2021-05-06,天风证券给予闻泰科技买入评级，ODM持续高研发投入，安世盈利能力创新高，目标价格为153.59元,每日经济新闻
833,2021-05-06,东方证券维持闻泰科技买入评级：半导体业务高景气，ODM加大研发和制造能力,每日经济新闻
834,2021-05-05,欧菲光合肥项目“亮灯”，核心光学业务及智能汽车板块迎来新发展机遇,环球老虎财经
835,2021-05-05,闻泰科技：云南融智、康旅集团减持计划时间已过半，共减持约1243万股,每日经济新闻
836,2021-05-04,印度疫情几近失控 中国手机厂产能“对折”,新浪
837,2021-05-02,闻泰科技(600745)：季度超预期 环比有望持续向上,新浪
838,2021-05-01,欧菲光合肥项目“亮灯” 轻装上阵聚焦核心业务,第一财经
839,2021-05-01,【天风电子】闻泰科技：ODM持续高研发投入，安世盈利能力创新高,科技伊甸园
840,2021-04-30,200多亿商誉0减值、对欧菲光资产情有独钟？千亿大白马闻泰科技这样回应,每日经济新闻
841,2021-04-30,200多亿商誉0减值 闻泰科技：去年下半年以来安世集团业绩保持大幅增长,每日经济新闻
842,2021-04-30,闻泰科技现1笔大宗交易 共成交499.86万元,新浪
843,2021-04-30,闻泰科技(600745)：21Q1业绩超预期 安世全年有望高速增长,光大证券
844,2021-04-30,闻泰科技(600745.SH)：康旅集团及云南融智减持期过半 累计减持1242.5971万股 减持股份,格隆汇
845,2021-04-30,闻泰科技半导体业务高速增长：去年营收暴增521.96%，一季度达历史高点,中电网
846,2021-04-30,闻泰科技(600745.SH)股东康旅集团等减持期过半 累计减持1242.6万股 减持股份,智通财经
847,2021-04-30,闻泰科技：股东康旅集团、云南融智合计减持1%股份 减持股份,Wind
848,2021-04-30,信达证券给予闻泰科技买入评级，第三代半导体研发顺利，安世半导体持续高增,每日经济新闻
849,2021-04-29,闻泰科技：2020年实现归母净利润24.15亿元 同比增长92.68%,中证网
850,2021-04-29,闻泰科技(600745.SH)年度归母净利润同比增长92.68%至24.15亿元 每10股派1.65元,智通财经
851,2021-04-29,晚间重要公告2021年4月29日星期四,Wind
852,2021-04-29,A股共发生113宗大宗交易成交36.87亿元（4月29日）,Wind
853,2021-04-29,半导体业务表现亮眼，闻泰科技去年净利同比涨超92%,第一财经
854,2021-04-29,闻泰科技(600745.SH)一季度净利润升2.56%至6.52亿元,格隆汇
855,2021-04-29,闻泰科技(600745.SH)：2020年度净利升92.68%至24.15亿元 拟10派1.65元,格隆汇
856,2021-04-29,闻泰科技：一季度净利润6.52亿元，同比增长2.56%,Wind
857,2021-04-29,闻泰科技：2020年净利润同比增长92.68%,Wind
858,2021-04-29,闻泰科技：一季度净利润同比增长2.56%,Wind
859,2021-04-29,闻泰科技今日大宗交易成交182.48万股，成交价81.78元折价5.5%,Wind
860,2021-04-28,印度疫情波及哪些A股？逾10家中企发声回应，有个股月内涨4倍,新京报
861,2021-04-28,"闻泰科技现5笔大宗交易 共成交10,635.89万元",新浪
862,2021-04-28,闻泰科技今日大宗交易成交131万股，成交价81.19元折价7.68%,Wind
863,2021-04-28,闻泰科技今日大宗交易成交120万股，成交价81.19元折价7.68%,Wind
864,2021-04-28,闻泰科技回应印度工厂经营正常，印度疫情失控或延缓其国际化进程？,21世纪经济报道
865,2021-04-28,闻泰科技股价创近两年以来新低，究竟是印度疫情影响还是公司一季度盈利堪忧？,环球老虎财经
866,2021-04-28,印度疫情冲击波：中企一边苦恼爆单，一边担忧弃单,Wind
867,2021-04-28,暴增30倍！“高光时刻”见顶？,中金在线
868,2021-04-28,震惊！茅台也暴雷了？千亿半导体巨头闪崩！ 连续下跌,国元证券订阅号
869,2021-04-28,犀牛财经早报：ST康美净亏277亿深南股份董事长辞职,GPLP犀牛财经
870,2021-04-27,闻泰“跌倒”、立讯“吃饱” 华夏基金还是赚了3500万,新浪
871,2021-04-27,印度疫情失控致当地工厂停工？闻泰科技辟谣难阻股价跌停 经营问题,时代在线
872,2021-04-27,股价跳水跌停，闻泰科技晚间澄清：印度闻泰目前经营正常,第一财经
873,2021-04-27,科创板晚报|海尔生物一季度净利同比增长506.02%创维汽车计划明年挂牌科创板,科创板日报
874,2021-04-27,闻泰科技澄清：印度闻泰（工厂）目前生产经营正常,e公司
875,2021-04-27,闻泰科技：印度闻泰对公司业绩整体影响较小,Wind
876,2021-04-27,"A股""V""型反转！印度疫情恶化，千亿巨头跌停！茅台一季报来了，张坤基金成第九大股东 盈利能力下降",每日经济新闻
877,2021-04-27,【半导体投资日报】缺芯已经影响洗衣机和面包机，兆易创新一季度净利增79.43%，韦尔股份遭股东减持0.99% 减持股份,新浪
878,2021-04-27,尾盘跌停，闻泰股份回应称印度工厂正常生产,AI财经社
879,2021-04-27,闻泰科技回应市值一天蒸发超百亿：印度工厂仍在正常生产,观察者网
880,2021-04-27,千亿半导体巨头闻泰科技跌停 一天118亿市值灰飞烟灭,每日经济新闻
881,2021-04-27,1100亿科技白马股跳水跌停，发生了什么？公司紧急回应,中证报
882,2021-04-27,千亿半导体巨头一天118亿市值蒸发，和印度疫情有关？公司回应！股民：一直拖到跌停价割了，自嘲是“踩雷”高手 连续下跌,每日经济新闻
883,2021-04-27,东海基金日报 | 4月27日,新浪
884,2021-04-27,【龙虎榜分析】又现白马股“祭天”！,证券之星
885,2021-04-27,A股上演“V”型反转，千亿巨头却闪崩跌停！特斯拉又出事了,Wind
886,2021-04-27,或受印度疫情影响？半导体龙头单日市值蒸发超百亿 这些A股公司也最新回应 连续下跌,新浪
887,2021-04-27,A股资金流向（4月27日）：医疗板块多个细分龙头获青睐，券商股遭抛售,Wind
888,2021-04-27,电子行业智能耳机专题：方兴未艾 迭代演进 安卓品牌加速渗透,新浪
889,2021-04-27,收评丨指数集体翻红 医美、二胎概念火爆,21世纪经济报道
890,2021-04-27,中信证券：未来2-3年智能音频行业将迎来高确定性快速增长,Wind
891,2021-04-27,通信行业周报：一季度电信业发展良好 5G手机渗透率持续提升,新浪
892,2021-04-27,郑爽天价片酬超行业9成上市公司全年净利？资金踩踏式出逃“豆奶大王”,Wind
893,2021-04-27,芯片概念集体下跌！超3000只个股飘绿，A股又跳水！ 连续下跌,证券时报网
894,2021-04-27,闻泰科技回应股价跳水：公司印度工厂仍在正常生产,Wind
895,2021-04-27,股价跳水 闻泰科技回应：公司印度工厂仍在正常生产,中证网
896,2021-04-27,1000亿巨头闪崩，芯片概念集体下跌！聪明钱40亿杀入,Wind
897,2021-04-27,1000亿半导体巨头闪崩，芯片概念也集体下跌！超3000只个股飘绿！聪明钱却40亿杀入 连续下跌,e公司
898,2021-04-27,上市公司又如何？你有30亿市值吗？,和讯
