714,2021-01-11,上周盘点：楼市整体成交下行，地市整体供应量环比走低,房天下
715,2021-01-08,房企开年境外融资井喷：8天超67亿美元,乐居财经
716,2021-01-08,绿地控股12月份斥资7.26亿元获4宗地 用地面积34.74万平米,乐居财经
717,2021-01-08,绿地控股(600606.SH)：12月新增房地产项目4个,格隆汇
718,2021-01-08,绿地金融发布数科战略 绿地控股数字化发展迈入新征程,中证网
719,2021-01-08,绿地控股完成发行26亿公司债 利率为7%、6.5%,观点地产网
720,2021-01-08,绿地控股完成发行26亿元公司债券 票面利率6.5%-7%,乐居财经
721,2021-01-08,绿地控股：成功发行26亿元公司债券 票面利率最高为7%,中国网
722,2021-01-06,绿地控股拟发行30亿元公司债利率为6.5%、7%,搜狐
723,2021-01-06,绿地控股发行30亿公司债 票面利率最高7%,乐居财经
724,2021-01-06,绿地控股：30亿元公司债券票面利率最高为7.00%,中国网
725,2021-01-05,融资“三道红线”试点有望扩围！影响，行业市场表现2张图看清,Wind
726,2021-01-05,绿地为杭州世纪中心项目15亿元借款提供部分担保 大额借贷担保,观点地产网
727,2021-01-05,绿地控股：为双塔置业15亿元借款提供担保 大额借贷担保,乐居财经
728,2021-01-05,房地产板块整体下挫近2%，万科、保利、招商蛇口、新城控股、绿地、金地齐跌,Wind
729,2021-01-04,绿地控股拟发行170亿元公司债，计划半年内现金短债比达标,澎湃新闻
730,2021-01-04,科创投资再加码 绿地300亿元建智慧园区,第一财经
731,2021-01-04,打响高质量发展攻坚战 绿地控股转身“道与术”,中国经营报
732,2021-01-04,房地产板块整体下挫超2%，万科A、保利地产、招商蛇口、新城控股齐跌,Wind
733,2021-01-02,【华西地产·行业点评】房地产行业2020年12月销售数据点评：销售更上一层，岁末完美收官,地产由我说
734,2021-01-01,开发商普遍“欠收”，融创富力等公司未达销售目标 盈利能力下降,Wind
735,2020-12-31,债券研究：浅析“三道红线”新规对高负债房企的影响,新浪
736,2020-12-31,绿地控股有息负债总额下降近200亿元 偿债能力下降,中证网
737,2020-12-30,建信人寿55亿投资董家渡办公楼，曾是中民投最好项目之一,澎湃新闻
738,2020-12-28,绿地控股制定三步走资金合规计划，自有资金足够兑付到期债务,澎湃新闻
739,2020-12-28,房企高效去杠杆半年考的“绿地样本”： 有息负债总额降近200亿，三年三步走有望提前达标,陆家嘴金融网
740,2020-12-28,绿地控股淮海产业协同战略发展中心揭牌 徐州国际会议中心启用,上证报
741,2020-12-25,开发商年初“吹的牛”，都实现了吗？,每日经济新闻
742,2020-12-24,绿地控股退出绿地金控 转由绿地金创科技全资持股,乐居财经
743,2020-12-24,绿地控股退出绿地金融 绿地金创科技全股接盘,乐居财经
744,2020-12-24,保利地产、新城控股、绿地控股、华夏幸福普跌，招商蛇口续创多年新低,Wind
745,2020-12-23,开发商年初“吹的牛”能实现吗？ 这几家公司尴尬了,中新经纬
746,2020-12-23,传绿地控股对“三道红线”计划一年降一档，春节后引入60亿元央企战投,资本邦
747,2020-12-22,绿地“翻绿”，张玉良分三步走,乐居财经
748,2020-12-22,绿地“降档”进行时：传央企60亿战投春节到位与再提贸易港上市,观点地产网
749,2020-12-21,传绿地对“三道红线”计划一年降一档 拟引入战投、分拆业务上市,观点地产网
750,2020-12-21,万科A、保利地产、绿地控股、金地集团等逆市齐跌，招商蛇口创多年新低,Wind
751,2020-12-19,承压债股双杀 绿地控股两套以上偿债方案确保如期还款,金融界
752,2020-12-16,快讯：绿地控股斥资5000万元成立绿地金创科技,乐居财经
