21,2021-12-14,晚间重要公告2021年12月14日星期二,Wind
22,2021-12-14,中国中冶前11月新签合同额同比增长19.7%,上证报
23,2021-12-14,1-11月中国中冶新签订11个钢铁工程项目，合计金额超170亿元,我的钢铁
24,2021-12-14,中国中冶(01618)前11个月新签合同额1.07万亿元 同比增长19.7%,智通财经
25,2021-12-14,中国中冶前11月新签合同额10706.7亿元，同比增19.7%,乐居财经
26,2021-12-14,中国中冶前11月新签合同额1.07万亿元，同比增长19.7%,乐居财经
27,2021-12-14,中国中冶(601618.SH)1-11月新签合同额1.07万亿元 同比增长19.7%,智通财经
28,2021-12-14,中国中冶(601618.SH)：1-11月新签合同额10706.7亿元 同比增长19.7%,格隆汇
29,2021-12-14,中国中冶：1-11月新签合同额同比增长19.7%,财联社
30,2021-12-08,中国中冶1618｜附属售60亿人币应收账 | 头条金融网,头条日报
31,2021-12-06,港股盘前必读：滴滴启动在香港上市，多家房企启动固收产品发行,Wind
32,2021-12-03,北向资金今日净买入超92亿元本周累计加仓超150亿，大幅抢筹芯片股,Wind
33,2021-12-03,中字头尾盘继续上攻，中国能建涨停,Wind
34,2021-12-03,行业跟踪报告：建筑PMI持续提升 基建投资有望回升,新浪
35,2021-12-01,拥抱“新能源+”系列研究之五：赋能、节能、产能 建筑工程行业三层次助力新能源+,新浪
36,2021-11-30,中字头股跃跃欲试，中国中冶、中国化学、中国铁建均有抬头迹象,Wind
37,2021-11-24,惠誉：确认中冶集团长期外币发行人违约评级为“BBB+”，展望“稳定”,Wind
38,2021-11-23,港股异动 | 中国中冶(01618.HK)涨4% 前10月新签合同额近万亿元,格隆汇
39,2021-11-23,【港股通】中国中冶(01618)涨5.56% 前十月新签合同额9644.6亿元 同比增长20.1%,和讯
40,2021-11-23,港股异动︱中国中冶(01618)涨超5% 2021年1-10月新签合同额9644.6亿元 较上年同期增长20.1%,智通财经
41,2021-11-22,深度*行业*建筑行业数据点评：制造业投资稳步增长 中国化学订单表现优异,新浪
42,2021-11-18,北向资金今日净卖出44.53亿元，传统核心资产集体遭抛售,Wind
43,2021-11-18,建筑行业专题报告：“双碳1+N”政策刚性驱动 看好能源电力建筑央企、装配式板块,新浪
44,2021-11-17,中国中冶：公司2021年前三季度红土镍钴项目的收入为31.9亿，利润总额为12.2亿元，同比增幅较大,每日经济新闻
45,2021-11-17,中国中冶：近年来冶金工程占公司工程板块合同比重为15%左右,Wind
46,2021-11-17,中国中冶：公司未与中信泰富合资运营西澳SINO铁矿,Wind
47,2021-11-17,中国中冶：近年来冶金工程占公司工程板块合同比重为15%左右，其中大多数项目的服务对象为钢铁企业，也包括部分有色冶炼开发公司,每日经济新闻
