,2021-12-31,恩捷股份、天赐材料、璞泰来，谁是盈利能力最强的电池化学品企业？,Ofweek
1415,2020-08-25,新能源汽车行业周报：蔚来与宁德时代携手推出BAAS业务,新浪
1416,2020-08-24,电气设备与新能源行业周报：新能源车换电模式风口来临,新浪
1417,2020-08-24,可转债周报：有可为的阶段,新浪
1418,2020-08-24,电力设备新能源周观察：汽车执行器赛道优质 风电龙头中报高增,新浪
1419,2020-08-24,一周锂电资讯：蔚来汽车宁德时代携手发布BaaS；海目星即将正式登陆科创板,集邦新能源网
1420,2020-08-23,电子行业周报：中报陆续披露 关注绩优龙头,新浪
1421,2020-08-23,汽车行业周报：“车电分离”新模式开启 购车成本再下降,新浪
1422,2020-08-22,新能源汽车利好不断，君联资本十年布局功力初现,新能源网
1423,2020-08-20,璞泰来(603659)：海外出货占比提升 锂电平台协同增强,新浪
1424,2020-08-20,璞泰来(603659)中报点评：业绩略低于预期 有序推进一体化,国海证券
1425,2020-08-20,璞泰来：中报业绩承压 一体化推进凸显负极优势,Ofweek
1426,2020-08-20,【电新】璞泰来：中报业绩符合预期，负极材料逆势增长,中银证券研究
1427,2020-08-20,璞泰来(603659)：负极表现亮眼 下半年各业务齐头并进,新浪
1428,2020-08-19,【方正电新】 璞泰来中报点评：向上拓展控制成本，看好全年业绩增长,申建国电新团队
1429,2020-08-19,璞泰来(603659)中报点评：减值与转固影响Q2利润 负极销量趋势向好,新浪
1430,2020-08-19,璞泰来上半年扣非后净利降27% 半年报见光股价连跌2天 盈利能力下降,中国经济网
1431,2020-08-19,璞泰来(603659)半年报点评报告：负极材料逆风出海 降本增效助业绩恢复,新浪
1432,2020-08-19,【面包财报】璞泰来：2020年上半年营业总收入18.88亿元，归母净利润1.97亿元,面包财经
1433,2020-08-19,【财报智读】璞泰来：2020年上半年营业总收入18.88亿元，归母净利润1.97亿元,面包财经
1434,2020-08-19,动力电池板块疲软，宁德时代跌超3%,Wind
1435,2020-08-19,璞泰来(603659)2020年半年报点评：业绩略低于预期 看好拐点向上,新浪
1436,2020-08-19,【公司点评】璞泰来 (603659)丨业绩短期承压，一体化优势成效显现,中国银河证券研究
1437,2020-08-19,233股获券商买入评级 蓝思科技目标涨幅达84.53%,Wind
1438,2020-08-18,璞泰来(603659)：人造负极龙头成长性不改 再融资增强业务布局,新浪
1439,2020-08-18,璞泰来：业绩符合预期，核心业务逐季向好【安信电新】,电新邓永康团队
1440,2020-08-18,制造行业日报：中车氢能1800台中试线开建 明年计划投建万台生产线,新浪
1441,2020-08-18,璞泰来(603659)：上半年受行业不景气拖累 Q3将重回增长,新浪
1442,2020-08-17,下滑！璞泰来：2020年半年度净利润约1.97亿元，同比下降25.44% 盈利能力下降,每日经济新闻
1443,2020-08-17,璞泰来(603659.SH)半年度净利润降25.44%至1.97亿元 盈利能力下降,格隆汇
1444,2020-08-17,璞泰来：上半年净利润同比减少25.44%,Wind
1445,2020-08-17,组件价格上涨对电站收益影响分析,Ofweek
1446,2020-08-13,宁德时代入股与公司无关？市场：我不管，你先涨停再说！,上证报
1447,2020-08-13,新三板精选层对比研究系列之一-贝特瑞(835185)：全球锂电池负极材料龙头,新浪
1448,2020-08-12,解盘：题材股走势分化，海南自贸区、大豆、大基建略涨,Wind
1449,2020-08-12,创业板一哥宁德时代砸近200亿“抄底”，点名买这些,中国基金报
1450,2020-08-11,璞泰来(603659.SH)：控股股东梁丰解质1660万股,格隆汇
1451,2020-08-11,电力设备行业：光伏产业链涨价持续 V字之后欧洲电车持续向好,新浪
1452,2020-08-10,璞泰来：非公开发行股票申请获得证监会审核通过,Wind
1453,2020-08-10,璞泰来(603659.SH)：非公开发行股票申请获审核通过,格隆汇
1454,2020-08-07,新能源汽车系列报告15：7月欧洲新能源汽车销量增速或超200％ 全年130万销量可期,新浪
1455,2020-08-05,【东吴电新】海外动力电池20Q3详细点评：单季度收入历史新高，龙头盈利开始改善,新兴产业汇
1456,2020-08-05,【东吴电新】LG化学20Q3点评：电池收入历史新高，拆分在即公布宏伟蓝图,新兴产业汇
1457,2020-08-05,【东吴电新】海外动力电池20Q4详细点评：全年lg及sk实现高增，产能扩张提速,新兴产业汇
1458,2020-08-03,璞泰来(603659.SH)：控股股东梁丰质押793万股,格隆汇
1459,2020-08-03,光伏组件价格反弹不改长期下降趋势,Ofweek
1460,2020-08-03,电力设备与新能源行业周观点：可再生能源补贴缺口有望解决 硅料价格持续上升,新浪
1461,2020-08-03,电车七月产销同比首次上升，低压电器提价显景气需求【安信电新周观察20200817】,电新邓永康团队
1462,2020-07-31,【东吴电新】蔚来Q2财报点评：盈利改善大超预期，现金流首次转正,新兴产业汇
1463,2020-07-29,电气设备行业深度报告：博世应对电动化变革的“十八般武艺”,新浪
1464,2020-07-29,电气设备行业周报：量价齐升正当时 聚焦光伏景气周期开端,新浪
1465,2020-07-29,【每日晨报】0729丨石化丨20Q2公募基金持仓创新低，油价企稳+需求回升助力H2业绩改善,中国银河证券研究
1466,2020-07-28,电力设备及新能源行业7月行业洞察报告：基金Q2加仓新能源 电动车、光伏为主要方向,新浪
1467,2020-07-28,汽车和汽车零部件行业周报：汽车产业洞察,新浪
1468,2020-07-27,特斯拉2020年Q2财报快评：特斯拉财报亮眼 能源板块前景可期,新浪
1469,2020-07-27,【北信瑞丰定增简报】本周关注：璞泰来、用友网络,北信瑞丰基金
1470,2020-07-26,电气设备新能源行业周报：光伏全产业链涨价 电动车众多新车上市,新浪
1471,2020-07-26,电气设备行业周报：光伏行业进入高景气周期 特斯拉Q2业绩超预期,新浪
1472,2020-07-26,深度*行业*特斯拉系列报告之四：二季度交付量超预期 连续四个季度实现盈利,新浪
1473,2020-07-26,电力设备与新能源行业周观察：MODEL3长续航版、ID.4等入选推荐目录 光伏产业链涨价氛围浓厚,新浪
1474,2020-07-24,快讯：璞泰来跌停 报于98.09元,金融界
1475,2020-07-24,新能源汽车行业点评：特斯拉连续四个季度盈利 产品升级亮点频出,新浪
1476,2020-07-24,中信证券：特斯拉Q2业绩超预期，继续推荐供应链机会,Wind
1477,2020-07-24,新能源车行业深度报告：特斯拉Q2财报续盈 逆势而上吹响进击号角,国海证券
1478,2020-07-24,二季度机构持仓点评：行业配置情绪大幅抬升 新能源及电动车明显增配,新浪
1479,2020-07-23,【东吴电新】特斯拉20Q3财报点评：业绩再超预期，盈利能力大幅提上，全年维持50万辆目标!,新兴产业汇
1480,2020-07-23,公募基金二季报回顾：仓位配置有望向“均衡”回归,新浪
1481,2020-07-23,特斯拉系列报告之五：连续第四个季度盈利 计划再建工厂扩产能,渤海证券
1482,2020-07-23,电动化系列一：从蜂巢能源看动力电池格局演变,新浪
1483,2020-07-21,知名基金经理二季度普遍加仓，布局消费与科技,Wind
1484,2020-07-21,中泰证券：LG动力电池几乎是所有主流车企的核心供应商 关注璞泰来等,证券时报网
1485,2020-07-20,电气设备行业深度报告：势头凶猛锂电龙头 构建全球化产业渠道,新浪
1486,2020-07-20,道明光学(002632)公司深度研究报告：国产微棱镜膜龙头崛起 高端膜材料航母起航,新浪
1487,2020-07-20,电气设备行业周报：新能源车下乡打开市场 光伏需求改善带动产业回暖,国海证券
1488,2020-07-19,电气设备行业周报：电动车热管理赛道清晰 光伏组件报价止跌回升,新浪
1489,2020-07-13,新能源汽车行业2020年6月销量点评：销量环比向好 下半年有望持续改善,新浪
1490,2020-07-13,电力设备与新能源行业周观点：新能源汽车持续回暖 光伏电池价格反弹,新浪
1491,2020-07-13,负极材料投资扩产达16万吨 高端产能供不应求,上海有色
1492,2020-07-13,电力设备行业动态分析：珠联璧合进行时-领先车企入股电池厂商深层次解析,新浪
1493,2020-07-12,电气设备行业周报：6月国内新能源车销量环比加速 关注风电中报行情,新浪
1494,2020-07-11,电力设备行业动态分析：持续回暖 砥砺前行,新浪
1495,2020-07-11,新能源车观察系列78：金色九月，中国电动车水马龙【安信电新】,电新邓永康团队
1496,2020-07-10,6月装机电量点评：环比明显向好 蓄势待发,新浪
1497,2020-07-10,璞泰来拟募资45.92亿元，投建5万吨锂电负极材料等项目,长江有色
1498,2020-07-09,新能源车深度研究二：从特斯拉市值登顶 看新能源汽车趋势性机会,新浪
1499,2020-07-09,【璞泰来*曾朵红】深度：全球负极王者，研发+客户驱动锂电一体化,东吴研究所
1500,2020-07-08,【东吴电新】璞泰来三季报点评：汇兑损益拉低增速，负极量利双升趋势确立,新兴产业汇
1501,2020-07-08,【东吴电新】璞泰来中报点评：计提影响业绩，石墨化放量强化负极优势,新兴产业汇
1502,2020-07-08,A股早报2020年7月8日星期三,Wind
1503,2020-07-08,53股获券商买入评级 中国中铁目标涨幅达73.96%,Wind
1504,2020-07-08,疯了！特斯拉股价3个月暴涨近3倍，市值突破1.78万亿,腾讯网
1505,2020-07-07,【A股收盘综述】上证指数连升6日，创业板指涨2.44%,Wind
1506,2020-07-07,A股午盘综述：上证指数涨逾1%盘中站上3400点，创业板指涨超3%,Wind
1507,2020-07-06,电新组行业周报：特斯拉交付超预期 光伏产业链具备涨价动力,新浪
1508,2020-07-05,电气设备行业周报：多晶硅料价格开始反弹 欧洲6月新能源车销量恢复高增,新浪
1509,2020-07-04,特斯拉系列研究之九：Q2交付再闪耀 引领全球电动化,新浪
1510,2020-07-03,电新行业中期策略报告：电车与光伏方兴日盛 坚守龙头兼具成长价值,国海证券
1511,2020-07-03,【精选层网上申购策略四】建议7月6日积极申购贝特瑞,广证恒生新三板研究极客
1512,2020-07-02,特斯拉交付数据预测跟踪系列报告(二)：MODELY超预期放量 特斯拉全球Q2交付量预计达9万辆,新浪
1513,2020-07-02,电力设备与新能源行业周观点：新能源汽车市场回暖 光伏竞价规模超预期,新浪
1514,2020-07-02,电力设备及新能源行业6月行业洞察报告：光伏竞价项目超预期 新版双积分构筑长效机制,新浪
1515,2020-07-02,开源晨会0702丨投资策略点评：不要犹豫，赶快切换；再贷款、再贴现利率下调政策评论；新能源汽车行业2020年中期投资策略,开源证券研究所
1516,2020-07-01,【东吴电新】周策略：6月电动车销量超预期，多晶硅价格开涨,新兴产业汇
1517,2020-07-01,电力设备与新能源行业：大众集团华丽转身 电动化蓄势待发,新浪
1518,2020-07-01,电动汽车最新观点纪要：“红梅已把春来报 选坐轻舟过重山”,新浪
1519,2020-07-01,新能源汽车行业2020年中期投资策略：全球新周期启动,新浪
1520,2020-06-30,璞泰来(603659.SH)：“璞泰转债”自7月8日开始转股 转股价为82.73元/股,格隆汇
1521,2020-06-29,电气设备新能源行业周报：光伏竞价项目超预期 特斯拉Q2销量超预期,新浪
1522,2020-06-29,电动车中游产业链5月回顾：排产筑底回升 价格整体稳定,新浪
1523,2020-06-28,电力设备第27周周报：风光5月装机环比改善 双积分新规考核要求提高,新浪
1524,2020-06-28,电气设备行业周报：光伏产业链价格映射需求景气 新能源车双积分修正案公布,新浪
1525,2020-06-24,电力设备行业深度报告：从专利角度窥探特斯拉百万英里电池,新浪
1526,2020-06-24,电新锂电专题之三：新能车增长趋势不变 龙头地位稳固,新浪
1527,2020-06-23,电力设备与新能源行业点评：21-23年双积分考核趋严 托底电动车长期高增长,新浪
1528,2020-06-22,汽车行业事件点评：双积分修改更加合理 有利于行业长远健康发展,渤海证券
1529,2020-06-22,电气设备：后补贴时代 看LFP电池发展趋势,新浪
1530,2020-06-22,兴证张忆东：风格再平衡，“硬科技”吸引力提升,张忆东策略世界
1531,2020-06-22,基础材料、工业：新能源车月度观察：需求底部排产回升 看好3Q20 全球大拐点,新浪
1532,2020-06-19,2020年三季度股票组合,新浪
1533,2020-06-19,汽车行业2020下半年投资策略：继续关注电动智能互联 重视传统车修复机会,新浪
1534,2020-06-19,电气设备行业海外供应链系列报告之二：逐鹿全球动力市场 电池巨头谁执牛耳？,新浪
1535,2020-06-17,新能源行业周报：5月新能源车销量环比回暖 国产特斯拉再破万辆大关,新浪
1536,2020-06-16,国泰君安中小盘·首次覆盖【中科电气（300035）：动力电池负极新龙头，拓展优质客户巩固行业地位】,易研九鼎
1537,2020-06-16,电气设备及新能源6月报：新能源战“疫” 机遇大于挑战,新浪
1538,2020-06-15,民生证券研究周观点,新浪
1539,2020-06-15,汽车周报：“百万公里”电池时代或刺激国内需求回升,新浪
1540,2020-06-14,【国盛电新|周报】5月新能源车销量继续回升，光伏组件出口环比上升9%,电新硬核研究
1541,2020-06-12,璞泰来(603659.SH)：全资子公司卓高新能源完成工商注册登记手续并取得营业执照,格隆汇
1542,2020-06-12,动力电池5月动态跟踪报告(十)：国内电动车市场回暖 关注特斯拉产业链机会,新浪
1543,2020-06-12,新能源汽车行业2020年5月销量点评：销量符合市场预期 复苏政策持续加码,新浪
1544,2020-06-12,【异动股】材料行业板块下挫，璞泰来(603659-CN)跌6.17%,财华社
1545,2020-06-12,5 月新能源汽车产销点评：5月电车产销持续回暖 7月有望迎来拐点,新浪
1546,2020-06-11,“全球车王”掀涨停潮，3400亿巨头暴涨8%，A股小伙伴集体嗨了,中国基金报
1547,2020-06-10,5月欧洲电动车销量点评：拐点已至 欧洲率先回暖,新浪
1548,2020-06-10,汽车行业数据点评：5月乘用车销量重回正增长 特斯拉月销过万,新浪
1549,2020-06-10,新能源汽车行业周报：5月欧洲电动车注册量环比复苏明显,新浪
1550,2020-06-09,电力设备行业深度分析：胡萝卜加量棍棒加码 欧洲电动化步伐加快,新浪
1551,2020-06-09,【研报掘金】全球汽车电动化浪潮兴起 关注具备全球竞争力的供应链优质企业,证券时报网
1552,2020-06-09,电力设备与新能源行业周观点：新能源汽车政策不断 风光消纳责任权重确定,新浪
1553,2020-06-08,电气设备行业深度报告：探究欧洲电动汽车发展主线,新浪
1554,2020-06-08,电气设备新能源行业周报：欧州电动车政策持续超预期 国内锂电中游排产逐步恢复,新浪
1555,2020-06-05,璞泰来(603659.SH)：5名股东及董监高减持完毕 累计减持760.18万股 减持股份,格隆汇
1556,2020-06-05,璞泰来：陈卫等董监高合计减持1.7467%公司股份 减持股份,Wind
1557,2020-06-05,电动车行业2020H2策略报告：夏季攻势,新浪
1558,2020-06-05,西南证券：格局尚未完全明确 锂电行业望迎新起点,新浪
1559,2020-06-04,锂电设备行业深度报告：新的起点，群雄逐鹿，全球争霸,新浪
1560,2020-06-04,基础材料、工业-新能源车月度观察：欧洲显韧性中国弱复苏 国内电池需求逐步回升,新浪
1561,2020-06-03,华泰证券：德国法国补贴加码，电车销量或将提振,Wind
1562,2020-06-02,化工 电力电气设备：电动车中游产业链4月回顾：价格重心下移 排产环比回升,新浪
1563,2020-06-02,未来已来 特斯拉产业链系列报告(三)：新能源 “芯”战场,新浪
1564,2020-06-01,夏季攻势丨兴证电新 · 电动车行业2020H2策略（朱玥、曾英捷）,兴业电新
1565,2020-06-01,电气设备行业周报：车企政策共推进 欧洲电动化再加速,新浪
1566,2020-06-01,电气设备新能源行业周报：欧州电动车政策超预期 光伏扩产标准趋严,新浪
1567,2020-05-29,2020年新能源行业中期投资策略：能源变革大势所趋 海内外需求有望共振,新浪
1568,2020-05-29,璞泰来：监事刘芳累计减持46.2万股，减持数量过半 减持股份,Wind
1569,2020-05-29,璞泰来(603659.SH)监事刘芳累计减持46.21万股 减持数过半 减持股份,格隆汇
1570,2020-05-29,MSCI尾盘数亿元扫货，北上5月吸金300亿,Wind
1571,2020-05-27,减持！璞泰来：副总经理齐晓东累计减持约73万股 减持股份,每日经济新闻
1572,2020-05-27,璞泰来(603659.SH)：副总经理齐晓东累计减持73.03万股 减持数量过半 减持股份,格隆汇
1573,2020-05-27,【国盛电新|周报】电池片技术升级有望加速，大众拟入股江淮和国轩,电新硬核研究
1574,2020-05-27,动力电池概念发力，当升科技冲击涨停,Wind
1575,2020-05-27,新能源汽车利好政策不断,大众证券报
1576,2020-05-26,新能源车板块再迎风口！机构关注产业链细分龙头,中投网
1577,2020-05-25,【国盛电新|周报】德国新能源车政策再加码，各省可再生能源消纳责任权重下发,电新硬核研究
1578,2020-05-21,电力设备与新能源：疫情不改放量趋势 LG尤为亮眼,新浪
1579,2020-05-20,【安信电子|每日观点】小米Q1营收同比增13.6%，境外收入占比首次达到一半,晓说电子
1580,2020-05-20,电力设备与新能源行业动态点评：欧洲电动车政策有望加码 疫情缓和供需再共振,新浪
1581,2020-05-20,璞泰来：冯苏宁累计减持70.2万股，减持数量过半 减持股份,Wind
1582,2020-05-20,减持！璞泰来：股东冯苏宁减持约70万股 减持数量过半 减持股份,每日经济新闻
1583,2020-05-20,璞泰来(603659.SH)：副总经理冯苏宁已减持70.2万股 减持股份,格隆汇
1584,2020-05-20,汽车行业事件点评：欧盟拟豁免零排放汽车增值税 欧洲电动化加速,渤海证券
1585,2020-05-20,“新能源车”主题投资系列(五)：欧洲出海“燃机”,广发证券
1586,2020-05-20,解盘：个股略有分化，动力电池、特斯拉、光刻胶领涨,Wind
1587,2020-05-20,A股午盘综述：上证指数跌0.45%，新能源汽车产业链逆市逞强,Wind
1588,2020-05-20,锂电池板块走强 璞泰来等多股涨停,上证报
1589,2020-05-20,动力电池板块开盘活跃,Wind
1590,2020-05-15,【国盛电新|专题】硅基负极：下一代产业趋势，特斯拉电池新技术或加速,电新硬核研究
1591,2020-05-14,电气设备-4月新能源汽车产销点评：4月电车产销如期回暖 商用车爬坡势态强劲,新浪
1592,2020-05-14,4月新能源汽车产销点评：4月电车产销回暖如预期 商用车爬坡势态强劲,新浪
1593,2020-05-13,策略专题：202005MSCI中国A股调整报告,新浪
1594,2020-05-13,电力设备与新能源行业4月销量点评：电动车4月销量回暖 合资新势力表现突出,新浪
1595,2020-05-13,MSCI中国A股在岸指数增加成份股61只，剔除18只,Wind
1596,2020-05-12,【申港电新|深度】内需引领行业继续前行——电新行业年报及一季报点评,新能源深度研究
1597,2020-05-11,璞泰来(603659.SH)非公开发行股票申请获中国证监会受理,格隆汇
1598,2020-05-08,销量边际改善，疫情不改中长期向好趋势 ——新能源汽车行业19年报及20Q1季报总结,新能源与高端装备研究
1599,2020-05-08,【万联电新|年报&一季报综述】销量边际改善，疫情不改中长期向好趋势,万联证券研究所
1600,2020-05-06,光大电新 | 财报总结：格局影响业绩，龙头引领行业,EBSCN电新研究
1601,2020-05-01,A股特斯拉概念板块开启狂欢节,每日商报
1602,2020-04-30,【国盛电新|季报点评】璞泰来：Q1短期受疫情拖累，Q2将重回增长,电新硬核研究
1603,2020-04-30,璞泰来：一季度净利润同比减少28.86% 盈利能力下降,Wind
1604,2020-04-27,锂电隔膜业业绩分化 行业加快调整重组 盈利能力下降,中国能源网china5e
1605,2020-04-25,【东吴电新】基金Q2持仓深度：新能源汽车、光伏板块持仓明显提升,新兴产业汇
1606,2020-04-24,新能源补贴政策落地 电动车板块迎来边际改善,中国财富网
1607,2020-04-24,靴子落地新能源车长期向好不变 建议逐步布局龙头,证券时报网
1608,2020-04-24,深度：特斯拉将在中国市场实现对燃油车的降维打击 | 兴证电新（曾英捷 朱玥）,兴业电新
1609,2020-04-23,【中银电新&汽车&机械】新能源汽车行业2020年中期策略：乘风破浪的新能源汽车,老成之见
1610,2020-04-22,百家公司融资助力业绩 57家公司业绩弹性大,大众证券报
1611,2020-04-16,璞泰来：2019年年度股东大会之法律意见书,证券之星
1612,2020-04-14,月销量过万！特斯拉Model 3登顶新能源，产业链个股有望受益,中财网
1613,2020-04-14,【行情】动力电池板块午后走高，宁德时代涨停，股价报126.16元/股，成交额近36亿元，国轩高科涨超9%，璞泰来、新宙邦、恩捷股份等个股纷纷跟涨。,金十数据
1614,2020-04-14,兴业证券电动车行业二季度策略：聚焦拐点 以长打短,金融界
1615,2020-04-03,璞泰来：公司当年累计新增借款超过上年末净资产20% 大额借贷担保,Wind
1616,2020-04-03,璞泰来(603659.SH)当年累计新增借款超上年末净资产20% 大额借贷担保,格隆汇
1617,2020-04-03,785股年内高点以来回调超30%，25股业绩高增长,Wind
1618,2020-04-03,上海璞泰来新能源科技股份有限公司对外担保进展公告 大额借贷担保,中证报
1619,2020-04-02,璞泰来：公司为山东兴丰提供担保金额为6500万元 大额借贷担保,Wind
1620,2020-04-01,【东北晨会0401】4月流动性展望/逆回购利率下调点评/新能车周报/招商银行（深）、新开普（深）、华鲁恒升、兆易创新、璞泰来,东北证券研究所
1621,2020-04-01,【东北新能车笪佳敏/胡洋/周彦朋】璞泰来（603659）年报点评：业务均衡发展，锂电平台地位确立,东北证券研究所
1622,2020-03-30,"【万联电新|年报点评】璞泰来：高端人造石墨龙头,拟定增50亿加码一体化",万联证券研究所
1623,2020-03-30,【面包财报】璞泰来：2019年归母净利润同比增长9.56%，负债率上行，短期偿债压力需关注,面包财经
1624,2020-03-30,璞泰来：2019年归母净利润同比增长9.56%，负债率上行，短期偿债压力需关注,面包财经
1625,2020-03-30,巩固地位！锂电产业链头部企业动作频频,长江有色
1626,2020-03-30,【电子】璞泰来：年报业绩符合预期，定增加码锂电项目,微信
1627,2020-03-28,方正研究|7月十大金股,策略研究
1628,2020-03-27,【东吴电新】璞泰来一季报点评：海外放量，业绩好于行业增速,新兴产业汇
1629,2020-03-27,鹰眼预警：璞泰来毛利率净利率双降 短期偿债压力凸显 盈利能力下降,新浪
1630,2020-03-27,璞泰来：产业优势显著，业绩符合预期【安信电新】,电新邓永康团队
1631,2020-03-27,49.59亿元：璞泰来拟募资加码锂离子电池领域,集邦新能源网
1632,2020-03-27,【东吴电新】璞泰来年报点评：打造锂电材料综合供应商，一体化带动盈利水平回升,新兴产业汇
1633,2020-03-27,27日公司新闻聚焦：寒武纪叩响科创板大门 云南白药拟10派30元,证券时报网
1634,2020-03-27,最新公告透露利好 13只个股有望爆发（03.27）,中金在线
1635,2020-03-27,A股早报2020年3月27日星期五,Wind
1636,2020-03-27,璞泰来拟定增募资近50亿 加码锂电池材料,上证报
1637,2020-03-27,上海璞泰来新能源科技股份有限公司２０２０年非公开发行Ａ股股票预案,证券时报
1638,2020-03-27,3月27日十大利好公告：璞泰来拟定增募资不超49.59亿元,金融界
1639,2020-03-26,璞泰来：控股股东、实际控制人关于非公开发行股票摊薄即期回报采取填补措施的承诺,证券之星
1640,2020-03-26,璞泰来2019年净利同比增近一成 拟每股派0.45元,金融界
1641,2020-03-26,璞泰来(603659.SH)2019年度净利润升9.56%至6.51亿元 拟每股派0.45元,格隆汇
1642,2020-03-26,璞泰来(603659.SH)拟定增募资不超49.59亿元 用于年产5万吨高性能锂离子电池负极材料建设项目等,格隆汇
1643,2020-03-26,璞泰来：拟非公开发行股票募集资金不超过49.59亿元,Wind
1644,2020-03-26,璞泰来：2019年净利润同比增长9.56%,Wind
1645,2020-03-25,新能源汽车大调整，是不是机会？,和讯
1646,2020-03-12,A股开盘：三大股指均跌超1% 5G概念领跌,第一财经
1647,2020-03-12,新能源汽车｜疫情短期影响，销量低于预期,中信证券研究
1648,2020-03-12,璞泰来：公开发行2018年创新创业公司债券2020年分期偿还本金及付息公告,上交所
1649,2020-03-10,【国盛电新|周报】商务部鼓励各地出台促新能源车消费措施，锡盟7GW风电项目用地获批---第13周观点,电新硬核研究
1650,2020-03-10,宁德时代供应链梳理 哪些公司占比最大？,北极星电力
1651,2020-03-06,中信证券：欧洲电动车政策升级，中国优质供应链受益,Wind
1652,2020-02-26,璞泰来(603659.SH)控股股东解除质押1040万股,格隆汇
1653,2020-02-26,上海璞泰来新能源科技股份有限公司关于控股股东及一致行动,证券时报
1654,2020-02-25,特斯拉自制电池最快有望在2022年装车 建议布局三条主线,证券时报网
1655,2020-02-25,智慧松德并购超业精密迎考,北京商报网
1656,2020-02-24,优质科技企业梳理,和讯
1657,2020-02-24,璞泰来(603659.SH)：控股股东及一致行动人减持璞泰转债173.999万张 减持股份,格隆汇
1658,2020-02-24,璞泰来：控股股东及一致行动人减持公司19.9999%可转债 减持股份,Wind
1659,2020-02-20,璞泰来：控股股东梁丰减持璞泰转债43.688万张 减持股份,Wind
1660,2020-02-20,璞泰来(603659.SH)：控股股东已减持璞泰转债43.688万张 减持股份,格隆汇
1661,2020-02-18,【电新*曾朵红】1月电动车销4.4万辆，同比降54.4%，基本符合预期,东吴研究所
1662,2020-02-18,【东吴电新】1月电动车销4.4万辆，同比降54.4%，基本符合预期,新兴产业汇
1663,2020-02-14,璞泰来：控股股东2月14日减持公司10%可转债 减持股份,Wind
1664,2020-02-14,璞泰来(603659.SH)控股股东减持璞泰转债87万张 减持股份,格隆汇
1665,2020-02-14,[互动]璞泰来：在Si-C负极材料方面有工艺技术储备,全景网
1666,2020-02-14,6只可转债基金，节后涨幅超过10%！,养基司令
1667,2020-02-12,[麒麟研报]电气设备领涨 券商:看好新能源车和光伏,新浪
1668,2020-02-10,【申港电新】19Q4基金持仓分析：新能源车独领风骚,新能源深度研究
1669,2020-02-10,璞泰来：控股股东及其一致行动人减持璞泰转债87万张 减持股份,格隆汇
1670,2020-02-10,璞泰来：实际控制人梁丰及其一致行动人减持璞泰转债87万张,Wind
1671,2020-02-07,璞泰来(603659.SH)：宁波汇能及陈卫合计解除质押1207.79万股,格隆汇
1672,2020-02-05,补贴白名单取消，LG化学产业链有没有投资机会？,格隆汇
1673,2020-02-04,自动驾驶前景广阔 六只个股腾飞在即掘良机,证券时报网
1674,2020-02-04,璞泰来(603659.SH)控股股东一致行动人减持璞泰转债87万张 减持股份,格隆汇
1675,2020-02-04,璞泰来：控股股东一致行动人宁波汇能减持公司10%可转债,Wind
1676,2020-02-03,【太平洋机械】锂电设备行业报告：趋势已成，放量在即,太平洋机械大讲堂
1677,2020-02-02,璞泰来(603659.SH)可转换公司债券延期至2月4日上市,格隆汇
1678,2020-02-01,特斯拉：明确CATL合作供应，Model Y进度超预期,CITICS汽车研究
1679,2020-01-23,【国盛电新|周报】特斯拉将合作CATL，“风光”建设政策开始征求意见,电新硬核研究
1680,2020-01-21,璞泰来(603659.SH)：监事王晓明完成减持计划累计减持35.66万股 拟减持股份,格隆汇
1681,2020-01-21,璞泰来：监事王晓明减持0.0819%公司股份,Wind
1682,2020-01-21,电气设备及新能源：风光迎拐点 电车全球化,财富动力网
1683,2020-01-20,璞泰来(603659.SH)监事王晓明累计减持27.52万股 减持股份,格隆汇
1684,2020-01-20,璞泰来：监事王晓明减持0.0632%公司股份 减持股份,Wind
1685,2020-01-20,新能源汽车产业链迎春天活跃资金纷纷加仓,证券时报
1686,2020-01-17,摩根士丹利称中国电动车电池股估值已过高,Wind
1687,2020-01-16,璞泰来(603659.SH)：2020年度向金融机构申请不超45亿元的综合授信额度,格隆汇
1688,2020-01-15,璞泰来(603659.SH)董事韩钟伟减持数过半 累计减持65万股 减持股份,格隆汇
1689,2020-01-15,璞泰来：韩钟伟合计减持0.6154%公司股份 减持股份,Wind
1690,2020-01-13,"璞泰来现12笔大宗交易 共成交28,157.51万元",新浪
1691,2020-01-13,A股共发生107宗大宗交易成交16.45亿元（1月13日）,Wind
1692,2020-01-13,璞泰来：陈卫减持350万股 减持股份,Wind
1693,2020-01-13,上海证券市场大宗交易公开信息(2020-01-13),上交所
1694,2020-01-13,璞泰来今日大宗交易成交350万股，成交价80.45元折价9.05%,Wind
1695,2020-01-13,特斯拉“领先性”专题｜Model Y中国价格猜想：最低配置价格有望低于40万元,中信证券研究
1696,2020-01-11,特斯拉专题六：Model Y中国最低价格有望低于40万元,CITICS汽车研究
1697,2020-01-10,机械行业：动力消费双景气，锂电设备增长可期，维持“推荐”评级,格隆汇
1698,2020-01-08,【国盛电新|周报】Model Y项目启动，爱旭发布210电池片产品---第2周周报,电新硬核研究
1699,2020-01-07,行业现多重底 布局新能源汽车产业链,金融投资报
1700,2020-01-07,特斯拉系列专题四：推演Model Y中国稳态年销量超40万辆,CITICS汽车研究
1701,2020-01-07,新能源汽车｜特斯拉“领先性”研究：Model 3都卖到哪了,中信证券研究
1702,2020-01-06,动力电池概念股全面扩张,Wind
