87,2021-09-22,汇顶科技：公司的屏下光学指纹已经商用于240多款终端品牌机型,每日经济新闻
88,2021-09-22,汇顶科技：公司目前没有打算进入存储器芯片领域,Wind
89,2021-09-20,HSBC将汇顶科技评级上调至买进 目标价135.40元人民币,财联社
90,2021-09-20,汇丰：将汇顶科技评级上调至买进，目标价135.40元,Wind
91,2021-09-15,汇顶科技低功耗蓝牙SoC和健康传感器商用于realme Band2,e公司
92,2021-09-15,汇顶科技：realme Band 2搭载汇顶科技可穿戴创新方案组合,e公司
93,2021-09-14,【关注】胡煜华之后，前TI高级副总裁谢兵也将加入汇顶科技,国际电子商情
94,2021-09-13,市值缩水超七成 汇顶科技转型困局待解 经营问题,中国经营报
95,2021-09-10,汇顶科技(603160.SH)2020年第一期员工持股计划锁定期将于9月14日届满,智通财经
96,2021-09-10,汇顶科技：2020年第一期员工持股计划锁定期到期,每日经济新闻
97,2021-09-08,汇顶科技今日大宗交易成交85万股，成交价94.5元折价11.49%,Wind
98,2021-09-06,半导体周跟踪：产业趋势向上明确 短期波动不改高景气,新浪
99,2021-09-06,汇顶科技业绩失速：净利连续6个季度下滑 营收增速转负 盈利能力下降,中国经营网
100,2021-09-06,三大热门赛道财报透视，高研发投入下业绩迎爆发,Wind
101,2021-09-03,产能紧张受关注，机构扎堆调研芯片公司,Wind
102,2021-09-02,晚间重要公告2021年9月2日星期四,Wind
103,2021-09-02,晚间公告｜9月2日这些公告有看头,第一财经
104,2021-09-02,*ST盈方：2-8月与汇顶科技签订累计6.79亿元采购订单,财联社
105,2021-09-02,汇顶科技(603160.SH)：截至8月底已累计回购342.27万股,格隆汇
106,2021-09-02,汇顶科技：截至8月底已累计回购342.27万股,财联社
107,2021-09-02,汇顶科技：累计回购约342万股，占比0.75%,每日经济新闻
108,2021-09-02,汇顶科技(603160.SH)累计回购342.27万股 耗资4.11亿元,智通财经
109,2021-09-02,大基金批量减持半导体，1600亿巨头一度跌停，这次影响多大？,Wind
110,2021-09-02,大基金又要批量减持了……,Wind
111,2021-09-02,大基金再次披露减持计划,Wind
112,2021-09-01,汇顶科技：3.58万份股票期权拟行权,财联社
113,2021-09-01,半导体涨价潮又起！台积电后，三星宣布最高涨价20%！,Wind
114,2021-09-01,1600亿半导体巨头遭大基金减持，浮盈超148%！,Wind
115,2021-08-31,汇顶科技：创新产品逐渐多元化 持续推动向综合型芯片设计公司转型,中证网
116,2021-08-31,31%研发比例投入！汇顶科技夯实技术底座 多产品线发力向综合性IC设计公司转型,中自网
117,2021-08-30,半导体周跟踪：中报亮眼反映行业高景气 全年高增确定性强,新浪
118,2021-08-30,汇顶科技2021上半年财报：研发投入持续增加,中自网
119,2021-08-30,民生证券维持汇顶科技推荐评级：业绩环比回升，多业务布局蓄势待发,每日经济新闻
120,2021-08-30,汇顶科技接受29家机构调研！短期主力资金净流出，存在资金分歧,每日经济新闻
121,2021-08-30,汇顶科技总裁胡煜华：正处转型重要阶段 坚持长期主义战略,C114通信网
122,2021-08-30,偏爱金融股，“长线资金”布局路线图浮现,Wind
123,2021-08-28,东方证券维持汇顶科技买入评级：二季度环比改善，新产品放量显着,每日经济新闻
124,2021-08-27,汇顶科技指纹芯片业务占比降低，新业务步入转型重要阶段,21世纪经济报道
125,2021-08-27,华安证券维持汇顶科技增持评级：业绩阶段性承压，加大研发布局长远,每日经济新闻
126,2021-08-27,汇顶科技总裁胡煜华：公司正处于向综合型IC设计公司转型的重要阶段,每日经济新闻
127,2021-08-27,汇顶科技今日大宗交易成交2.08万股，成交价107.55元溢价0.0%,Wind
128,2021-08-27,汇顶科技发布半年报：营收29.10亿 连续六个季度净利润下滑 盈利能力下降,Ofweek
129,2021-08-27,汇顶科技：公司毛利率目标为保持50%左右,证券时报
130,2021-08-27,汇顶科技连续六个季度净利润下滑，业务转型获社保基金增持 盈利能力下降,金融界
131,2021-08-27,傅鹏博等又一波百亿基金经理隐形重仓股现身,Wind
132,2021-08-26,汇顶科技2021年上半年实现净利润4.21亿元，同比下降29.60% 盈利能力下降,经济观察网
133,2021-08-26,汇顶科技(603160.SH)半年度净利润同比下降29.60%至4.21亿元 盈利能力下降,智通财经
134,2021-08-26,汇顶科技(603160.SH)半年度净利润4.21亿元 同比下降29.60% 盈利能力下降,格隆汇
135,2021-08-26,汇顶科技：上半年净利润同比减少29.6%,Wind
136,2021-08-26,汇顶科技：上半年净利润同比减少29.6% 盈利能力下降,Wind
137,2021-08-20,汇顶科技：公司的CarVoice产品已成功商用于多款主流车型以及Tier1车机厂商，包括现代、日产等知名汽车品牌,每日经济新闻
138,2021-08-20,汇顶科技：公司首款全面支持3GPP Rel-14、Rel-15标准的系统级NB-IoT单芯片解决方案--GR851x系列，已进入商业推广阶段，预计今年四季度可大规模供货,每日经济新闻
